SEASON,SEASON_TYPE,TEAM_ABB,GP,G,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
2024-25,ist,-,4,100,41.8,86.0,48.5,59.3,45.9,23.3,39.5,58.9,54.1,18.5,46.5,39.8,0
2024-25,ist,-,4,100,38.0,86.0,44.2,50.1,65.7,27.8,56.5,49.1,34.3,10.3,29.5,34.7,0
2024-25,ist,-,5,100,43.2,85.8,50.3,57.7,62.7,30.6,53.8,56.9,37.3,12.6,32.0,39.4,0
2024-25,ist,-,5,100,41.0,85.4,48.0,54.9,58.8,29.2,50.2,58.2,41.2,11.8,35.2,33.5,0
2024-25,ist,-,4,100,38.5,84.5,45.6,53.7,55.6,24.8,47.0,52.7,44.4,13.8,37.5,36.7,0
2024-25,ist,-,4,100,42.8,84.0,50.9,58.8,57.1,29.5,48.0,61.5,42.9,13.3,36.0,36.8,0
2024-25,ist,-,6,100,41.3,84.0,49.2,59.2,50.4,24.5,42.3,57.9,49.6,16.8,41.7,40.4,0
2024-25,ist,-,4,100,35.5,83.0,42.8,52.0,53.0,20.3,44.0,46.0,47.0,15.3,39.0,39.1,0
2024-25,ist,-,4,100,39.5,82.5,47.9,57.6,53.6,23.5,44.3,53.1,46.4,16.0,38.3,41.8,0
2024-25,ist,-,4,100,34.8,82.3,42.2,50.8,52.6,20.8,43.3,48.0,47.4,14.0,39.0,35.9,0
2024-25,ist,-,4,100,39.0,80.5,48.4,55.7,58.4,27.3,47.0,58.0,41.6,11.8,33.5,35.1,0
2025-26,regular-season,-,32,100,44.3,93.7,47.2,54.2,62.2,31.2,58.3,53.5,37.8,13.1,35.4,37.0,0
2025-26,regular-season,-,35,100,43.0,92.7,46.4,54.5,53.5,27.9,49.6,56.3,46.5,15.1,43.1,35.0,0
2025-26,regular-season,-,32,100,41.1,91.4,45.0,52.3,58.9,27.6,53.8,51.3,41.1,13.5,37.6,35.9,0
2025-26,regular-season,-,35,100,42.1,91.2,46.1,52.0,65.5,31.4,59.7,52.5,34.5,10.7,31.5,34.1,0
2025-26,regular-season,-,33,100,43.5,91.2,47.8,56.3,56.0,28.1,51.0,55.0,44.0,15.5,40.1,38.6,0
2025-26,regular-season,-,33,100,43.1,91.0,47.4,55.1,57.4,29.1,52.2,55.6,42.6,14.1,38.7,36.3,0
2025-26,regular-season,-,33,100,41.5,90.8,45.7,53.0,58.3,28.2,53.0,53.3,41.7,13.3,37.9,35.0,0
2025-26,regular-season,-,35,100,43.7,90.7,48.2,56.1,57.4,29.3,52.1,56.4,42.6,14.4,38.7,37.2,0
2025-26,regular-season,-,33,100,42.9,90.6,47.4,56.0,52.7,27.4,47.8,57.3,47.3,15.6,42.8,36.4,0
2025-26,regular-season,-,33,100,42.0,90.5,46.4,54.2,57.0,27.8,51.6,53.8,43.0,14.2,38.9,36.5,0
2025-26,regular-season,-,32,100,41.7,90.4,46.1,53.4,60.0,28.6,54.2,52.7,40.0,13.1,36.2,36.3,0
2025-26,regular-season,-,34,100,40.4,90.3,44.7,52.3,54.8,26.5,49.4,53.7,45.2,13.8,40.9,33.8,0
2025-26,regular-season,-,33,100,41.6,90.3,46.1,53.8,56.6,27.7,51.1,54.2,43.4,13.9,39.2,35.5,0
2025-26,regular-season,-,31,100,44.5,90.1,49.4,56.1,66.7,32.5,60.1,54.1,33.3,12.0,30.0,40.0,0
2025-26,regular-season,-,33,100,43.1,89.9,47.9,54.0,65.0,32.1,58.5,54.9,35.0,10.9,31.4,34.8,0
2025-26,regular-season,-,34,100,39.1,89.7,43.5,50.3,59.0,26.9,53.0,50.8,41.0,12.2,36.7,33.1,0
2025-26,regular-season,-,35,100,42.4,89.7,47.2,53.8,62.3,30.5,55.9,54.7,37.7,11.8,33.8,35.0,0
2025-26,regular-season,-,33,100,40.9,89.6,45.6,54.0,54.2,25.9,48.5,53.4,45.8,15.0,41.1,36.5,0
2025-26,regular-season,-,34,100,44.2,89.6,49.4,57.0,58.6,30.6,52.5,58.4,41.4,13.6,37.1,36.7,0
2025-26,regular-season,-,34,100,41.3,89.5,46.1,52.1,65.7,30.6,58.8,52.1,34.3,10.7,30.7,34.8,0
2025-26,regular-season,-,35,100,41.9,89.3,46.9,52.8,64.1,31.1,57.3,54.4,35.9,10.7,32.1,33.4,0
2025-26,regular-season,-,34,100,41.5,89.0,46.6,52.8,63.3,30.5,56.3,54.1,36.7,11.0,32.7,33.6,0
2025-26,regular-season,-,33,100,42.9,88.8,48.3,55.8,58.3,29.6,51.7,57.2,41.7,13.3,37.0,35.8,0
2025-26,regular-season,-,34,100,42.2,88.5,47.6,55.5,57.1,28.2,50.5,55.8,42.9,14.0,38.0,36.8,0
2025-26,regular-season,-,34,100,40.3,88.2,45.6,54.7,50.3,24.4,44.4,54.9,49.7,15.9,43.9,36.3,0
2025-26,regular-season,-,33,100,45.1,88.2,51.1,59.0,60.8,31.1,53.6,58.1,39.2,13.9,34.5,40.3,0
2025-26,regular-season,-,33,100,41.5,85.2,48.7,57.5,56.3,26.7,48.0,55.5,43.7,14.9,37.2,40.0,0
2025-26,regular-season,-,31,100,38.0,84.5,45.0,53.4,51.6,23.8,43.6,54.6,48.4,14.2,40.9,34.7,0
2025-26,regular-season,-,33,100,39.2,83.1,47.2,55.2,56.1,26.0,46.6,55.8,43.9,13.2,36.4,36.4,0
2025-26,regular-season,-,31,100,41.3,83.0,49.8,56.8,59.2,29.7,49.1,60.4,40.8,11.7,33.8,34.4,0
