SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Jaime Jaquez Jr.,1631170,33,1.1,6.6,0.63,0.7,0.2,0.3,60.0,60.0,20.0,57.1,8.6,5.7,31.4,63.4
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Jalen Duren,1631105,29,1.4,8.8,0.55,0.8,0.2,0.2,83.3,83.3,22.5,62.5,0.0,0.0,32.5,55.4
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Miles Bridges,1628970,36,0.8,4.2,0.75,0.6,0.1,0.3,33.3,41.7,21.4,35.7,0.0,0.0,35.7,80.4
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jaren Jackson Jr.,1628991,34,1.0,5.4,0.62,0.6,0.1,0.1,60.0,60.0,29.4,55.9,0.0,0.0,38.2,61.6
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Cade Cunningham,1630595,31,1.1,4.3,0.60,0.7,0.0,0.1,0.0,0.0,34.3,54.3,5.7,0.0,34.3,60.7
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Nic Claxton,1629651,32,1.3,11.3,0.49,0.7,0.1,0.3,50.0,50.0,27.9,55.8,4.7,2.3,32.6,45.7
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Duncan Robinson,1629130,33,0.4,3.6,1.67,0.6,0.1,0.1,100,150.0,58.3,16.7,0.0,0.0,83.3,100
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,James Harden,201935,33,0.9,3.9,0.65,0.6,0.1,0.1,66.7,83.3,25.8,64.5,3.2,0.0,32.3,65.6
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Victor Wembanyama,1641705,24,0.9,4.1,0.86,0.8,0.0,0.1,0.0,0.0,54.5,31.8,9.1,0.0,54.5,88.0
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Immanuel Quickley,1630193,38,0.7,4.3,0.70,0.5,0.2,0.2,75.0,75.0,18.5,55.6,11.1,3.7,37.0,74.6
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Deni Avdija,1630166,37,0.8,3.0,0.68,0.5,0.1,0.2,37.5,43.8,28.6,42.9,3.6,0.0,35.7,70.3
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Kawhi Leonard,202695,27,0.6,2.6,1.06,0.7,0.1,0.1,66.7,66.7,47.1,35.3,11.8,0.0,58.8,96.0
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jaylen Wells,1642377,36,0.5,4.2,0.95,0.5,0.1,0.2,66.7,75.0,36.8,36.8,5.3,5.3,47.4,92.8
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jaylon Tyson,1642281,34,0.7,6.3,0.72,0.5,0.1,0.2,62.5,62.5,24.0,52.0,8.0,8.0,36.0,76.1
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,De'Aaron Fox,1628368,26,1.0,5.1,0.69,0.7,0.1,0.2,40.0,40.0,26.9,53.8,0.0,0.0,34.6,73.0
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Michael Porter Jr.,1629008,28,0.9,4.1,0.69,0.6,0.2,0.4,45.5,50.0,15.4,42.3,3.8,0.0,34.6,73.0
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Desmond Bane,1630217,35,1.0,5.4,0.51,0.5,0.0,0.3,0.0,0.0,28.6,42.9,2.9,0.0,28.6,50.0
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Karl-Anthony Towns,1626157,31,1.2,5.8,0.50,0.6,0.1,0.2,50.0,50.0,22.2,63.9,8.3,2.8,27.8,47.7
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Onyeka Okongwu,1630168,38,1.3,8.5,0.36,0.5,0.1,0.1,60.0,60.0,16.0,74.0,0.0,0.0,22.0,31.9
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Payton Pritchard,1630202,37,0.4,2.3,1.21,0.5,0.0,0.1,25.0,37.5,50.0,21.4,0.0,0.0,57.1,98.6
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,De'Andre Hunter,1629631,34,0.6,4.0,0.90,0.5,0.0,0.1,50.0,50.0,42.1,47.4,0.0,0.0,47.4,89.9
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Anthony Davis,203076,19,1.2,5.5,0.77,0.9,0.3,0.3,83.3,83.3,22.7,50.0,0.0,0.0,40.9,82.6
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Pascal Siakam,1627783,36,0.7,2.9,0.71,0.5,0.1,0.2,83.3,83.3,20.8,54.2,4.2,0.0,41.7,75.0
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Marcus Smart,203935,26,1.0,9.7,0.68,0.7,0.0,0.0,0.0,0.0,36.0,60.0,4.0,0.0,36.0,70.7
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Daniel Gafford,1629655,24,1.1,15.4,0.63,0.7,0.3,0.3,100,100,14.8,70.4,7.4,7.4,29.6,63.8
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Cooper Flagg,1642843,35,0.8,4.2,0.59,0.5,0.1,0.3,30.0,30.0,20.7,44.8,0.0,0.0,31.0,60.1
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Giannis Antetokounmpo,203507,24,1.3,5.0,0.57,0.7,0.1,0.3,50.0,50.0,30.0,50.0,6.7,0.0,33.3,58.9
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Kon Knueppel,1642851,36,0.8,4.9,0.57,0.5,0.1,0.2,37.5,56.3,13.3,60.0,0.0,0.0,23.3,58.9
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Evan Mobley,1630596,33,0.9,5.4,0.55,0.5,0.1,0.2,37.5,43.8,22.6,54.8,6.5,3.2,29.0,55.1
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Austin Reaves,1630559,19,1.7,7.2,0.53,0.9,0.0,0.2,0.0,0.0,31.3,56.3,3.1,0.0,31.3,53.3
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Ryan Rollins,1631157,37,1.0,5.9,0.47,0.5,0.1,0.2,42.9,42.9,22.2,58.3,2.8,0.0,27.8,44.6
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Day'Ron Sharpe,1630549,33,1.4,18.0,0.36,0.5,0.1,0.2,50.0,50.0,23.4,68.1,4.3,4.3,23.4,32.2
