SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2016-17,All+Star,N. Ogwumike - B. Davis - A. Mackie - H. Minhaj - C. Parker,WST,1,4,118.2,36.4,81.8,66.7,2.00,25.0,-,63.6,-,0.2,65.0,65.0,137.74,125.0,0,0
2016-17,All+Star,T. Cavanagh - B. Davis - A. Grammer - J. Jinfu - R. Miller,WST,1,4,44.4,100.0,-55.6,0.0,0.00,0.0,-,-,-,0.3,33.3,33.3,114.19,0.0,0,0
2016-17,All+Star,A. Abrines - D. Exum - D. Saric - K. Porzingis - W. Hernangomez,WLD,1,3,116.7,100.0,16.7,0.0,0.00,0.0,-,-,-,0.0,70.0,62.5,100.25,70.0,0,0
2016-17,All+Star,A. Abrines - K. Porzingis - T. Lyles - D. Sabonis - J. Murray,WLD,1,3,100.0,171.4,-71.4,100,1.50,30.0,-,-,-,0.3,70.0,70.0,115.20,30.4,0,0
2016-17,All+Star,B. Armstrong - W. Butler - M. Lasry - C. McLaughlin - L. Whalen,EST,1,3,42.9,100.0,-57.1,100,0.00,12.5,-,-,-,0.0,14.3,19.0,134.40,0.0,0,0
2016-17,All+Star,C. Anthony - J. Wall - P. George - K. Walker - I. Thomas,EST,1,3,90.0,155.6,-65.6,50.0,2.00,16.7,-,-,-,0.1,56.3,56.3,147.89,24.6,0,0
2016-17,All+Star,J. Simmons - K. Towns - F. Kaminsky - D. Booker - M. Brogdon,USA,1,3,140.0,154.5,-14.5,40.0,0.67,16.7,-,-,-,0.3,116.7,116.7,154.29,42.4,0,0
2016-17,All+Star,K. Durant - D. Jordan - S. Curry - K. Thompson - D. Green,WST,1,3,157.1,100.0,57.1,60.0,0.00,27.3,-,-,-,0.0,68.8,68.8,125.58,67.5,0,0
2016-17,All+Star,K. Porzingis - T. Lyles - W. Hernangomez - B. Hield - J. Murray,WLD,1,3,175.0,133.3,41.7,83.3,0.00,35.7,-,-,-,0.0,77.8,75.0,138.31,61.7,0,0
2016-17,All+Star,N. Ogwumike - B. Davis - A. Grammer - R. Miller - C. Parker,WST,1,3,33.3,114.3,-81.0,0.0,0.00,0.0,-,-,-,0.3,14.3,14.3,114.15,-58.3,0,0
2016-17,All+Star,N. Ogwumike - M. Cuban - B. Davis - R. Miller - C. Parker,WST,1,3,80.0,140.0,-60.0,50.0,1.00,16.7,-,-,-,0.2,50.0,50.0,82.76,28.6,0,0
2016-17,All+Star,P. Millsap - J. Wall - P. George - I. Thomas - G. Antetokounmpo,EST,1,3,100.0,157.1,-57.1,0.0,0.00,0.0,-,-,-,0.0,50.0,50.0,125.58,32.5,0,0
2016-17,All+Star,W. Butler - D. Rachel - M. Lasry - P. Rosenberg - K. Wu,EST,1,3,100.0,114.3,-14.3,0.0,0.00,0.0,-,-,-,0.3,100,70.6,97.86,37.5,0,0
