SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,MIN,W,L,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
2016-17,Regular+Season,DAL,Dallas Mavericks,81,241.2,32,49,7.4,3.7,30.8,13.9,20.7,67.0
2016-17,Regular+Season,DEN,Denver Nuggets,81,240.9,39,42,6.9,3.9,34.6,15.5,24.0,64.5
2016-17,Regular+Season,DET,Detroit Pistons,82,241.5,37,45,7.0,3.8,34.6,12.8,20.6,62.2
2016-17,Regular+Season,GSW,Golden State Warriors,82,241.2,67,15,9.6,6.8,35.0,16.2,26.7,60.7
2016-17,Regular+Season,HOU,Houston Rockets,82,241.2,55,27,8.2,4.3,33.5,18.0,26.6,67.8
2016-17,Regular+Season,IND,Indiana Pacers,81,242.2,42,39,8.1,5.0,33.1,13.6,22.0,61.7
2016-17,Regular+Season,LAC,LA Clippers,82,240.9,51,31,7.5,4.2,34.0,14.3,21.4,66.7
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,240.3,26,56,8.2,3.9,32.1,16.7,24.7,67.7
2016-17,Regular+Season,MEM,Memphis Grizzlies,82,242.7,43,39,8.0,4.2,32.0,12.8,20.7,61.9
2016-17,Regular+Season,MIA,Miami Heat,82,241.2,41,41,7.2,5.7,33.0,14.4,24.3,59.0
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,241.2,42,40,8.1,5.3,31.6,15.4,24.6,62.8
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,241.5,31,51,8.0,4.5,31.0,16.6,25.4,65.5
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,242.7,34,48,7.8,5.5,35.1,16.0,24.5,65.3
2016-17,Regular+Season,NYK,New York Knicks,82,242.1,31,51,7.1,5.5,33.2,16.5,26.7,61.7
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,241.5,47,35,7.9,5.0,34.4,16.0,26.2,61.2
2016-17,Regular+Season,ORL,Orlando Magic,82,241.5,29,53,7.1,4.8,33.3,16.0,25.0,64.1
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,241.8,28,54,8.4,5.1,33.0,15.9,25.5,62.1
2016-17,Regular+Season,PHX,Phoenix Suns,80,241.9,23,57,8.3,4.9,33.1,15.3,24.6,62.2
2016-17,Regular+Season,POR,Portland Trail Blazers,82,243.1,41,41,7.0,5.0,33.5,13.2,22.7,58.1
2016-17,Regular+Season,SAC,Sacramento Kings,82,242.4,32,50,7.6,4.0,32.3,14.4,22.3,64.5
2016-17,Regular+Season,SAS,San Antonio Spurs,81,241.5,61,20,8.0,6.0,34.0,13.6,23.1,59.0
2016-17,Regular+Season,TOR,Toronto Raptors,81,241.2,50,31,8.2,4.8,32.6,14.5,23.3,62.2
2016-17,Regular+Season,UTA,Utah Jazz,82,240.9,51,31,6.7,5.0,33.8,13.4,23.1,58.1
2016-17,Regular+Season,WAS,Washington Wizards,82,242.1,49,33,8.5,4.1,32.6,15.5,24.3,63.6
2016-17,Playoffs,ATL,Atlanta Hawks,6,240.0,2,4,6.0,3.3,33.0,12.7,20.7,61.3
2016-17,Playoffs,BOS,Boston Celtics,18,241.4,9,9,7.7,4.1,28.5,16.2,24.5,66.0
2016-17,Playoffs,CHI,Chicago Bulls,6,240.0,2,4,7.2,5.2,34.2,17.8,26.3,67.7
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,240.0,13,5,7.4,4.7,32.9,14.6,23.1,63.2
2016-17,Playoffs,GSW,Golden State Warriors,17,240.0,16,1,8.7,6.1,36.5,15.8,27.1,58.3
2016-17,Playoffs,HOU,Houston Rockets,11,242.3,6,5,7.7,4.6,33.0,17.9,27.8,64.4
2016-17,Playoffs,IND,Indiana Pacers,4,240.0,0,4,8.0,3.8,30.3,12.0,18.8,64.0
2016-17,Playoffs,LAC,LA Clippers,7,240.0,3,4,6.3,2.4,30.0,10.9,14.7,73.8
2016-17,Playoffs,MEM,Memphis Grizzlies,6,244.2,2,4,5.2,2.5,27.8,11.0,16.3,67.3
2016-17,Playoffs,MIL,Milwaukee Bucks,6,240.0,2,4,8.2,5.0,29.8,13.2,23.8,55.2
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,240.0,1,4,8.4,8.0,31.4,19.4,29.8,65.1
2016-17,Playoffs,POR,Portland Trail Blazers,4,240.0,0,4,7.3,4.8,34.0,16.0,23.3,68.8
2016-17,Playoffs,SAS,San Antonio Spurs,16,243.1,8,8,7.8,4.7,31.7,13.7,22.6,60.5
2016-17,Playoffs,TOR,Toronto Raptors,10,240.0,4,6,7.4,4.4,32.5,11.6,19.4,59.8
2016-17,Playoffs,UTA,Utah Jazz,11,240.0,4,7,7.4,3.2,32.4,14.5,20.0,72.7
2016-17,Playoffs,WAS,Washington Wizards,13,241.9,7,6,7.9,6.6,31.8,15.7,24.5,63.9
2017-18,Regular+Season,ATL,Atlanta Hawks,81,240.3,24,57,7.8,4.3,32.9,15.5,23.9,64.8
2017-18,Regular+Season,BOS,Boston Celtics,79,241.6,52,27,7.3,4.6,35.1,15.3,23.7,64.6
2017-18,Regular+Season,BKN,Brooklyn Nets,80,242.2,27,53,6.3,4.8,34.7,15.4,25.0,61.5
2017-18,Regular+Season,CHA,Charlotte Hornets,82,241.2,36,46,6.8,4.5,35.4,14.7,22.2,66.5
2017-18,Regular+Season,CHI,Chicago Bulls,82,242.1,27,55,7.6,3.5,35.0,16.3,24.5,66.6
2017-18,Regular+Season,CLE,Cleveland Cavaliers,82,240.6,50,32,7.1,3.8,33.7,17.2,25.7,66.8
2017-18,Regular+Season,DAL,Dallas Mavericks,82,241.5,24,58,7.0,3.8,33.1,14.4,21.4,67.3
2017-18,Regular+Season,DEN,Denver Nuggets,82,242.4,46,36,7.6,4.9,33.5,16.6,25.6,64.7
2017-18,Regular+Season,DET,Detroit Pistons,82,241.5,39,43,7.7,3.9,33.6,15.1,23.3,64.8
2017-18,Regular+Season,GSW,Golden State Warriors,82,240.6,58,24,8.0,7.5,35.1,16.9,27.1,62.4
2017-18,Regular+Season,HOU,Houston Rockets,82,240.9,65,17,8.5,4.8,34.5,17.5,26.4,66.3
2017-18,Regular+Season,IND,Indiana Pacers,82,240.9,48,34,8.8,4.1,32.7,16.0,24.1,66.3
2017-18,Regular+Season,LAC,LA Clippers,82,240.3,42,40,7.7,4.5,33.7,16.0,24.4,65.6
2017-18,Regular+Season,LAL,Los Angeles Lakers,82,242.7,35,47,7.7,4.7,35.7,17.3,26.7,64.7
2017-18,Regular+Season,MEM,Memphis Grizzlies,82,240.3,22,60,7.5,4.8,31.0,15.6,23.2,67.3
2017-18,Regular+Season,MIA,Miami Heat,81,243.1,43,38,7.6,5.3,34.1,15.3,24.2,63.2
2017-18,Regular+Season,MIL,Milwaukee Bucks,81,241.9,44,37,8.8,5.4,31.4,17.4,27.5,63.5
2017-18,Regular+Season,MIN,Minnesota Timberwolves,82,241.5,47,35,8.4,4.2,31.6,17.2,25.5,67.5
2017-18,Regular+Season,NOP,New Orleans Pelicans,82,243.4,48,34,8.0,5.9,35.6,17.0,26.4,64.3
2017-18,Regular+Season,NYK,New York Knicks,81,241.9,28,53,6.7,5.2,33.6,15.3,24.3,62.9
2017-18,Regular+Season,OKC,Oklahoma City Thunder,80,241.9,48,32,9.1,5.0,32.6,16.0,24.5,65.4
2017-18,Regular+Season,ORL,Orlando Magic,82,240.6,25,57,7.6,4.9,32.8,17.4,27.0,64.3
2017-18,Regular+Season,PHI,Philadelphia 76ers,81,241.2,52,29,8.3,5.1,36.6,14.6,23.9,60.9
2017-18,Regular+Season,PHX,Phoenix Suns,82,240.3,21,61,6.9,4.5,33.9,17.0,26.4,64.2
2017-18,Regular+Season,POR,Portland Trail Blazers,82,240.9,49,33,7.0,5.2,35.3,13.5,22.9,58.8
2017-18,Regular+Season,SAC,Sacramento Kings,82,240.9,27,55,7.8,4.1,31.4,15.6,23.7,65.9
2017-18,Regular+Season,SAS,San Antonio Spurs,82,240.6,47,35,7.7,5.6,33.9,14.9,24.0,61.9
2017-18,Regular+Season,TOR,Toronto Raptors,82,241.8,59,23,7.6,6.1,34.2,15.7,26.0,60.5
2017-18,Regular+Season,UTA,Utah Jazz,82,240.9,48,34,8.6,5.1,34.2,14.2,23.0,61.8
2017-18,Regular+Season,WAS,Washington Wizards,82,242.1,43,39,7.9,4.3,33.1,16.8,25.3,66.6
2017-18,Playoffs,BOS,Boston Celtics,19,242.6,11,8,6.8,4.1,32.8,14.5,21.5,67.2
2017-18,Playoffs,CLE,Cleveland Cavaliers,22,242.3,12,10,6.0,4.4,31.6,17.3,26.7,64.9
2017-18,Playoffs,GSW,Golden State Warriors,21,241.2,16,5,7.9,5.8,35.9,15.4,25.4,60.5
2017-18,Playoffs,HOU,Houston Rockets,17,240.0,11,6,8.1,5.5,34.2,17.4,26.6,65.3
2017-18,Playoffs,IND,Indiana Pacers,7,240.0,3,4,8.1,2.7,31.9,13.6,18.1,74.8
2017-18,Playoffs,MIA,Miami Heat,5,240.0,1,4,8.8,6.4,31.4,17.4,29.8,58.4
2017-18,Playoffs,MIL,Milwaukee Bucks,7,243.6,3,4,6.6,6.7,33.0,15.3,25.6,59.8
2017-18,Playoffs,MIN,Minnesota Timberwolves,5,240.0,1,4,5.0,3.2,36.6,16.4,25.2,65.1
2017-18,Playoffs,NOP,New Orleans Pelicans,9,240.0,5,4,8.1,5.0,37.7,17.6,25.6,68.7
2017-18,Playoffs,OKC,Oklahoma City Thunder,6,240.0,2,4,8.8,4.2,34.7,17.0,27.7,61.4
2017-18,Playoffs,PHI,Philadelphia 76ers,10,242.5,5,5,7.8,4.1,36.1,14.0,23.5,59.6
2017-18,Playoffs,POR,Portland Trail Blazers,4,240.0,0,4,8.3,3.8,32.3,21.0,27.5,76.4
2017-18,Playoffs,SAS,San Antonio Spurs,5,240.0,1,4,7.6,3.0,29.2,12.6,19.8,63.6
2017-18,Playoffs,TOR,Toronto Raptors,10,242.5,4,6,5.7,6.1,30.7,16.8,25.4,66.1
2017-18,Playoffs,UTA,Utah Jazz,11,240.0,5,6,7.5,5.0,35.6,14.0,24.1,58.1
2017-18,Playoffs,WAS,Washington Wizards,6,240.0,2,4,7.8,5.2,31.5,16.7,25.8,64.5
2018-19,Regular+Season,ATL,Atlanta Hawks,82,242.1,29,53,8.2,5.1,34.5,16.6,25.4,65.4
2018-19,Regular+Season,BOS,Boston Celtics,82,241.2,49,33,8.6,5.3,34.7,15.7,24.5,63.8
2018-19,Regular+Season,BKN,Brooklyn Nets,82,243.7,42,40,6.6,4.1,35.6,15.8,25.5,62.0
2018-19,Regular+Season,CHA,Charlotte Hornets,82,241.8,39,43,7.2,4.9,33.9,17.3,26.2,66.2
2018-19,Regular+Season,CHI,Chicago Bulls,81,242.8,22,59,7.3,4.3,34.2,16.8,25.5,65.7
2018-19,Regular+Season,CLE,Cleveland Cavaliers,82,240.9,19,63,6.5,2.4,31.9,17.8,25.7,69.4
2018-19,Regular+Season,DAL,Dallas Mavericks,82,241.2,33,49,6.5,4.3,35.2,16.2,24.6,65.9
2018-19,Regular+Season,DEN,Denver Nuggets,82,240.6,54,28,7.7,4.4,34.5,16.4,25.5,64.3
2018-19,Regular+Season,DET,Detroit Pistons,82,242.1,41,41,6.9,4.0,33.6,16.6,25.3,65.6
2018-19,Regular+Season,GSW,Golden State Warriors,82,241.5,57,25,7.6,6.4,36.5,15.7,24.8,63.3
2018-19,Regular+Season,HOU,Houston Rockets,82,241.8,53,29,8.5,4.9,31.9,17.4,26.3,66.3
2018-19,Regular+Season,IND,Indiana Pacers,82,240.3,48,34,8.7,4.9,33.7,15.9,25.2,63.2
2018-19,Regular+Season,LAC,LA Clippers,82,241.8,48,34,6.8,4.7,35.8,17.4,26.9,64.7
2018-19,Regular+Season,LAL,Los Angeles Lakers,82,241.2,37,45,7.5,5.4,36.4,17.2,27.6,62.3
2018-19,Regular+Season,MEM,Memphis Grizzlies,82,242.4,33,49,8.3,5.5,33.0,14.8,23.5,62.9
2018-19,Regular+Season,MIA,Miami Heat,82,240.6,39,43,7.6,5.5,35.1,13.7,22.7,60.1
2018-19,Regular+Season,MIL,Milwaukee Bucks,82,241.2,60,22,7.5,5.9,40.4,12.5,21.1,59.2
2018-19,Regular+Season,MIN,Minnesota Timberwolves,82,241.8,36,46,8.3,5.0,33.5,17.4,26.9,64.6
2018-19,Regular+Season,NOP,New Orleans Pelicans,82,240.9,33,49,7.4,5.4,36.2,17.7,27.0,65.6
2018-19,Regular+Season,NYK,New York Knicks,81,241.2,17,64,6.8,5.2,34.3,17.3,26.9,64.4
2018-19,Regular+Season,OKC,Oklahoma City Thunder,81,242.2,48,33,9.3,5.2,35.5,16.7,26.6,62.9
2018-19,Regular+Season,ORL,Orlando Magic,80,241.3,40,40,6.6,5.4,35.3,15.4,24.4,63.0
2018-19,Regular+Season,PHI,Philadelphia 76ers,81,241.5,51,30,7.4,5.2,36.9,16.9,27.2,62.0
2018-19,Regular+Season,PHX,Phoenix Suns,82,242.4,19,63,9.0,5.1,31.3,18.7,28.6,65.6
