SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,MIN,W,L,STL,BLK,DREB,DEF_RIM_FGM,DEF_RIM_FGA,DEF_RIM_FG_PCT
2019-20,PlayIn,MEM,Memphis Grizzlies,1,240.0,0,1,5.0,6.0,37.0,6.0,13.0,46.2
2019-20,PlayIn,POR,Portland Trail Blazers,1,240.0,1,0,12.0,7.0,30.0,18.0,30.0,60.0
2019-20,IST,NOP,New Orleans Pelicans,1,265.0,0,1,4.0,9.0,37.0,22.0,42.0,52.4
2019-20,IST,TOR,Toronto Raptors,1,265.0,1,0,7.0,3.0,41.0,14.0,26.0,53.8
2020-21,Regular+Season,ATL,Atlanta Hawks,72,241.7,41,31,7.0,4.8,35.1,17.5,27.3,64.2
2020-21,Regular+Season,BOS,Boston Celtics,72,241.4,36,36,7.7,5.3,33.6,15.8,24.9,63.6
2020-21,Regular+Season,BKN,Brooklyn Nets,72,241.7,48,24,6.7,5.3,35.5,15.8,24.4,64.7
2020-21,Regular+Season,CHA,Charlotte Hornets,72,241.0,33,39,7.8,4.8,33.2,17.6,26.9,65.4
2020-21,Regular+Season,CHI,Chicago Bulls,72,241.4,31,41,6.7,4.2,35.3,16.9,26.7,63.4
2020-21,Regular+Season,CLE,Cleveland Cavaliers,72,242.1,22,50,7.8,4.5,32.3,18.3,29.0,63.0
2020-21,Regular+Season,DAL,Dallas Mavericks,72,240.3,42,30,6.3,4.3,34.2,15.5,24.3,64.0
2020-21,Regular+Season,DEN,Denver Nuggets,72,242.8,47,25,8.1,4.5,33.9,17.0,25.4,66.9
2020-21,Regular+Season,DET,Detroit Pistons,72,242.1,20,52,7.4,5.2,33.1,17.8,27.8,63.7
2020-21,Regular+Season,GSW,Golden State Warriors,72,240.3,39,33,8.2,4.8,35.1,16.4,26.7,61.6
2020-21,Regular+Season,HOU,Houston Rockets,72,240.3,17,55,7.6,5.0,33.3,17.5,27.1,64.7
2020-21,Regular+Season,IND,Indiana Pacers,72,242.4,34,38,8.5,6.4,33.7,19.8,32.4,61.1
2020-21,Regular+Season,LAC,LA Clippers,72,240.0,47,25,7.1,4.1,34.7,15.5,24.1,64.2
2020-21,Regular+Season,LAL,Los Angeles Lakers,72,242.4,42,30,7.8,5.4,34.6,17.0,26.2,65.0
2020-21,Regular+Season,MEM,Memphis Grizzlies,72,241.7,38,34,9.1,5.1,35.3,16.0,25.4,62.7
2020-21,Regular+Season,MIA,Miami Heat,72,241.4,40,32,7.9,4.0,33.5,15.1,23.5,64.2
2020-21,Regular+Season,MIL,Milwaukee Bucks,72,240.7,46,26,8.1,4.6,37.8,14.2,23.9,59.4
2020-21,Regular+Season,MIN,Minnesota Timberwolves,72,241.7,23,49,8.8,5.5,33.0,18.5,29.1,63.7
2020-21,Regular+Season,NOP,New Orleans Pelicans,72,242.1,31,41,7.6,4.4,35.7,16.3,24.4,66.9
2020-21,Regular+Season,NYK,New York Knicks,72,242.1,41,31,7.0,5.1,35.5,15.6,25.6,60.8
2020-21,Regular+Season,OKC,Oklahoma City Thunder,72,241.0,22,50,7.0,4.4,35.7,17.9,27.2,65.6
2020-21,Regular+Season,ORL,Orlando Magic,72,240.7,21,51,6.9,4.4,35.1,17.3,26.7,64.9
2020-21,Regular+Season,PHI,Philadelphia 76ers,72,242.1,49,23,9.1,6.2,35.0,16.5,25.8,63.9
2020-21,Regular+Season,PHX,Phoenix Suns,72,242.8,51,21,7.2,4.3,34.2,16.4,24.9,65.8
2020-21,Regular+Season,POR,Portland Trail Blazers,72,240.3,42,30,6.9,5.0,33.9,17.0,25.6,66.2
2020-21,Regular+Season,SAC,Sacramento Kings,72,240.3,31,41,7.5,5.0,32.0,19.1,29.3,65.1
2020-21,Regular+Season,SAS,San Antonio Spurs,72,242.8,33,39,7.0,5.1,34.6,17.9,29.7,60.3
2020-21,Regular+Season,TOR,Toronto Raptors,72,240.3,27,45,8.6,5.4,32.1,15.9,24.8,64.0
2020-21,Regular+Season,UTA,Utah Jazz,72,241.0,52,20,6.6,5.2,37.6,15.8,25.8,61.4
2020-21,Regular+Season,WAS,Washington Wizards,72,241.7,34,38,7.3,4.1,35.5,16.1,26.2,61.5
2020-21,Playoffs,ATL,Atlanta Hawks,18,240.0,10,8,6.7,4.4,33.3,15.8,23.8,66.6
2020-21,Playoffs,BOS,Boston Celtics,5,240.0,1,4,6.4,7.0,28.8,15.2,24.6,61.8
2020-21,Playoffs,BKN,Brooklyn Nets,12,242.1,7,5,7.1,4.8,34.3,15.4,24.3,63.6
2020-21,Playoffs,DAL,Dallas Mavericks,7,240.0,3,4,5.6,2.1,30.3,14.3,21.6,66.2
2020-21,Playoffs,DEN,Denver Nuggets,10,245.0,4,6,6.1,4.3,31.9,14.2,21.3,66.7
2020-21,Playoffs,LAC,LA Clippers,19,240.0,10,9,6.8,4.3,32.4,12.9,19.4,66.8
2020-21,Playoffs,LAL,Los Angeles Lakers,6,240.0,2,4,6.7,4.0,32.7,13.3,19.0,70.2
2020-21,Playoffs,MEM,Memphis Grizzlies,5,240.0,1,4,8.0,4.0,30.0,15.4,21.8,70.6
2020-21,Playoffs,MIA,Miami Heat,4,246.2,0,4,7.3,3.5,33.3,17.3,24.5,70.4
2020-21,Playoffs,MIL,Milwaukee Bucks,23,242.2,16,7,7.8,4.2,36.1,11.5,18.9,60.9
2020-21,Playoffs,NYK,New York Knicks,5,240.0,1,4,5.8,2.8,34.6,10.6,17.0,62.4
2020-21,Playoffs,PHI,Philadelphia 76ers,12,240.0,7,5,8.0,6.2,35.7,15.4,24.0,64.2
2020-21,Playoffs,PHX,Phoenix Suns,22,240.0,14,8,6.5,4.2,34.7,15.7,24.2,65.0
2020-21,Playoffs,POR,Portland Trail Blazers,6,248.3,2,4,5.2,5.5,32.3,18.3,28.2,65.1
2020-21,Playoffs,UTA,Utah Jazz,11,240.0,6,5,5.2,4.1,33.0,14.7,22.7,64.8
2020-21,Playoffs,WAS,Washington Wizards,5,240.0,1,4,4.8,4.8,32.8,17.8,26.6,66.9
2020-21,PlayIn,BOS,Boston Celtics,1,240.0,1,0,8.0,5.0,35.0,18.0,29.0,62.1
2020-21,PlayIn,CHA,Charlotte Hornets,1,240.0,0,1,8.0,6.0,29.0,31.0,48.0,64.6
2020-21,PlayIn,GSW,Golden State Warriors,2,252.5,0,2,7.5,7.5,37.0,17.0,28.5,59.6
2020-21,PlayIn,IND,Indiana Pacers,2,240.0,1,1,8.0,4.5,36.5,27.0,39.0,69.2
2020-21,PlayIn,LAL,Los Angeles Lakers,1,240.0,1,0,15.0,7.0,36.0,14.0,24.0,58.3
2020-21,PlayIn,MEM,Memphis Grizzlies,2,252.5,2,0,9.0,8.5,38.0,15.0,28.0,53.6
2020-21,PlayIn,SAS,San Antonio Spurs,1,240.0,0,1,5.0,7.0,40.0,18.0,28.0,64.3
2020-21,PlayIn,WAS,Washington Wizards,2,240.0,1,1,6.0,9.0,40.5,15.0,29.5,50.8
2021-22,Regular+Season,ATL,Atlanta Hawks,82,240.3,43,39,7.2,4.2,33.9,17.1,25.3,67.5
2021-22,Regular+Season,BOS,Boston Celtics,81,242.8,51,30,7.2,5.8,35.6,14.6,23.8,61.5
2021-22,Regular+Season,BKN,Brooklyn Nets,82,240.9,44,38,7.1,5.5,34.1,16.8,26.1,64.4
2021-22,Regular+Season,CHA,Charlotte Hornets,81,242.5,43,38,8.6,4.9,33.9,17.6,26.7,65.8
2021-22,Regular+Season,CHI,Chicago Bulls,82,240.6,46,36,7.1,4.1,33.7,17.7,26.8,66.1
2021-22,Regular+Season,CLE,Cleveland Cavaliers,82,240.6,44,38,7.1,4.2,34.0,16.9,27.1,62.1
2021-22,Regular+Season,DAL,Dallas Mavericks,82,240.9,52,30,6.7,4.0,33.8,16.3,25.0,65.4
2021-22,Regular+Season,DEN,Denver Nuggets,82,241.5,48,34,7.2,3.7,34.9,17.2,25.7,66.7
2021-22,Regular+Season,DET,Detroit Pistons,81,241.2,23,58,7.7,4.8,32.0,17.9,27.6,64.8
2021-22,Regular+Season,GSW,Golden State Warriors,81,240.6,53,28,8.7,4.5,35.7,15.5,24.3,63.9
2021-22,Regular+Season,HOU,Houston Rockets,82,240.9,20,62,7.3,4.7,32.4,19.4,28.8,67.4
2021-22,Regular+Season,IND,Indiana Pacers,82,242.4,25,57,7.1,5.6,32.6,19.0,28.9,65.8
2021-22,Regular+Season,LAC,LA Clippers,81,241.2,42,39,7.4,4.9,34.8,17.0,27.5,61.8
2021-22,Regular+Season,LAL,Los Angeles Lakers,82,243.7,33,49,7.6,5.2,34.5,18.5,27.3,67.8
2021-22,Regular+Season,MEM,Memphis Grizzlies,81,241.2,55,26,9.8,6.5,34.9,17.2,27.5,62.7
2021-22,Regular+Season,MIA,Miami Heat,82,242.1,53,29,7.4,3.2,33.9,14.3,21.7,66.1
2021-22,Regular+Season,MIL,Milwaukee Bucks,82,240.9,51,31,7.6,4.0,36.5,15.1,23.5,64.5
2021-22,Regular+Season,MIN,Minnesota Timberwolves,82,241.2,46,36,8.8,5.6,32.9,17.3,25.8,66.9
2021-22,Regular+Season,NOP,New Orleans Pelicans,81,240.9,35,46,8.3,4.0,33.2,15.1,22.1,68.3
2021-22,Regular+Season,NYK,New York Knicks,81,241.2,36,45,6.9,4.9,34.7,15.4,23.6,65.4
2021-22,Regular+Season,OKC,Oklahoma City Thunder,82,241.5,24,58,7.6,4.6,35.2,16.5,26.0,63.2
2021-22,Regular+Season,ORL,Orlando Magic,82,241.2,22,60,6.8,4.5,35.2,15.9,24.9,63.9
2021-22,Regular+Season,PHI,Philadelphia 76ers,82,241.5,51,31,7.7,5.3,33.8,16.4,25.0,65.5
2021-22,Regular+Season,PHX,Phoenix Suns,81,240.6,63,18,8.6,4.3,35.4,15.8,25.0,63.2
2021-22,Regular+Season,POR,Portland Trail Blazers,82,240.6,27,55,8.0,4.5,32.5,17.5,25.4,68.7
2021-22,Regular+Season,SAC,Sacramento Kings,81,241.5,29,52,7.2,4.5,33.3,18.6,28.1,66.1
2021-22,Regular+Season,SAS,San Antonio Spurs,82,241.5,34,48,7.6,4.9,34.3,18.2,30.0,60.7
2021-22,Regular+Season,TOR,Toronto Raptors,82,242.1,48,34,9.0,4.6,32.0,16.6,26.1,63.8
2021-22,Regular+Season,UTA,Utah Jazz,82,240.6,49,33,7.2,4.9,35.6,15.4,23.9,64.4
2021-22,Regular+Season,WAS,Washington Wizards,82,241.8,35,47,6.4,5.0,34.1,16.9,26.1,64.8
2021-22,Playoffs,ATL,Atlanta Hawks,5,240.0,1,4,5.8,2.4,30.8,15.6,22.8,68.4
2021-22,Playoffs,BOS,Boston Celtics,24,240.0,14,10,6.4,6.3,33.9,14.0,22.9,61.4
2021-22,Playoffs,BKN,Brooklyn Nets,4,240.0,0,4,8.0,6.5,25.5,19.3,30.0,64.2
2021-22,Playoffs,CHI,Chicago Bulls,5,240.0,1,4,7.8,3.2,35.8,14.8,21.0,70.5
2021-22,Playoffs,DAL,Dallas Mavericks,18,240.0,9,9,7.2,2.8,30.0,15.6,23.8,65.3
2021-22,Playoffs,DEN,Denver Nuggets,5,240.0,1,4,7.0,3.4,30.6,17.2,24.0,71.7
2021-22,Playoffs,GSW,Golden State Warriors,22,240.0,16,6,7.7,5.0,34.1,13.5,21.1,63.7
2021-22,Playoffs,MEM,Memphis Grizzlies,12,240.0,6,6,9.2,6.1,33.4,17.8,28.3,62.9
2021-22,Playoffs,MIA,Miami Heat,18,240.0,11,7,8.3,3.7,31.2,13.6,19.8,68.6
2021-22,Playoffs,MIL,Milwaukee Bucks,12,240.0,7,5,6.3,4.5,40.7,10.2,17.6,57.8
2021-22,Playoffs,MIN,Minnesota Timberwolves,6,240.0,2,4,8.2,7.8,33.0,19.7,30.5,64.5
2021-22,Playoffs,NOP,New Orleans Pelicans,6,240.0,2,4,6.3,3.5,30.5,16.0,21.8,73.3
2021-22,Playoffs,PHI,Philadelphia 76ers,12,242.1,6,6,6.1,4.3,31.3,16.2,22.2,72.9
2021-22,Playoffs,PHX,Phoenix Suns,13,240.0,7,6,6.6,3.8,30.7,13.0,21.1,61.7
2021-22,Playoffs,TOR,Toronto Raptors,6,244.2,2,4,6.7,4.8,27.5,14.7,21.5,68.2
2021-22,Playoffs,UTA,Utah Jazz,6,240.0,2,4,4.0,3.7,35.5,9.7,15.2,63.7
2021-22,PlayIn,ATL,Atlanta Hawks,2,240.0,2,0,5.0,4.5,37.0,15.5,25.0,62.0
2021-22,PlayIn,BKN,Brooklyn Nets,1,240.0,1,0,9.0,9.0,33.0,23.0,40.0,57.5
2021-22,PlayIn,CHA,Charlotte Hornets,1,240.0,0,1,4.0,4.0,30.0,17.0,24.0,70.8
2021-22,PlayIn,CLE,Cleveland Cavaliers,2,240.0,0,2,8.5,3.0,29.0,18.5,25.5,72.5
2021-22,PlayIn,LAC,LA Clippers,2,240.0,0,2,6.0,4.0,32.5,15.0,25.0,60.0
2021-22,PlayIn,MIN,Minnesota Timberwolves,1,240.0,1,0,10.0,2.0,37.0,9.0,16.0,56.3
2021-22,PlayIn,NOP,New Orleans Pelicans,2,240.0,2,0,3.0,5.0,41.0,12.5,19.5,64.1
2021-22,PlayIn,SAS,San Antonio Spurs,1,240.0,0,1,4.0,3.0,26.0,20.0,29.0,69.0
2022-23,Regular+Season,ATL,Atlanta Hawks,82,242.1,41,41,7.1,4.9,33.2,19.9,30.0,66.4
2022-23,Regular+Season,BOS,Boston Celtics,82,243.7,57,25,6.4,5.2,35.6,16.6,25.5,65.2
2022-23,Regular+Season,BKN,Brooklyn Nets,82,240.6,45,37,7.1,6.2,32.3,17.7,28.3,62.8
2022-23,Regular+Season,CHA,Charlotte Hornets,82,241.8,27,55,7.7,5.2,33.5,18.1,28.6,63.2
2022-23,Regular+Season,CHI,Chicago Bulls,81,242.8,39,42,7.8,4.5,33.9,17.0,25.0,68.1
2022-23,Regular+Season,CLE,Cleveland Cavaliers,82,242.4,51,31,7.1,4.7,31.4,16.5,25.9,63.6
2022-23,Regular+Season,DAL,Dallas Mavericks,82,243.1,38,44,6.3,3.7,31.2,18.0,26.6,67.6
2022-23,Regular+Season,DEN,Denver Nuggets,82,240.9,53,29,7.5,4.5,32.9,18.8,27.2,68.9
2022-23,Regular+Season,DET,Detroit Pistons,81,241.5,17,64,7.0,3.8,31.3,19.4,28.4,68.2
2022-23,Regular+Season,GSW,Golden State Warriors,81,241.9,43,38,7.1,3.9,34.0,17.1,26.3,64.9
2022-23,Regular+Season,HOU,Houston Rockets,82,240.9,22,60,7.3,4.6,32.9,18.0,26.6,67.7
2022-23,Regular+Season,IND,Indiana Pacers,82,240.9,35,47,7.7,5.8,31.4,19.8,31.0,63.9
2022-23,Regular+Season,LAC,LA Clippers,82,241.8,44,38,7.1,4.4,33.4,17.1,26.4,64.8
2022-23,Regular+Season,LAL,Los Angeles Lakers,82,242.4,43,39,6.4,4.6,35.7,18.0,27.4,65.8
2022-23,Regular+Season,MEM,Memphis Grizzlies,82,241.2,51,31,8.3,5.8,34.6,17.3,28.1,61.6
2022-23,Regular+Season,MIA,Miami Heat,82,241.5,44,38,8.0,3.0,30.9,15.4,22.0,69.9
2022-23,Regular+Season,MIL,Milwaukee Bucks,82,241.8,58,24,6.4,4.9,37.5,16.1,25.8,62.4
2022-23,Regular+Season,MIN,Minnesota Timberwolves,81,241.9,41,40,8.0,5.4,32.7,17.9,27.9,64.2
2022-23,Regular+Season,NOP,New Orleans Pelicans,82,242.1,42,40,8.3,4.1,33.1,17.7,25.1,70.6
2022-23,Regular+Season,NYK,New York Knicks,82,243.4,47,35,6.4,4.1,34.0,16.0,24.5,65.2
2022-23,Regular+Season,OKC,Oklahoma City Thunder,82,242.1,40,42,8.2,4.2,32.3,18.1,28.1,64.5
2022-23,Regular+Season,ORL,Orlando Magic,82,241.2,34,48,7.4,4.7,33.1,17.2,25.1,68.4
2022-23,Regular+Season,PHI,Philadelphia 76ers,82,242.4,54,28,7.7,4.7,32.2,16.8,24.6,68.0
2022-23,Regular+Season,PHX,Phoenix Suns,82,241.2,45,37,7.1,5.3,32.4,16.8,26.1,64.4
2022-23,Regular+Season,POR,Portland Trail Blazers,81,240.6,33,48,6.7,4.5,31.1,19.9,29.8,66.9
2022-23,Regular+Season,SAC,Sacramento Kings,82,241.8,48,34,7.0,3.4,32.9,18.5,27.8,66.6
2022-23,Regular+Season,SAS,San Antonio Spurs,79,242.2,21,58,7.0,3.9,31.9,20.5,31.3,65.5
2022-23,Regular+Season,TOR,Toronto Raptors,82,241.5,41,41,9.4,5.2,30.3,18.0,27.3,66.1
2022-23,Regular+Season,UTA,Utah Jazz,82,241.5,37,45,6.1,5.2,34.1,19.2,30.6,62.7
2022-23,Regular+Season,WAS,Washington Wizards,82,240.9,35,47,6.8,5.2,34.2,18.5,29.4,63.1
2022-23,Playoffs,ATL,Atlanta Hawks,6,240.0,2,4,7.7,4.8,31.7,21.3,32.2,66.3
2022-23,Playoffs,BOS,Boston Celtics,20,241.3,11,9,6.0,6.4,33.6,14.1,23.2,60.8
2022-23,Playoffs,BKN,Brooklyn Nets,4,240.0,0,4,5.3,3.8,29.3,14.5,27.5,52.7
2022-23,Playoffs,CLE,Cleveland Cavaliers,5,240.0,1,4,6.8,4.0,28.0,16.6,24.6,67.5
2022-23,Playoffs,DEN,Denver Nuggets,20,241.3,16,4,6.9,4.2,34.7,14.3,22.6,63.1
2022-23,Playoffs,GSW,Golden State Warriors,13,240.0,6,7,7.2,4.6,34.5,16.0,25.0,64.0
2022-23,Playoffs,LAC,LA Clippers,5,240.0,1,4,6.6,4.2,28.2,15.4,20.8,74.0
2022-23,Playoffs,LAL,Los Angeles Lakers,16,241.6,8,8,6.8,6.4,35.6,16.5,27.8,59.3
2022-23,Playoffs,MEM,Memphis Grizzlies,6,244.2,2,4,6.7,3.5,33.3,17.7,27.3,64.6
2022-23,Playoffs,MIA,Miami Heat,23,241.1,13,10,7.0,3.6,31.0,14.7,21.4,68.7
2022-23,Playoffs,MIL,Milwaukee Bucks,5,245.0,1,4,6.6,3.6,34.2,15.4,22.0,70.0
2022-23,Playoffs,MIN,Minnesota Timberwolves,5,245.0,1,4,6.6,4.8,30.8,19.2,29.6,64.9
2022-23,Playoffs,NYK,New York Knicks,11,240.0,6,5,7.0,4.5,32.5,14.5,21.3,67.9
2022-23,Playoffs,PHI,Philadelphia 76ers,11,242.3,7,4,7.6,5.3,33.0,13.7,21.3,64.5
2022-23,Playoffs,PHX,Phoenix Suns,11,240.0,6,5,6.3,5.6,30.8,18.4,29.9,61.4
2022-23,Playoffs,SAC,Sacramento Kings,7,240.0,3,4,7.7,4.3,33.7,18.1,28.9,62.9
2022-23,PlayIn,ATL,Atlanta Hawks,1,240.0,1,0,5.0,8.0,41.0,14.0,28.0,50.0
2022-23,PlayIn,CHI,Chicago Bulls,2,240.0,1,1,7.0,6.5,30.0,12.5,24.0,52.1
2022-23,PlayIn,LAL,Los Angeles Lakers,1,265.0,1,0,8.0,7.0,36.0,6.0,16.0,37.5
2022-23,PlayIn,MIA,Miami Heat,2,240.0,1,1,7.0,3.0,37.0,16.0,21.5,74.4
2022-23,PlayIn,MIN,Minnesota Timberwolves,2,252.5,1,1,12.0,9.5,35.5,15.5,29.0,53.4
2022-23,PlayIn,NOP,New Orleans Pelicans,1,240.0,0,1,5.0,4.0,34.0,21.0,29.0,72.4
2022-23,PlayIn,OKC,Oklahoma City Thunder,2,240.0,1,1,8.0,5.5,27.5,18.0,26.0,69.2
2022-23,PlayIn,TOR,Toronto Raptors,1,240.0,0,1,5.0,5.0,34.0,22.0,31.0,71.0
2023-24,Regular+Season,ATL,Atlanta Hawks,82,242.1,36,46,7.5,4.5,32.2,19.7,29.5,66.9
2023-24,Regular+Season,BOS,Boston Celtics,81,241.9,63,18,6.8,6.6,35.7,16.9,27.9,60.6
2023-24,Regular+Season,BKN,Brooklyn Nets,79,241.6,32,47,6.8,5.2,32.7,17.5,27.0,64.7
2023-24,Regular+Season,CHA,Charlotte Hornets,81,240.6,20,61,6.8,4.5,30.9,19.1,28.2,67.7
2023-24,Regular+Season,CHI,Chicago Bulls,81,243.7,39,42,7.8,4.8,32.7,16.3,24.4,66.9
2023-24,Regular+Season,CLE,Cleveland Cavaliers,82,241.5,48,34,7.4,4.6,33.4,17.0,27.1,62.7
2023-24,Regular+Season,DAL,Dallas Mavericks,81,240.3,49,32,6.8,4.9,33.2,17.6,26.8,65.6
2023-24,Regular+Season,DEN,Denver Nuggets,80,240.3,55,25,7.1,5.5,33.8,17.3,27.4,63.2
2023-24,Regular+Season,DET,Detroit Pistons,81,240.9,14,67,6.5,4.7,32.8,18.8,28.6,65.7
2023-24,Regular+Season,GSW,Golden State Warriors,81,241.9,46,35,7.0,4.6,34.6,16.9,25.8,65.6
2023-24,Regular+Season,HOU,Houston Rockets,82,242.1,41,41,7.8,4.6,34.0,16.5,26.1,63.5
2023-24,Regular+Season,IND,Indiana Pacers,82,240.3,47,35,7.7,5.9,31.4,20.7,32.5,63.7
2023-24,Regular+Season,LAC,LA Clippers,81,240.3,50,31,7.8,5.0,32.9,17.6,27.3,64.6
2023-24,Regular+Season,LAL,Los Angeles Lakers,81,242.2,46,35,7.4,5.5,34.7,17.5,26.9,65.0
2023-24,Regular+Season,MEM,Memphis Grizzlies,82,241.2,27,55,8.2,6.1,31.7,18.0,28.8,62.4
2023-24,Regular+Season,MIA,Miami Heat,82,240.9,46,36,7.5,3.4,33.0,16.3,24.1,67.3
2023-24,Regular+Season,MIL,Milwaukee Bucks,82,241.5,49,33,6.8,5.0,34.8,17.0,26.9,63.2
2023-24,Regular+Season,MIN,Minnesota Timberwolves,82,241.5,56,26,7.9,6.1,34.2,15.7,25.9,60.7
2023-24,Regular+Season,NOP,New Orleans Pelicans,81,240.3,49,32,8.4,4.6,33.6,17.2,25.9,66.6
2023-24,Regular+Season,NYK,New York Knicks,82,240.6,50,32,7.5,4.1,32.5,17.0,26.8,63.5
2023-24,Regular+Season,OKC,Oklahoma City Thunder,82,241.5,57,25,8.5,6.6,33.2,17.0,27.8,61.2
2023-24,Regular+Season,ORL,Orlando Magic,82,241.2,47,35,8.2,5.2,31.8,16.8,26.2,64.1
2023-24,Regular+Season,PHI,Philadelphia 76ers,81,241.2,46,35,8.5,6.0,31.8,18.7,28.8,64.8
2023-24,Regular+Season,PHX,Phoenix Suns,81,241.2,49,32,7.5,6.1,34.0,17.5,27.2,64.2
2023-24,Regular+Season,POR,Portland Trail Blazers,81,242.2,20,61,7.6,4.3,30.1,19.5,28.3,69.0
2023-24,Regular+Season,SAC,Sacramento Kings,82,242.1,46,36,7.6,4.2,33.2,17.3,26.6,64.9
2023-24,Regular+Season,SAS,San Antonio Spurs,81,241.9,21,60,7.1,6.3,33.8,20.1,31.3,64.2
2023-24,Regular+Season,TOR,Toronto Raptors,81,241.2,25,56,7.7,4.7,31.8,20.3,30.2,67.3
2023-24,Regular+Season,UTA,Utah Jazz,81,241.5,31,50,6.5,5.6,33.4,19.0,29.8,63.7
2023-24,Regular+Season,WAS,Washington Wizards,82,240.6,15,67,7.6,5.1,31.9,21.8,32.5,67.1
2023-24,Playoffs,BOS,Boston Celtics,19,241.3,16,3,6.3,5.4,33.4,16.0,24.8,64.4
2023-24,Playoffs,CLE,Cleveland Cavaliers,12,240.0,5,7,6.7,4.6,31.1,14.8,23.0,64.5
2023-24,Playoffs,DAL,Dallas Mavericks,22,240.0,13,9,6.3,5.3,32.2,14.5,24.5,59.1
2023-24,Playoffs,DEN,Denver Nuggets,12,240.0,7,5,6.4,4.3,32.6,16.8,25.2,66.6
2023-24,Playoffs,IND,Indiana Pacers,17,242.9,8,9,5.5,4.8,31.1,15.6,24.1,65.0
2023-24,Playoffs,LAC,LA Clippers,6,240.0,2,4,6.2,3.2,30.8,13.8,20.3,68.0
2023-24,Playoffs,LAL,Los Angeles Lakers,5,240.0,1,4,6.0,4.0,33.2,18.6,27.8,66.9
2023-24,Playoffs,MIA,Miami Heat,5,240.0,1,4,4.6,1.4,30.6,15.4,21.6,71.3
2023-24,Playoffs,MIL,Milwaukee Bucks,6,244.2,2,4,5.3,3.2,33.2,15.3,20.7,74.2
2023-24,Playoffs,MIN,Minnesota Timberwolves,16,240.0,9,7,7.3,4.6,31.8,14.6,23.4,62.1
2023-24,Playoffs,NOP,New Orleans Pelicans,4,240.0,0,4,8.8,4.5,33.3,13.8,22.5,61.1
2023-24,Playoffs,NYK,New York Knicks,13,241.9,7,6,5.7,5.4,29.4,16.5,26.8,61.3
2023-24,Playoffs,OKC,Oklahoma City Thunder,10,240.0,6,4,7.8,6.2,32.8,13.6,23.9,56.9
2023-24,Playoffs,ORL,Orlando Magic,7,240.0,3,4,8.0,5.1,33.0,17.1,27.3,62.8
2023-24,Playoffs,PHI,Philadelphia 76ers,6,244.2,2,4,5.5,6.3,30.5,13.3,21.7,61.5
2023-24,Playoffs,PHX,Phoenix Suns,4,240.0,0,4,7.5,4.3,25.3,15.5,25.0,62.0
2023-24,PlayIn,ATL,Atlanta Hawks,1,240.0,0,1,4.0,2.0,26.0,26.0,33.0,78.8
2023-24,PlayIn,CHI,Chicago Bulls,2,240.0,1,1,9.0,7.0,34.0,11.5,18.5,62.2
2023-24,PlayIn,GSW,Golden State Warriors,1,240.0,0,1,5.0,3.0,34.0,14.0,26.0,53.8
2023-24,PlayIn,LAL,Los Angeles Lakers,1,240.0,1,0,8.0,7.0,35.0,24.0,33.0,72.7
2023-24,PlayIn,MIA,Miami Heat,2,240.0,1,1,9.0,5.0,33.5,15.0,27.0,55.6
2023-24,PlayIn,NOP,New Orleans Pelicans,2,240.0,1,1,6.5,5.0,37.0,15.5,23.5,66.0
2023-24,PlayIn,PHI,Philadelphia 76ers,1,240.0,1,0,4.0,3.0,34.0,14.0,24.0,58.3
2023-24,PlayIn,SAC,Sacramento Kings,2,240.0,1,1,9.5,4.5,30.0,20.0,30.0,66.7
2023-24,IST,ATL,Atlanta Hawks,4,240.0,1,3,8.5,4.5,28.3,25.0,35.3,70.9
2023-24,IST,BOS,Boston Celtics,5,240.0,3,2,6.2,5.8,36.4,18.6,30.4,61.2
2023-24,IST,BKN,Brooklyn Nets,4,240.0,3,1,6.0,4.5,36.3,14.3,24.5,58.2
2023-24,IST,CHA,Charlotte Hornets,4,240.0,1,3,7.3,2.0,33.3,17.0,25.5,66.7
2023-24,IST,CHI,Chicago Bulls,4,240.0,0,4,7.5,4.0,29.5,21.5,27.8,77.5
2023-24,IST,CLE,Cleveland Cavaliers,4,246.3,3,1,9.0,7.8,36.8,17.5,31.5,55.6
2023-24,IST,DAL,Dallas Mavericks,4,240.0,2,2,7.0,3.5,27.0,20.5,30.3,67.8
2023-24,IST,DEN,Denver Nuggets,4,240.0,2,2,6.8,3.8,33.0,15.8,25.8,61.2
2023-24,IST,DET,Detroit Pistons,4,240.0,0,4,6.5,7.0,31.8,20.0,33.5,59.7
2023-24,IST,GSW,Golden State Warriors,4,240.0,2,2,8.3,3.0,33.8,17.5,28.3,61.9
2023-24,IST,HOU,Houston Rockets,4,240.0,2,2,6.5,6.3,35.3,13.8,25.0,55.0
2023-24,IST,IND,Indiana Pacers,6,240.0,6,0,7.5,6.8,30.2,23.3,37.7,61.9
2023-24,IST,LAC,LA Clippers,4,240.0,1,3,9.5,4.5,31.5,19.0,30.5,62.3
2023-24,IST,LAL,Los Angeles Lakers,5,240.0,5,0,8.2,6.0,35.6,14.4,25.2,57.1
2023-24,IST,MEM,Memphis Grizzlies,4,246.2,0,4,6.8,6.5,28.3,16.0,27.3,58.7
2023-24,IST,MIA,Miami Heat,4,240.0,2,2,8.8,2.8,30.0,19.0,26.5,71.7
