SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_AST_2PM,PCT_UAST_2PM,PCT_AST_3PM,PCT_UAST_3PM,PCT_AST_FGM,PCT_UAST_FGM
2015-16,regular-season,MEM,44,26,18,3.9,74.7,25.3,47.8,10.2,19.8,7.4,32.3,17.8,37.7,46.8,53.2,73.1,26.9,52.5,47.5
2015-16,regular-season,BOS,46,25,21,3.4,66.1,33.9,49.0,12.4,22.3,13.1,28.7,15.1,36.6,50.5,49.5,80.0,20.0,57.4,42.6
2015-16,regular-season,DAL,49,25,24,4.6,57.5,42.5,43.4,14.8,33.4,10.4,23.2,15.8,28.5,42.3,57.7,82.5,17.5,56.0,44.0
2015-16,regular-season,DEN,52,25,27,3.7,70.7,29.3,53.6,12.7,15.1,10.1,31.3,10.3,40.8,42.6,57.4,68.4,31.6,46.7,53.3
2015-16,regular-season,DET,42,25,17,4.1,71.0,29.0,48.0,9.2,19.9,5.1,32.1,12.8,38.8,28.7,71.3,57.7,42.3,35.0,65.0
2015-16,regular-season,LAC,42,25,17,4.0,63.4,36.6,40.7,11.8,25.7,2.0,33.6,13.5,28.9,47.0,53.0,74.3,25.7,55.1,44.9
2015-16,regular-season,MIA,43,25,18,4.1,75.4,24.6,54.0,13.5,17.3,12.0,28.7,15.4,40.5,44.6,55.4,100,0.0,54.4,45.6
2015-16,regular-season,ATL,44,24,20,3.8,70.6,29.4,50.1,12.1,21.4,9.2,28.5,14.2,38.0,49.5,50.5,88.9,11.1,58.2,41.8
2015-16,regular-season,POR,42,23,19,3.3,63.7,36.3,47.5,16.4,21.1,8.5,31.4,13.8,31.1,39.5,60.5,62.5,37.5,44.8,55.2
2015-16,regular-season,CHA,42,22,20,3.7,60.6,39.4,42.1,16.4,27.9,5.7,30.1,13.4,25.7,27.3,72.7,88.2,11.8,45.9,54.1
2015-16,regular-season,OKC,44,22,22,3.9,70.6,29.4,55.0,21.4,17.6,11.2,27.5,9.9,33.6,35.2,64.8,65.2,34.8,40.5,59.5
2015-16,regular-season,SAS,30,21,9,3.5,77.4,22.6,59.4,30.5,15.7,2.4,24.9,13.7,28.9,51.4,48.6,84.6,15.4,56.3,43.7
2015-16,regular-season,MIL,40,20,20,4.0,75.6,24.4,51.2,7.7,16.1,7.1,32.7,18.8,43.5,48.8,51.2,83.3,16.7,54.8,45.2
2015-16,regular-season,MIN,50,20,30,4.1,73.7,26.3,51.4,16.8,12.3,8.4,36.4,13.6,34.5,52.2,47.8,94.4,5.6,58.0,42.0
2015-16,regular-season,CLE,33,19,14,4.3,60.3,39.7,44.4,5.1,22.2,10.9,33.4,15.1,39.2,36.2,63.8,78.3,21.7,46.7,53.3
2015-16,regular-season,ORL,44,19,25,4.5,69.1,30.9,50.1,9.0,26.3,7.5,23.6,10.0,41.1,47.0,53.0,80.0,20.0,55.6,44.4
2015-16,regular-season,NOP,46,18,28,3.7,59.7,40.3,42.7,10.4,24.2,8.1,33.1,12.0,32.3,50.0,50.0,87.1,12.9,60.2,39.8
2015-16,regular-season,SAC,43,18,25,3.5,71.5,28.5,52.2,13.8,19.8,10.1,28.0,11.9,38.4,50.6,49.4,90.5,9.5,58.7,41.3
2015-16,regular-season,WAS,34,16,18,3.8,64.9,35.1,46.3,18.9,23.5,13.7,30.3,12.7,27.4,46.5,53.5,70.8,29.2,52.6,47.4
2015-16,regular-season,BKN,41,15,26,3.4,76.8,23.2,53.7,15.0,15.3,9.2,31.0,13.9,38.8,44.3,55.7,86.7,13.3,51.1,48.9
2015-16,regular-season,NYK,41,15,26,4.0,66.1,33.9,48.5,16.9,21.1,4.8,30.4,6.5,31.5,45.3,54.7,60.0,40.0,48.6,51.4
2015-16,regular-season,UTA,42,14,28,4.9,69.1,30.9,52.4,12.7,21.9,6.6,25.7,11.1,39.6,35.1,64.9,67.7,32.3,42.3,57.7
2015-16,regular-season,PHX,39,12,27,3.2,64.1,35.9,50.4,15.4,20.7,8.1,28.9,13.8,35.0,37.1,62.9,70.6,29.4,44.3,55.7
2015-16,regular-season,LAL,33,11,22,3.5,67.2,32.8,44.2,15.0,28.1,5.6,27.7,14.2,29.2,28.8,71.2,56.0,44.0,36.9,63.1
2015-16,regular-season,PHI,35,5,30,3.8,65.1,34.9,50.9,11.1,26.4,11.6,22.7,13.9,39.8,49.1,50.9,73.7,26.3,55.4,44.6
2015-16,playoffs,CLE,8,7,1,3.7,52.8,47.2,37.0,7.4,50.0,3.7,13.0,14.8,29.6,50.0,50.0,55.6,44.4,52.6,47.4
