SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ,AVG_DREB_DIST
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Jalen Duren,1631105,31,22,9,28.4,6.5,2.2,33.5,12.0,54.4,1.5,62.1,4.1
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Jalen Green,1630224,2,2,0,14.9,1.0,0.0,0.0,2.0,50.0,1.0,100,5.5
2025-26,Regular+Season,ATL,1610612737,Atlanta Hawks,Jalen Johnson,1630552,38,19,19,35.3,8.7,2.5,28.9,12.9,67.0,1.0,72.5,5.2
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Jalen Pickett,1629618,19,12,7,19.3,2.6,0.4,16.3,4.3,59.8,0.6,69.0,8.2
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Jalen Smith,1630188,31,18,13,18.4,4.5,1.6,34.8,7.5,61.0,0.7,67.8,4.3
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Jalen Suggs,1630591,23,14,9,25.4,2.9,0.5,16.4,5.0,58.8,0.4,63.8,7.9
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Jalen Williams,1631114,21,15,6,30.3,4.3,1.2,28.9,6.8,62.9,0.6,69.2,6.7
2025-26,Regular+Season,BKN,1610612751,Brooklyn Nets,Jalen Wilson,1630592,17,2,15,16.7,1.4,0.5,37.5,2.6,53.3,0.4,63.2,8.0
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Jamal Cain,1631288,7,2,5,11.2,0.9,0.0,0.0,2.0,42.9,0.6,60.0,4.2
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Jamal Murray,1627750,35,23,12,35.5,4.3,0.9,21.5,6.8,62.3,0.6,68.7,7.1
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Jamal Shead,1642347,33,20,13,21.5,1.7,0.4,21.1,3.3,51.8,0.2,55.3,10.1
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Jamaree Bouyea,1631123,17,10,7,16.1,1.7,0.2,13.8,2.8,60.4,0.4,69.0,7.7
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,James Harden,201935,35,15,20,35.4,4.3,0.8,18.0,6.5,65.8,0.6,72.1,7.8
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,James Wiseman,1630164,3,0,3,15.6,1.0,0.7,66.7,5.0,20.0,1.0,25.0,2.7
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Jamir Watkins,1642364,8,2,6,17.5,3.6,1.0,27.6,5.5,65.9,0.3,69.0,5.1
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Jamison Battle,1642419,21,11,10,10.0,1.5,0.4,28.1,2.9,52.5,0.5,62.7,6.9
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Jarace Walker,1641716,39,9,30,23.5,4.1,0.7,18.4,6.5,62.5,0.5,67.2,5.4
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Jared McCain,1642272,24,13,11,19.1,2.6,0.4,14.5,3.9,66.0,0.0,66.7,7.6
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jaren Jackson Jr.,1628991,37,15,22,30.4,4.7,1.6,34.7,8.7,53.7,1.0,60.9,5.8
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Jarred Vanderbilt,1629020,26,16,10,20.9,4.0,1.1,27.2,6.4,62.0,0.6,68.7,5.6
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jarrett Allen,1628386,28,16,12,26.3,5.8,1.8,30.4,9.4,61.5,0.8,67.1,4.9
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Jase Richardson,1642859,16,6,10,16.7,1.6,0.3,16.0,2.4,64.1,0.1,67.6,9.0
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Javon Small,1642914,9,3,6,15.7,1.7,0.9,53.3,2.3,71.4,0.2,78.9,9.7
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Javonte Cooke,1631451,4,0,4,7.3,1.3,0.3,20.0,2.0,62.5,0.3,71.4,4.2
2025-26,Regular+Season,DET,1610612765,Detroit Pistons,Javonte Green,1629750,33,24,9,21.4,2.4,0.5,23.1,4.2,56.1,0.3,60.9,7.5
2025-26,Regular+Season,LAL,1610612747,Los Angeles Lakers,Jaxson Hayes,1629637,32,20,12,17.6,2.5,1.0,38.3,4.1,61.4,0.3,65.9,5.8
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Jay Huff,1630643,35,8,27,21.4,3.1,0.8,26.6,7.3,42.9,1.1,50.5,5.5
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Jaylen Brown,1627759,36,22,14,34.2,5.3,1.3,24.9,8.3,63.0,0.6,68.2,6.1
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Jaylen Clark,1641740,30,21,9,15.7,1.3,0.4,30.0,2.4,56.3,0.2,62.5,9.4
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jaylen Wells,1642377,39,17,22,27.5,2.6,0.4,16.7,4.6,56.4,0.5,63.8,7.8
2025-26,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Jaylin Williams,1631119,26,24,2,18.6,4.5,1.7,38.1,7.0,64.5,0.6,70.2,4.5
2025-26,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jaylon Tyson,1642281,34,18,16,27.6,3.5,0.5,13.4,6.0,58.6,0.9,69.2,7.2
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Jeff Green,201145,6,5,1,4.0,0.8,0.3,40.0,1.5,55.6,0.2,62.5,5.7
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Jerami Grant,203924,26,11,15,30.4,2.9,0.5,16.0,4.7,61.5,0.4,67.0,7.8
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jeremiah Fears,1642847,40,9,31,27.0,3.0,0.6,19.2,5.0,59.7,0.6,68.2,7.0
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Jeremiah Robinson-Earl,1630526,16,4,12,17.9,3.5,0.8,21.4,5.8,60.2,0.5,65.9,4.4
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Jeremy Sochan,1631110,22,14,8,14.5,2.1,0.5,23.9,4.1,50.5,0.4,56.1,6.1
2025-26,Regular+Season,MIL,1610612749,Milwaukee Bucks,Jericho Sims,1630579,21,7,14,18.2,3.4,1.0,29.2,5.5,62.6,0.6,69.9,5.2
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Jett Howard,1641724,16,7,9,14.3,1.8,0.7,37.9,2.5,72.5,0.0,72.5,9.4
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Jevon Carter,1628975,12,3,9,15.4,1.3,0.1,6.3,1.8,76.2,0.2,84.2,10.2
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Jimmy Butler III,202710,36,21,15,31.4,3.4,1.0,29.8,5.7,59.3,0.4,64.4,7.5
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Joan Beringer,1642866,9,6,3,8.3,1.7,0.1,6.7,3.3,50.0,0.4,57.7,5.9
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jock Landale,1629111,37,16,21,22.6,3.4,1.2,36.3,6.5,51.9,0.8,58.8,5.4
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Joe Ingles,204060,3,3,0,7.0,1.7,0.0,0.0,1.7,100,0.0,100,7.0
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Joel Embiid,203954,20,12,8,29.5,5.1,1.8,34.3,9.3,55.1,1.0,61.8,4.5
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,John Collins,1628381,37,15,22,27.6,3.7,1.2,32.8,6.8,54.2,0.6,59.6,5.8
2025-26,Regular+Season,MEM,1610612763,Memphis Grizzlies,John Konchar,1629723,22,12,10,13.0,2.2,0.5,20.8,3.8,57.8,0.5,65.8,8.0
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Johni Broome,1641780,4,2,2,7.6,1.8,0.8,42.9,2.0,87.5,0.0,87.5,4.2
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Johnny Furphy,1642277,21,6,15,16.7,2.9,0.7,25.0,5.0,57.7,0.5,64.5,5.9
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Johnny Juzang,1630548,8,5,3,5.8,1.0,0.1,12.5,1.5,66.7,0.3,80.0,6.6
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Jonas Valančiūnas,202685,33,23,10,13.3,3.3,1.0,30.9,5.4,61.8,0.6,69.6,4.4
2025-26,Regular+Season,ORL,1610612753,Orlando Magic,Jonathan Isaac,1628371,28,17,11,11.5,2.3,0.6,27.7,3.7,62.5,0.4,69.1,5.0
2025-26,Regular+Season,GSW,1610612744,Golden State Warriors,Jonathan Kuminga,1630228,18,9,9,24.8,4.6,1.2,25.3,7.2,64.3,0.2,66.4,6.8
2025-26,Regular+Season,TOR,1610612761,Toronto Raptors,Jonathan Mogbo,1642367,9,2,7,6.8,1.4,0.3,23.1,2.1,68.4,0.2,76.5,5.0
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Jordan Clarkson,203903,32,20,12,20.8,1.3,0.3,25.0,2.7,46.0,0.4,53.3,10.8
2025-26,Regular+Season,PHX,1610612756,Phoenix Suns,Jordan Goodwin,1630692,37,23,14,21.5,2.7,0.8,29.3,4.7,57.2,0.4,62.7,6.7
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jordan Hawkins,1641722,25,4,21,15.4,1.7,0.5,28.6,3.1,53.8,0.5,63.6,7.2
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Jordan McLaughlin,1629162,5,4,1,10.6,1.2,0.0,0.0,1.4,85.7,0.0,85.7,8.8
2025-26,Regular+Season,LAC,1610612746,Los Angeles Clippers,Jordan Miller,1641757,15,9,6,17.2,2.2,0.7,33.3,3.9,55.9,0.3,61.1,5.6
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jordan Poole,1629673,20,6,14,27.2,1.6,0.2,12.9,3.0,52.5,0.4,59.6,10.2
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Jordan Walsh,1641775,30,19,11,21.5,3.7,1.0,26.8,5.9,62.9,0.5,68.3,5.9
2025-26,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jose Alvarado,1630631,32,8,24,22.8,2.7,0.5,18.8,5.1,52.5,0.6,59.0,10.4
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Josh Giddey,1630581,30,15,15,32.8,7.8,1.2,15.9,11.4,67.9,0.8,73.3,6.1
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,Josh Green,1630182,13,7,6,16.1,1.1,0.2,14.3,2.2,50.0,0.2,53.8,8.5
2025-26,Regular+Season,NYK,1610612752,New York Knicks,Josh Hart,1628404,29,20,9,30.3,6.2,1.3,21.8,9.8,63.0,1.1,71.0,6.0
2025-26,Regular+Season,BOS,1610612738,Boston Celtics,Josh Minott,1631169,27,17,10,18.2,2.8,0.7,23.7,4.4,63.3,0.4,69.1,5.9
2025-26,Regular+Season,HOU,1610612745,Houston Rockets,Josh Okogie,1629006,31,18,13,20.0,2.0,0.6,31.1,3.4,58.7,0.3,64.9,9.6
2025-26,Regular+Season,POR,1610612757,Portland Trail Blazers,Jrue Holiday,201950,14,6,8,31.3,3.9,0.7,18.5,5.6,69.2,0.2,72.0,9.7
2025-26,Regular+Season,SAS,1610612759,San Antonio Spurs,Julian Champagnie,1630577,40,27,13,28.5,5.2,1.3,24.2,8.1,64.3,1.0,73.7,6.3
2025-26,Regular+Season,CHI,1610612741,Chicago Bulls,Julian Phillips,1641763,20,6,14,12.3,1.0,0.3,31.6,1.5,63.3,0.1,65.5,7.5
2025-26,Regular+Season,DEN,1610612743,Denver Nuggets,Julian Strawther,1631124,12,9,3,10.5,1.9,0.4,21.7,2.5,76.7,0.2,82.1,6.6
2025-26,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Julius Randle,203944,40,26,14,33.3,5.4,1.4,25.0,8.7,62.4,0.9,69.5,6.3
2025-26,Regular+Season,WAS,1610612764,Washington Wizards,Justin Champagnie,1630551,33,9,24,18.9,3.8,1.0,27.4,5.8,64.9,0.5,71.3,5.2
2025-26,Regular+Season,PHI,1610612755,Philadelphia 76ers,Justin Edwards,1642348,20,10,10,19.2,1.7,0.5,26.5,2.6,66.7,0.2,70.8,8.8
2025-26,Regular+Season,UTA,1610612762,Utah Jazz,Jusuf Nurkić,203994,32,11,21,25.9,7.3,2.7,37.5,11.5,62.9,1.5,72.5,4.2
2025-26,Regular+Season,CHA,1610612766,Charlotte Hornets,KJ Simpson,1642354,10,3,7,18.4,2.4,0.5,20.8,3.6,66.7,0.3,72.7,8.9
2025-26,Regular+Season,IND,1610612754,Indiana Pacers,Kam Jones,1642880,4,1,3,8.9,0.8,0.0,0.0,1.3,60.0,0.3,75.0,8.8
