SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,MIA,Miami Heat,82,8.0,7.6,1.17,9.3,3.5,6.5,54.5,58.3,16.4,5.8,15.8,4.3,56.1,100
2015-16,Regular+Season,LAC,LA Clippers,82,8.8,8.3,1.05,9.2,3.9,7.3,53.0,55.8,12.4,6.4,11.5,2.6,51.9,79.3
2015-16,Regular+Season,DEN,Denver Nuggets,82,8.5,7.7,1.04,8.8,3.5,7.0,50.6,52.3,14.6,6.5,13.8,3.6,51.6,75.9
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,9.0,8.4,0.97,8.8,3.5,7.4,47.6,49.8,11.8,10.0,11.1,3.2,46.8,24.1
2015-16,Regular+Season,CHA,Charlotte Hornets,82,7.7,7.2,1.10,8.4,3.2,6.6,49.3,54.7,11.9,5.2,11.3,2.4,51.2,93.1
2015-16,Regular+Season,DAL,Dallas Mavericks,82,8.0,7.5,1.03,8.2,3.2,6.6,48.1,52.6,12.6,6.9,11.2,2.1,49.7,69.0
2015-16,Regular+Season,WAS,Washington Wizards,82,7.4,6.8,1.07,7.9,3.3,6.3,52.8,55.1,10.1,6.8,9.7,2.1,52.0,89.7
2015-16,Regular+Season,BOS,Boston Celtics,82,8.2,7.3,0.96,7.9,3.2,6.9,45.9,49.3,10.7,7.7,9.5,2.5,45.4,10.3
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,6.7,6.3,1.16,7.8,3.0,5.5,55.0,60.0,13.8,6.2,13.4,1.8,55.9,96.6
2015-16,Regular+Season,UTA,Utah Jazz,82,7.0,6.6,1.06,7.4,2.9,5.5,53.1,54.4,16.7,7.9,14.7,3.2,53.7,86.2
2015-16,Regular+Season,SAS,San Antonio Spurs,82,7.7,7.4,0.95,7.3,3.1,6.6,47.5,48.5,9.8,7.3,9.5,2.2,47.3,3.4
