SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,MIN,CATCH_SHOOT_PTS,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT
2015-16,Pre+Season,NYK,1610612752,New York Knicks,Carmelo Anthony,2546,5,24.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,SAC,1610612758,Sacramento Kings,Caron Butler,2406,4,13.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CLE,1610612739,Cleveland Cavaliers,Channing Frye,101112,7,18.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DAL,1610612742,Dallas Mavericks,Charlie Villanueva,101111,6,17.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIL,1610612749,Milwaukee Bucks,Charlie Westbrook,203586,1,8.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,PHX,1610612756,Phoenix Suns,Chase Budinger,201978,4,18.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MEM,1610612763,Memphis Grizzlies,Chris Andersen,2365,7,15.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,GSW,1610612744,Golden State Warriors,Chris Babb,203569,6,11.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIA,1610612748,Miami Heat,Chris Bosh,2547,7,25.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIL,1610612749,Milwaukee Bucks,Chris Copeland,203142,3,24.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BKN,1610612751,Brooklyn Nets,Chris Daniels,202808,5,13.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Chris Douglas-Roberts,201604,5,19.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,UTA,1610612762,Utah Jazz,Chris Johnson,203187,5,10.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CLE,1610612739,Cleveland Cavaliers,Chris Johnson,202419,4,9.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,POR,1610612757,Portland Trail Blazers,Chris Kaman,2549,2,11.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,1610612746,Los Angeles Clippers,Chris Paul,101108,5,23.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,HOU,1610612745,Houston Rockets,Chris Walker,1626217,3,8.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,PHI,1610612755,Philadelphia 76ers,Christian Wood,1626174,5,12.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,1610612746,Los Angeles Clippers,Chuck Hayes,101236,4,6.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NYK,1610612752,New York Knicks,Cleanthony Early,203921,6,20.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,HOU,1610612745,Houston Rockets,Clint Capela,203991,6,23.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHA,1610612766,Charlotte Hornets,Cody Zeller,203469,8,22.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAC,1610612746,Los Angeles Clippers,Cole Aldrich,202332,4,6.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,HOU,1610612745,Houston Rockets,Corey Brewer,201147,6,22.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIA,1610612748,Miami Heat,Corey Hawkins,1626186,2,7.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BOS,1610612738,Boston Celtics,Corey Walden,1626258,4,6.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Corey Webster,1626290,3,7.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,PHX,1610612756,Phoenix Suns,Cory Jefferson,203928,5,4.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,TOR,1610612761,Toronto Raptors,Cory Joseph,202709,7,21.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,BOS,1610612738,Boston Celtics,Coty Clarke,1626262,1,0.2,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHA,1610612766,Charlotte Hornets,Courtney Lee,201584,5,23.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHI,1610612741,Chicago Bulls,Cristiano Felicio,1626245,5,8.7,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,LAL,1610612747,Los Angeles Lakers,D'Angelo Russell,1626156,7,17.0,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DEN,1610612743,Denver Nuggets,D.J. Augustin,201571,5,18.9,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CLE,1610612739,Cleveland Cavaliers,DJ Stephens,203474,4,7.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NYK,1610612752,New York Knicks,DaJuan Summers,201969,4,5.8,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CLE,1610612739,Cleveland Cavaliers,Dahntay Jones,2563,4,24.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,POR,1610612757,Portland Trail Blazers,Damian Lillard,203081,5,31.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIL,1610612749,Milwaukee Bucks,Damien Inglis,203996,3,18.3,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,CHA,1610612766,Charlotte Hornets,Damien Wilkins,2863,3,17.1,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,MIN,1610612750,Minnesota Timberwolves,Damjan Rudez,204014,7,17.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DEN,1610612743,Denver Nuggets,Danilo Gallinari,201568,5,25.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,SAS,1610612759,San Antonio Spurs,Danny Green,201980,6,16.6,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NOP,1610612740,New Orleans Pelicans,Dante Cunningham,201967,7,28.5,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,NYK,1610612752,New York Knicks,Darion Atkins,1626276,3,2.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,DEN,1610612743,Denver Nuggets,Darrell Arthur,201589,2,17.4,0.0,0.0,0.0,-,-,-,-,-
2015-16,Pre+Season,SAC,1610612758,Sacramento Kings,Darren Collison,201954,6,26.5,0.0,0.0,0.0,-,-,-,-,-
