SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2024-25,IST,CHI,Chicago Bulls,4,2,2,240.0,44.8,11.0,17.5,62.9,5.8,7.0,82.1,28.0,62.6,19.5,43.6,5.5,12.3,2.5,5.6,3.5,7.8
2024-25,IST,CLE,Cleveland Cavaliers,4,2,2,240.0,54.8,12.3,24.0,51.0,6.3,9.0,69.4,31.3,57.1,20.8,37.9,7.5,13.7,3.3,5.9,4.5,8.2
2024-25,IST,DAL,Dallas Mavericks,5,3,2,240.0,47.0,11.4,23.0,49.6,6.4,7.2,88.9,30.2,64.3,15.4,32.8,3.4,7.2,3.6,7.7,3.6,7.7
2024-25,IST,DEN,Denver Nuggets,4,2,2,240.0,39.5,9.0,17.8,50.7,4.0,5.5,72.7,22.5,57.0,15.8,39.9,4.5,11.4,2.3,5.7,2.8,7.0
2024-25,IST,DET,Detroit Pistons,4,3,1,246.2,43.0,10.5,22.3,47.2,5.8,7.0,82.1,27.0,62.8,12.5,29.1,2.8,6.4,3.5,8.1,3.5,8.1
2024-25,IST,GSW,Golden State Warriors,5,3,2,240.0,40.0,8.6,18.0,47.8,3.6,4.4,81.8,21.0,52.5,16.2,40.5,2.8,7.0,3.0,7.5,2.2,5.5
2024-25,IST,HOU,Houston Rockets,6,4,2,244.2,43.7,8.7,18.7,46.4,2.8,3.3,85.0,20.3,46.6,17.5,40.1,3.5,8.0,3.8,8.8,1.7,3.8
2024-25,IST,IND,Indiana Pacers,4,0,4,240.0,52.8,13.3,24.5,54.1,4.0,5.0,80.0,31.8,60.2,20.8,39.3,4.3,8.1,4.0,7.6,2.5,4.7
2024-25,IST,LAC,LA Clippers,4,2,2,240.0,43.5,11.5,23.5,48.9,7.3,8.8,82.9,30.8,70.7,13.8,31.6,4.0,9.2,1.0,2.3,4.3,9.8
2024-25,IST,LAL,Los Angeles Lakers,4,2,2,240.0,33.0,6.3,12.3,51.0,6.5,8.0,81.3,19.8,59.8,13.0,39.4,4.5,13.6,1.8,5.3,4.0,12.1
2024-25,IST,MEM,Memphis Grizzlies,4,1,3,240.0,64.3,13.0,24.8,52.5,4.3,5.5,77.3,31.5,49.0,28.8,44.7,7.5,11.7,4.3,6.6,2.8,4.3
2024-25,IST,MIA,Miami Heat,4,2,2,246.3,49.5,12.3,21.0,58.3,6.3,7.5,83.3,31.5,63.6,21.0,42.4,4.5,9.1,2.5,5.1,3.8,7.6
2024-25,IST,MIL,Milwaukee Bucks,6,6,0,240.0,32.7,7.5,15.5,48.4,1.7,3.0,55.6,17.2,52.6,12.0,36.7,3.7,11.2,2.7,8.2,1.5,4.6
2024-25,IST,MIN,Minnesota Timberwolves,4,2,2,252.5,55.3,11.3,22.8,49.5,5.3,5.5,95.5,29.0,52.5,22.0,39.8,4.8,8.6,6.8,12.2,2.8,5.0
2024-25,IST,NOP,New Orleans Pelicans,4,1,3,240.0,49.3,10.0,23.8,42.1,5.0,6.0,83.3,25.5,51.8,18.5,37.6,4.8,9.6,3.0,6.1,3.0,6.1
2024-25,IST,NYK,New York Knicks,5,4,1,240.0,46.4,11.4,22.2,51.4,5.6,6.4,87.5,29.8,64.2,18.0,38.8,4.8,10.3,1.8,3.9,3.2,6.9
2024-25,IST,OKC,Oklahoma City Thunder,6,5,1,240.0,53.5,10.5,23.8,44.1,3.5,4.0,87.5,24.7,46.1,23.3,43.6,5.5,10.3,3.0,5.6,2.0,3.7
2024-25,IST,ORL,Orlando Magic,5,3,2,240.0,41.4,8.2,18.2,45.1,5.6,7.2,77.8,22.8,55.1,15.6,37.7,4.6,11.1,3.6,8.7,3.6,8.7
