SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,PACE,PIE,POSS
2015-16,Pre+Season,Anthony Brown,1626148,LAL,23,7,3,4,18.5,96.3,105.2,-8.9,1.2,0.50,4.5,1.5,2.2,1.8,9.1,63.2,64.3,6.8,99.69,2.0,271
2015-16,Pre+Season,Bismack Biyombo,202687,TOR,23,7,5,2,20.5,88.6,87.9,0.7,7.0,0.83,9.4,10.2,25.4,17.4,11.3,36.7,44.2,14.7,93.90,10.1,281
2015-16,Pre+Season,Bobby Portis,1626171,CHI,21,7,3,4,21.7,107.6,107.5,0.0,6.8,0.70,7.6,11.7,24.7,18.1,10.9,47.8,52.0,22.6,100.56,12.3,317
2015-16,Pre+Season,Brandon Ashley,1626165,DAL,21,7,0,7,12.1,72.4,84.1,-11.7,12.8,1.00,17.6,0.0,19.6,9.6,17.6,10.5,18.5,14.4,102.93,1.2,181
2015-16,Pre+Season,Brandon Rush,201575,GSW,30,7,3,4,18.5,96.6,109.5,-12.9,6.2,0.63,9.8,0.7,10.6,5.7,15.7,45.6,49.5,14.2,106.52,4.2,290
2015-16,Pre+Season,Brian Roberts,203148,POR,30,7,6,1,19.6,96.8,85.7,11.1,28.8,1.91,24.1,2.3,6.9,4.8,12.6,49.0,56.1,21.5,97.40,15.4,278
2015-16,Pre+Season,Bryce Dejean-Jones,1626214,NOP,23,7,3,4,18.2,91.2,109.0,-17.8,16.4,2.00,15.6,1.3,7.8,4.1,7.8,56.6,63.8,17.7,103.15,10.3,272
2015-16,Pre+Season,CJ McCollum,203468,POR,24,7,3,4,30.9,104.4,96.9,7.4,23.8,2.07,18.1,1.8,5.8,3.9,8.8,48.7,51.2,27.2,101.36,10.5,459
2015-16,Pre+Season,Channing Frye,101112,CLE,33,7,6,1,18.2,106.0,98.4,7.5,11.1,1.00,15.0,3.7,12.7,8.1,15.0,55.0,57.5,17.5,96.14,7.6,252
2015-16,Pre+Season,Chris Andersen,2365,MEM,37,7,3,4,15.4,98.2,96.3,1.9,7.2,0.00,15.2,9.4,19.3,14.4,0.0,40.4,44.3,11.2,97.11,12.6,221
2015-16,Pre+Season,Chris Bosh,2547,MIA,32,7,4,3,25.7,90.9,104.3,-13.4,14.3,1.30,11.7,2.7,16.7,9.8,9.0,46.7,55.0,24.3,99.82,14.8,373
2015-16,Pre+Season,Cory Joseph,202709,TOR,24,7,5,2,21.1,92.0,88.0,4.0,33.3,2.56,25.0,1.9,6.3,4.0,9.8,52.8,56.1,20.7,92.44,17.3,287
2015-16,Pre+Season,D'Angelo Russell,1626156,LAL,20,7,3,4,17.0,103.6,108.4,-4.8,31.1,2.56,28.0,3.0,9.9,6.4,11.0,44.3,47.8,20.6,100.94,9.7,249
2015-16,Pre+Season,Damjan Rudez,204014,MIN,30,7,2,5,17.6,106.5,104.8,1.7,7.7,1.50,15.8,0.0,2.5,1.3,10.5,54.0,54.3,11.9,96.60,2.1,246
2015-16,Pre+Season,Dante Cunningham,201967,NOP,29,7,3,4,28.5,103.3,101.4,1.9,5.4,0.88,12.7,3.8,15.2,9.5,14.5,32.9,38.1,10.1,100.74,3.0,421
2015-16,Pre+Season,DeMarre Carroll,201960,TOR,29,7,5,2,24.4,110.3,98.2,12.2,8.1,1.60,9.3,4.6,13.1,8.7,5.8,49.2,54.3,20.5,92.44,10.7,329
2015-16,Pre+Season,Delon Wright,1626153,TOR,24,7,5,2,10.3,90.1,112.3,-22.2,18.4,0.88,18.4,2.6,16.4,8.7,21.1,45.5,45.0,18.5,92.59,6.7,141
2015-16,Pre+Season,Devyn Marble,203906,ORL,23,7,5,2,19.0,101.8,99.6,2.2,18.1,1.36,17.9,6.6,8.0,7.3,13.1,44.1,49.6,21.1,97.75,9.7,271
2015-16,Pre+Season,Dewayne Dedmon,203473,ORL,26,7,5,2,15.5,97.7,91.6,6.1,2.9,0.25,5.0,13.1,22.8,18.1,20.0,39.1,46.3,15.8,94.44,8.2,213
2015-16,Pre+Season,Draymond Green,203110,GSW,26,7,3,4,21.1,115.1,108.6,6.5,16.5,1.64,19.8,2.3,24.9,15.0,12.1,37.8,45.2,20.9,105.58,8.4,325
2015-16,Pre+Season,Dwyane Wade,2548,MIA,34,7,4,3,22.4,87.9,100.3,-12.4,22.8,1.29,16.4,2.4,11.2,6.8,12.7,37.3,45.3,26.2,99.19,9.5,323
2015-16,Pre+Season,Ed Davis,202334,POR,27,7,3,4,22.4,99.4,97.5,1.9,7.0,1.17,13.0,10.0,20.6,15.5,11.1,44.1,50.0,12.9,97.16,12.4,317
2015-16,Pre+Season,Elijah Millsap,202407,UTA,28,7,3,4,16.5,99.2,86.8,12.4,7.0,1.00,12.5,1.8,11.5,7.0,12.5,39.5,57.5,13.4,100.00,7.9,238
2015-16,Pre+Season,Evan Fournier,203095,ORL,23,7,6,1,24.4,95.7,90.8,4.9,14.1,2.00,15.1,1.0,6.6,3.7,7.5,44.5,48.1,19.9,97.42,6.7,346
2015-16,Pre+Season,Festus Ezeli,203105,GSW,26,7,3,4,16.1,103.6,102.8,0.8,13.0,0.91,16.7,9.7,20.5,15.2,18.3,44.4,52.7,18.2,105.97,8.0,248
2015-16,Pre+Season,Gary Neal,202390,WAS,31,7,4,3,21.8,101.2,91.7,9.5,7.1,0.75,7.4,0.6,4.9,2.8,9.9,53.1,53.2,20.5,102.85,7.9,328
2015-16,Pre+Season,Gorgui Dieng,203476,MIN,26,7,2,5,25.3,104.5,109.8,-5.3,10.0,1.00,10.1,0.0,14.8,0.0,10.1,58.6,63.7,19.9,97.13,13.3,358
2015-16,Pre+Season,Ian Clark,203546,GSW,25,7,3,4,13.1,87.7,99.5,-11.8,21.3,1.11,16.4,1.7,6.3,3.8,14.8,44.9,48.7,21.7,105.85,4.8,203
2015-16,Pre+Season,James Jones,2592,CLE,35,7,1,6,19.7,95.5,92.7,2.7,8.8,1.40,11.9,0.7,7.7,4.3,8.5,45.3,51.1,16.6,99.86,6.5,286
2015-16,Pre+Season,James Michael McAdoo,203949,GSW,23,7,3,4,13.2,90.2,98.1,-7.8,5.6,0.50,7.1,6.7,17.2,11.8,14.3,63.6,54.6,17.1,106.84,9.7,205
2015-16,Pre+Season,James Young,203923,BOS,20,7,6,1,13.7,96.0,94.6,1.5,4.7,0.75,7.1,0.9,8.3,4.6,9.5,39.1,43.6,16.7,100.63,3.0,201
2015-16,Pre+Season,Jamil Wilson,203966,DAL,25,7,0,7,17.5,74.9,96.6,-21.7,17.2,2.75,25.0,0.0,8.5,3.9,9.1,23.1,29.7,11.4,103.17,3.6,263
2015-16,Pre+Season,Jared Cunningham,203099,CLE,25,7,1,6,25.3,92.9,98.7,-5.8,25.3,2.18,20.7,2.2,7.2,4.7,9.5,39.7,54.4,22.0,102.46,10.7,380
