SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,All+Star,B. Bogdanovic - R. Neto - N. Jokic - T. Lyles - M. Hezonja,WLD,1,2.4,4.0,8.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,8.0,2.0,0,0
2015-16,All+Star,A. Anderson - M. Lasry - J. Moore - M. Bogues -,USA,1,2.3,3.0,4.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,6.0,6.0,0,0
2015-16,All+Star,B. Bogdanovic - R. Neto - A. Wiggins - C. Capela - K. Porzingis,WLD,1,2.3,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-5.0,0,0
2015-16,All+Star,J. Moore - N. Cannon - J. Sudeikis - C. Billups - E. Delle Donne,USA,1,2.3,1.0,3.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0,0
2015-16,All+Star,K. Wu - M. Raonic - T. Sutton-Brown - T. McGrady - R. Fox,CAN,1,2.3,0.0,4.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,-1.0,0,0
2015-16,All+Star,L. James - C. Anthony - D. Wade - J. Wall - P. George,EST,1,2.3,2.0,8.0,25.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,-9.0,0,0
2015-16,All+Star,L. James - C. Anthony - D. Wade - K. Lowry - A. Drummond,EST,1,2.3,6.0,8.0,75.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,1.0,12.0,1.0,0,0
2015-16,All+Star,P. Gasol - D. DeRozan - J. Wall - I. Thomas - A. Drummond,EST,1,2.3,3.0,7.0,42.9,3.0,6.0,50.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,9.0,7.0,0,0
2015-16,All+Star,D. Scott - J. Scott - K. Wu - M. Raonic - T. McGrady,CAN,1,2.2,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0
2015-16,All+Star,R. Neto - D. Powell - C. Capela - T. Lyles - M. Hezonja,WLD,1,2.2,3.0,5.0,60.0,2.0,4.0,50.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0,0
2015-16,All+Star,A. Wiggins - N. Jokic - T. Lyles - E. Mudiay - M. Hezonja,WLD,1,2.0,2.0,6.0,33.3,0.0,2.0,0.0,2.0,2.0,100,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,-2.0,0,0
2015-16,All+Star,J. Scott - K. Wu - M. Raonic - T. Cavanagh - T. McGrady,CAN,1,2.0,4.0,4.0,100,0.0,0.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,2.0,0,0
2015-16,All+Star,R. Neto - D. Powell - N. Jokic - T. Lyles - M. Hezonja,WLD,1,2.0,3.0,6.0,50.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,8.0,3.0,0,0
2015-16,All+Star,J. Harden - S. Curry - D. Cousins - K. Thompson - D. Green,WST,1,1.9,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,-4.0,0,0
2015-16,All+Star,P. Gasol - K. Lowry - D. DeRozan - I. Thomas - A. Drummond,EST,1,1.9,4.0,6.0,66.7,2.0,4.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,4.0,0,0
2015-16,All+Star,P. Gasol - K. Lowry - P. Millsap - A. Horford - A. Drummond,EST,1,1.9,3.0,5.0,60.0,2.0,3.0,66.7,0.0,0.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,8.0,1.0,0,0
2015-16,All+Star,P. Gasol - K. Lowry - P. George - I. Thomas - A. Drummond,EST,1,1.8,1.0,5.0,20.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,-3.0,0,0
2015-16,All+Star,A. Wiggins - N. Jokic - K. Porzingis - E. Mudiay - M. Hezonja,WLD,1,1.6,4.0,4.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,1.0,0,0
2015-16,All+Star,L. James - K. Lowry - P. Millsap - A. Horford - A. Drummond,EST,1,1.6,3.0,4.0,75.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,3.0,0,0
2015-16,All+Star,Z. LaVine - J. Clarkson - J. Parker - J. Okafor - D. Booker,USA,1,1.6,2.0,3.0,66.7,0.0,1.0,0.0,3.0,4.0,75.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,7.0,1.0,0,0
2015-16,All+Star,A. Wiggins - C. Capela - K. Porzingis - E. Mudiay - M. Hezonja,WLD,1,1.5,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0,0
2015-16,All+Star,B. Bogdanovic - N. Jokic - K. Porzingis - T. Lyles - E. Mudiay,WLD,1,1.4,4.0,4.0,100,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,1.0,8.0,6.0,0,0
2015-16,All+Star,P. Gasol - P. Millsap - A. Horford - J. Wall - A. Drummond,EST,1,1.4,2.0,3.0,66.7,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,-4.0,0,0
2015-16,All+Star,P. Gasol - P. Millsap - D. DeRozan - J. Wall - A. Drummond,EST,1,1.3,1.0,3.0,33.3,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-1.0,0,0
2015-16,All+Star,A. Anderson - M. Lasry - J. Moore - C. Billups -,USA,1,1.2,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,0,0
2015-16,All+Star,C. Anthony - D. Wade - K. Lowry - D. DeRozan - P. George,EST,1,1.1,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0,0
2015-16,All+Star,K. Durant - R. Westbrook - S. Curry - A. Davis - D. Green,WST,1,1.1,1.0,4.0,25.0,1.0,4.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,-3.0,0,0
2015-16,All+Star,M. Lasry - J. Moore - O. Jackson Jr - M. Bogues -,USA,1,1.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0,0
2015-16,All+Star,D. Scott - J. Scott - M. Raonic - T. McGrady - B. Eugenie,CAN,1,0.9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-6.0,0,0
2015-16,All+Star,A. Anderson - M. Lasry - O. Jackson Jr -  - K. Hart,USA,1,0.8,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0,0
2015-16,All+Star,J. Jordan - J. Scott - S. James - T. Cavanagh - T. McGrady,CAN,1,0.8,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0,0
2015-16,All+Star,K. Bryant - K. Durant - S. Curry - D. Cousins - K. Leonard,WST,1,0.7,1.0,1.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0,0
2015-16,All+Star,J. Jordan - M. Raonic - S. James - T. McGrady - B. Eugenie,CAN,1,0.6,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,-2.0,0,0
2015-16,All+Star,P. Millsap - D. DeRozan - J. Wall - P. George - I. Thomas,EST,1,0.6,1.0,2.0,50.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,-3.0,0,0
2015-16,All+Star,A. Anderson - M. Lasry - J. Moore - C. Billups - K. Hart,USA,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0
2015-16,All+Star,D. Scott - M. Raonic - S. James - T. McGrady - B. Eugenie,CAN,1,0.4,0.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,25.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0,0
2015-16,All+Star,Z. LaVine - J. Clarkson - R. Hood - J. Parker - D. Booker,USA,1,0.4,2.0,6.0,33.3,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0,0
2015-16,All+Star,K. Bryant - K. Durant - R. Westbrook - S. Curry - D. Green,WST,1,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2016-17,Playoffs,S. Ibaka - D. DeRozan - J. Valanciunas - C. Joseph - N. Powell,TOR,1,19.7,15.0,32.0,46.9,4.0,8.0,50.0,8.0,11.0,72.7,3.0,18.0,21.0,5.0,6.0,0.0,2.0,1.0,9.0,10.0,42.0,5.0,0,0
2016-17,Playoffs,M. Gortat - J. Wall - M. Morris - B. Beal - O. Porter Jr.,WAS,13,19.3,14.2,33.0,43.1,4.2,11.8,35.7,5.4,7.6,70.7,3.2,12.4,15.6,9.7,6.2,2.3,1.2,2.4,8.5,7.1,38.1,-8.0,0,0
2016-17,Playoffs,L. James - J. Smith - K. Love - K. Irving - T. Thompson,CLE,18,17.9,15.1,32.6,46.2,4.8,12.2,39.5,5.6,7.1,78.1,3.7,10.1,13.8,10.1,4.6,2.8,1.3,1.9,7.9,6.4,40.5,-3.6,0,0
2016-17,Playoffs,R. Westbrook - T. Gibson - A. Roberson - S. Adams - V. Oladipo,OKC,5,16.2,10.8,30.6,35.3,2.4,13.6,17.6,7.4,9.2,80.4,5.4,9.6,15.0,5.4,5.2,3.4,1.2,3.0,7.0,7.2,31.4,-6.4,0,0
2016-17,Playoffs,C. Paul - J. Redick - D. Jordan - L. Mbah a Moute - B. Griffin,LAC,3,15.6,12.0,22.7,52.9,3.0,6.0,50.0,4.0,6.7,60.0,2.0,10.3,12.3,7.3,6.3,2.3,1.3,1.7,6.3,6.7,31.0,1.3,0,0
2016-17,Playoffs,D. Wade - R. Rondo - R. Lopez - N. Mirotic - J. Butler,CHI,2,15.6,12.5,25.5,49.0,4.0,11.5,34.8,4.5,7.0,64.3,4.0,9.0,13.0,8.0,7.0,2.5,1.0,2.0,6.5,5.0,33.5,-6.5,0,0
2016-17,Playoffs,D. Wade - R. Lopez - N. Mirotic - J. Butler - I. Canaan,CHI,3,14.9,11.7,26.7,43.8,3.0,12.0,25.0,4.7,5.3,87.5,3.7,8.7,12.3,6.7,3.7,2.7,0.3,1.7,3.7,5.7,31.0,3.0,0,0
2016-17,Playoffs,D. Howard - P. Millsap - D. Schroder - T. Hardaway Jr. - T. Prince,ATL,6,14.6,13.0,27.0,48.1,3.5,8.3,42.0,4.2,4.7,89.3,2.2,11.3,13.5,8.0,2.7,2.0,2.2,0.7,7.3,5.8,33.7,2.5,0,0
2016-17,Playoffs,K. Middleton - T. Snell - G. Antetokounmpo - T. Maker - M. Brogdon,MIL,6,14.6,9.8,24.5,40.1,2.2,7.5,28.9,6.7,7.5,88.9,2.2,10.3,12.5,5.0,3.3,3.0,1.3,2.2,5.3,7.3,28.5,-0.8,0,0
2016-17,Playoffs,K. Lowry - S. Ibaka - D. DeRozan - D. Carroll - N. Powell,TOR,3,14.5,10.0,22.0,45.5,2.3,7.0,33.3,4.3,6.3,68.4,1.3,10.0,11.3,6.0,5.3,2.7,2.3,1.7,6.7,6.0,26.7,-5.3,0,0
2016-17,Playoffs,M. Ellis - T. Young - J. Teague - P. George - M. Turner,IND,3,13.0,12.3,21.3,57.8,4.3,8.0,54.2,2.0,3.7,54.5,2.3,6.7,9.0,6.3,6.0,2.0,2.0,1.0,6.3,4.3,31.0,1.0,0,0
2016-17,Playoffs,M. Gortat - J. Wall - B. Beal - O. Porter Jr. - K. Oubre Jr.,WAS,2,12.4,14.5,24.0,60.4,7.0,12.5,56.0,2.5,3.5,71.4,3.0,5.5,8.5,9.0,3.5,3.5,1.5,2.5,6.5,3.5,38.5,7.5,0,0
2016-17,Playoffs,Z. Pachulia - K. Durant - S. Curry - K. Thompson - D. Green,GSW,13,11.5,9.6,21.5,44.8,3.5,8.5,41.4,3.0,3.8,78.0,2.3,6.9,9.2,5.8,3.6,2.2,0.8,1.4,5.0,4.8,25.8,-4.1,0,0
2016-17,Playoffs,B. Diaw - G. Hill - D. Favors - G. Hayward - J. Ingles,UTA,4,11.2,9.5,19.8,48.1,2.0,5.0,40.0,1.3,2.5,50.0,2.8,7.5,10.3,4.5,3.3,1.8,1.3,0.8,5.3,5.3,22.3,0.8,0,0
2016-17,Playoffs,V. Carter - Z. Randolph - M. Conley - M. Gasol - J. Ennis III,MEM,6,11.1,8.0,17.2,46.6,1.3,3.7,36.4,5.2,5.2,100,2.5,7.3,9.8,3.0,2.3,1.3,0.8,0.7,3.7,4.5,22.5,3.3,0,0
2016-17,Playoffs,K. Lowry - S. Ibaka - D. DeRozan - D. Carroll - J. Valanciunas,TOR,4,10.9,11.3,21.5,52.3,4.0,6.8,59.3,2.3,3.0,75.0,2.0,8.3,10.3,8.3,1.3,1.5,1.5,1.0,3.5,3.8,28.8,5.8,0,0
2016-17,Playoffs,G. Green - A. Horford - A. Bradley - I. Thomas - J. Crowder,BOS,8,10.7,8.5,18.8,45.3,2.0,5.6,35.6,3.5,4.6,75.7,3.5,7.4,10.9,4.5,3.1,1.4,1.0,0.3,3.4,4.1,22.5,-0.8,0,0
2016-17,Playoffs,E. Turner - A. Aminu - D. Lillard - C. McCollum - N. Vonleh,POR,2,10.4,9.5,17.5,54.3,3.0,7.0,42.9,3.0,3.5,85.7,1.0,6.5,7.5,6.0,3.0,2.5,1.5,0.0,3.5,2.5,25.0,3.5,0,0
2016-17,Playoffs,B. Diaw - G. Hayward - S. Mack - R. Gobert - J. Ingles,UTA,2,10.1,8.5,17.0,50.0,1.5,5.0,30.0,3.0,3.0,100,1.0,8.5,9.5,5.5,2.5,2.5,2.0,0.5,3.0,3.5,21.5,5.0,0,0
2016-17,Playoffs,E. Turner - D. Lillard - M. Harkless - C. McCollum - N. Vonleh,POR,3,10.1,10.7,19.7,54.2,2.7,7.3,36.4,5.0,5.0,100,2.0,9.3,11.3,7.7,3.3,1.7,2.7,1.7,5.0,5.0,29.0,8.0,0,0
2016-17,Playoffs,T. Parker - D. Lee - L. Aldridge - D. Green - K. Leonard,SAS,6,10.1,7.5,15.8,47.4,2.2,5.2,41.9,3.2,3.5,90.5,1.2,6.8,8.0,4.7,2.7,1.3,0.8,0.2,3.5,2.3,20.3,1.0,0,0
2016-17,Playoffs,Z. Pachulia - S. Curry - K. Thompson - D. Green - P. McCaw,GSW,2,10.1,8.0,18.5,43.2,2.5,7.5,33.3,1.5,2.0,75.0,1.0,8.5,9.5,3.5,5.0,2.0,2.0,3.0,3.0,3.0,20.0,-1.5,0,0
2016-17,Playoffs,C. Miles - T. Young - J. Teague - P. George - M. Turner,IND,3,10.0,8.3,17.7,47.2,3.3,6.3,52.6,3.7,5.0,73.3,3.0,8.0,11.0,4.7,3.3,2.0,0.7,0.7,3.3,4.7,23.7,4.0,0,0
2016-17,Playoffs,T. Ariza - R. Anderson - J. Harden - P. Beverley - C. Capela,HOU,11,10.0,8.7,17.5,50.0,1.5,4.5,32.0,2.3,3.9,58.1,2.5,7.2,9.6,5.2,3.3,2.0,1.9,1.1,4.0,3.2,21.2,2.1,0,0
2016-17,Playoffs,P. Gasol - L. Aldridge - D. Green - K. Leonard - D. Murray,SAS,2,9.6,7.5,19.0,39.5,3.5,9.0,38.9,3.0,3.5,85.7,2.0,5.0,7.0,5.5,2.0,2.5,1.0,3.0,3.0,3.0,21.5,2.0,0,0
2016-17,All+Star,L. James - D. DeRozan - K. Irving - J. Butler - G. Antetokounmpo,EST,1,12.2,20.0,36.0,55.6,3.0,14.0,21.4,1.0,2.0,50.0,5.0,8.0,13.0,11.0,6.0,4.0,0.0,1.0,4.0,2.0,44.0,-10.0,0,0
2016-17,All+Star,K. Durant - J. Harden - S. Curry - K. Leonard - A. Davis,WST,1,11.2,21.0,32.0,65.6,4.0,9.0,44.4,2.0,2.0,100,1.0,9.0,10.0,12.0,5.0,7.0,1.0,0.0,1.0,3.0,48.0,0.0,0,0
2016-17,All+Star,B. Armstrong - W. Butler - P. Rosenberg - L. Whalen - J. Williams,EST,1,11.0,4.0,21.0,19.0,0.0,12.0,0.0,2.0,4.0,50.0,6.0,7.0,13.0,1.0,3.0,1.0,0.0,0.0,2.0,3.0,10.0,-11.0,0,0
2016-17,All+Star,D. Russell - K. Towns - D. Booker - M. Turner - M. Chriss,USA,1,11.0,21.0,33.0,63.6,5.0,14.0,35.7,1.0,2.0,50.0,4.0,7.0,11.0,14.0,1.0,2.0,0.0,0.0,2.0,2.0,48.0,12.0,0,0
2016-17,All+Star,D. Exum - D. Saric - N. Jokic - K. Porzingis - B. Hield,WLD,1,10.6,14.0,25.0,56.0,4.0,11.0,36.4,2.0,2.0,100,4.0,7.0,11.0,4.0,8.0,3.0,1.0,1.0,3.0,2.0,34.0,-7.0,0,0
