SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2015-16,Pre+Season,NYK,New York Knicks,17.0,29.7,57.3,3.0,8.5,35.3,1.8,5.3,34.4,4.5,11.7,38.6,4.5,12.8,35.1,4.0,16.7,24.0
2015-16,Pre+Season,OKC,Oklahoma City Thunder,16.0,28.0,57.1,3.0,7.8,38.3,3.8,7.8,48.9,4.5,12.2,37.0,6.8,21.5,31.8,0.5,4.5,11.1
2015-16,Pre+Season,ORL,Orlando Magic,12.3,21.3,57.6,3.0,6.0,50.0,2.0,6.0,33.3,4.0,12.5,32.0,5.8,17.6,32.6,4.1,14.1,29.2
2015-16,Pre+Season,PHI,Philadelphia 76ers,15.9,27.3,58.1,4.9,10.1,47.9,2.4,6.7,36.2,6.1,14.7,41.7,4.1,12.0,34.5,4.6,12.7,36.0
2015-16,Pre+Season,PHX,Phoenix Suns,17.5,30.7,57.1,4.7,11.3,41.2,1.3,5.0,26.7,3.7,7.7,47.8,6.8,21.3,32.0,1.0,7.5,13.3
2015-16,Pre+Season,POR,Portland Trail Blazers,14.9,27.9,53.3,3.3,8.0,41.1,1.0,4.7,21.2,5.3,12.6,42.0,7.0,19.3,36.3,4.4,11.3,39.2
2015-16,Pre+Season,SAC,Sacramento Kings,13.8,26.0,53.2,3.0,8.5,35.3,2.3,5.7,41.2,6.5,13.7,47.6,6.3,19.8,31.9,4.5,12.7,35.5
2015-16,Pre+Season,SAS,San Antonio Spurs,14.3,24.0,59.7,3.0,7.0,42.9,2.0,7.2,27.9,5.8,14.3,40.7,6.5,18.5,35.1,2.3,8.7,26.9
2015-16,Pre+Season,TOR,Toronto Raptors,14.6,22.0,66.2,2.6,7.4,34.6,1.3,4.7,27.3,5.0,13.6,36.8,6.4,17.4,36.9,2.4,8.4,28.8
2015-16,Pre+Season,UTA,Utah Jazz,16.3,29.6,55.1,2.7,7.0,38.8,2.1,4.9,44.1,4.7,13.0,36.3,7.1,21.1,33.8,3.1,8.9,35.5
2015-16,Pre+Season,WAS,Washington Wizards,14.9,28.0,53.1,3.0,7.9,38.2,3.4,7.0,49.0,5.7,12.7,44.9,4.6,13.9,33.0,5.9,16.7,35.0
2015-16,Regular+Season,ATL,Atlanta Hawks,16.6,30.0,55.5,3.2,7.8,41.5,2.5,6.9,36.7,5.1,13.2,38.5,7.0,19.4,36.0,2.7,8.4,32.1
2015-16,Regular+Season,BOS,Boston Celtics,17.1,29.6,57.9,3.7,9.7,38.5,2.8,7.0,39.7,4.6,11.9,38.8,5.8,15.6,37.1,3.4,10.7,31.8
2015-16,Regular+Season,BKN,Brooklyn Nets,20.0,32.3,62.1,3.2,7.6,42.6,2.2,5.7,39.1,4.5,10.6,42.4,7.1,18.0,39.4,3.7,10.6,35.0
2015-16,Regular+Season,CHA,Charlotte Hornets,16.0,27.5,58.1,3.2,8.5,37.4,2.7,6.5,42.4,5.9,13.9,42.4,6.1,16.7,36.5,3.8,11.3,33.3
2015-16,Regular+Season,CHI,Chicago Bulls,18.1,32.2,56.1,3.5,8.9,38.9,2.9,7.3,39.4,5.1,12.7,40.4,6.8,18.1,37.3,3.1,9.9,31.8
2015-16,Regular+Season,CLE,Cleveland Cavaliers,15.9,27.1,58.7,4.2,10.0,41.9,3.1,7.4,41.8,4.5,11.6,38.8,5.6,15.2,36.9,3.5,10.5,33.4
2015-16,Regular+Season,DAL,Dallas Mavericks,16.3,26.9,60.7,3.7,9.2,39.7,3.0,7.0,42.3,5.0,12.0,42.0,7.4,20.4,36.0,2.9,9.0,32.0
2015-16,Regular+Season,DEN,Denver Nuggets,17.9,30.3,59.2,3.1,7.5,41.1,2.2,5.5,40.5,4.7,12.0,38.9,7.1,17.9,39.9,3.7,10.5,35.2
2015-16,Regular+Season,DET,Detroit Pistons,16.9,28.6,58.9,4.5,10.5,43.1,3.6,8.3,42.8,5.5,13.4,41.3,4.1,11.0,36.9,4.2,11.9,35.2
2015-16,Regular+Season,GSW,Golden State Warriors,17.3,30.0,57.7,4.0,10.6,37.5,3.4,8.5,39.7,5.1,13.5,37.8,4.8,13.2,36.1,4.3,13.0,32.9
2015-16,Regular+Season,HOU,Houston Rockets,18.5,30.4,60.8,3.2,8.2,39.5,2.3,6.1,38.4,4.0,10.2,38.8,7.5,19.6,38.3,3.5,10.2,33.8
2015-16,Regular+Season,IND,Indiana Pacers,17.2,29.7,57.8,2.8,7.3,38.7,2.7,6.8,40.4,5.2,13.1,39.3,5.4,15.6,34.5,4.0,11.8,34.0
2015-16,Regular+Season,LAC,LA Clippers,16.7,29.4,56.8,3.2,8.0,40.0,2.9,7.2,39.5,4.7,13.0,36.4,5.2,14.9,35.1,4.0,11.5,34.6
2015-16,Regular+Season,LAL,Los Angeles Lakers,19.9,31.5,63.3,3.2,7.9,41.2,2.8,6.8,41.8,4.8,11.7,40.5,6.2,17.2,36.3,3.4,10.1,33.8
2015-16,Regular+Season,MEM,Memphis Grizzlies,15.5,26.3,59.0,3.3,7.4,44.5,1.9,5.4,34.9,4.0,9.2,43.9,7.1,18.7,37.9,4.1,11.4,36.3
2015-16,Regular+Season,MIA,Miami Heat,15.9,28.2,56.3,4.2,10.0,42.1,3.3,8.1,40.8,5.2,13.2,39.7,5.9,16.6,35.4,2.7,7.8,34.3
2015-16,Regular+Season,MIL,Milwaukee Bucks,18.7,32.2,57.9,2.7,6.7,40.3,2.5,5.6,44.3,3.5,9.3,37.8,5.8,15.8,36.7,4.6,12.9,35.4
2015-16,Regular+Season,MIN,Minnesota Timberwolves,19.4,31.1,62.3,3.2,8.1,39.1,2.4,5.7,41.4,4.2,10.0,42.1,7.2,19.6,36.6,3.5,9.7,36.0
2015-16,Regular+Season,NOP,New Orleans Pelicans,17.6,28.2,62.4,3.4,8.0,42.1,2.7,7.0,39.2,4.9,12.1,40.6,6.1,15.9,38.4,4.4,12.1,36.8
2015-16,Regular+Season,NYK,New York Knicks,17.8,32.1,55.3,3.2,8.1,40.0,3.1,7.2,42.9,4.8,12.4,38.7,6.3,16.0,39.1,2.8,9.5,29.1
2015-16,Regular+Season,OKC,Oklahoma City Thunder,19.2,34.1,56.3,2.9,8.3,35.1,2.7,6.8,40.0,4.4,11.7,37.5,6.4,17.9,35.6,2.7,8.4,32.6
2015-16,Regular+Season,ORL,Orlando Magic,17.9,30.1,59.4,3.1,8.1,38.8,2.8,6.7,41.5,4.5,11.0,41.1,6.0,15.6,38.4,4.0,11.5,35.1
2015-16,Regular+Season,PHI,Philadelphia 76ers,18.3,31.2,58.6,3.8,9.1,41.1,3.0,7.2,41.2,5.8,13.5,42.6,4.8,11.7,40.8,4.1,12.1,33.7
2015-16,Regular+Season,PHX,Phoenix Suns,17.7,29.4,60.3,3.4,8.5,40.4,2.5,5.8,43.0,4.8,11.9,40.2,7.1,18.4,38.5,3.6,9.4,38.3
2015-16,Regular+Season,POR,Portland Trail Blazers,16.0,28.5,55.9,3.8,8.8,43.5,2.6,6.8,38.6,5.5,13.1,42.4,7.2,18.7,38.4,3.2,8.5,37.9
2015-16,Regular+Season,SAC,Sacramento Kings,17.2,27.8,61.8,3.9,9.7,40.2,2.7,6.4,41.8,4.9,11.5,42.3,7.5,20.0,37.6,4.4,11.8,37.1
2015-16,Regular+Season,SAS,San Antonio Spurs,15.4,27.9,55.4,3.9,9.3,41.9,3.0,7.6,40.0,5.5,13.7,40.2,5.0,14.6,34.5,2.7,8.2,33.4
2015-16,Regular+Season,TOR,Toronto Raptors,16.0,28.5,56.2,3.4,8.9,38.2,2.1,6.0,35.8,4.7,11.6,40.7,6.3,16.3,38.8,3.8,10.4,36.4
2015-16,Regular+Season,UTA,Utah Jazz,16.0,28.4,56.4,3.1,8.1,38.6,2.6,6.4,40.0,4.6,11.0,41.6,7.5,20.0,37.4,1.8,5.6,32.3
2015-16,Regular+Season,WAS,Washington Wizards,16.6,27.5,60.5,3.3,8.2,39.9,3.0,7.2,42.1,5.1,12.4,41.0,5.7,14.9,38.2,4.9,13.0,37.5
2015-16,Playoffs,ATL,Atlanta Hawks,16.0,32.1,49.8,1.1,4.1,26.8,2.0,5.0,40.0,3.4,9.5,35.8,10.6,27.2,39.0,3.2,9.6,33.3
2015-16,Playoffs,BOS,Boston Celtics,18.8,33.3,56.5,3.2,6.5,48.7,2.3,5.0,46.7,1.8,6.7,27.5,8.2,25.8,31.6,2.7,9.7,27.6
2015-16,Playoffs,CHA,Charlotte Hornets,15.1,24.1,62.7,5.0,10.7,46.7,4.4,9.9,44.9,4.0,14.4,27.7,7.1,15.7,45.5,2.1,5.7,37.5
2015-16,Playoffs,CLE,Cleveland Cavaliers,14.8,24.7,60.0,3.0,7.7,38.3,3.0,7.2,41.4,3.5,8.6,40.6,5.4,15.6,34.9,5.6,15.2,36.7
2015-16,Playoffs,DAL,Dallas Mavericks,17.4,27.2,64.0,2.8,7.6,36.8,3.4,9.8,34.7,4.8,9.0,53.3,8.8,23.0,38.3,2.2,5.2,42.3
