SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,VS_PLAYER_NAME,GP,W,L,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,All+Star,Jokić, Nikola,203999,WLD,1,0,1,33.8,60.0,96.0,62.5,18.0,34.0,52.9,8.0,10.0,80.0,6.0,18.0,24.0,38.0,8.0,10.0,2.0,4.0,2.0,10.0,146.0,18.0,0,0
2015-16,All+Star,LaVine, Zach,203897,USA,1,1,0,32.9,58.3,100.0,58.3,13.9,36.1,38.5,4.2,5.6,75.0,18.1,27.8,45.8,40.3,13.9,6.9,1.4,1.4,9.7,2.8,134.7,12.5,0,0
2015-16,All+Star,Leonard, Kawhi,202695,WST,1,1,0,30.9,51.8,92.8,55.8,14.5,44.6,32.4,0.0,0.0,0.0,12.0,28.9,41.0,25.3,21.7,7.2,1.2,0.0,7.2,2.4,118.1,-13.3,0,0
2015-16,All+Star,Lowry, Kyle,200768,EST,1,0,1,31.0,58.7,100.0,58.7,21.7,56.5,38.5,1.1,2.2,50.0,8.7,27.2,35.9,33.7,9.8,16.3,0.0,1.1,4.3,6.5,140.2,30.4,0,0
2015-16,All+Star,Lyles, Trey,577592,WLD,1,0,1,35.0,57.1,105.7,54.1,11.4,37.1,30.8,5.7,8.6,66.7,8.6,25.7,34.3,42.9,5.7,17.1,0.0,2.9,2.9,8.6,131.4,31.4,0,0
2015-16,All+Star,Millsap, Paul,200794,EST,1,0,1,32.9,56.9,100.0,56.9,27.6,55.2,50.0,0.0,0.0,0.0,12.1,32.8,44.8,34.5,6.9,5.2,0.0,0.0,3.4,5.2,141.4,15.5,0,0
2015-16,All+Star,Mudiay, Emmanuel,1626144,WLD,1,0,1,33.8,56.8,94.6,60.0,16.2,36.5,44.4,10.8,12.2,88.9,10.8,13.5,24.3,31.1,12.2,12.2,1.4,2.7,6.8,9.5,140.5,1.4,0,0
2015-16,All+Star,Neto, Raul,203526,WLD,1,0,1,36.0,54.0,114.0,47.4,16.0,44.0,36.4,0.0,0.0,0.0,18.0,24.0,42.0,30.0,6.0,14.0,0.0,2.0,0.0,6.0,124.0,2.0,0,0
2015-16,All+Star,Okafor, Jahlil,1626143,USA,1,1,0,35.9,54.0,84.0,64.3,10.0,26.0,38.5,10.0,16.0,62.5,14.0,26.0,40.0,34.0,18.0,10.0,4.0,0.0,8.0,10.0,128.0,-22.0,0,0
2015-16,All+Star,Parker, Jabari,203953,USA,1,1,0,32.9,58.3,100.0,58.3,13.9,36.1,38.5,4.2,5.6,75.0,18.1,27.8,45.8,40.3,13.9,6.9,1.4,1.4,9.7,2.8,134.7,12.5,0,0
2015-16,All+Star,Paul, Chris,101108,WST,1,1,0,36.2,52.8,98.1,53.8,13.2,34.0,38.9,5.7,9.4,60.0,9.4,28.3,37.7,18.9,9.4,9.4,1.9,0.0,3.8,9.4,124.5,-9.4,0,0
2015-16,All+Star,Payton, Elfrid,203901,USA,1,1,0,36.3,55.6,86.7,64.1,11.1,26.7,41.7,4.4,8.9,50.0,13.3,26.7,40.0,35.6,20.0,8.9,4.4,0.0,4.4,6.7,126.7,-26.7,0,0
2015-16,All+Star,Porziņģis, Kristaps,204001,WLD,1,0,1,34.6,57.5,97.5,59.0,15.0,37.5,40.0,7.5,8.8,85.7,11.3,15.0,26.3,31.3,11.3,11.3,1.3,2.5,6.3,7.5,137.5,-2.5,0,0
2015-16,All+Star,Powell, Dwight,203939,WLD,1,0,1,34.8,54.3,100.0,54.3,23.9,52.2,45.8,8.7,8.7,100,8.7,17.4,26.1,26.1,10.9,10.9,0.0,4.3,4.3,6.5,141.3,2.2,0,0
2015-16,All+Star,Russell, D'Angelo,1626156,USA,1,1,0,36.3,55.6,86.7,64.1,11.1,26.7,41.7,4.4,8.9,50.0,13.3,26.7,40.0,35.6,20.0,8.9,4.4,0.0,4.4,6.7,126.7,-26.7,0,0
2015-16,All+Star,Smart, Marcus,203935,USA,1,1,0,32.8,57.6,95.5,60.3,15.2,34.8,43.5,0.0,0.0,0.0,12.1,28.8,40.9,42.4,15.2,6.1,1.5,1.5,7.6,0.0,130.3,9.1,0,0
2015-16,All+Star,Thomas, Isaiah,202738,EST,1,0,1,33.3,56.1,107.0,52.5,26.3,63.2,41.7,0.0,0.0,0.0,12.3,33.3,45.6,31.6,5.3,8.8,0.0,0.0,5.3,5.3,138.6,31.6,0,0
2015-16,All+Star,Thompson, Klay,202691,WST,1,1,0,36.4,53.4,96.6,55.4,12.1,31.0,38.9,5.2,8.6,60.0,8.6,29.3,37.9,20.7,10.3,8.6,1.7,0.0,3.4,10.3,124.1,-15.5,0,0
2015-16,All+Star,Towns, Karl-Anthony,1626157,USA,1,1,0,32.8,57.6,95.5,60.3,15.2,34.8,43.5,0.0,0.0,0.0,12.1,28.8,40.9,42.4,15.2,6.1,1.5,1.5,7.6,0.0,130.3,9.1,0,0
2015-16,All+Star,Wade, Dwyane,2548,EST,1,0,1,31.4,56.2,100.0,56.2,12.3,46.6,26.5,1.4,2.7,50.0,12.3,24.7,37.0,37.0,12.3,19.2,0.0,2.7,4.1,4.1,126.0,8.2,0,0
2015-16,All+Star,Wall, John,202322,EST,1,0,1,35.4,50.9,103.6,49.1,20.0,50.9,39.3,0.0,0.0,0.0,16.4,30.9,47.3,36.4,9.1,9.1,0.0,1.8,7.3,3.6,121.8,-9.1,0,0
2015-16,All+Star,Westbrook, Russell,201566,WST,1,1,0,30.0,48.6,90.5,53.7,13.5,44.6,30.3,0.0,0.0,0.0,9.5,29.7,39.2,23.0,21.6,8.1,1.4,0.0,4.1,2.7,110.8,-16.2,0,0
2015-16,All+Star,Wiggins, Andrew,203952,WLD,1,0,1,34.5,54.7,98.8,55.3,17.4,40.7,42.9,9.3,9.3,100,12.8,14.0,26.7,26.7,10.5,9.3,1.2,2.3,4.7,8.1,136.0,-11.6,0,0
