SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
2022-23,Regular+Season,SAC,1610612758,Sacramento Kings,Domantas Sabonis,1627734,SAC,F-C,79,79,47.5,5.4,8.7,61.7,65.1,-3.4
2022-23,Regular+Season,DEN,1610612743,Denver Nuggets,Nikola Jokić,203999,DEN,C,69,69,42.5,5.6,8.6,65.2,64.7,0.5
2022-23,Regular+Season,IND,1610612754,Indiana Pacers,Myles Turner,1626167,IND,C-F,62,62,48.3,4.8,8.3,58.4,65.0,-6.6
2022-23,Regular+Season,PHI,1610612755,Philadelphia 76ers,Joel Embiid,203954,PHI,C-F,66,66,42.3,5.1,8.1,63.2,64.5,-1.4
2022-23,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Evan Mobley,1630596,CLE,C,79,79,45.0,4.7,8.1,57.5,63.7,-6.1
2022-23,Regular+Season,MIL,1610612749,Milwaukee Bucks,Brook Lopez,201572,MIL,C,78,78,35.7,4.2,8.1,51.7,64.9,-13.2
2022-23,Regular+Season,WAS,1610612764,Washington Wizards,Kristaps Porziņģis,204001,WAS,F-C,65,63,45.9,4.3,8.1,53.6,64.5,-10.9
2022-23,Regular+Season,CHI,1610612741,Chicago Bulls,Nikola Vučević,202696,CHI,C,82,81,45.1,5.1,7.7,66.9,65.2,1.7
2022-23,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Rudy Gobert,203497,MIN,C,70,70,41.3,4.3,7.5,56.7,64.4,-7.8
2022-23,Regular+Season,TOR,1610612761,Toronto Raptors,Jakob Poeltl,1627751,TOR,C,72,72,47.2,4.5,7.5,60.5,64.4,-3.9
2022-23,Regular+Season,POR,1610612757,Portland Trail Blazers,Jusuf Nurkić,203994,POR,C,52,51,45.6,4.6,7.4,61.7,65.3,-3.6
2022-23,Regular+Season,HOU,1610612745,Houston Rockets,Alperen Sengun,1630578,HOU,C,75,75,47.4,4.5,7.3,61.6,64.8,-3.2
2022-23,Regular+Season,LAL,1610612747,Los Angeles Lakers,Anthony Davis,203076,LAL,F-C,56,56,40.7,4.1,7.0,58.9,65.5,-6.6
