SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT
2015-16,Pre+Season,MIA,,28,13,15,30.8,16.8,4.4,43.6,4.1,37.5,3.2,38.2,3.6,64.2,1.0,37.0,2.0,57.1,49.5,0,0
2015-16,Pre+Season,BOS,,33,22,11,11.6,2.8,0.3,100,1.8,41.7,0.4,71.4,0.1,66.7,0.0,0.0,0.0,0.0,68.9,0,0
2015-16,Pre+Season,BKN,,12,3,9,16.9,5.4,2.4,52.6,1.8,28.0,0.7,25.0,0.3,20.0,0.0,0.0,0.0,0.0,42.7,0,0
2015-16,Pre+Season,IND,,28,6,22,24.1,6.7,1.0,37.5,3.3,32.0,0.7,38.1,0.4,40.0,0.0,0.0,0.1,0.0,47.7,0,0
2015-16,Pre+Season,IND,,24,5,19,32.1,17.8,4.0,45.7,4.3,42.7,5.0,39.3,2.6,71.0,0.1,0.0,1.0,52.9,50.6,0,0
2015-16,Pre+Season,WAS,,23,7,16,27.2,10.3,2.6,39.1,2.9,28.9,0.2,10.5,1.6,76.2,0.0,0.0,0.5,75.0,44.4,0,0
2015-16,Pre+Season,SAS,,11,8,3,5.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.7,66.7,0.0,0.0,0.0,0.0,66.7,0,0
2015-16,Pre+Season,POR,,6,4,2,16.3,6.0,2.7,58.3,1.0,16.7,0.7,28.6,0.3,50.0,0.0,0.0,0.0,0.0,44.1,0,0
2015-16,Pre+Season,MIL,,37,17,20,23.5,13.0,0.9,47.1,6.2,45.3,2.7,51.1,2.2,57.8,1.5,50.0,0.6,61.1,58.4,0,0
2015-16,Pre+Season,DET,,6,5,1,8.8,2.8,0.3,33.3,1.5,27.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.5,0,0
2015-16,Pre+Season,LAC,,16,5,11,22.5,8.0,2.2,45.8,1.9,27.0,3.9,42.9,0.1,33.3,0.0,0.0,0.0,0.0,47.9,0,0
2015-16,Pre+Season,MIN,,29,19,10,13.9,6.4,1.3,57.1,1.8,31.6,2.0,43.8,0.1,66.7,0.0,0.0,0.1,100,55.8,0,0
2015-16,Pre+Season,LAC,,6,2,4,20.2,8.2,0.7,10.0,3.5,43.8,1.3,22.2,1.3,50.0,0.0,0.0,0.0,0.0,44.8,0,0
2015-16,Pre+Season,OKC,,29,24,5,11.2,5.2,0.1,20.0,1.9,34.6,0.1,33.3,2.6,80.0,0.0,0.0,0.5,66.7,61.8,0,0
2015-16,Pre+Season,GSW,,39,21,18,27.1,11.9,3.3,51.1,3.4,38.8,3.9,39.6,0.8,59.1,0.1,100,0.5,66.7,55.3,0,0
2015-16,Pre+Season,MEM,,2,1,1,10.2,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,50.0,0.0,0.0,1.0,50.0,33.3,0,0
2015-16,Pre+Season,TOR,,38,23,15,33.7,21.8,6.2,52.3,4.9,37.5,8.3,46.9,1.8,78.0,1.1,48.5,0.6,42.3,52.4,0,0
2015-16,Pre+Season,CHA,,22,11,11,29.7,19.4,5.2,40.7,6.4,36.2,4.5,32.8,1.4,75.0,0.0,0.0,1.0,58.8,48.4,0,0
2015-16,Pre+Season,DAL,,33,13,20,22.5,11.8,6.5,47.6,1.2,19.7,1.8,38.6,0.2,50.0,0.0,0.0,0.1,66.7,45.9,0,0
2015-16,Pre+Season,UTA,,36,11,25,19.8,10.1,2.6,63.6,3.7,33.8,2.0,35.3,0.3,30.0,0.0,0.0,0.1,33.3,52.2,0,0
2015-16,Pre+Season,LAL,,19,9,10,7.8,1.5,0.3,33.3,0.6,33.3,0.5,25.0,0.2,66.7,0.0,0.0,0.0,0.0,38.6,0,0
2015-16,Pre+Season,LAC,,31,14,17,16.9,6.3,0.4,23.1,4.3,34.4,0.7,37.0,0.8,52.6,0.6,57.1,0.3,33.3,48.1,0,0
2015-16,Pre+Season,OKC,,21,18,3,7.6,1.4,0.3,50.0,0.1,16.7,0.0,0.0,0.4,100,0.0,0.0,0.0,0.0,46.3,0,0
2015-16,Pre+Season,DEN,,38,25,13,24.7,7.2,1.3,34.5,1.5,33.9,0.4,24.2,2.1,63.0,0.0,0.0,0.7,61.1,50.0,0,0
2015-16,Pre+Season,NOP,,25,5,20,19.7,8.0,2.8,39.7,2.0,44.7,1.0,45.8,0.5,80.0,0.0,0.0,0.1,50.0,55.4,0,0
2015-16,Pre+Season,WAS,,37,10,27,27.3,9.5,1.4,33.3,3.2,41.5,4.7,44.5,0.1,50.0,0.0,0.0,0.0,0.0,52.3,0,0
2015-16,Pre+Season,GSW,,33,16,17,17.4,7.5,0.9,60.0,3.6,35.7,1.0,27.1,1.0,65.2,0.0,0.0,0.6,90.9,53.0,0,0
2015-16,Pre+Season,ATL,,35,10,25,30.9,18.8,5.3,50.3,4.1,39.2,8.4,45.8,0.3,50.0,0.0,0.0,0.6,66.7,54.4,0,0
2015-16,Pre+Season,DET,,32,23,9,35.6,26.7,11.2,49.3,2.0,28.8,8.5,42.7,0.9,47.4,0.8,60.0,0.6,53.3,51.4,0,0
2015-16,Pre+Season,ATL,,9,5,4,4.9,2.2,0.0,0.0,1.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,50.0,60.7,0,0
