SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2017-18,pre-season,-,10/13/2017,W,48,15,0,2,36,18,0,0,46,0
2017-18,pre-season,-,10/13/2017,W,48,25,0,10,48,17,0,4,48,0
2017-18,pre-season,-,10/13/2017,W,48,19,0,4,36,26,0,10,50,0
2017-18,pre-season,-,10/13/2017,W,48,22,0,9,38,25,0,19,50,0
2017-18,pre-season,-,10/13/2017,L,48,13,8,5,30,11,15,3,34,0
2017-18,pre-season,-,10/13/2017,L,48,18,0,0,46,15,0,2,36,0
2017-18,pre-season,-,10/13/2017,L,48,26,0,10,50,19,0,4,36,0
2017-18,pre-season,-,10/13/2017,L,48,25,0,19,50,22,0,9,38,0
2017-18,pre-season,-,10/13/2017,L,48,22,0,9,32,15,0,10,42,0
2017-18,pre-season,-,10/13/2017,L,48,16,0,14,32,9,0,23,42,0
2017-18,pre-season,-,10/13/2017,L,48,8,0,5,42,28,0,5,46,0
2017-18,pre-season,-,10/13/2017,L,48,17,0,4,48,25,0,10,48,0
2017-18,pre-season,-,10/13/2017,L,48,21,0,10,42,22,0,15,48,0
2017-18,pre-season,-,10/13/2017,L,48,11,0,6,36,32,0,9,50,0
2017-18,pre-season,-,10/13/2017,L,48,14,0,11,44,29,0,20,54,0
2017-18,pre-season,-,10/13/2017,L,48,18,0,5,36,19,0,4,60,0
2017-18,pre-season,-,10/12/2017,W,48,18,0,14,40,7,0,11,22,0
2017-18,pre-season,-,10/12/2017,W,48,20,0,2,22,16,0,4,32,0
2017-18,pre-season,-,10/12/2017,L,48,16,0,4,32,20,0,2,22,0
2017-18,pre-season,-,10/12/2017,L,48,7,0,11,22,18,0,14,40,0
2017-18,pre-season,-,10/11/2017,W,48,12,0,3,42,13,0,23,38,0
2017-18,pre-season,-,10/11/2017,W,48,18,0,4,32,18,0,4,40,0
2017-18,pre-season,-,10/11/2017,W,48,15,0,13,42,18,0,2,42,0
2017-18,pre-season,-,10/11/2017,W,48,24,0,16,46,19,0,10,44,0
2017-18,pre-season,-,10/11/2017,W,48,15,0,23,32,18,0,17,44,0
2017-18,pre-season,-,10/11/2017,L,48,18,0,4,40,18,0,4,32,0
2017-18,pre-season,-,10/11/2017,L,48,18,0,17,44,15,0,23,32,0
2017-18,pre-season,-,10/11/2017,L,48,13,0,23,38,12,0,3,42,0
2017-18,pre-season,-,10/11/2017,L,48,18,0,2,42,15,0,13,42,0
2017-18,pre-season,-,10/11/2017,L,48,19,0,10,44,24,0,16,46,0
2017-18,pre-season,-,10/10/2017,W,48,35,0,15,38,10,0,14,28,0
2017-18,pre-season,-,10/10/2017,W,48,17,0,14,32,27,0,14,30,0
2017-18,pre-season,-,10/10/2017,W,48,16,0,17,52,17,0,4,36,0
2017-18,pre-season,-,10/10/2017,W,48,25,0,10,52,13,0,0,42,0
2017-18,pre-season,-,10/10/2017,W,48,30,0,15,42,26,0,7,42,0
2017-18,pre-season,-,10/10/2017,W,48,24,0,12,46,35,0,21,48,0
2017-18,pre-season,-,10/10/2017,L,48,27,0,14,30,17,0,14,32,0
2017-18,pre-season,-,10/10/2017,L,48,10,0,14,28,35,0,15,38,0
2017-18,pre-season,-,10/10/2017,L,48,26,0,7,42,30,0,15,42,0
2017-18,pre-season,-,10/10/2017,L,48,35,0,21,48,24,0,12,46,0
2017-18,pre-season,-,10/10/2017,L,48,13,0,0,42,25,0,10,52,0
2017-18,pre-season,-,10/10/2017,L,48,17,0,4,36,16,0,17,52,0
2017-18,regular-season,-,04/11/2018,W,48,14,10,10,46,14,12,16,28,0
2017-18,regular-season,-,04/11/2018,W,48,23,7,20,42,15,6,11,36,0
2017-18,regular-season,-,04/11/2018,W,53,24,14,12,52,12,17,0,40,0
2017-18,regular-season,-,04/11/2018,W,48,31,21,20,72,11,13,11,42,0
2017-18,regular-season,-,04/11/2018,W,48,24,14,32,78,21,17,17,42,0
2017-18,regular-season,-,04/11/2018,W,48,16,10,14,26,12,20,19,42,0
2017-18,regular-season,-,04/11/2018,W,48,19,7,7,42,12,20,5,46,0
2017-18,regular-season,-,04/11/2018,W,53,23,27,15,64,7,13,6,50,0
2017-18,regular-season,-,04/11/2018,W,48,12,23,17,64,14,14,13,50,0
2017-18,regular-season,-,04/11/2018,W,48,20,14,30,46,17,15,20,50,0
2017-18,regular-season,-,04/11/2018,W,48,20,12,14,50,19,24,5,52,0
2017-18,regular-season,-,04/11/2018,W,48,24,11,18,38,9,10,5,64,0
2017-18,regular-season,-,04/11/2018,L,48,12,20,19,42,16,10,14,26,0
2017-18,regular-season,-,04/11/2018,L,48,9,10,5,64,24,11,18,38,0
2017-18,regular-season,-,04/11/2018,L,48,12,20,5,46,19,7,7,42,0
2017-18,regular-season,-,04/11/2018,L,48,15,6,11,36,23,7,20,42,0
2017-18,regular-season,-,04/11/2018,L,48,14,12,16,28,14,10,10,46,0
2017-18,regular-season,-,04/11/2018,L,48,17,15,20,50,20,14,30,46,0
2017-18,regular-season,-,04/11/2018,L,48,19,24,5,52,20,12,14,50,0
2017-18,regular-season,-,04/11/2018,L,53,12,17,0,40,24,14,12,52,0
2017-18,regular-season,-,04/11/2018,L,53,7,13,6,50,23,27,15,64,0
2017-18,regular-season,-,04/11/2018,L,48,14,14,13,50,12,23,17,64,0
2017-18,regular-season,-,04/11/2018,L,48,11,13,11,42,31,21,20,72,0
2017-18,regular-season,-,04/11/2018,L,48,21,17,17,42,24,14,32,78,0
2017-18,regular-season,-,04/10/2018,W,48,28,8,16,42,15,13,12,34,0
2017-18,regular-season,-,04/10/2018,W,48,25,15,19,62,16,8,6,38,0
2017-18,regular-season,-,04/10/2018,W,48,4,18,18,40,11,11,15,44,0
2017-18,regular-season,-,04/10/2018,W,48,13,18,15,44,20,15,12,46,0
2017-18,regular-season,-,04/10/2018,W,48,13,8,9,40,24,12,35,48,0
2017-18,regular-season,-,04/10/2018,W,48,12,7,26,58,15,24,7,52,0
2017-18,regular-season,-,04/10/2018,L,48,24,12,35,48,13,8,9,40,0
2017-18,regular-season,-,04/10/2018,L,48,11,11,15,44,4,18,18,40,0
2017-18,regular-season,-,04/10/2018,L,48,15,13,12,34,28,8,16,42,0
2017-18,regular-season,-,04/10/2018,L,48,20,15,12,46,13,18,15,44,0
2017-18,regular-season,-,04/10/2018,L,48,15,24,7,52,12,7,26,58,0
2017-18,regular-season,-,04/10/2018,L,48,16,8,6,38,25,15,19,62,0
2017-18,regular-season,-,04/09/2018,W,48,12,15,10,40,9,9,9,30,0
2017-18,regular-season,-,04/09/2018,W,48,7,8,15,60,7,8,7,38,0
2017-18,regular-season,-,04/09/2018,W,48,17,19,17,44,15,25,7,44,0
2017-18,regular-season,-,04/09/2018,W,48,16,26,14,58,29,13,11,46,0
2017-18,regular-season,-,04/09/2018,W,48,21,9,6,42,22,7,24,46,0
2017-18,regular-season,-,04/09/2018,W,48,20,9,24,50,16,10,13,50,0
2017-18,regular-season,-,04/09/2018,W,48,23,12,8,36,10,9,3,54,0
2017-18,regular-season,-,04/09/2018,W,48,17,11,15,32,13,12,12,58,0
2017-18,regular-season,-,04/09/2018,W,48,18,6,23,58,7,22,18,76,0
2017-18,regular-season,-,04/09/2018,L,48,13,12,12,58,17,11,15,32,0
2017-18,regular-season,-,04/09/2018,L,48,10,9,3,54,23,12,8,36,0
2017-18,regular-season,-,04/09/2018,L,48,9,9,9,30,12,15,10,40,0
2017-18,regular-season,-,04/09/2018,L,48,22,7,24,46,21,9,6,42,0
2017-18,regular-season,-,04/09/2018,L,48,15,25,7,44,17,19,17,44,0
2017-18,playoffs,-,06/08/2018,W,48,10,19,5,38,11,19,10,38,0
2017-18,playoffs,-,06/08/2018,L,48,11,19,10,38,10,19,5,38,0
2017-18,playoffs,-,06/06/2018,W,48,19,8,19,54,11,17,11,58,0
2017-18,playoffs,-,06/06/2018,L,48,11,17,11,58,19,8,19,54,0
2017-18,playoffs,-,06/03/2018,W,48,7,9,17,50,13,19,12,52,0
2017-18,playoffs,-,06/03/2018,L,48,13,19,12,52,7,9,17,50,0
2017-18,playoffs,-,05/31/2018,W,53,13,10,28,56,14,21,18,52,0
2017-18,playoffs,-,05/31/2018,L,53,14,21,18,52,13,10,28,56,0
2017-18,playoffs,-,05/28/2018,W,48,18,8,23,28,14,14,6,56,0
2017-18,playoffs,-,05/28/2018,L,48,14,14,6,56,18,8,23,28,0
2017-18,playoffs,-,05/27/2018,W,48,5,8,16,38,15,12,3,32,0
2017-18,playoffs,-,05/27/2018,L,48,15,12,3,32,5,8,16,38,0
2017-18,playoffs,-,05/26/2018,W,48,23,11,16,40,12,7,24,32,0
2017-18,playoffs,-,05/26/2018,L,48,12,7,24,32,23,11,16,40,0
2017-18,playoffs,-,05/25/2018,W,48,7,18,14,46,11,7,9,42,0
2017-18,playoffs,-,05/25/2018,L,48,11,7,9,42,7,18,14,46,0
2017-18,playoffs,-,05/24/2018,W,48,18,10,2,32,10,4,12,34,0
2017-18,playoffs,-,05/24/2018,L,48,10,4,12,34,18,10,2,32,0
2017-18,playoffs,-,05/23/2018,W,48,15,15,18,26,10,5,2,34,0
2017-18,playoffs,-,05/23/2018,L,48,10,5,2,34,15,15,18,26,0
2017-18,playoffs,-,05/22/2018,W,48,20,10,13,34,18,23,8,36,0
2017-18,playoffs,-,05/22/2018,L,48,18,23,8,36,20,10,13,34,0
2017-18,playoffs,-,05/21/2018,W,48,12,16,10,50,19,7,10,38,0
2017-18,playoffs,-,05/21/2018,L,48,19,7,10,38,12,16,10,50,0
2017-18,playoffs,-,05/20/2018,W,48,28,13,23,56,8,11,10,40,0
2017-18,playoffs,-,05/20/2018,L,48,8,11,10,40,28,13,23,56,0
2017-18,playoffs,-,05/19/2018,W,48,14,14,3,38,14,13,4,34,0
2017-18,playoffs,-,05/19/2018,L,48,14,13,4,34,14,14,3,38,0
2017-18,playoffs,-,05/16/2018,W,48,15,14,12,56,12,13,7,50,0
2017-18,playoffs,-,05/16/2018,L,48,12,13,7,50,15,14,12,56,0
2017-18,playoffs,-,05/15/2018,W,48,13,11,12,50,5,10,9,42,0
2017-18,playoffs,-,05/15/2018,L,48,5,10,9,42,13,11,12,50,0
2017-18,playoffs,-,05/14/2018,W,48,17,5,18,44,9,7,3,44,0
2017-18,playoffs,-,05/14/2018,L,48,9,7,3,44,17,5,18,44,0
2017-18,playoffs,-,05/13/2018,W,48,17,13,11,60,12,15,7,38,0
2017-18,playoffs,-,05/13/2018,L,48,12,15,7,38,17,13,11,60,0
2017-18,playoffs,-,05/09/2018,W,48,16,15,15,48,12,7,12,54,0
2017-18,playoffs,-,05/09/2018,L,48,12,7,12,54,16,15,15,48,0
2017-18,playoffs,-,05/08/2018,W,48,19,13,12,34,14,11,9,50,0
2017-18,playoffs,-,05/08/2018,W,48,24,12,26,42,13,5,19,56,0
2017-18,playoffs,-,05/08/2018,L,48,14,11,9,50,19,13,12,34,0
2017-18,playoffs,-,05/08/2018,L,48,13,5,19,56,24,12,26,42,0
2017-18,playoffs,-,05/07/2018,W,48,16,18,3,52,3,9,6,30,0
2017-18,playoffs,-,05/07/2018,W,48,19,13,13,64,10,11,4,52,0
2017-18,playoffs,-,05/07/2018,L,48,3,9,6,30,16,18,3,52,0
2017-18,playoffs,-,05/07/2018,L,48,10,11,4,52,19,13,13,64,0
2017-18,playoffs,-,05/06/2018,W,48,17,14,8,42,11,12,6,50,0
2017-18,playoffs,-,05/06/2018,W,48,21,8,15,36,12,17,11,52,0
2017-18,playoffs,-,05/06/2018,L,48,12,17,11,52,21,8,15,36,0
2017-18,playoffs,-,05/06/2018,L,48,11,12,6,50,17,14,8,42,0
2017-18,all-star,-,02/18/2018,W,48,24,13,36,74,12,31,20,62,0
2017-18,all-star,-,02/18/2018,L,48,12,31,20,62,24,13,36,74,0
2017-18,all-star,-,02/16/2018,W,40,21,17,55,70,18,9,38,74,0
2017-18,all-star,-,02/16/2018,L,40,18,9,38,74,21,17,55,70,0
2018-19,pre-season,-,10/12/2018,W,48,28,26,27,74,20,11,10,24,0
2018-19,pre-season,-,10/12/2018,W,48,21,16,26,54,18,11,18,24,0
2018-19,pre-season,-,10/12/2018,W,48,7,11,4,42,21,15,2,36,0
2018-19,pre-season,-,10/12/2018,W,48,19,17,19,46,12,10,5,44,0
2018-19,pre-season,-,10/12/2018,W,48,5,14,21,40,24,11,12,44,0
2018-19,pre-season,-,10/12/2018,W,48,20,8,30,38,31,26,22,44,0
2018-19,pre-season,-,10/12/2018,W,48,24,14,18,50,13,21,9,46,0
2018-19,pre-season,-,10/12/2018,W,48,31,20,16,30,16,8,12,46,0
2018-19,pre-season,-,10/12/2018,W,48,20,9,18,34,15,11,16,46,0
2018-19,pre-season,-,10/12/2018,W,48,18,6,4,28,14,8,12,50,0
2018-19,pre-season,-,10/12/2018,W,48,33,19,11,62,28,16,10,52,0
2018-19,pre-season,-,10/12/2018,L,48,14,8,12,50,18,6,4,28,0
2018-19,pre-season,-,10/12/2018,L,48,16,8,12,46,31,20,16,30,0
2018-19,pre-season,-,10/12/2018,L,48,15,11,16,46,20,9,18,34,0
2018-19,pre-season,-,10/12/2018,L,48,31,26,22,44,20,8,30,38,0
2018-19,pre-season,-,10/12/2018,L,48,24,11,12,44,5,14,21,40,0
2018-19,pre-season,-,10/12/2018,L,48,21,15,2,36,7,11,4,42,0
2018-19,pre-season,-,10/12/2018,L,48,12,10,5,44,19,17,19,46,0
2018-19,pre-season,-,10/12/2018,L,48,13,21,9,46,24,14,18,50,0
2018-19,pre-season,-,10/12/2018,L,48,18,11,18,24,21,16,26,54,0
2018-19,pre-season,-,10/12/2018,L,48,28,16,10,52,33,19,11,62,0
2018-19,pre-season,-,10/12/2018,L,48,20,11,10,24,28,26,27,74,0
2018-19,pre-season,-,10/11/2018,W,48,25,23,25,78,11,12,6,40,0
2018-19,pre-season,-,10/11/2018,W,48,21,7,12,64,22,16,15,50,0
2018-19,pre-season,-,10/11/2018,W,48,14,17,21,70,14,22,18,66,0
2018-19,pre-season,-,10/11/2018,L,48,22,16,15,50,21,7,12,64,0
2018-19,pre-season,-,10/11/2018,L,48,14,22,18,66,14,17,21,70,0
2018-19,pre-season,-,10/11/2018,L,48,11,12,6,40,25,23,25,78,0
2018-19,pre-season,-,10/10/2018,W,48,23,8,14,34,17,12,4,30,0
2018-19,pre-season,-,10/10/2018,W,48,23,16,9,44,8,7,5,34,0
2018-19,pre-season,-,10/10/2018,W,48,18,12,12,34,8,0,9,38,0
2018-19,pre-season,-,10/10/2018,W,48,47,14,12,48,15,12,6,44,0
2018-19,pre-season,-,10/10/2018,W,48,37,30,11,60,16,7,8,48,0
2018-19,pre-season,-,10/10/2018,W,48,15,14,13,52,19,13,13,48,0
2018-19,pre-season,-,10/10/2018,W,48,29,13,18,32,9,19,18,48,0
2018-19,pre-season,-,10/10/2018,W,48,27,10,38,52,21,11,17,50,0
2018-19,pre-season,-,10/10/2018,L,48,9,19,18,48,29,13,18,32,0
2018-19,pre-season,-,10/10/2018,L,48,8,0,9,38,18,12,12,34,0
2018-19,pre-season,-,10/10/2018,L,48,17,12,4,30,23,8,14,34,0
2018-19,pre-season,-,10/10/2018,L,48,8,7,5,34,23,16,9,44,0
2018-19,pre-season,-,10/10/2018,L,48,15,12,6,44,47,14,12,48,0
2018-19,pre-season,-,10/10/2018,L,48,19,13,13,48,15,14,13,52,0
2018-19,pre-season,-,10/10/2018,L,48,21,11,17,50,27,10,38,52,0
2018-19,pre-season,-,10/10/2018,L,48,16,7,8,48,37,30,11,60,0
2018-19,pre-season,-,10/09/2018,W,48,6,17,11,46,17,19,16,46,0
2018-19,pre-season,-,10/09/2018,W,48,31,15,27,36,21,10,7,52,0
2018-19,pre-season,-,10/09/2018,W,53,26,19,10,44,14,4,9,52,0
2018-19,pre-season,-,10/09/2018,L,48,21,10,7,52,31,15,27,36,0
2018-19,pre-season,-,10/09/2018,L,53,14,4,9,52,26,19,10,44,0
2018-19,pre-season,-,10/09/2018,L,48,17,19,16,46,6,17,11,46,0
2018-19,regular-season,-,04/10/2019,W,48,8,15,6,42,16,4,3,32,0
2018-19,regular-season,-,04/10/2019,W,48,9,10,9,46,13,6,12,36,0
2018-19,regular-season,-,04/10/2019,W,48,5,14,8,44,12,9,7,38,0
2018-19,regular-season,-,04/10/2019,W,48,12,16,19,44,12,11,15,44,0
2018-19,regular-season,-,04/10/2019,W,48,12,6,28,46,12,13,16,46,0
2018-19,regular-season,-,04/10/2019,W,48,14,21,19,42,14,12,21,48,0
2018-19,regular-season,-,04/10/2019,W,48,17,20,4,54,25,17,9,50,0
2018-19,regular-season,-,04/10/2019,W,48,25,20,22,60,10,33,12,52,0
2018-19,regular-season,-,04/10/2019,W,53,20,14,22,76,10,19,21,52,0
2018-19,regular-season,-,04/10/2019,W,48,11,14,4,62,8,7,12,58,0
2018-19,regular-season,-,04/10/2019,W,48,18,19,13,64,11,11,24,62,0
2018-19,regular-season,-,04/10/2019,L,48,16,4,3,32,8,15,6,42,0
2018-19,regular-season,-,04/10/2019,L,48,14,12,21,48,14,21,19,42,0
2018-19,regular-season,-,04/10/2019,L,48,12,9,7,38,5,14,8,44,0
2018-19,regular-season,-,04/10/2019,L,48,12,11,15,44,12,16,19,44,0
2018-19,regular-season,-,04/10/2019,L,48,13,6,12,36,9,10,9,46,0
2018-19,regular-season,-,04/10/2019,L,48,12,13,16,46,12,6,28,46,0
2018-19,regular-season,-,04/10/2019,L,48,25,17,9,50,17,20,4,54,0
2018-19,regular-season,-,04/10/2019,L,48,10,33,12,52,25,20,22,60,0
2018-19,regular-season,-,04/10/2019,L,48,8,7,12,58,11,14,4,62,0
2018-19,regular-season,-,04/10/2019,L,48,11,11,24,62,18,19,13,64,0
2018-19,regular-season,-,04/10/2019,L,53,10,19,21,52,20,14,22,76,0
2018-19,regular-season,-,04/09/2019,W,48,14,11,19,48,17,5,14,36,0
2018-19,regular-season,-,04/09/2019,W,48,10,15,32,42,18,10,12,38,0
2018-19,regular-season,-,04/09/2019,W,48,21,15,19,38,7,15,14,40,0
2018-19,regular-season,-,04/09/2019,W,48,20,25,12,38,26,5,19,40,0
2018-19,regular-season,-,04/09/2019,W,48,4,19,13,36,7,10,7,42,0
2018-19,regular-season,-,04/09/2019,W,48,20,13,23,44,6,15,7,44,0
2018-19,regular-season,-,04/09/2019,W,48,10,13,12,62,14,6,11,46,0
2018-19,regular-season,-,04/09/2019,W,48,20,9,25,34,16,8,6,48,0
2018-19,regular-season,-,04/09/2019,W,48,23,18,15,44,16,15,29,50,0
2018-19,regular-season,-,04/09/2019,W,48,8,22,13,42,13,11,20,56,0
2018-19,regular-season,-,04/09/2019,W,48,19,10,12,54,16,18,18,64,0
2018-19,regular-season,-,04/09/2019,L,48,16,8,6,48,20,9,25,34,0
2018-19,regular-season,-,04/09/2019,L,48,7,10,7,42,4,19,13,36,0
2018-19,regular-season,-,04/09/2019,L,48,26,5,19,40,20,25,12,38,0
2018-19,regular-season,-,04/09/2019,L,48,7,15,14,40,21,15,19,38,0
2018-19,regular-season,-,04/09/2019,L,48,13,11,20,56,8,22,13,42,0
2018-19,regular-season,-,04/09/2019,L,48,18,10,12,38,10,15,32,42,0
2018-19,regular-season,-,04/09/2019,L,48,16,15,29,50,23,18,15,44,0
2018-19,regular-season,-,04/09/2019,L,48,6,15,7,44,20,13,23,44,0
2018-19,regular-season,-,04/09/2019,L,48,17,5,14,36,14,11,19,48,0
2018-19,regular-season,-,04/09/2019,L,48,16,18,18,64,19,10,12,54,0
2018-19,regular-season,-,04/09/2019,L,48,14,6,11,46,10,13,12,62,0
2018-19,regular-season,-,04/07/2019,W,48,22,8,19,34,22,17,10,30,0
2018-19,regular-season,-,04/07/2019,W,48,5,7,16,52,14,6,13,40,0
2018-19,regular-season,-,04/07/2019,W,48,13,16,16,48,4,19,15,42,0
2018-19,regular-season,-,04/07/2019,W,48,22,11,17,54,16,4,9,44,0
2018-19,regular-season,-,04/07/2019,W,53,10,8,13,60,10,7,18,44,0
2018-19,regular-season,-,04/07/2019,W,48,13,16,9,48,19,6,15,46,0
2018-19,playoffs,-,06/13/2019,W,48,17,14,18,42,13,14,13,42,0
2018-19,playoffs,-,06/13/2019,L,48,13,14,13,42,17,14,18,42,0
2018-19,playoffs,-,06/10/2019,W,48,20,19,3,32,13,16,13,54,0
2018-19,playoffs,-,06/10/2019,L,48,13,16,13,54,20,19,3,32,0
2018-19,playoffs,-,06/07/2019,W,48,14,13,19,34,10,11,32,36,0
2018-19,playoffs,-,06/07/2019,L,48,10,11,32,36,14,13,19,34,0
2018-19,playoffs,-,06/05/2019,W,48,10,12,18,38,15,23,17,36,0
2018-19,playoffs,-,06/05/2019,L,48,15,23,17,36,10,12,18,38,0
2018-19,playoffs,-,06/02/2019,W,48,18,0,13,36,16,23,18,44,0
2018-19,playoffs,-,06/02/2019,L,48,16,23,18,44,18,0,13,36,0
2018-19,playoffs,-,05/30/2019,W,48,17,9,24,40,17,20,17,32,0
2018-19,playoffs,-,05/30/2019,L,48,17,20,17,32,17,9,24,40,0
2018-19,playoffs,-,05/25/2019,W,48,9,11,10,34,7,17,13,28,0
2018-19,playoffs,-,05/25/2019,L,48,7,17,13,28,9,11,10,34,0
2018-19,playoffs,-,05/23/2019,W,48,19,10,13,24,7,12,20,44,0
2018-19,playoffs,-,05/23/2019,L,48,7,12,20,44,19,10,13,24,0
2018-19,playoffs,-,05/21/2019,W,48,17,10,12,40,5,8,13,40,0
2018-19,playoffs,-,05/21/2019,L,48,5,8,13,40,17,10,12,40,0
2018-19,playoffs,-,05/20/2019,W,53,13,15,11,60,8,7,15,42,0
2018-19,playoffs,-,05/20/2019,L,53,8,7,15,42,13,15,11,60,0
2018-19,playoffs,-,05/19/2019,W,58,21,16,18,36,16,18,29,46,0
2018-19,playoffs,-,05/19/2019,L,58,16,18,29,46,21,16,18,36,0
2018-19,playoffs,-,05/18/2019,W,48,17,12,21,46,17,13,8,30,0
2018-19,playoffs,-,05/18/2019,L,48,17,13,8,30,17,12,21,46,0
2018-19,playoffs,-,05/17/2019,W,48,19,17,28,50,8,8,19,46,0
2018-19,playoffs,-,05/17/2019,L,48,8,8,19,46,19,17,28,50,0
2018-19,playoffs,-,05/16/2019,W,48,18,25,15,54,24,14,13,32,0
2018-19,playoffs,-,05/16/2019,L,48,24,14,13,32,18,25,15,54,0
2018-19,playoffs,-,05/15/2019,W,48,20,24,25,44,15,13,15,26,0
2018-19,playoffs,-,05/15/2019,L,48,15,13,15,26,20,24,25,44,0
2018-19,playoffs,-,05/14/2019,W,48,31,13,17,28,12,14,2,38,0
2018-19,playoffs,-,05/14/2019,L,48,12,14,2,38,31,13,17,28,0
2018-19,playoffs,-,05/12/2019,W,48,21,12,16,38,13,6,6,26,0
2018-19,playoffs,-,05/12/2019,W,48,8,21,7,48,7,16,3,58,0
2018-19,playoffs,-,05/12/2019,L,48,13,6,6,26,21,12,16,38,0
2018-19,playoffs,-,05/12/2019,L,48,7,16,3,58,8,21,7,48,0
2018-19,playoffs,-,05/10/2019,W,48,25,12,14,48,25,12,7,46,0
2018-19,playoffs,-,05/10/2019,L,48,25,12,7,46,25,12,14,48,0
2018-19,playoffs,-,05/09/2019,W,48,4,12,10,42,9,17,7,32,0
2018-19,playoffs,-,05/09/2019,W,48,14,18,16,56,21,10,11,42,0
2018-19,playoffs,-,05/09/2019,L,48,9,17,7,32,4,12,10,42,0
2018-19,playoffs,-,05/09/2019,L,48,21,10,11,42,14,18,16,56,0
2018-19,playoffs,-,05/08/2019,W,48,15,12,15,44,19,6,19,36,0
2018-19,playoffs,-,05/08/2019,W,48,20,16,18,38,18,19,13,38,0
2018-19,playoffs,-,05/08/2019,L,48,18,19,13,38,20,16,18,38,0
2018-19,playoffs,-,05/08/2019,L,48,19,6,19,36,15,12,15,44,0
2018-19,playoffs,-,05/07/2019,W,48,31,18,33,38,16,8,8,32,0
2018-19,playoffs,-,05/07/2019,W,48,12,22,12,66,16,19,2,44,0
2018-19,playoffs,-,05/07/2019,L,48,16,8,8,32,31,18,33,38,0
2018-19,playoffs,-,05/07/2019,L,48,16,19,2,44,12,22,12,66,0
2018-19,all-star,-,02/17/2019,W,48,23,19,33,62,12,26,37,78,0
2018-19,all-star,-,02/17/2019,L,48,12,26,37,78,23,19,33,62,0
2018-19,all-star,-,02/15/2019,W,40,20,9,15,36,17,22,8,42,0
2018-19,all-star,-,02/15/2019,W,40,30,16,48,90,20,14,26,92,0
2018-19,all-star,-,02/15/2019,L,40,17,22,8,42,20,9,15,36,0
2018-19,all-star,-,02/15/2019,L,40,20,14,26,92,30,16,48,90,0
2019-20,pre-season,-,07/28/2020,W,48,26,13,24,38,9,9,17,28,0
2019-20,pre-season,-,07/28/2020,W,48,24,14,15,46,16,8,6,38,0
2019-20,pre-season,-,07/28/2020,W,48,25,10,13,48,25,24,10,40,0
2019-20,pre-season,-,07/28/2020,W,48,22,8,14,50,10,11,11,50,0
2019-20,pre-season,-,07/28/2020,W,48,28,8,25,34,16,20,12,50,0
2019-20,pre-season,-,07/28/2020,W,53,11,11,16,56,6,14,8,54,0
2019-20,pre-season,-,07/28/2020,L,48,16,20,12,50,28,8,25,34,0
2019-20,pre-season,-,07/28/2020,L,48,9,9,17,28,26,13,24,38,0
2019-20,pre-season,-,07/28/2020,L,48,16,8,6,38,24,14,15,46,0
2019-20,pre-season,-,07/28/2020,L,48,25,24,10,40,25,10,13,48,0
2019-20,pre-season,-,07/28/2020,L,48,10,11,11,50,22,8,14,50,0
2019-20,pre-season,-,07/28/2020,L,53,6,14,8,54,11,11,16,56,0
2019-20,pre-season,-,07/27/2020,W,48,36,4,14,30,19,13,10,30,0
2019-20,pre-season,-,07/27/2020,W,48,15,11,13,34,12,23,15,32,0
2019-20,pre-season,-,07/27/2020,W,48,16,15,7,50,19,18,4,44,0
2019-20,pre-season,-,07/27/2020,W,48,27,14,12,40,20,11,14,44,0
2019-20,pre-season,-,07/27/2020,W,48,12,15,3,42,17,13,10,50,0
2019-20,pre-season,-,07/27/2020,L,48,19,13,10,30,36,4,14,30,0
2019-20,pre-season,-,07/27/2020,L,48,12,23,15,32,15,11,13,34,0
2019-20,pre-season,-,07/27/2020,L,48,20,11,14,44,27,14,12,40,0
2019-20,pre-season,-,07/27/2020,L,48,17,13,10,50,12,15,3,42,0
2019-20,pre-season,-,07/27/2020,L,48,19,18,4,44,16,15,7,50,0
2019-20,pre-season,-,07/26/2020,W,48,14,10,4,44,17,17,9,34,0
2019-20,pre-season,-,07/26/2020,W,48,27,6,13,46,14,10,27,40,0
2019-20,pre-season,-,07/26/2020,W,48,15,16,13,30,12,19,13,42,0
2019-20,pre-season,-,07/26/2020,W,48,6,8,21,56,10,7,11,44,0
2019-20,pre-season,-,07/26/2020,W,48,14,8,16,28,20,8,28,46,0
2019-20,pre-season,-,07/26/2020,L,48,20,8,28,46,14,8,16,28,0
2019-20,pre-season,-,07/26/2020,L,48,12,19,13,42,15,16,13,30,0
2019-20,pre-season,-,07/26/2020,L,48,17,17,9,34,14,10,4,44,0
2019-20,pre-season,-,07/26/2020,L,48,14,10,27,40,27,6,13,46,0
2019-20,pre-season,-,07/26/2020,L,48,10,7,11,44,6,8,21,56,0
2019-20,pre-season,-,07/25/2020,W,48,17,4,29,40,22,7,8,38,0
2019-20,pre-season,-,07/25/2020,W,48,27,7,18,50,16,17,8,38,0
2019-20,pre-season,-,07/25/2020,W,48,12,13,14,40,20,24,4,40,0
2019-20,pre-season,-,07/25/2020,W,48,7,16,20,24,34,14,23,40,0
