SEASON,SEASON_TYPE,TEAM_ID,TEAM_ABB,GAME_ID,MATCHUP,HOME_AWAY,GDATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PLUS_MINUS
2015-16,pre-season,1610612744,GSW,0011500026,GSW@POR,AWAY,08/10/2015,L,240,101,31,81,38.3,12,32,37.5,27,34,79.4,8,30,38,20,7,8,20,27,-17
2015-16,pre-season,1610612747,LAL,0011500028,LALvs.TOR,HOME,08/10/2015,L,240,97,35,76,46.1,7,27,25.9,20,27,74.1,11,26,37,22,4,7,11,27,-8
2015-16,pre-season,1610612751,BKN,0011500029,BKN@DET,AWAY,08/10/2015,W,240,93,34,78,43.6,10,21,47.6,15,18,83.3,6,31,37,22,12,4,20,16,10
2015-16,pre-season,1610612753,ORL,0011500033,ORL@IND,AWAY,08/10/2015,L,240,92,38,88,43.2,11,27,40.7,5,8,62.5,11,39,50,20,6,4,13,23,-5
2015-16,pre-season,1610612754,IND,0011500033,INDvs.ORL,HOME,08/10/2015,W,240,97,33,80,41.3,7,29,24.1,24,32,75.0,7,39,46,19,5,9,9,12,5
2015-16,pre-season,1610612755,PHI,0011500023,PHIvs.CLE,HOME,08/10/2015,W,240,115,37,83,44.6,12,33,36.4,29,41,70.7,15,27,42,22,11,3,19,26,1
2015-16,pre-season,1610612757,POR,0011500026,PORvs.GSW,HOME,08/10/2015,W,240,118,39,88,44.3,12,28,42.9,28,36,77.8,12,36,48,25,11,3,20,25,17
2015-16,pre-season,1610612758,SAC,0011500027,SACvs.SAS,HOME,08/10/2015,W,240,95,35,77,45.5,5,20,25.0,20,24,83.3,11,36,47,26,8,2,23,18,3
2015-16,pre-season,1610612759,SAS,0011500027,SAS@SAC,AWAY,08/10/2015,L,240,92,35,81,43.2,9,24,37.5,13,18,72.2,8,30,38,19,14,4,19,26,-3
2015-16,pre-season,1610612761,TOR,0011500028,TOR@LAL,AWAY,08/10/2015,W,240,105,37,76,48.7,10,21,47.6,21,30,70.0,12,27,39,21,4,3,12,27,8
2015-16,pre-season,1610612763,MEM,0011500024,MEMvs.MAC,HOME,08/10/2015,W,240,97,33,71,46.5,5,17,29.4,26,35,74.3,10,36,46,21,8,9,23,23,13
2015-16,pre-season,1610612765,DET,0011500029,DETvs.BKN,HOME,08/10/2015,L,240,83,34,83,41.0,7,22,31.8,8,11,72.7,11,32,43,19,11,4,22,24,-10
2015-16,pre-season,12328,BAU,0011500021,BAU@NYK,AWAY,07/10/2015,L,240,81,30,81,37.0,11,43,25.6,10,15,66.7,12,27,39,18,9,0,21,21,-19
2015-16,pre-season,1610612737,ATL,0011500017,ATL@CLE,AWAY,07/10/2015,W,240,98,33,75,44.0,7,24,29.2,25,30,83.3,9,37,46,17,8,2,18,19,2
2015-16,pre-season,1610612739,CLE,0011500017,CLEvs.ATL,HOME,07/10/2015,L,240,96,35,83,42.2,14,37,37.8,12,15,80.0,7,32,39,28,10,7,18,29,-2
2015-16,pre-season,1610612742,DAL,0011500019,DAL@HOU,AWAY,07/10/2015,L,240,82,29,81,35.8,7,29,24.1,17,23,73.9,7,32,39,15,5,6,12,21,-27
2015-16,pre-season,1610612745,HOU,0011500019,HOUvs.DAL,HOME,07/10/2015,W,240,109,40,93,43.0,12,37,32.4,17,25,68.0,18,45,63,24,6,5,14,23,27
2015-16,pre-season,1610612747,LAL,0011500010,LALvs.UTA,HOME,07/10/2015,L,265,114,36,83,43.4,7,26,26.9,35,46,76.1,14,27,41,16,9,4,19,31,-3
2015-16,pre-season,1610612748,MIA,0011500022,MIAvs.ORL,HOME,07/10/2015,L,240,97,30,68,44.1,8,19,42.1,29,38,76.3,11,28,39,22,6,4,22,24,-3
2015-16,pre-season,1610612750,MIN,0011500018,MINvs.OKC,HOME,07/10/2015,L,240,99,36,81,44.4,4,18,22.2,23,29,79.3,11,16,27,23,8,2,16,14,-23
2015-16,pre-season,1610612752,NYK,0011500021,NYKvs.BAU,HOME,07/10/2015,W,240,100,38,78,48.7,8,20,40.0,16,22,72.7,13,35,48,21,6,2,21,17,19
2015-16,pre-season,1610612753,ORL,0011500022,ORL@MIA,AWAY,07/10/2015,W,240,100,35,76,46.1,10,27,37.0,20,24,83.3,8,22,30,27,11,5,19,32,3
2015-16,pre-season,1610612756,PHX,0011500020,PHXvs.SAC,HOME,07/10/2015,W,240,102,39,97,40.2,9,28,32.1,15,19,78.9,17,38,55,21,14,4,21,27,4
2015-16,pre-season,1610612758,SAC,0011500020,SAC@PHX,AWAY,07/10/2015,L,240,98,34,83,41.0,9,32,28.1,21,28,75.0,11,35,46,15,12,7,22,20,-4
2015-16,pre-season,1610612760,OKC,0011500018,OKC@MIN,AWAY,07/10/2015,W,240,122,50,90,55.6,11,22,50.0,11,15,73.3,14,31,45,34,6,7,18,21,23
2015-16,pre-season,1610612762,UTA,0011500010,UTA@LAL,AWAY,07/10/2015,W,265,117,41,81,50.6,9,23,39.1,26,38,68.4,13,32,45,27,13,5,23,40,3
2015-16,pre-season,94,MLN,0011500016,MLNvs.BOS,HOME,06/10/2015,L,240,91,37,83,44.6,9,26,34.6,8,16,50.0,10,29,39,18,7,7,22,23,-33
2015-16,pre-season,1610612738,BOS,0011500016,BOS@MLN,AWAY,06/10/2015,W,240,124,46,82,56.1,8,21,38.1,24,29,82.8,8,33,41,31,15,3,14,19,33
2015-16,pre-season,1610612741,CHI,0011500012,CHIvs.MIL,HOME,06/10/2015,W,240,105,33,99,33.3,13,39,33.3,26,38,68.4,24,35,59,21,12,5,16,25,10
2015-16,pre-season,1610612742,DAL,0011500015,DALvs.DEN,HOME,06/10/2015,L,240,86,34,86,39.5,9,37,24.3,9,11,81.8,11,31,42,23,8,8,21,18,-10
2015-16,pre-season,1610612743,DEN,0011500015,DEN@DAL,AWAY,06/10/2015,W,240,96,36,85,42.4,8,28,28.6,16,19,84.2,13,39,52,22,11,3,22,17,10
2015-16,pre-season,1610612745,HOU,0011500013,HOU@MEM,AWAY,06/10/2015,L,240,89,31,86,36.0,5,30,16.7,22,31,71.0,16,35,51,17,17,3,18,26,-3
2015-16,pre-season,1610612749,MIL,0011500012,MIL@CHI,AWAY,06/10/2015,L,240,95,35,77,45.5,3,11,27.3,22,31,71.0,8,34,42,18,11,6,19,34,-10
