SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Pre+Season,Milano Olimpia Milano,Milano Olimpia Milano,1,4.0,3.6,1.50,6.0,3.0,4.0,75.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0
2015-16,Regular+Season,GSW,Golden State Warriors,82,12.0,10.7,1.25,14.9,6.4,9.9,64.5,64.5,14.0,6.6,13.5,3.8,62.9,75.9
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,11.8,11.1,1.16,13.7,5.6,9.4,59.1,59.1,16.8,7.0,15.6,3.4,59.3,10.3
2015-16,Regular+Season,WAS,Washington Wizards,82,9.5,8.8,1.22,11.6,4.9,7.8,62.1,62.1,15.3,6.1,14.3,3.6,61.7,41.4
2015-16,Regular+Season,IND,Indiana Pacers,82,9.1,8.4,1.25,11.5,4.8,7.3,65.8,65.8,15.2,7.9,14.4,3.1,63.7,82.8
2015-16,Regular+Season,DEN,Denver Nuggets,82,9.5,8.7,1.19,11.4,4.8,7.8,61.7,61.7,15.1,6.6,13.8,3.4,60.3,31.0
2015-16,Regular+Season,BKN,Brooklyn Nets,82,9.5,8.9,1.18,11.2,4.7,7.8,60.0,60.0,13.7,7.5,13.0,2.7,59.3,17.2
2015-16,Regular+Season,UTA,Utah Jazz,82,9.8,9.3,1.14,11.1,4.6,7.8,59.2,59.2,16.0,8.1,15.7,4.1,57.9,6.9
2015-16,Regular+Season,ATL,Atlanta Hawks,82,9.0,8.4,1.22,11.0,4.7,7.5,62.5,62.5,12.7,6.9,11.9,2.6,61.0,51.7
2015-16,Regular+Season,DAL,Dallas Mavericks,82,8.8,8.2,1.24,10.9,4.5,6.9,64.1,64.1,17.1,7.4,16.9,3.8,63.0,72.4
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,8.8,7.9,1.23,10.9,4.7,7.1,65.9,65.9,13.4,8.7,13.2,3.0,62.5,58.6
2015-16,Regular+Season,SAC,Sacramento Kings,82,9.2,8.1,1.17,10.7,4.6,7.6,60.8,60.8,13.4,6.1,12.9,2.3,60.2,13.8
2015-16,Regular+Season,CHI,Chicago Bulls,82,8.6,7.9,1.22,10.5,4.4,7.2,61.0,61.0,14.0,6.2,13.4,4.1,60.8,44.8
