SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,1,3.0,2.8,0.00,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0
2015-16,Regular+Season,GSW,Golden State Warriors,82,8.8,7.9,0.57,5.0,1.1,2.2,48.9,55.1,20.1,55.6,1.8,0.4,30.1,75.9
2015-16,Regular+Season,LAC,LA Clippers,82,7.8,7.3,0.61,4.7,0.5,1.3,35.2,39.8,41.3,42.0,1.6,0.2,38.9,93.1
2015-16,Regular+Season,HOU,Houston Rockets,82,8.1,7.2,0.56,4.5,0.6,1.8,34.4,38.7,30.6,47.2,3.0,0.8,32.4,69.0
2015-16,Regular+Season,DET,Detroit Pistons,82,7.6,6.8,0.58,4.4,0.6,1.7,32.4,37.0,35.6,41.9,2.1,0.5,35.2,79.3
2015-16,Regular+Season,MEM,Memphis Grizzlies,82,6.9,6.5,0.59,4.1,0.7,1.6,40.3,42.9,25.4,51.6,3.9,0.9,33.2,89.7
2015-16,Regular+Season,DEN,Denver Nuggets,82,6.9,6.3,0.59,4.1,0.8,2.0,38.0,42.0,22.5,48.9,3.9,0.2,32.4,86.2
2015-16,Regular+Season,TOR,Toronto Raptors,82,6.2,5.9,0.64,3.9,0.6,1.6,36.4,39.9,29.0,46.0,2.0,0.4,35.9,100
2015-16,Regular+Season,DAL,Dallas Mavericks,82,6.4,6.0,0.61,3.9,0.5,1.3,39.3,42.1,27.6,52.5,3.1,0.6,33.9,96.6
2015-16,Regular+Season,BOS,Boston Celtics,82,6.8,6.0,0.56,3.8,0.6,1.7,37.9,40.4,23.9,51.3,2.5,0.4,30.7,65.5
2015-16,Regular+Season,SAC,Sacramento Kings,82,6.9,6.1,0.55,3.8,0.6,1.7,34.3,36.9,28.2,48.0,3.4,0.5,32.3,55.2
2015-16,Regular+Season,MIN,Minnesota Timberwolves,82,6.9,6.4,0.54,3.7,0.6,1.6,39.4,42.4,21.2,55.9,3.6,0.7,29.2,48.3
2015-16,Regular+Season,IND,Indiana Pacers,82,7.0,6.4,0.52,3.7,0.6,1.6,40.0,43.5,22.4,56.0,3.7,1.0,28.5,37.9
2015-16,Regular+Season,POR,Portland Trail Blazers,82,6.6,6.0,0.55,3.6,0.6,1.6,39.8,43.2,23.2,52.7,3.0,0.6,30.8,58.6
2015-16,Regular+Season,PHX,Phoenix Suns,82,8.0,7.1,0.45,3.6,0.7,2.0,34.2,36.6,18.3,57.9,3.4,0.8,24.4,6.9
2015-16,Regular+Season,CHA,Charlotte Hornets,82,6.0,5.7,0.59,3.6,0.3,1.2,27.7,31.2,28.7,51.1,2.4,0.2,33.5,82.8
2015-16,Regular+Season,OKC,Oklahoma City Thunder,82,6.4,5.7,0.56,3.6,0.6,1.6,39.6,41.4,22.9,52.6,2.1,1.0,30.5,62.1
2015-16,Regular+Season,ORL,Orlando Magic,82,6.6,6.0,0.54,3.6,0.8,1.9,41.3,42.6,19.7,52.8,2.8,1.3,29.7,51.7
2015-16,Regular+Season,WAS,Washington Wizards,82,6.3,5.8,0.53,3.4,0.7,1.7,40.4,42.9,19.4,54.6,4.1,1.6,28.0,44.8
2015-16,Regular+Season,CLE,Cleveland Cavaliers,82,6.4,6.0,0.51,3.3,0.5,1.3,36.2,40.5,23.9,56.9,2.1,0.8,28.1,31.0
2015-16,Regular+Season,MIL,Milwaukee Bucks,82,6.5,6.1,0.51,3.3,0.8,1.8,42.2,43.9,16.4,56.5,2.4,0.6,26.7,24.1
2015-16,Regular+Season,ATL,Atlanta Hawks,82,5.7,5.3,0.57,3.3,0.5,1.4,38.3,42.2,22.5,53.1,3.0,0.2,30.8,72.4
2015-16,Regular+Season,CHI,Chicago Bulls,82,6.6,6.0,0.49,3.2,0.6,1.6,35.3,36.5,19.7,55.9,1.1,0.2,27.3,17.2
2015-16,Regular+Season,NYK,New York Knicks,82,6.4,6.1,0.50,3.2,0.5,1.3,41.3,42.8,20.0,60.6,2.3,0.4,26.8,20.7
2015-16,Regular+Season,MIA,Miami Heat,82,6.3,6.0,0.51,3.2,0.5,1.5,34.2,35.8,23.3,53.1,2.1,0.0,29.6,27.6
2015-16,Regular+Season,NOP,New Orleans Pelicans,82,6.1,5.6,0.52,3.2,0.6,1.5,38.4,43.2,20.4,55.5,3.0,0.8,28.1,34.5
2015-16,Regular+Season,LAL,Los Angeles Lakers,82,5.9,5.5,0.52,3.1,0.6,1.8,33.3,36.7,19.3,50.4,2.7,0.6,28.2,41.4
2015-16,Regular+Season,BKN,Brooklyn Nets,82,5.5,5.1,0.48,2.6,0.5,1.4,34.8,37.0,19.0,56.5,2.9,0.9,25.8,13.8
2015-16,Regular+Season,SAS,San Antonio Spurs,82,5.7,5.5,0.46,2.6,0.4,1.0,34.1,37.6,22.4,59.6,2.4,0.2,26.9,10.3
2015-16,Regular+Season,UTA,Utah Jazz,82,6.2,5.9,0.41,2.5,0.3,1.3,24.5,25.9,22.1,57.3,2.2,0.4,24.7,0.0
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,5.7,5.3,0.42,2.4,0.6,1.7,35.7,39.3,14.0,56.9,2.8,0.6,22.5,3.4
2015-16,Playoffs,GSW,Golden State Warriors,24,7.7,7.1,0.54,4.1,0.7,1.6,41.0,42.3,28.1,51.4,1.6,0.5,29.7,40.0
2015-16,Playoffs,OKC,Oklahoma City Thunder,18,7.4,6.8,0.72,5.3,0.8,2.1,40.5,41.9,34.3,38.8,3.7,0.7,41.0,93.3
2015-16,Playoffs,CLE,Cleveland Cavaliers,21,6.0,5.8,0.65,3.9,0.7,1.4,51.7,62.1,24.6,52.4,1.6,0.0,34.1,73.3
2015-16,Playoffs,TOR,Toronto Raptors,20,5.9,5.7,0.68,4.0,0.5,1.1,39.1,45.7,34.7,46.6,4.2,0.8,39.0,80.0
2015-16,Playoffs,MIA,Miami Heat,14,5.5,5.4,0.57,3.1,0.6,1.6,36.4,36.4,22.1,49.4,3.9,0.0,32.5,46.7
2015-16,Playoffs,SAS,San Antonio Spurs,10,6.3,6.2,0.68,4.3,1.0,2.4,41.7,52.1,17.5,44.4,1.6,0.0,33.3,86.7
2015-16,Playoffs,ATL,Atlanta Hawks,10,5.7,5.3,0.61,3.5,0.5,0.9,55.6,55.6,31.6,52.6,0.0,0.0,36.8,53.3
2015-16,Playoffs,POR,Portland Trail Blazers,11,6.5,5.8,0.49,3.2,0.4,1.7,21.1,23.7,27.8,45.8,1.4,0.0,29.2,13.3
2015-16,Playoffs,BOS,Boston Celtics,6,7.8,7.0,0.62,4.8,1.0,2.7,37.5,37.5,21.3,44.7,4.3,0.0,34.0,60.0
2015-16,Playoffs,CHA,Charlotte Hornets,7,5.1,5.1,0.72,3.7,0.3,0.9,33.3,41.7,36.1,50.0,5.6,2.8,36.1,100
2015-16,Playoffs,LAC,LA Clippers,6,8.2,7.6,0.53,4.3,0.3,2.0,16.7,16.7,49.0,28.6,6.1,2.0,36.7,26.7
