SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2015-16,pre-season,DEN,1,0,1,4.0,3.0,10.0,30.0,0.0,3.0,0.0,3.0,3.0,100,1.0,2.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0,5.0,9.0,6.0
2015-16,pre-season,DET,4,0,4,4.5,2.3,6.3,36.0,0.5,1.5,33.3,6.3,7.3,86.2,0.5,5.3,5.8,1.3,1.0,0.0,1.3,0.5,1.0,5.0,11.3,5.3
2015-16,pre-season,-,1,0,1,2.4,4.0,5.0,80.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,2.0,9.0,8.0
2015-16,pre-season,MIL,2,0,2,3.2,3.0,6.0,50.0,0.5,2.0,25.0,2.5,4.5,55.6,1.0,3.0,4.0,2.5,0.0,1.0,1.0,0.0,1.0,4.0,9.0,7.5
2015-16,regular-season,TOR,51,32,19,3.3,1.9,5.0,37.4,0.5,1.6,30.1,2.7,3.4,77.7,0.6,2.2,2.8,0.9,0.8,0.4,0.5,0.3,2.3,2.4,6.9,-1.1
2015-16,regular-season,GSW,34,30,4,4.2,2.4,7.4,32.3,0.3,1.8,17.7,2.3,3.1,74.5,1.0,2.4,3.4,1.3,1.1,0.6,0.4,0.5,2.8,2.2,7.4,-3.2
2015-16,regular-season,IND,53,30,23,4.0,2.8,6.5,43.2,0.6,2.2,28.0,2.4,3.1,76.7,1.0,2.8,3.8,1.4,1.3,0.5,0.5,0.5,2.5,2.2,8.6,0.0
2015-16,regular-season,HOU,49,28,21,4.0,2.6,6.5,39.1,0.5,2.1,25.0,2.5,3.1,78.6,0.8,2.8,3.6,1.4,1.1,0.5,0.3,0.4,2.9,2.1,8.1,-0.8
2015-16,regular-season,CHI,46,27,19,4.6,3.3,8.5,38.8,0.6,2.2,28.3,2.4,3.6,67.9,1.5,3.0,4.6,1.7,0.8,0.7,0.4,0.8,2.5,2.5,9.7,0.5
2015-16,regular-season,MEM,44,26,18,3.9,2.4,5.9,40.2,0.4,2.1,19.4,2.4,3.0,81.7,0.8,2.6,3.4,1.3,1.3,0.5,0.6,0.4,2.4,2.0,7.6,-1.3
2015-16,regular-season,BOS,46,25,21,3.4,2.5,6.0,41.2,0.5,2.1,25.8,3.0,3.7,80.1,0.8,2.5,3.3,1.4,0.9,0.5,0.4,0.4,2.0,2.5,8.4,-0.3
2015-16,regular-season,DAL,49,25,24,4.6,3.2,7.8,40.6,0.8,2.6,30.7,2.1,3.0,70.7,1.1,3.3,4.5,1.7,1.2,0.4,0.4,0.4,2.4,2.1,9.3,-1.2
2015-16,regular-season,DEN,52,25,27,3.7,2.5,6.3,39.1,0.5,1.8,25.0,2.2,3.0,74.0,0.8,2.8,3.6,1.4,0.8,0.4,0.6,0.3,2.3,2.2,7.6,0.4
2015-16,regular-season,DET,42,25,17,4.1,2.7,7.0,38.7,0.5,2.0,24.4,2.1,2.9,75.0,0.9,2.8,3.7,1.3,1.1,0.5,0.5,0.3,3.2,2.2,8.0,-1.3
2015-16,regular-season,LAC,42,25,17,4.0,2.7,7.0,39.4,0.7,2.1,33.3,3.0,3.9,77.9,1.3,2.7,4.0,1.4,1.1,0.4,0.2,0.6,2.9,2.5,9.2,-0.5
2015-16,regular-season,MIA,43,25,18,4.1,2.7,6.6,40.5,0.5,1.7,26.7,2.4,3.1,78.4,0.8,2.7,3.5,1.1,1.1,0.3,0.4,0.6,2.7,2.1,8.3,-1.4
