SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,MIN,BOX_OUTS,OFF_BOXOUTS,DEF_BOXOUTS,PCT_BOX_OUTS_OFF,PCT_BOX_OUTS_DEF
2015-16,Regular+Season,ATL,Atlanta Hawks,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,CHI,Chicago Bulls,53.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,CLE,Cleveland Cavaliers,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,DAL,Dallas Mavericks,46.6,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,DEN,Denver Nuggets,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,GSW,Golden State Warriors,50.3,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,HOU,Houston Rockets,47.7,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,LAC,LA Clippers,47.7,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,MIA,Miami Heat,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,MIN,Minnesota Timberwolves,53.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,NOP,New Orleans Pelicans,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,NYK,New York Knicks,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,ORL,Orlando Magic,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,PHI,Philadelphia 76ers,52.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,SAS,San Antonio Spurs,44.6,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,ATL,Atlanta Hawks,48.1,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,BOS,Boston Celtics,48.7,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,CHA,Charlotte Hornets,47.8,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,CLE,Cleveland Cavaliers,47.5,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,DAL,Dallas Mavericks,47.7,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,DET,Detroit Pistons,47.9,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,GSW,Golden State Warriors,47.6,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,HOU,Houston Rockets,47.6,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,IND,Indiana Pacers,47.3,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,LAC,LA Clippers,47.8,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,MEM,Memphis Grizzlies,48.0,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,MIA,Miami Heat,48.8,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,OKC,Oklahoma City Thunder,47.4,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,POR,Portland Trail Blazers,47.8,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,SAS,San Antonio Spurs,47.6,0.0,0.0,0.0,0.0,0.0
2015-16,Playoffs,TOR,Toronto Raptors,48.2,0.0,0.0,0.0,0.0,0.0
2016-17,Pre+Season,ATL,Atlanta Hawks,16.0,0.0,0.0,0.0,0.0,0.0
2016-17,Pre+Season,BOS,Boston Celtics,6.0,0.0,0.0,0.0,0.0,0.0
2016-17,Pre+Season,BKN,Brooklyn Nets,9.8,0.0,0.0,0.0,0.0,0.0
2016-17,Pre+Season,DAL,Dallas Mavericks,23.4,0.0,0.0,0.0,0.0,0.0
2016-17,Pre+Season,DET,Detroit Pistons,6.0,0.0,0.0,0.0,0.0,0.0
