SEASON,SEASON_TYPE,LINEUP,TEAM_ABB,GROUP_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2016-17,All+Star,J. Simmons - J. Okafor - D. Russell - F. Kaminsky - B. Ingram,USA,1,5.6,23.0,9.0,11.0,81.8,5.0,6.0,83.3,0.0,2.0,0.0,0.0,2.0,2.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,8.0,0,0
2016-17,All+Star,A. Abrines - T. Lyles - W. Hernangomez - D. Sabonis - J. Murray,WLD,1,5.4,15.0,6.0,12.0,50.0,3.0,7.0,42.9,0.0,0.0,0.0,1.0,3.0,4.0,3.0,2.0,1.0,0.0,0.0,3.0,0.0,-3.0,0,0
2016-17,All+Star,B. Armstrong - A. Elgort - O. Schmidt - L. Whalen - J. Williams,EST,1,5.3,17.0,7.0,12.0,58.3,3.0,6.0,50.0,0.0,0.0,0.0,3.0,5.0,8.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,10.0,0,0
2016-17,All+Star,M. Cuban - B. Davis - R. Miller -  . Master P - C. Parker,WST,1,5.3,4.0,1.0,10.0,10.0,0.0,6.0,0.0,2.0,4.0,50.0,3.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,-2.0,0,0
2016-17,All+Star,L. James - C. Anthony - K. Walker - J. Butler - G. Antetokounmpo,EST,1,5.2,12.0,6.0,12.0,50.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,3.0,-7.0,0,0
2016-17,All+Star,C. Anthony - K. Lowry - J. Wall - K. Walker - I. Thomas,EST,1,5.1,20.0,8.0,13.0,61.5,2.0,6.0,33.3,2.0,2.0,100,2.0,4.0,6.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,-3.0,0,0
2016-17,All+Star,M. Gasol - R. Westbrook - G. Hayward - K. Thompson - D. Green,WST,1,4.8,20.0,9.0,17.0,52.9,2.0,7.0,28.6,0.0,0.0,0.0,3.0,5.0,8.0,7.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0
2016-17,All+Star,N. Ogwumike - B. Davis - R. Miller - H. Minhaj -  . Master P,WST,1,4.7,8.0,3.0,9.0,33.3,1.0,3.0,33.3,1.0,2.0,50.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,0.0,1.0,-6.0,0,0
2016-17,All+Star,W. Butler - N. Cannon - M. Lasry - L. Whalen - J. Williams,EST,1,4.7,14.0,7.0,13.0,53.8,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,8.0,4.0,2.0,1.0,1.0,1.0,1.0,0.0,6.0,0,0
2016-17,All+Star,M. Cuban - A. Mackie - R. Miller - H. Minhaj -  . Master P,WST,1,4.5,8.0,2.0,10.0,20.0,0.0,2.0,0.0,4.0,6.0,66.7,4.0,2.0,6.0,2.0,1.0,4.0,0.0,1.0,6.0,3.0,-4.0,0,0
2016-17,All+Star,C. Anthony - D. DeRozan - P. George - K. Irving - K. Walker,EST,1,4.3,15.0,6.0,13.0,46.2,3.0,8.0,37.5,0.0,0.0,0.0,1.0,4.0,5.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0,0
2016-17,All+Star,D. Exum - D. Saric - K. Porzingis - W. Hernangomez - B. Hield,WLD,1,4.2,18.0,8.0,11.0,72.7,2.0,5.0,40.0,0.0,0.0,0.0,1.0,2.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,6.0,0,0
2016-17,All+Star,B. Armstrong - W. Butler - M. Lasry - L. Whalen - J. Williams,EST,1,3.8,12.0,6.0,10.0,60.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0,0
2016-17,All+Star,N. Ogwumike - B. Davis - A. Mackie - H. Minhaj - C. Parker,WST,1,3.8,13.0,6.0,10.0,60.0,1.0,2.0,50.0,0.0,0.0,0.0,1.0,6.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,1.0,9.0,0,0
2016-17,All+Star,T. Cavanagh - B. Davis - A. Grammer - J. Jinfu - R. Miller,WST,1,3.8,4.0,2.0,6.0,33.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,2.0,0.0,0.0,1.0,0.0,-5.0,0,0
2016-17,All+Star,A. Grammer - J. Jinfu - A. Mackie - R. Miller - A. Sanchez,WST,1,3.7,6.0,3.0,7.0,42.9,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,2.0,0,0
2016-17,All+Star,D. Rachel - A. Elgort - C. McLaughlin - O. Schmidt - K. Wu,EST,1,3.7,4.0,1.0,5.0,20.0,0.0,1.0,0.0,2.0,2.0,100,4.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,-2.0,0,0
2016-17,All+Star,B. Davis - J. Jinfu - A. Mackie - R. Miller -  . Master P,WST,1,3.5,3.0,1.0,5.0,20.0,1.0,2.0,50.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,-1.0,0,0
2016-17,All+Star,W. Butler - D. Rachel - M. Lasry - P. Rosenberg - K. Wu,EST,1,3.4,7.0,1.0,1.0,100,0.0,0.0,0.0,5.0,9.0,55.6,0.0,3.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,5.0,-1.0,0,0
2016-17,All+Star,J. Simmons - K. Towns - F. Kaminsky - D. Booker - M. Brogdon,USA,1,3.3,14.0,5.0,6.0,83.3,4.0,5.0,80.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,-3.0,0,0
2016-17,All+Star,C. Anthony - J. Wall - P. George - K. Walker - I. Thomas,EST,1,3.1,9.0,4.0,8.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,-5.0,0,0
2016-17,All+Star,K. Porzingis - T. Lyles - W. Hernangomez - B. Hield - J. Murray,WLD,1,3.0,12.0,5.0,8.0,62.5,2.0,5.0,40.0,0.0,0.0,0.0,0.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0,0
2016-17,All+Star,A. Abrines - K. Porzingis - T. Lyles - D. Sabonis - J. Murray,WLD,1,2.9,7.0,3.0,5.0,60.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,-5.0,0,0
2016-17,All+Star,K. Durant - D. Jordan - S. Curry - K. Thompson - D. Green,WST,1,2.9,11.0,5.0,8.0,62.5,1.0,4.0,25.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0,0
2016-17,All+Star,N. Ogwumike - M. Cuban - B. Davis - R. Miller - C. Parker,WST,1,2.9,4.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0,0
2016-17,All+Star,P. Millsap - J. Wall - P. George - I. Thomas - G. Antetokounmpo,EST,1,2.9,8.0,4.0,8.0,50.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-3.0,0,0
2016-17,All+Star,N. Ogwumike - B. Davis - A. Grammer - R. Miller - C. Parker,WST,1,2.7,2.0,1.0,7.0,14.3,0.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,-6.0,0,0
2016-17,All+Star,A. Abrines - D. Exum - D. Saric - K. Porzingis - W. Hernangomez,WLD,1,2.6,5.0,2.0,4.0,50.0,1.0,3.0,33.3,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0,0
2016-17,All+Star,B. Armstrong - W. Butler - M. Lasry - C. McLaughlin - L. Whalen,EST,1,2.5,3.0,1.0,7.0,14.3,0.0,3.0,0.0,1.0,2.0,50.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,-4.0,0,0
2016-17,All+Star,L. James - K. Lowry - D. DeRozan - J. Wall - J. Butler,EST,1,2.2,6.0,3.0,8.0,37.5,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,-6.0,0,0
2016-17,All+Star,B. Davis - A. Mackie - R. Miller -  . Master P - C. Parker,WST,1,2.0,2.0,1.0,6.0,16.7,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,-6.0,0,0
2016-17,All+Star,J. Simmons - D. Russell - K. Towns - F. Kaminsky - D. Booker,USA,1,2.0,7.0,3.0,4.0,75.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0,0
2016-17,All+Star,J. Simmons - K. Towns - D. Booker - B. Ingram - M. Brogdon,USA,1,1.9,7.0,3.0,5.0,60.0,1.0,1.0,100,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0,0
2016-17,All+Star,N. Cannon - D. Rachel - A. Elgort - M. Lasry - K. Wu,EST,1,1.9,2.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,4.0,50.0,3.0,2.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,2.0,-4.0,0,0
2016-17,All+Star,A. Abrines - D. Exum - D. Saric - N. Jokic - K. Porzingis,WLD,1,1.7,4.0,2.0,4.0,50.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-2.0,0,0
2016-17,All+Star,T. Cavanagh - B. Davis - A. Grammer - R. Miller - A. Sanchez,WST,1,1.6,3.0,1.0,2.0,50.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0,0,0
2016-17,All+Star,K. Durant - S. Curry - K. Thompson - A. Davis - D. Green,WST,1,1.5,6.0,3.0,3.0,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,0
2016-17,All+Star,N. Jokic - T. Lyles - D. Sabonis - B. Hield - J. Murray,WLD,1,1.5,6.0,3.0,4.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0,0
2018-19,Playoffs,T. Young - D. Collison - W. Matthews - B. Bogdanovic - M. Turner,IND,4,20.8,43.5,16.5,37.3,44.3,4.8,14.3,33.3,5.8,6.8,85.2,3.5,13.8,17.3,11.5,4.8,4.3,2.0,0.8,5.5,7.8,1.5,0,0
2018-19,Playoffs,E. Turner - D. Lillard - M. Leonard - C. McCollum - R. Hood,POR,1,19.5,40.0,16.0,35.0,45.7,7.0,17.0,41.2,1.0,2.0,50.0,0.0,11.0,11.0,11.0,4.0,1.0,4.0,3.0,7.0,3.0,-8.0,0,0
2018-19,Playoffs,A. Aminu - E. Kanter - D. Lillard - M. Harkless - C. McCollum,POR,14,18.2,39.6,14.3,34.6,41.2,4.3,12.1,35.3,6.7,8.4,79.7,5.6,12.1,17.7,6.5,5.1,3.1,1.4,2.4,7.6,7.7,-3.6,0,0
2018-19,Playoffs,P. Millsap - G. Harris - N. Jokic - J. Murray - T. Craig,DEN,11,18.1,42.8,15.8,32.1,49.3,3.9,10.5,37.1,7.3,8.6,84.2,4.0,12.9,16.9,9.1,3.2,1.8,1.5,1.5,6.5,7.5,5.0,0,0
2018-19,Playoffs,C. Paul - P. Tucker - E. Gordon - J. Harden - C. Capela,HOU,11,16.3,36.5,12.7,27.8,45.8,5.0,13.1,38.2,6.1,8.5,71.3,3.5,11.4,14.9,7.2,5.9,3.5,2.0,1.8,7.0,7.4,2.1,0,0
2018-19,Playoffs,K. Lowry - M. Gasol - D. Green - K. Leonard - P. Siakam,TOR,24,16.0,36.7,13.6,29.0,47.0,4.1,11.3,36.0,5.4,6.3,84.9,2.8,11.2,14.0,7.5,4.2,3.5,1.4,1.8,6.8,6.8,3.6,0,0
2018-19,Playoffs,J. Redick - T. Harris - J. Butler - J. Embiid - B. Simmons,PHI,11,15.7,37.6,13.5,27.5,49.2,4.0,10.5,37.9,6.5,8.0,81.8,3.1,13.4,16.5,8.9,4.9,1.8,1.9,1.1,5.9,6.9,8.9,0,0
2018-19,Playoffs,D. Augustin - N. Vucevic - E. Fournier - A. Gordon - J. Isaac,ORL,5,14.4,26.4,9.4,23.4,40.2,3.4,8.4,40.5,4.2,5.2,80.8,2.0,8.6,10.6,6.2,5.4,2.4,1.6,1.6,6.2,6.0,-10.0,0,0
2018-19,Playoffs,R. Westbrook - P. George - S. Adams - J. Grant - T. Ferguson,OKC,5,14.4,33.8,13.4,26.4,50.8,4.2,10.0,42.0,2.8,3.8,73.7,2.2,11.4,13.6,8.6,4.6,0.6,2.4,1.4,7.8,6.4,-2.6,0,0
2018-19,Playoffs,A. Iguodala - K. Durant - S. Curry - K. Thompson - D. Green,GSW,12,14.0,33.8,12.1,24.3,49.7,3.0,9.0,33.3,6.7,8.3,80.0,2.3,8.4,10.7,8.1,3.8,2.3,1.6,0.9,7.1,7.8,1.0,0,0
2018-19,Playoffs,J. Dudley - J. Harris - D. Russell - C. LeVert - J. Allen,BKN,2,13.2,22.5,8.5,23.5,36.2,1.5,7.5,20.0,4.0,6.0,66.7,1.5,10.5,12.0,6.5,5.0,3.5,1.5,1.5,4.0,6.0,-6.5,0,0
2018-19,Playoffs,W. Ellington - R. Jackson - A. Drummond - T. Maker - B. Brown,DET,1,12.4,19.0,8.0,24.0,33.3,1.0,7.0,14.3,2.0,4.0,50.0,1.0,7.0,8.0,6.0,4.0,0.0,0.0,3.0,6.0,5.0,-25.0,0,0
2018-19,Playoffs,L. Aldridge - D. DeRozan - J. Poeltl - B. Forbes - D. White,SAS,7,11.4,23.7,9.6,20.3,47.2,1.7,3.9,44.4,2.9,4.0,71.4,3.0,8.1,11.1,6.3,2.7,1.3,1.6,0.6,5.6,4.0,1.3,0,0
2018-19,Playoffs,A. Horford - K. Irving - M. Morris - J. Brown - J. Tatum,BOS,5,11.0,28.8,10.6,20.8,51.0,2.8,8.0,35.0,4.8,5.4,88.9,1.0,10.2,11.2,6.8,2.4,1.6,1.6,0.8,4.8,4.0,2.8,0,0
2018-19,Playoffs,B. Griffin - W. Ellington - R. Jackson - A. Drummond - B. Brown,DET,1,11.0,31.0,14.0,24.0,58.3,3.0,7.0,42.9,0.0,0.0,0.0,5.0,9.0,14.0,8.0,3.0,1.0,0.0,1.0,8.0,2.0,8.0,0,0
2018-19,Playoffs,S. Curry - K. Thompson - D. Green - A. McKinnie - J. Bell,GSW,2,10.7,32.0,12.5,19.0,65.8,3.0,5.0,60.0,4.0,5.0,80.0,0.0,9.0,9.0,9.0,2.0,1.5,0.5,0.5,3.5,2.5,5.5,0,0
2018-19,Playoffs,W. Ellington - R. Jackson - A. Drummond - T. Maker - L. Kennard,DET,1,10.6,21.0,9.0,21.0,42.9,2.0,7.0,28.6,1.0,2.0,50.0,2.0,4.0,6.0,6.0,0.0,0.0,0.0,2.0,5.0,3.0,-17.0,0,0
2018-19,Playoffs,B. Lopez - E. Bledsoe - K. Middleton - G. Antetokounmpo - S. Brown,MIL,5,10.5,26.2,10.0,21.0,47.6,3.4,9.0,37.8,2.8,5.0,56.0,2.4,9.6,12.0,6.2,2.2,1.4,2.4,1.0,2.8,5.2,5.4,0,0
2018-19,Playoffs,P. Millsap - W. Barton - G. Harris - N. Jokic - J. Murray,DEN,11,10.4,22.9,8.3,17.8,46.4,1.9,5.7,33.3,4.5,5.5,80.3,2.3,7.4,9.6,5.5,2.1,1.3,1.0,0.9,3.9,5.4,2.0,0,0
2018-19,Playoffs,R. Rubio - D. Favors - R. Gobert - J. Ingles - D. Mitchell,UTA,2,10.2,22.0,9.5,16.0,59.4,1.0,4.5,22.2,2.0,3.0,66.7,2.5,6.5,9.0,5.5,6.0,4.0,0.5,1.0,4.0,4.0,-3.0,0,0
2018-19,Playoffs,A. Bogut - K. Durant - S. Curry - K. Thompson - D. Green,GSW,4,9.7,23.0,9.0,17.5,51.4,1.3,4.5,27.8,3.8,4.3,88.2,1.5,7.3,8.8,6.8,2.8,1.8,0.5,0.5,5.8,4.0,1.3,0,0
2018-19,Playoffs,R. Westbrook - P. George - D. Schroder - S. Adams - J. Grant,OKC,5,9.5,20.4,6.4,16.2,39.5,1.6,6.4,25.0,6.0,7.4,81.1,2.0,6.0,8.0,3.2,2.6,1.6,0.4,1.2,4.0,5.0,-0.8,0,0
2018-19,Playoffs,A. Horford - K. Irving - A. Baynes - J. Brown - J. Tatum,BOS,5,9.3,17.8,7.4,15.6,47.4,2.2,5.4,40.7,0.8,1.4,57.1,1.2,7.8,9.0,4.6,4.0,1.2,0.6,0.8,3.0,2.2,-1.6,0,0
2018-19,Playoffs,D. Gallinari - P. Beverley - J. Green - S. Gilgeous-Alexander - L. Shamet,LAC,6,9.3,23.8,8.3,16.2,51.5,3.8,8.2,46.9,3.3,4.2,80.0,1.2,7.2,8.3,5.7,3.2,0.7,0.8,0.8,4.5,4.8,2.8,0,0
2018-19,Playoffs,L. Williams - W. Chandler - G. Temple - M. Harrell - J. Robinson,LAC,1,9.3,19.0,7.0,14.0,50.0,1.0,6.0,16.7,4.0,6.0,66.7,1.0,6.0,7.0,4.0,2.0,2.0,0.0,0.0,5.0,6.0,-1.0,0,0
2018-19,Playoffs,A. Iguodala - S. Curry - K. Thompson - D. Green - K. Looney,GSW,13,9.2,22.9,8.4,16.3,51.4,2.8,6.8,40.9,3.4,4.5,74.6,1.5,6.5,7.9,6.1,2.5,1.2,1.3,0.3,4.1,4.2,0.5,0,0
2018-19,Playoffs,R. Westbrook - P. George - D. Schroder - J. Grant - T. Ferguson,OKC,2,9.1,24.0,8.0,18.0,44.4,4.0,8.5,47.1,4.0,7.0,57.1,1.5,6.5,8.0,6.5,1.5,1.5,0.5,1.0,5.5,5.0,0.5,0,0
2018-19,Playoffs,B. Lopez - E. Bledsoe - N. Mirotic - K. Middleton - G. Antetokounmpo,MIL,9,8.9,20.2,7.4,17.7,42.1,2.3,9.0,25.9,3.0,4.4,67.5,2.0,7.1,9.1,4.2,2.3,1.4,1.0,1.1,4.3,4.0,-1.1,0,0
2018-19,Playoffs,A. Iguodala - A. Bogut - S. Curry - D. Green - Q. Cook,GSW,1,8.5,18.0,6.0,11.0,54.5,1.0,5.0,20.0,5.0,6.0,83.3,2.0,7.0,9.0,3.0,3.0,1.0,1.0,0.0,2.0,8.0,0.0,0,0
2018-19,Playoffs,K. Durant - S. Curry - D. Cousins - K. Thompson - D. Green,GSW,2,8.5,17.0,6.0,16.0,37.5,2.0,5.5,36.4,3.0,3.0,100,3.0,6.5,9.5,5.0,5.0,2.0,2.5,1.0,3.0,4.5,-3.5,0,0
2018-19,Playoffs,D. Carroll - J. Harris - D. Russell - J. Allen - R. Kurucs,BKN,3,8.3,15.7,5.3,17.7,30.2,2.3,7.3,31.8,2.7,3.3,80.0,3.3,4.3,7.7,3.3,2.7,1.0,0.3,1.3,5.0,3.0,-11.7,0,0
2018-19,Playoffs,A. Iguodala - S. Curry - D. Cousins - K. Thompson - D. Green,GSW,4,7.7,15.8,6.3,13.8,45.5,2.0,5.0,40.0,1.3,2.3,55.6,1.3,7.8,9.0,5.8,4.0,1.5,2.3,0.5,3.3,3.3,1.5,0,0
2018-19,Playoffs,T. Evans - C. Joseph - D. McDermott - D. Sabonis - T. Leaf,IND,1,7.6,12.0,4.0,15.0,26.7,2.0,7.0,28.6,2.0,5.0,40.0,4.0,9.0,13.0,3.0,2.0,0.0,1.0,1.0,2.0,4.0,2.0,0,0
2018-19,Playoffs,D. Gallinari - P. Beverley - I. Zubac - S. Gilgeous-Alexander - L. Shamet,LAC,3,7.5,14.0,4.3,13.7,31.7,3.0,6.7,45.0,2.3,2.7,87.5,1.7,4.7,6.3,3.3,4.0,3.0,0.7,1.7,3.7,3.3,-4.0,0,0
2018-19,Playoffs,R. Rubio - J. Crowder - R. Gobert - R. O'Neale - D. Mitchell,UTA,5,7.5,13.8,5.0,14.8,33.8,1.2,6.4,18.8,2.6,2.8,92.9,3.0,5.8,8.8,3.0,2.0,0.8,0.6,1.0,2.6,2.4,-2.0,0,0
2018-19,Playoffs,T. Harris - J. Butler - M. Scott - T. McConnell - B. Marjanovic,PHI,2,7.4,20.0,7.0,12.0,58.3,0.5,1.0,50.0,5.5,6.5,84.6,1.0,4.5,5.5,5.0,3.0,1.0,0.0,0.5,4.0,3.5,4.0,0,0
2018-19,Playoffs,D. Augustin - T. Ross - E. Fournier - K. Birch - J. Isaac,ORL,1,7.3,17.0,6.0,9.0,66.7,4.0,6.0,66.7,1.0,2.0,50.0,2.0,3.0,5.0,3.0,4.0,1.0,0.0,0.0,4.0,4.0,-1.0,0,0
2018-19,Playoffs,W. Chandler - T. Wallace - I. Zubac - S. Thornwell - J. Robinson,LAC,1,7.3,19.0,9.0,22.0,40.9,0.0,3.0,0.0,1.0,1.0,100,8.0,6.0,14.0,5.0,1.0,2.0,0.0,2.0,4.0,1.0,4.0,0,0
2018-19,Playoffs,K. Lowry - M. Gasol - K. Leonard - P. Siakam - F. VanVleet,TOR,14,7.0,14.4,4.6,12.0,38.1,1.6,4.7,33.3,3.7,4.8,77.6,1.9,3.9,5.7,3.2,1.5,1.4,0.4,0.9,2.1,4.0,-0.7,0,0
2018-19,Playoffs,R. Rubio - J. Crowder - R. Gobert - J. Ingles - D. Mitchell,UTA,5,7.0,14.8,5.2,12.4,41.9,1.8,5.0,36.0,2.6,4.2,61.9,1.8,4.6,6.4,3.8,2.6,1.8,1.2,0.6,3.6,3.2,-4.2,0,0
2018-19,Playoffs,K. Korver - D. Favors - J. Crowder - R. Neto - J. Ingles,UTA,1,6.9,11.0,3.0,7.0,42.9,0.0,1.0,0.0,5.0,6.0,83.3,0.0,4.0,4.0,3.0,3.0,0.0,1.0,1.0,5.0,4.0,-3.0,0,0
2018-19,Playoffs,R. Rubio - R. Gobert - J. Ingles - R. O'Neale - D. Mitchell,UTA,1,6.9,21.0,5.0,8.0,62.5,2.0,3.0,66.7,9.0,10.0,90.0,1.0,6.0,7.0,1.0,3.0,1.0,4.0,0.0,3.0,6.0,3.0,0,0
2018-19,Playoffs,B. Griffin - W. Ellington - R. Jackson - A. Drummond - L. Kennard,DET,2,6.8,16.0,6.0,15.0,40.0,3.0,5.5,54.5,1.0,1.0,100,3.0,4.0,7.0,4.5,2.0,1.0,0.5,2.0,4.0,1.5,-1.5,0,0
2018-19,Playoffs,S. Livingston - J. Jerebko - K. Thompson - Q. Cook - J. Bell,GSW,3,6.7,12.3,4.7,11.0,42.4,1.3,3.0,44.4,1.7,2.7,62.5,1.7,4.3,6.0,3.3,1.0,0.0,0.7,0.7,3.7,2.3,-3.0,0,0
2018-19,Playoffs,E. Ilyasova - E. Bledsoe - K. Middleton - G. Antetokounmpo - S. Brown,MIL,1,6.4,14.0,3.0,10.0,30.0,1.0,3.0,33.3,7.0,9.0,77.8,2.0,8.0,10.0,2.0,2.0,0.0,1.0,1.0,2.0,6.0,7.0,0,0
2018-19,Playoffs,J. Dudley - D. Carroll - S. Dinwiddie - R. Hollis-Jefferson - C. LeVert,BKN,1,6.4,19.0,5.0,13.0,38.5,1.0,5.0,20.0,8.0,9.0,88.9,2.0,5.0,7.0,3.0,3.0,3.0,0.0,0.0,3.0,6.0,8.0,0,0
