SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2015-16,Pre+Season,CHA,Charlotte Hornets,8,7,1,48.0,90.9,40.8,79.6,7.0,3.0,15.8,8.3,15.5,37.0
2015-16,Pre+Season,BOS,Boston Celtics,7,6,1,48.0,91.7,37.9,71.2,10.4,5.7,14.9,10.7,10.6,36.3
2015-16,Pre+Season,MEM,Memphis Grizzlies,7,6,1,48.0,85.9,36.0,73.1,8.1,4.3,21.0,7.1,16.3,30.6
2015-16,Pre+Season,ORL,Orlando Magic,8,6,2,49.3,97.8,34.4,71.7,9.4,4.6,16.4,10.8,9.8,30.5
2015-16,Pre+Season,IND,Indiana Pacers,7,5,2,48.0,100.0,36.4,71.2,8.4,7.7,13.0,13.0,11.7,36.9
2015-16,Pre+Season,OKC,Oklahoma City Thunder,6,5,1,48.0,96.6,34.8,72.1,7.8,6.0,20.3,12.5,12.0,40.3
2015-16,Pre+Season,SAC,Sacramento Kings,6,5,1,48.8,95.8,34.8,71.2,9.7,5.5,19.0,8.5,14.7,34.7
2015-16,Pre+Season,TOR,Toronto Raptors,7,5,2,48.0,95.5,32.9,76.3,8.9,3.9,14.9,9.7,10.6,35.4
2015-16,Pre+Season,ATL,Atlanta Hawks,7,4,3,48.0,94.7,38.7,74.2,8.1,5.9,19.4,9.7,14.3,32.9
2015-16,Pre+Season,CHI,Chicago Bulls,8,4,4,48.0,107.3,37.4,77.3,7.1,3.6,19.3,9.9,15.6,36.5
2015-16,Pre+Season,DEN,Denver Nuggets,7,4,3,48.0,97.3,36.1,71.7,9.1,3.0,18.4,12.9,15.7,38.3
2015-16,Pre+Season,MIA,Miami Heat,8,4,4,48.6,96.9,36.3,72.0,7.3,4.9,16.9,13.6,13.3,34.3
2015-16,Pre+Season,NYK,New York Knicks,6,4,2,48.0,93.2,36.7,71.9,7.7,6.2,12.8,15.3,12.0,41.0
2015-16,Pre+Season,PHX,Phoenix Suns,6,4,2,48.8,96.4,34.3,67.6,11.7,4.7,19.5,17.8,13.2,44.7
2015-16,Pre+Season,WAS,Washington Wizards,7,4,3,48.0,101.0,35.0,71.3,8.9,4.7,18.0,9.4,14.1,38.9
2015-16,Pre+Season,DET,Detroit Pistons,8,3,5,48.0,100.1,32.4,72.9,8.3,4.1,16.8,12.4,8.9,32.5
2015-16,Pre+Season,GSW,Golden State Warriors,7,3,4,46.0,104.3,33.4,70.5,8.4,6.6,20.6,18.0,12.3,38.0
2015-16,Pre+Season,HOU,Houston Rockets,8,3,5,48.6,104.2,34.3,73.3,11.3,4.3,18.9,12.9,17.5,45.0
2015-16,Pre+Season,LAC,LA Clippers,6,3,3,48.0,98.4,33.5,75.4,9.3,4.5,18.3,10.3,15.0,39.3
2015-16,Pre+Season,LAL,Los Angeles Lakers,8,3,5,46.8,106.3,31.8,68.4,7.6,4.5,17.9,11.5,12.4,42.0
2015-16,Pre+Season,NOP,New Orleans Pelicans,7,3,4,48.7,103.4,35.3,71.5,9.1,4.4,14.4,14.6,13.1,42.3
2015-16,Pre+Season,POR,Portland Trail Blazers,7,3,4,49.4,99.0,36.6,75.0,8.6,4.7,19.7,9.9,17.6,37.1
