SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT
2015-16,Regular+Season,GSW,,66,59,7,8.8,1.7,0.4,0.9,46.6,0.1,0.2,70.0,0.9,56.9,0.3,20.2,0.2,11.0,0.2,9.2,0.1,4.6,0,0
2015-16,Regular+Season,IND,,71,41,30,25.6,0.8,0.2,0.3,54.5,0.2,0.3,54.5,0.5,64.4,0.2,22.0,0.0,3.4,0.2,18.6,0.2,18.6,0,0
2015-16,Regular+Season,CLE,,54,39,15,24.4,2.5,0.4,1.1,35.1,0.3,0.4,80.0,1.1,43.1,0.7,29.2,0.3,11.7,0.2,8.0,0.2,7.3,0,0
2015-16,Regular+Season,PHI,,77,10,67,25.5,4.1,0.6,1.7,33.6,0.5,0.5,92.5,1.6,39.8,1.4,34.7,0.3,7.3,0.4,9.2,0.3,6.4,0,0
2015-16,Regular+Season,BOS,,81,47,34,32.2,16.5,2.6,6.2,42.1,2.3,2.6,87.6,7.7,46.6,5.9,36.0,1.7,10.3,0.9,5.5,1.3,7.8,0,0
2015-16,Regular+Season,PHI,,77,16,61,29.1,15.4,2.0,5.1,39.0,0.4,0.7,62.7,4.5,29.3,6.8,44.3,2.0,13.0,0.9,5.7,0.3,2.2,0,0
2015-16,Regular+Season,DAL,,74,38,36,22.5,9.1,1.9,4.2,45.4,0.5,0.6,78.7,4.4,48.6,2.9,31.9,1.1,12.1,0.4,4.4,0.4,3.8,0,0
2015-16,Regular+Season,WAS,,35,17,18,12.5,0.6,0.1,0.4,30.8,0.1,0.2,50.0,0.3,60.0,0.1,10.0,0.0,5.0,0.0,5.0,0.1,15.0,0,0
2015-16,Regular+Season,UTA,,2,2,0,3.1,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,LAC,,75,50,25,28.0,2.8,0.5,1.1,47.1,0.4,0.5,80.6,1.5,53.1,1.0,35.7,0.2,6.8,0.1,4.8,0.2,8.7,0,0
2015-16,Regular+Season,CLE,,77,53,24,30.7,2.7,0.7,1.5,43.2,0.2,0.3,54.5,1.5,54.8,0.6,23.8,0.2,9.0,0.1,2.4,0.2,5.7,0,0
2015-16,Regular+Season,DEN,,73,18,55,15.9,3.2,0.6,1.3,43.3,0.3,0.6,59.5,1.5,47.6,1.0,31.2,0.2,4.8,0.3,10.8,0.3,9.5,0,0
2015-16,Regular+Season,MEM,,78,39,39,18.5,0.6,0.1,0.3,24.0,0.0,0.0,100,0.2,34.9,0.2,27.9,0.0,2.3,0.0,7.0,0.0,2.3,0,0
2015-16,Regular+Season,DAL,,34,15,19,10.9,0.4,0.2,0.4,53.8,0.0,0.0,0.0,0.4,100,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0,0
