SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2016-17,Regular+Season,MIN,Minnesota Timberwolves,82,11.0,10.1,0.96,10.5,4.2,8.7,48.5,48.5,13.4,10.1,11.2,2.8,48.4,93.1
2016-17,Regular+Season,OKC,Oklahoma City Thunder,82,11.4,10.1,0.87,9.9,3.9,8.1,48.3,48.3,13.6,18.1,12.8,2.5,44.6,34.5
2016-17,Regular+Season,SAS,San Antonio Spurs,82,9.9,9.3,0.87,8.6,3.4,7.8,43.7,43.7,13.4,10.6,12.5,2.6,44.3,37.9
2016-17,Regular+Season,DEN,Denver Nuggets,82,8.8,7.8,0.96,8.4,3.2,6.4,49.5,49.5,16.6,13.2,14.2,2.9,48.7,96.6
2016-17,Regular+Season,SAC,Sacramento Kings,82,8.8,8.3,0.92,8.1,2.9,6.1,46.5,46.5,18.6,14.4,15.4,3.3,47.1,65.5
2016-17,Regular+Season,MIL,Milwaukee Bucks,82,8.5,8.1,0.93,7.9,3.1,6.4,48.4,48.4,14.8,13.4,13.5,3.9,46.9,79.3
2016-17,Regular+Season,CHI,Chicago Bulls,82,8.5,7.7,0.92,7.8,3.2,6.8,46.6,46.6,12.6,9.8,11.7,2.7,46.8,62.1
2016-17,Regular+Season,DET,Detroit Pistons,82,9.3,8.6,0.83,7.7,3.3,7.8,43.1,43.1,10.5,8.4,8.8,2.0,42.4,17.2
2016-17,Regular+Season,BKN,Brooklyn Nets,82,8.2,7.4,0.93,7.6,3.0,5.9,50.4,50.4,14.5,17.3,13.0,3.9,46.4,72.4
2016-17,Regular+Season,IND,Indiana Pacers,82,7.7,7.2,0.93,7.2,3.1,6.5,46.7,46.7,10.4,7.4,8.8,2.5,46.8,82.8
2016-17,Regular+Season,PHI,Philadelphia 76ers,82,7.9,7.1,0.85,6.7,2.5,5.4,45.3,45.3,17.6,17.2,15.8,3.6,44.2,31.0
2016-17,Regular+Season,DAL,Dallas Mavericks,82,7.2,7.1,0.92,6.7,2.6,5.9,45.2,45.2,13.0,8.6,11.1,2.9,46.1,69.0
2016-17,Regular+Season,CLE,Cleveland Cavaliers,82,7.3,6.7,0.92,6.6,2.4,5.3,45.3,45.3,17.8,12.9,14.6,4.0,46.4,58.6
2016-17,Regular+Season,ORL,Orlando Magic,82,8.0,7.3,0.81,6.5,2.9,6.6,43.6,43.6,7.2,11.7,5.6,1.4,41.2,10.3
2016-17,Regular+Season,BOS,Boston Celtics,82,7.0,6.5,0.93,6.5,2.6,5.4,48.6,48.6,13.6,13.3,11.9,4.0,46.6,75.9
2016-17,Regular+Season,NYK,New York Knicks,82,7.4,6.7,0.84,6.2,2.2,5.4,40.9,40.9,15.2,12.9,14.2,1.8,43.3,27.6
2016-17,Regular+Season,ATL,Atlanta Hawks,82,6.8,6.2,0.90,6.1,2.0,4.4,45.9,45.9,25.4,13.6,22.2,3.8,48.3,48.3
2016-17,Regular+Season,NOP,New Orleans Pelicans,82,6.7,6.2,0.90,6.0,2.1,4.8,42.7,42.7,18.5,12.7,16.5,3.6,45.3,51.7
2016-17,Regular+Season,TOR,Toronto Raptors,82,6.1,5.7,0.98,5.9,2.3,4.9,48.2,48.2,14.1,9.0,13.9,3.2,49.2,100
2016-17,Regular+Season,LAC,LA Clippers,82,6.2,5.9,0.95,5.9,2.3,4.7,49.7,49.7,14.6,12.7,13.1,2.5,48.6,89.7
2016-17,Regular+Season,WAS,Washington Wizards,82,6.0,5.5,0.88,5.3,2.1,4.7,45.3,45.3,12.5,11.7,11.1,2.4,45.5,41.4
2016-17,Regular+Season,LAL,Los Angeles Lakers,82,6.3,5.6,0.77,4.8,1.8,4.7,37.8,37.8,14.6,13.5,12.9,2.9,39.4,3.4
2016-17,Regular+Season,CHA,Charlotte Hornets,82,4.9,4.7,0.95,4.7,1.8,3.8,46.0,46.0,16.3,9.9,15.1,3.7,47.2,86.2
2016-17,Regular+Season,MIA,Miami Heat,82,5.5,5.1,0.83,4.5,1.9,4.1,45.7,45.7,11.9,15.0,10.7,2.9,42.7,20.7
2016-17,Regular+Season,GSW,Golden State Warriors,82,5.6,5.1,0.78,4.4,1.7,4.0,43.4,43.4,11.9,19.0,10.4,1.9,39.8,6.9
2016-17,Regular+Season,POR,Portland Trail Blazers,82,4.7,4.3,0.90,4.2,1.7,3.4,49.6,49.6,14.5,15.8,11.9,3.4,46.6,55.2
2016-17,Regular+Season,UTA,Utah Jazz,82,4.9,4.8,0.84,4.1,1.6,3.5,46.0,46.0,13.0,17.0,11.8,2.3,43.0,24.1
2016-17,Regular+Season,PHX,Phoenix Suns,82,5.3,4.6,0.76,4.0,1.5,3.7,39.9,39.9,15.1,17.6,12.3,2.8,39.2,0.0
2016-17,Regular+Season,HOU,Houston Rockets,82,2.4,2.1,0.82,2.0,0.8,1.8,45.2,45.2,12.2,14.7,11.2,1.0,43.1,13.8
2016-17,Playoffs,SAS,San Antonio Spurs,16,10.6,9.8,0.92,9.8,3.9,8.6,45.7,45.7,12.4,10.0,9.4,3.5,45.3,57.1
2016-17,Playoffs,GSW,Golden State Warriors,17,6.6,6.0,1.02,6.8,2.7,5.2,52.3,52.3,15.0,12.0,13.3,4.4,51.3,92.9
2016-17,Playoffs,CLE,Cleveland Cavaliers,18,6.3,5.9,0.90,5.7,2.1,4.6,45.1,45.1,15.9,13.0,13.3,2.7,45.1,42.9
2016-17,Playoffs,BOS,Boston Celtics,18,5.8,5.5,0.75,4.4,1.8,4.4,41.8,41.8,10.5,15.0,8.6,1.0,40.0,21.4
2016-17,Playoffs,MEM,Memphis Grizzlies,6,12.5,13.0,0.96,12.0,4.0,9.3,42.9,42.9,20.0,9.0,16.0,4.0,48.0,71.4
2016-17,Playoffs,WAS,Washington Wizards,13,6.3,5.7,0.65,4.1,1.7,4.7,36.1,36.1,7.3,20.0,7.3,2.4,31.7,0.0
2016-17,Playoffs,MIL,Milwaukee Bucks,6,7.3,7.3,1.11,8.2,3.0,4.8,62.1,62.1,22.7,16.0,18.2,4.5,56.8,100
2016-17,Playoffs,CHI,Chicago Bulls,6,8.2,7.8,0.98,8.0,3.0,6.5,46.2,46.2,14.3,8.0,14.3,2.0,49.0,78.6
2016-17,Playoffs,ATL,Atlanta Hawks,6,7.5,6.6,1.00,7.5,3.0,5.0,60.0,60.0,15.6,22.0,13.3,4.4,48.9,85.7
2016-17,Playoffs,TOR,Toronto Raptors,10,4.7,4.6,0.92,4.3,1.7,3.5,48.6,48.6,14.9,15.0,12.8,4.3,44.7,50.0
2016-17,Playoffs,OKC,Oklahoma City Thunder,5,10.2,9.1,0.69,7.0,2.6,7.6,34.2,34.2,11.8,14.0,9.8,0.0,35.3,14.3
2016-17,Playoffs,UTA,Utah Jazz,11,4.5,4.6,0.66,3.0,1.3,3.2,40.0,40.0,6.0,24.0,6.0,0.0,34.0,7.1
2016-17,Playoffs,LAC,LA Clippers,7,3.9,3.9,0.89,3.4,1.4,3.0,47.6,47.6,11.1,11.0,11.1,0.0,44.4,28.6
2016-17,Playoffs,HOU,Houston Rockets,11,1.7,1.6,0.90,1.5,0.6,1.2,53.8,53.8,15.8,16.0,5.3,0.0,52.6,35.7
2016-17,Playoffs,IND,Indiana Pacers,4,4.3,3.9,0.94,4.0,1.8,3.3,53.8,53.8,5.9,18.0,0.0,0.0,47.1,64.3
2016-17,Playoffs,POR,Portland Trail Blazers,4,2.3,2.0,0.89,2.0,0.8,1.8,42.9,42.9,11.1,11.0,11.1,0.0,44.4,0.0
2017-18,Pre+Season,SAS,San Antonio Spurs,5,10.8,10.2,1.20,13.0,5.6,8.4,66.7,66.7,11.1,14.8,9.3,3.7,59.3,96.6
2017-18,Pre+Season,NYK,New York Knicks,5,10.6,9.4,0.98,10.0,3.6,8.2,43.9,43.9,20.8,5.7,17.0,3.8,49.1,75.9
2017-18,Pre+Season,SAC,Sacramento Kings,6,9.5,9.0,0.72,7.0,2.7,7.0,38.1,38.1,12.3,15.8,8.8,1.8,38.6,34.5
2017-18,Pre+Season,DEN,Denver Nuggets,5,6.2,5.4,1.23,8.0,2.2,3.8,57.9,57.9,32.3,12.9,29.0,6.5,61.3,100
2017-18,Pre+Season,CHI,Chicago Bulls,6,8.3,7.5,0.70,6.0,2.3,6.7,35.0,35.0,12.0,10.0,12.0,2.0,36.0,25.0
2017-18,Pre+Season,DET,Detroit Pistons,5,6.4,5.9,1.03,7.0,2.4,4.8,50.0,50.0,25.0,6.3,25.0,6.3,53.1,82.8
2017-18,Pre+Season,POR,Portland Trail Blazers,4,9.0,8.3,0.89,8.0,3.0,6.8,44.4,44.4,16.7,8.3,11.1,0.0,47.2,71.4
2017-18,Pre+Season,MIN,Minnesota Timberwolves,3,11.3,9.7,0.88,10.0,3.3,8.0,41.7,41.7,14.7,14.7,14.7,0.0,44.1,65.5
2017-18,Pre+Season,IND,Indiana Pacers,4,9.5,8.7,0.76,7.0,2.8,7.3,37.9,37.9,13.2,10.5,13.2,0.0,42.1,41.4
2017-18,Pre+Season,CHA,Charlotte Hornets,4,9.8,8.6,0.74,7.0,3.0,6.8,44.4,44.4,15.4,20.5,15.4,5.1,35.9,37.9
2017-18,Pre+Season,NOP,New Orleans Pelicans,4,8.3,7.4,0.85,7.0,1.5,5.0,30.0,30.0,33.3,15.2,24.2,9.1,42.4,55.2
2017-18,Pre+Season,ORL,Orlando Magic,6,5.8,5.3,0.77,4.0,1.8,4.8,37.9,37.9,11.4,5.7,5.7,0.0,40.0,44.8
2017-18,Pre+Season,LAL,Los Angeles Lakers,6,6.2,5.5,0.68,4.0,1.7,4.8,34.5,34.5,10.8,10.8,8.1,0.0,37.8,20.7
2017-18,Pre+Season,OKC,Oklahoma City Thunder,4,9.8,9.0,0.64,6.0,2.5,7.0,35.7,35.7,12.8,15.4,10.3,0.0,38.5,17.2
2017-18,Pre+Season,MEM,Memphis Grizzlies,5,5.6,4.9,0.79,4.0,2.0,4.4,45.5,45.5,7.1,17.9,7.1,3.6,39.3,48.3
2017-18,Pre+Season,TOR,Toronto Raptors,5,3.6,3.2,1.17,4.0,1.8,3.2,56.3,56.3,11.1,0.0,11.1,0.0,61.1,93.1
2017-18,Pre+Season,PHI,Philadelphia 76ers,5,4.8,4.1,0.88,4.0,1.2,2.8,42.9,42.9,25.0,20.8,12.5,4.2,45.8,60.7
2017-18,Pre+Season,MIA,Miami Heat,6,4.3,3.8,0.81,4.0,1.5,3.3,45.0,45.0,15.4,11.5,11.5,3.8,42.3,51.7
2017-18,Pre+Season,PHX,Phoenix Suns,4,5.0,4.6,1.00,5.0,1.8,4.0,43.8,43.8,25.0,5.0,25.0,10.0,50.0,79.3
2017-18,Pre+Season,WAS,Washington Wizards,5,5.6,5.0,0.71,4.0,1.8,4.2,42.9,42.9,7.1,21.4,3.6,3.6,35.7,31.0
2017-18,Pre+Season,Guangzhou Long-Lions,Guangzhou Long-Lions,1,16.0,14.7,1.06,17.0,6.0,13.0,46.2,46.2,25.0,6.3,18.8,12.5,50.0,86.2
2017-18,Pre+Season,BKN,Brooklyn Nets,4,4.5,3.8,0.89,4.0,1.8,2.8,63.6,63.6,16.7,27.8,11.1,5.6,44.4,71.4
2017-18,Pre+Season,CLE,Cleveland Cavaliers,5,6.8,6.0,0.44,3.0,1.2,5.0,24.0,24.0,5.9,20.6,5.9,0.0,23.5,0.0
2017-18,Pre+Season,UTA,Utah Jazz,5,2.6,2.3,1.08,3.0,0.8,1.6,50.0,50.0,30.8,7.7,23.1,0.0,53.8,89.7
2017-18,Pre+Season,BOS,Boston Celtics,4,4.0,3.5,0.88,4.0,1.5,3.5,42.9,42.9,6.3,6.3,6.3,0.0,43.8,60.7
2017-18,Pre+Season,MIL,Milwaukee Bucks,4,5.0,4.7,0.70,4.0,1.0,3.0,33.3,33.3,15.0,25.0,5.0,0.0,35.0,25.0
2017-18,Pre+Season,GSW,Golden State Warriors,4,6.3,5.4,0.56,4.0,0.8,3.8,20.0,20.0,24.0,16.0,20.0,0.0,32.0,6.9
2017-18,Pre+Season,Haifa Maccabi Haifa,Haifa Maccabi Haifa,2,13.0,11.3,0.54,7.0,2.0,5.5,36.4,36.4,19.2,38.5,11.5,0.0,26.9,3.4
2017-18,Pre+Season,LAC,LA Clippers,5,3.2,2.8,0.56,2.0,0.4,2.0,20.0,20.0,18.8,18.8,6.3,0.0,31.3,10.3
2017-18,Pre+Season,Brisbane Bullets,Brisbane Bullets,1,9.0,7.4,0.78,7.0,3.0,7.0,42.9,42.9,11.1,11.1,11.1,0.0,44.4,0.0
2017-18,Pre+Season,SAC,Sacramento Kings,1,6.0,5.4,1.00,6.0,2.0,5.0,40.0,40.0,16.7,0.0,16.7,0.0,50.0,0.0
2017-18,Pre+Season,HOU,Houston Rockets,5,1.8,1.7,0.67,1.0,0.6,1.2,50.0,50.0,0.0,33.3,0.0,0.0,33.3,0.0
2017-18,Pre+Season,DAL,Dallas Mavericks,5,2.0,1.9,0.60,1.0,0.6,1.4,42.9,42.9,0.0,30.0,0.0,0.0,30.0,13.8
2017-18,Pre+Season,ATL,Atlanta Hawks,5,1.4,1.2,0.57,1.0,0.4,1.4,28.6,28.6,0.0,0.0,0.0,0.0,28.6,0.0
2017-18,Pre+Season,Melbourne United,Melbourne United,1,6.0,5.6,0.50,3.0,1.0,2.0,50.0,50.0,16.7,50.0,16.7,0.0,33.3,0.0
2017-18,Pre+Season,Shanghai Sharks,Shanghai Sharks,1,3.0,2.8,0.00,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-18,Playoffs,BOS,Boston Celtics,19,10.7,10.2,0.97,10.3,4.1,8.2,49.7,49.7,16.7,10.3,15.8,3.9,49.8,53.3
2017-18,Playoffs,CLE,Cleveland Cavaliers,22,9.3,9.0,0.83,7.8,3.1,7.2,43.4,43.4,10.7,12.7,8.8,1.5,42.4,26.7
2017-18,Playoffs,GSW,Golden State Warriors,21,6.7,6.2,0.97,6.5,2.6,5.3,49.1,49.1,10.0,10.7,6.4,0.7,48.6,60.0
2017-18,Playoffs,PHI,Philadelphia 76ers,10,13.3,11.6,0.89,11.8,3.9,9.1,42.9,42.9,21.1,13.5,17.3,3.0,46.6,40.0
2017-18,Playoffs,SAS,San Antonio Spurs,5,13.8,13.3,1.03,14.2,4.6,10.2,45.1,45.1,20.3,8.7,18.8,2.9,50.7,80.0
2017-18,Playoffs,MIN,Minnesota Timberwolves,5,11.6,11.1,0.98,11.4,5.0,8.6,58.1,58.1,12.1,17.2,10.3,5.2,46.6,66.7
2017-18,Playoffs,NOP,New Orleans Pelicans,9,6.3,5.7,0.81,5.1,2.2,5.0,44.4,44.4,12.3,15.8,8.8,7.0,40.4,20.0
2017-18,Playoffs,OKC,Oklahoma City Thunder,6,7.8,7.1,0.96,7.5,3.5,7.2,48.8,48.8,4.3,6.4,4.3,2.1,46.8,46.7
2017-18,Playoffs,MIL,Milwaukee Bucks,7,6.0,6.0,1.05,6.3,2.7,5.0,54.3,54.3,9.5,7.1,9.5,0.0,52.4,86.7
2017-18,Playoffs,IND,Indiana Pacers,7,5.1,5.1,1.03,5.3,2.1,4.0,53.6,53.6,16.7,11.1,16.7,5.6,52.8,73.3
2017-18,Playoffs,TOR,Toronto Raptors,10,4.5,4.2,0.78,3.5,1.3,3.2,40.6,40.6,17.8,15.6,17.8,4.4,37.8,13.3
2017-18,Playoffs,WAS,Washington Wizards,6,4.0,3.7,1.13,4.5,2.0,3.5,57.1,57.1,8.3,4.2,8.3,4.2,54.2,93.3
2017-18,Playoffs,HOU,Houston Rockets,17,1.3,1.2,1.18,1.5,0.8,1.2,61.9,61.9,4.5,4.5,4.5,4.5,59.1,100
2017-18,Playoffs,POR,Portland Trail Blazers,4,6.0,5.3,0.88,5.3,2.3,5.3,42.9,42.9,12.5,4.2,8.3,4.2,45.8,33.3
2017-18,Playoffs,UTA,Utah Jazz,11,2.6,2.4,0.72,1.9,0.7,1.5,47.1,47.1,20.7,20.7,17.2,3.4,44.8,0.0
2017-18,Playoffs,MIA,Miami Heat,5,3.4,3.1,0.77,2.6,1.2,2.8,42.9,42.9,5.9,11.8,5.9,0.0,41.2,6.7
2018-19,Regular+Season,SAS,San Antonio Spurs,82,13.3,12.2,0.99,13.1,5.2,10.8,48.5,48.5,14.4,8.0,12.1,3.3,49.8,89.7
2018-19,Regular+Season,PHI,Philadelphia 76ers,82,12.3,10.7,0.94,11.5,3.9,8.4,46.4,46.4,22.0,13.7,16.5,3.8,48.3,55.2
2018-19,Regular+Season,MIN,Minnesota Timberwolves,82,11.4,10.0,0.94,10.7,4.2,8.4,50.2,50.2,14.1,15.2,11.4,2.8,47.7,58.6
2018-19,Regular+Season,DEN,Denver Nuggets,82,10.1,9.1,0.98,9.9,3.8,7.6,50.4,50.4,16.2,11.9,12.9,3.2,50.1,75.9
2018-19,Regular+Season,DET,Detroit Pistons,82,9.9,8.9,0.90,8.9,3.3,7.0,47.4,47.4,17.8,14.3,14.7,3.5,46.5,27.6
2018-19,Regular+Season,NOP,New Orleans Pelicans,82,8.5,7.3,0.99,8.4,3.0,6.2,48.3,48.3,20.5,10.3,17.3,3.1,51.1,86.2
2018-19,Regular+Season,POR,Portland Trail Blazers,82,8.2,7.2,0.95,7.8,3.2,6.3,50.6,50.6,12.6,12.3,10.0,1.9,48.7,62.1
2018-19,Regular+Season,LAC,LA Clippers,82,7.9,7.0,0.97,7.7,3.0,6.0,49.3,49.3,16.6,10.9,12.6,3.4,49.7,72.4
2018-19,Regular+Season,OKC,Oklahoma City Thunder,81,8.4,7.1,0.92,7.8,3.1,6.3,48.6,48.6,16.5,11.1,13.2,2.9,47.7,41.4
2018-19,Regular+Season,MEM,Memphis Grizzlies,82,8.3,7.7,0.92,7.6,3.0,6.1,48.4,48.4,14.1,13.8,11.9,1.8,47.0,37.9
2018-19,Regular+Season,ORL,Orlando Magic,82,8.4,7.6,0.89,7.4,3.1,6.8,46.5,46.5,10.2,11.1,7.3,2.2,44.8,17.2
2018-19,Regular+Season,TOR,Toronto Raptors,82,7.3,6.6,0.94,6.9,2.7,5.5,49.0,49.0,13.2,13.8,11.7,2.8,46.8,51.7
2018-19,Regular+Season,IND,Indiana Pacers,82,7.6,7.0,0.89,6.8,2.8,5.6,49.0,49.0,12.5,15.8,10.2,2.1,46.1,20.7
2018-19,Regular+Season,CHI,Chicago Bulls,82,7.4,6.7,0.92,6.8,2.8,5.8,48.0,48.0,11.7,12.2,8.4,2.0,46.5,34.5
2018-19,Regular+Season,BOS,Boston Celtics,82,6.8,6.1,0.98,6.7,2.6,5.2,50.2,50.2,15.9,11.4,13.2,3.7,49.4,79.3
2018-19,Regular+Season,SAC,Sacramento Kings,82,7.9,6.8,0.83,6.6,2.5,5.9,42.7,42.7,15.7,12.2,12.9,2.9,43.2,6.9
2018-19,Regular+Season,GSW,Golden State Warriors,82,6.2,5.6,0.96,6.0,2.3,4.6,49.6,49.6,14.9,13.7,12.4,2.9,48.4,69.0
2018-19,Regular+Season,DAL,Dallas Mavericks,82,6.5,5.8,0.90,5.8,2.1,4.7,44.7,44.7,18.2,13.0,15.0,3.6,46.2,24.1
2018-19,Regular+Season,MIL,Milwaukee Bucks,82,6.0,5.3,0.95,5.7,2.2,4.3,50.9,50.9,16.1,14.9,12.6,2.2,49.3,65.5
2018-19,Regular+Season,PHX,Phoenix Suns,82,5.6,5.0,0.99,5.5,2.3,4.4,52.2,52.2,12.6,11.1,10.2,2.6,50.3,93.1
2018-19,Regular+Season,NYK,New York Knicks,82,6.1,5.4,0.86,5.2,2.2,4.5,47.5,47.5,12.2,16.2,9.6,3.0,44.0,13.8
2018-19,Regular+Season,LAL,Los Angeles Lakers,82,5.8,5.0,0.90,5.2,2.2,4.3,50.0,50.0,12.4,15.1,9.2,2.3,46.4,31.0
2018-19,Regular+Season,WAS,Washington Wizards,82,4.6,4.1,0.93,4.3,1.6,3.3,48.4,48.4,15.8,14.8,13.7,2.9,47.8,44.8
2018-19,Regular+Season,CLE,Cleveland Cavaliers,82,5.4,4.9,0.74,4.0,1.4,3.7,37.8,37.8,15.5,16.6,11.8,1.8,39.1,0.0
