SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH
2024-25,ist,-,6,0,240.0,114.3,405.7,211.2,21.5,3.19,2.40,0.282,8.3,5.5,16.8,0.620,0.606,0.851,0
2024-25,ist,-,2,2,252.5,110.5,421.8,224.0,22.2,3.15,2.57,0.262,8.3,6.0,16.8,0.485,0.667,0.866,0
2024-25,ist,-,1,3,240.0,102.3,426.8,230.0,22.2,3.12,2.46,0.240,10.5,3.0,18.3,0.310,0.667,0.726,0
2024-25,ist,-,4,1,240.0,111.0,385.6,204.2,21.3,3.32,2.73,0.288,7.6,5.4,21.8,0.316,0.630,0.826,0
2024-25,ist,-,5,1,240.0,111.0,396.7,210.7,20.0,3.03,2.43,0.280,8.7,1.5,21.7,0.500,0.000,0.692,0
2024-25,ist,-,3,2,240.0,110.0,389.8,203.0,21.4,3.30,2.56,0.282,9.6,2.4,23.8,0.583,0.333,1.042,0
2024-25,ist,-,2,2,240.0,102.0,392.0,205.0,21.0,3.21,2.54,0.260,8.3,4.8,15.0,0.364,0.526,0.867,0
2024-25,ist,-,3,1,240.0,108.5,400.0,217.3,20.6,3.09,2.38,0.271,7.0,4.8,16.5,0.607,0.737,0.833,0
2024-25,ist,-,2,2,240.0,107.5,412.0,222.3,21.3,3.10,2.39,0.261,10.5,2.5,22.3,0.667,0.400,1.011,0
2024-25,ist,-,1,3,246.3,110.0,413.0,220.5,19.9,2.89,2.19,0.266,13.8,6.8,21.8,0.691,0.667,0.874,0
2024-25,ist,-,2,2,240.0,111.5,414.0,212.3,20.4,2.96,2.14,0.269,13.5,6.5,24.5,0.370,0.538,0.755,0
2024-25,ist,-,1,3,240.0,103.3,425.8,233.3,20.5,2.89,2.20,0.243,18.3,2.8,32.8,0.466,0.636,0.802,0
2024-25,ist,-,0,4,240.0,112.8,424.5,230.0,22.1,3.13,2.17,0.266,11.0,5.5,24.5,0.659,0.773,1.061,0
2024-25,ist,-,0,4,240.0,102.0,419.0,220.0,21.4,3.06,2.32,0.243,11.8,3.3,20.8,0.638,0.846,0.807,0
2025-26,regular-season,-,16,19,241.4,119.3,428.3,225.5,20.0,2.80,2.10,0.278,9.7,3.3,23.5,0.723,0.767,0.922,0
2025-26,regular-season,-,21,12,240.0,117.0,397.8,201.0,21.6,3.25,2.63,0.294,6.0,1.3,20.2,0.675,0.476,0.932,0
2025-26,regular-season,-,10,21,240.0,109.2,417.9,226.8,21.3,3.06,2.26,0.261,11.3,1.5,21.4,0.524,0.500,0.918,0
2025-26,regular-season,-,11,22,242.3,115.8,414.6,217.4,21.8,3.16,2.51,0.279,8.2,1.5,22.5,0.568,0.460,0.796,0
2025-26,regular-season,-,16,17,241.5,118.8,458.9,252.3,20.0,2.61,2.00,0.259,10.5,4.3,22.9,0.559,0.355,0.799,0
2025-26,regular-season,-,19,16,241.4,119.6,420.5,213.5,19.8,2.82,2.15,0.285,11.5,2.4,27.0,0.561,0.500,0.832,0
2025-26,regular-season,-,12,23,243.6,113.6,397.6,194.2,21.4,3.22,2.61,0.286,10.1,3.3,19.8,0.592,0.509,0.911,0
2025-26,regular-season,-,23,10,242.3,125.1,412.8,215.8,21.6,3.14,2.19,0.303,17.5,10.7,26.1,0.704,0.715,1.021,0
2025-26,regular-season,-,24,9,241.5,118.3,411.2,218.5,21.2,3.09,2.37,0.288,12.5,4.9,27.9,0.655,0.691,0.909,0
2025-26,regular-season,-,18,16,241.5,115.6,466.3,262.3,21.5,2.77,2.03,0.248,10.1,3.9,26.6,0.548,0.368,0.779,0
2025-26,regular-season,-,21,10,244.8,120.5,408.1,210.6,22.9,3.36,2.57,0.295,12.5,7.6,29.3,0.585,0.636,0.770,0
2025-26,regular-season,-,6,28,241.5,110.1,439.3,231.1,20.3,2.78,2.14,0.251,7.6,4.3,20.8,0.653,0.605,0.784,0
2025-26,regular-season,-,12,21,241.5,112.3,390.6,193.5,22.2,3.42,2.65,0.288,10.6,8.0,22.6,0.658,0.644,0.891,0
2025-26,regular-season,-,20,11,240.0,116.8,388.8,184.3,21.3,3.28,2.47,0.300,10.5,4.9,24.1,0.662,0.695,0.952,0
2025-26,regular-season,-,15,18,241.5,115.9,434.8,236.2,20.2,2.79,2.08,0.266,7.4,7.2,26.6,0.629,0.686,0.852,0
2025-26,regular-season,-,18,14,240.8,120.9,429.7,224.7,18.8,2.62,2.10,0.281,6.6,4.1,19.8,0.744,0.585,0.907,0
2025-26,regular-season,-,14,19,241.5,113.3,404.2,207.2,21.1,3.14,2.39,0.280,8.2,6.4,17.5,0.559,0.561,0.867,0
2025-26,regular-season,-,21,13,242.2,118.8,428.9,230.6,20.7,2.89,2.24,0.277,7.2,5.0,19.1,0.676,0.594,0.940,0
