SEASON,SEASON_TYPE,TEAM_ABB,MATCHUP,GDATE,WL,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,PF,PLUS_MINUS
2017-18,regular-season,-,04/11/2018,W,53,112,42,89,47.2,9,23,39.1,19,25,76.0,8,32,40,24,8,10,2,19,6,0
2017-18,regular-season,-,04/11/2018,L,53,106,41,90,45.6,13,32,40.6,11,18,61.1,10,37,47,19,15,4,4,22,-6,0
2017-18,regular-season,-,04/11/2018,L,53,109,42,92,45.7,9,30,30.0,16,21,76.2,9,38,47,24,14,5,10,24,-7,0
2017-18,regular-season,-,04/11/2018,L,48,93,33,89,37.1,8,23,34.8,19,24,79.2,14,39,53,18,15,5,7,19,-9,0
2017-18,regular-season,-,04/11/2018,L,48,92,33,95,34.7,10,34,29.4,16,27,59.3,18,32,50,17,12,5,1,25,-9,0
2017-18,regular-season,-,04/11/2018,L,48,98,37,94,39.4,6,24,25.0,18,28,64.3,17,31,48,15,16,9,3,15,-12,0
2017-18,regular-season,-,04/11/2018,L,48,97,37,91,40.7,11,40,27.5,12,16,75.0,10,34,44,27,16,10,6,12,-13,0
2017-18,regular-season,-,04/11/2018,L,48,83,31,82,37.8,13,46,28.3,8,12,66.7,8,32,40,11,14,2,6,24,-13,0
2017-18,regular-season,-,04/11/2018,L,48,123,44,91,48.4,13,31,41.9,22,24,91.7,9,32,41,22,13,9,2,22,-14,0
2017-18,regular-season,-,04/11/2018,L,48,100,41,83,49.4,6,18,33.3,12,28,42.9,8,33,41,27,17,8,1,17,-15,0
2017-18,regular-season,-,04/11/2018,L,48,98,37,92,40.2,8,24,33.3,16,19,84.2,12,26,38,22,17,9,1,17,-24,0
2017-18,regular-season,-,04/11/2018,L,48,87,32,86,37.2,11,34,32.4,12,18,66.7,12,28,40,21,19,8,1,15,-32,0
2017-18,regular-season,-,04/11/2018,L,48,95,37,90,41.1,7,25,28.0,14,16,87.5,10,33,43,22,20,6,5,17,-35,0
2017-18,regular-season,-,04/10/2018,W,48,119,48,90,53.3,13,35,37.1,10,13,76.9,12,42,54,25,15,10,6,20,40,0
2017-18,regular-season,-,04/10/2018,W,48,124,48,76,63.2,13,26,50.0,15,21,71.4,5,41,46,35,15,5,6,16,27,0
2017-18,regular-season,-,04/10/2018,W,48,119,46,99,46.5,18,42,42.9,9,12,75.0,13,42,55,27,7,5,7,8,26,0
2017-18,regular-season,-,04/10/2018,W,48,113,41,83,49.4,15,30,50.0,16,20,80.0,10,41,51,32,20,8,3,24,12,0
2017-18,regular-season,-,04/10/2018,W,48,121,43,87,49.4,17,37,45.9,18,30,60.0,11,43,54,29,18,7,8,22,8,0
2017-18,regular-season,-,04/10/2018,W,48,105,37,88,42.0,16,47,34.0,15,16,93.8,8,41,49,19,19,9,5,19,6,0
2017-18,regular-season,-,04/10/2018,L,48,99,38,90,42.2,10,36,27.8,13,15,86.7,9,38,47,22,17,14,4,19,-6,0
2017-18,regular-season,-,04/10/2018,L,48,113,41,98,41.8,13,37,35.1,18,26,69.2,8,31,39,27,10,10,3,24,-8,0
