SEASON,SEASON_TYPE,TEAM_ABB,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2023-24,pre-season,-,3.4,2.9,1.24,4.2,1.2,2.0,50.0,58.3,17.6,11.8,17.6,0.0,52.9,93.1,0
2023-24,pre-season,-,4.8,4.1,0.83,4.0,1.6,4.0,44.4,47.2,8.3,16.7,8.3,0.0,41.7,46.4,0
2023-24,pre-season,-,4.5,4.0,1.06,4.8,1.5,3.0,46.2,53.8,22.2,11.1,22.2,5.6,50.0,79.3,0
2023-24,pre-season,-,6.0,5.1,0.63,3.8,1.2,4.0,33.3,38.9,10.0,30.0,10.0,0.0,30.0,13.8,0
2023-24,pre-season,-,5.0,4.3,0.90,4.5,1.5,4.0,37.5,46.9,10.0,10.0,10.0,0.0,40.0,60.7,0
2023-24,pre-season,-,5.0,4.2,0.90,4.5,2.0,4.0,50.0,50.0,10.0,15.0,10.0,5.0,45.0,60.7,0
2023-24,pre-season,-,6.3,5.6,0.84,5.3,1.3,5.0,28.6,35.7,15.8,10.5,10.5,0.0,36.8,51.7,0
2023-24,pre-season,-,4.2,3.7,0.71,3.0,1.4,4.0,38.9,41.7,9.5,14.3,9.5,9.5,33.3,27.6,0
2023-24,pre-season,-,5.6,5.1,0.50,2.8,1.0,4.0,27.8,33.3,3.6,32.1,3.6,0.0,21.4,3.4,0
2023-24,pre-season,-,5.0,4.3,0.65,3.3,0.8,2.0,30.0,30.0,20.0,30.0,15.0,0.0,35.0,17.2,0
2023-24,pre-season,-,5.3,4.7,0.62,3.3,1.0,4.0,28.6,28.6,23.8,9.5,23.8,0.0,33.3,10.3,0
2023-24,pre-season,-,3.6,3.1,0.61,2.2,0.8,3.0,25.0,28.1,11.1,0.0,5.6,0.0,33.3,6.9,0
2023-24,pre-season,-,3.0,2.5,0.83,2.5,0.8,2.0,42.9,42.9,16.7,25.0,8.3,0.0,41.7,46.4,0
2023-24,pre-season,-,3.5,3.2,1.29,4.5,2.0,4.0,57.1,57.1,28.6,0.0,28.6,28.6,57.1,0.0,0
2023-24,pre-season,-,3.3,2.7,0.69,2.3,1.0,3.0,33.3,37.5,0.0,7.7,0.0,0.0,30.8,24.1,0
2023-24,pre-season,-,1.8,1.5,0.89,1.6,0.6,1.0,42.9,42.9,11.1,11.1,11.1,0.0,44.4,0.0,0
2023-24,pre-season,-,2.8,2.5,0.73,2.0,0.8,2.0,42.9,42.9,9.1,27.3,9.1,0.0,36.4,31.0,0
2023-24,pre-season,-,2.4,2.1,0.67,1.6,0.6,2.0,37.5,37.5,25.0,25.0,25.0,16.7,33.3,20.7,0
2023-24,pre-season,-,2.8,2.4,0.43,1.2,0.6,2.0,27.3,27.3,0.0,21.4,0.0,0.0,21.4,0.0,0
2023-24,pre-season,-,7.0,6.7,0.71,5.0,2.0,6.0,33.3,41.7,0.0,14.3,0.0,0.0,28.6,0.0,0
2023-24,pre-season,-,2.0,1.6,1.00,2.0,1.0,2.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0
2023-24,pre-season,-,3.0,2.5,0.33,1.0,0.0,0.0,0.0,0.0,16.7,66.7,0.0,0.0,16.7,0.0,0
2023-24,regular-season,-,13.0,12.0,1.05,13.6,4.7,10.5,44.5,50.4,13.2,8.2,11.8,2.3,46.7,96.6,0
2023-24,regular-season,-,11.7,10.5,1.05,12.3,4.3,9.8,44.5,51.4,13.6,5.9,12.5,2.7,47.1,100,0
2023-24,regular-season,-,9.9,9.0,1.01,10.0,3.5,8.0,43.8,50.7,12.0,8.9,11.1,2.3,45.0,82.8,0
2023-24,regular-season,-,10.1,9.2,0.95,9.6,3.6,8.6,42.1,45.5,11.8,6.9,11.3,3.4,43.9,55.2,0
2023-24,regular-season,-,9.1,8.2,1.01,9.2,3.3,7.1,46.0,49.4,15.5,9.3,12.8,2.8,48.2,86.2,0
2023-24,regular-season,-,9.2,8.3,0.95,8.7,3.3,7.5,44.6,46.5,12.1,9.4,10.6,3.2,45.2,62.1,0
2023-24,regular-season,-,8.5,7.7,1.00,8.5,3.2,6.6,48.3,49.8,16.7,10.0,15.7,4.8,48.9,79.3,0
2023-24,regular-season,-,8.4,7.6,0.96,8.1,2.8,6.5,42.7,46.2,16.4,9.1,14.3,2.9,45.7,65.5,0
2023-24,regular-season,-,8.5,7.7,0.89,7.5,2.6,6.8,39.0,42.8,12.2,9.5,11.4,1.4,41.6,34.5,0
2023-24,regular-season,-,8.0,7.4,0.93,7.4,2.7,6.3,43.7,47.1,12.8,11.1,11.7,2.0,44.4,48.3,0
2023-24,regular-season,-,7.7,6.6,0.96,7.4,2.9,6.2,46.0,50.8,9.2,11.1,8.1,1.8,44.4,69.0,0
2023-24,regular-season,-,6.9,6.4,1.01,6.9,2.5,5.3,46.7,49.0,17.6,9.4,16.9,4.1,49.1,89.7,0
2023-24,regular-season,-,7.9,7.2,0.88,6.9,2.5,6.4,40.0,43.6,11.8,10.3,11.1,2.8,40.8,24.1,0
2023-24,regular-season,-,7.2,6.6,0.95,6.8,2.5,5.5,46.1,49.0,13.6,12.0,12.7,2.0,46.1,51.7,0
2023-24,regular-season,-,7.6,6.8,0.91,6.9,2.4,6.2,39.7,43.5,14.3,7.6,13.2,3.1,42.6,44.8,0
2023-24,regular-season,-,7.1,6.2,0.88,6.3,2.1,5.5,38.0,41.3,15.3,10.3,13.4,2.9,41.6,27.6,0
2023-24,regular-season,-,7.7,6.8,0.80,6.1,2.2,6.0,35.9,39.1,13.4,11.3,11.8,3.5,37.8,3.4,0
2023-24,regular-season,-,7.7,6.8,0.78,6.0,2.1,6.1,34.9,38.2,11.1,10.8,9.4,1.7,36.9,0.0,0
2023-24,regular-season,-,5.9,5.4,0.97,5.8,2.0,4.7,43.7,46.3,15.6,9.1,14.4,3.3,46.7,72.4,0
2023-24,regular-season,-,5.6,4.9,1.03,5.8,2.1,4.8,44.0,50.4,11.1,6.8,10.7,3.5,45.3,93.1,0
2023-24,regular-season,-,6.5,5.7,0.89,5.7,2.0,5.3,38.0,43.0,13.7,8.7,13.0,4.1,40.3,37.9,0
2023-24,regular-season,-,6.2,5.5,0.88,5.4,2.0,4.7,41.3,42.8,14.8,10.7,13.4,2.0,44.1,20.7,0
2023-24,regular-season,-,6.0,5.5,0.85,5.1,2.0,5.0,40.2,42.6,11.0,7.1,10.2,2.0,41.3,10.3,0
2023-24,regular-season,-,5.6,5.0,0.90,5.0,1.9,4.6,40.7,44.6,13.6,9.4,12.3,4.2,41.1,41.4,0
2023-24,regular-season,-,5.7,5.3,0.87,5.0,1.8,4.6,38.6,42.9,11.9,9.1,11.5,2.1,40.6,17.2,0
2023-24,regular-season,-,5.7,5.3,0.85,4.9,1.9,4.7,39.8,42.5,11.1,10.7,10.2,3.2,40.3,13.8,0
2023-24,regular-season,-,5.0,4.4,0.99,4.9,1.8,4.0,45.4,49.8,12.2,9.0,11.5,3.0,45.9,75.9,0
2023-24,regular-season,-,5.4,4.8,0.88,4.7,1.6,4.2,39.0,42.7,14.8,9.1,13.9,2.3,42.4,31.0,0
2023-24,regular-season,-,5.2,4.6,0.81,4.2,1.6,4.0,39.2,40.5,11.7,12.6,10.1,2.1,40.0,6.9,0
2023-24,regular-season,-,4.3,3.8,0.95,4.1,1.5,3.6,41.3,46.1,12.4,7.3,11.0,2.5,43.5,58.6,0
2023-24,playoffs,-,12.8,12.2,0.93,11.9,4.6,10.7,43.0,48.7,9.3,10.0,8.5,2.8,41.6,53.3,0
2023-24,playoffs,-,14.3,13.9,0.91,13.0,4.6,11.4,40.6,44.7,12.9,10.3,12.2,3.3,41.7,33.3,0
2023-24,playoffs,-,13.7,13.1,1.08,14.8,5.7,11.6,49.1,53.0,13.1,4.4,11.7,2.2,52.6,86.7,0
2023-24,playoffs,-,9.0,8.6,0.92,8.3,3.0,7.4,40.3,45.0,11.1,7.6,9.7,1.4,43.1,40.0,0
2023-24,playoffs,-,10.7,9.8,0.94,10.1,3.5,8.6,41.1,43.8,17.3,7.9,12.9,5.8,43.9,60.0,0
2023-24,playoffs,-,16.3,15.7,0.97,15.8,5.2,13.7,37.8,43.9,13.3,7.1,11.2,4.1,40.8,73.3,0
2023-24,playoffs,-,10.2,9.7,1.26,12.8,4.7,9.0,51.9,57.4,14.8,1.6,13.1,4.9,55.7,100,0
2023-24,playoffs,-,4.8,4.5,0.93,4.4,2.0,4.2,47.2,48.6,6.2,8.6,6.2,3.7,44.4,46.7,0
2023-24,playoffs,-,8.3,8.1,0.69,5.8,2.2,7.2,30.2,32.6,11.0,7.0,9.0,4.0,32.0,0.0,0
2023-24,playoffs,-,9.3,8.5,0.80,7.4,2.4,7.4,32.7,33.7,15.4,7.7,12.3,3.1,38.5,13.3,0
2023-24,playoffs,-,4.5,4.4,0.94,4.3,1.3,3.7,36.4,44.3,16.7,5.6,16.7,3.7,42.6,66.7,0
2023-24,playoffs,-,9.0,8.8,1.07,9.6,3.6,7.0,51.4,54.3,11.1,11.1,11.1,0.0,51.1,80.0,0
2023-24,playoffs,-,10.0,9.7,1.15,11.5,3.8,7.3,51.7,55.2,20.0,7.5,12.5,0.0,57.5,93.3,0
2023-24,playoffs,-,7.3,7.0,0.91,6.7,2.2,5.7,38.2,41.2,13.6,9.1,11.4,0.0,43.2,26.7,0
2023-24,playoffs,-,7.4,7.7,0.81,6.0,2.6,6.6,39.4,40.9,8.1,5.4,8.1,2.7,37.8,20.0,0
2023-24,playoffs,-,5.5,5.1,0.77,4.3,2.0,4.5,44.4,47.2,0.0,18.2,0.0,0.0,36.4,6.7,0
2024-25,regular-season,-,13.1,12.0,0.97,12.8,3.9,10.0,38.8,45.4,15.9,10.6,15.5,2.5,42.8,86.2,0
2024-25,regular-season,-,11.1,10.0,0.95,10.5,3.8,8.9,42.4,47.7,12.6,9.8,11.9,2.3,43.7,79.3,0
2024-25,regular-season,-,10.2,9.0,1.03,10.5,3.8,8.4,45.1,48.8,14.0,6.0,12.7,2.5,48.4,96.6,0
2024-25,regular-season,-,10.9,10.0,0.96,10.5,3.8,9.1,41.3,46.6,11.6,7.5,10.6,2.2,43.3,82.8,0
2024-25,regular-season,-,9.8,9.0,0.98,9.6,3.4,7.9,42.6,47.3,13.7,8.5,13.4,3.1,45.1,89.7,0
2024-25,regular-season,-,10.3,9.4,0.90,9.3,3.5,8.5,41.8,45.5,11.6,9.4,10.8,2.7,42.6,48.3,0
2024-25,regular-season,-,9.2,8.4,0.94,8.6,3.3,7.3,45.3,48.0,13.0,9.6,12.1,2.3,45.4,75.9,0
2024-25,regular-season,-,9.0,7.6,0.91,8.2,3.1,7.0,44.1,47.0,13.7,12.1,12.7,3.7,43.9,62.1,0
2024-25,regular-season,-,8.8,7.6,0.88,7.7,2.7,7.0,38.6,42.5,13.9,10.3,13.1,3.6,40.7,41.4,0
2024-25,regular-season,-,8.7,7.8,0.87,7.6,2.5,6.5,39.4,45.5,12.2,14.6,11.3,1.5,39.9,34.5,0
2024-25,regular-season,-,8.1,7.3,0.93,7.5,2.7,6.4,41.9,45.6,14.2,10.4,13.5,4.5,42.5,69.0,0
2024-25,regular-season,-,8.9,7.6,0.84,7.5,2.8,7.0,40.3,43.0,11.6,10.9,10.7,1.9,41.0,20.7,0
2024-25,regular-season,-,7.0,6.5,1.05,7.4,2.8,5.5,50.4,52.6,15.1,10.6,13.2,3.7,50.3,100,0
2024-25,regular-season,-,8.1,7.2,0.91,7.3,2.7,6.6,41.3,44.2,12.6,7.6,12.3,2.1,43.7,55.2,0
2024-25,regular-season,-,8.7,7.6,0.84,7.3,2.4,6.6,36.0,40.0,15.4,10.7,14.0,2.5,39.6,13.8,0
2024-25,regular-season,-,7.7,6.9,0.90,7.0,2.5,6.2,40.7,44.2,13.3,9.3,12.6,2.5,43.1,51.7,0
2024-25,regular-season,-,7.9,7.2,0.86,6.8,2.5,6.2,40.1,43.0,13.6,10.4,12.4,2.8,41.8,24.1,0
2024-25,regular-season,-,7.8,6.9,0.82,6.4,2.2,5.9,37.4,39.9,14.8,11.0,13.8,2.0,40.5,3.4,0
2024-25,regular-season,-,7.1,6.6,0.87,6.2,2.4,5.7,41.8,43.4,12.0,9.7,11.1,2.2,43.1,37.9,0
2024-25,regular-season,-,6.7,6.0,0.91,6.1,2.1,5.4,40.0,43.4,12.9,9.3,12.6,2.4,42.6,58.6,0
