SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS
2015-16,Pre+Season,Terry Rozier,1626179,BOS,22,5,5,0,18.6,84.1,2.0,10.0,14.7,1.4,31.8,0.0,0.0,5.4,3.0,3.4,11.2,0.135
2015-16,Pre+Season,Aaron Gordon,203932,ORL,20,2,2,0,15.4,82.1,3.5,0.0,31.8,1.5,60.0,0.5,33.3,5.5,3.0,3.0,9.0,0.134
2015-16,Pre+Season,Nene,2403,WAS,33,3,2,1,15.1,79.6,2.7,0.0,20.0,1.3,36.4,0.3,50.0,3.3,2.0,5.3,12.0,0.133
2015-16,Pre+Season,Tyler Johnson,204020,MIA,24,8,4,4,16.8,82.1,1.9,9.3,13.5,0.5,18.2,0.1,7.7,3.3,3.9,2.5,9.0,0.133
2015-16,Pre+Season,Brian Roberts,203148,POR,30,7,6,1,19.6,85.7,1.6,6.9,9.1,0.9,33.3,0.0,0.0,7.3,2.9,6.0,15.7,0.129
2015-16,Pre+Season,Danilo Gallinari,201568,DEN,27,5,3,2,25.5,90.9,4.2,15.7,21.6,1.2,24.0,0.0,0.0,10.8,5.4,10.4,23.6,0.128
2015-16,Pre+Season,Zach Randolph,2216,MEM,34,5,5,0,22.7,88.2,3.4,14.8,21.0,0.6,15.8,0.4,15.4,8.2,1.8,8.2,13.6,0.128
2015-16,Pre+Season,Kelly Olynyk,203482,BOS,25,6,5,1,17.7,85.5,3.7,17.5,26.8,0.5,12.0,0.2,11.1,6.2,4.5,3.5,12.3,0.127
2015-16,Pre+Season,Evan Fournier,203095,ORL,23,7,6,1,24.4,90.8,1.7,6.6,9.7,0.7,13.9,0.1,4.8,7.7,6.9,6.7,14.9,0.126
2015-16,Pre+Season,Langston Galloway,204038,NYK,24,6,4,2,27.0,92.2,3.5,11.5,17.8,1.2,29.2,0.2,5.3,7.7,8.3,6.8,22.7,0.126
2015-16,Pre+Season,Al Jefferson,2744,CHA,31,6,6,0,24.1,90.7,5.0,18.8,24.4,0.8,20.0,1.2,70.0,7.8,5.2,7.0,17.3,0.125
2015-16,Pre+Season,Cory Joseph,202709,TOR,24,7,5,2,21.1,88.0,1.3,6.3,8.8,0.9,25.0,0.1,9.1,6.4,3.6,4.3,13.1,0.125
2015-16,Pre+Season,Bismack Biyombo,202687,TOR,23,7,5,2,20.5,87.9,5.1,25.4,34.0,0.1,4.3,1.0,50.0,5.1,3.1,3.7,11.4,0.124
2015-16,Pre+Season,Kent Bazemore,203145,ATL,26,5,3,2,22.2,89.7,3.6,12.9,18.2,1.0,25.0,0.4,11.1,9.0,4.8,9.0,14.4,0.123
2015-16,Pre+Season,Kosta Koufos,201585,SAC,27,5,5,0,24.1,91.2,3.8,14.2,21.6,0.4,8.0,2.0,62.5,8.2,5.0,5.6,18.8,0.123
2015-16,Pre+Season,Mario Chalmers,201596,MIA,30,5,2,3,19.0,87.8,1.4,7.4,10.9,0.8,23.5,0.0,0.0,6.4,5.4,5.4,11.2,0.122
2015-16,Pre+Season,Mike Conley,201144,MEM,28,5,5,0,23.8,90.4,3.2,14.7,19.5,0.4,10.5,0.0,0.0,8.6,2.4,8.2,14.0,0.122
2015-16,Regular+Season,Kawhi Leonard,202695,SAS,25,72,60,12,33.0,95.9,5.5,16.4,22.7,1.8,30.5,1.0,22.7,8.4,6.8,8.6,27.0,0.185
2015-16,Regular+Season,Draymond Green,203110,GSW,26,81,73,8,34.7,99.1,7.8,19.8,28.8,1.5,22.9,1.4,31.5,11.5,9.4,10.3,31.2,0.162
2015-16,Regular+Season,Michael Kidd-Gilchrist,203077,CHA,22,7,5,2,29.2,96.6,4.7,14.6,18.3,0.4,14.3,0.4,12.5,7.7,4.4,9.0,24.0,0.156
2015-16,Regular+Season,Al Horford,201143,ATL,30,82,48,34,32.1,98.7,5.5,15.8,24.1,0.8,14.4,1.5,38.3,10.0,8.7,7.6,26.7,0.154
2015-16,Regular+Season,Stephen Curry,201939,GSW,28,79,71,8,34.2,99.8,4.6,11.7,17.1,2.1,34.8,0.2,4.3,11.6,9.3,10.2,31.1,0.153
2015-16,Regular+Season,LaMarcus Aldridge,200746,SAS,30,74,61,13,30.6,97.9,6.2,19.9,27.9,0.5,10.1,1.1,27.3,7.8,6.5,7.8,25.2,0.151
2015-16,Regular+Season,Tim Duncan,1495,SAS,40,61,50,11,25.2,94.5,5.4,21.2,28.9,0.8,17.5,1.3,36.1,6.6,5.2,6.3,19.0,0.150
2015-16,Regular+Season,Danny Green,201980,SAS,29,79,65,14,26.1,95.7,3.2,12.1,16.7,1.0,22.2,0.8,22.9,6.7,5.6,6.1,20.7,0.147
2015-16,Regular+Season,Kyle Korver,2594,ATL,35,80,46,34,30.0,98.3,3.1,9.6,14.5,0.8,13.7,0.4,11.3,9.7,8.1,7.7,25.4,0.146
2015-16,Regular+Season,Tony Parker,2225,SAS,34,72,59,13,27.5,97.1,2.2,8.0,11.1,0.8,15.6,0.2,4.1,7.1,5.7,7.4,22.6,0.143
2015-16,Regular+Season,Paul George,202331,IND,26,81,44,37,34.8,101.5,6.0,16.5,24.8,1.9,27.1,0.4,10.9,11.8,9.3,8.7,29.7,0.136
2015-16,Regular+Season,Chris Bosh,2547,MIA,32,53,29,24,33.5,101.0,6.5,18.8,27.1,0.7,14.9,0.6,16.0,10.5,9.0,6.7,26.8,0.134
2015-16,Regular+Season,Blake Griffin,201933,LAC,27,35,22,13,33.4,101.3,6.9,19.6,29.1,0.8,16.4,0.5,14.5,9.8,8.4,7.6,28.1,0.132
2015-16,Regular+Season,George Hill,201588,IND,30,74,41,33,34.1,101.5,3.2,9.3,13.8,1.1,17.7,0.2,7.1,11.0,8.7,7.7,28.4,0.132
2015-16,Regular+Season,Manu Ginobili,1938,SAS,38,58,47,11,19.6,93.1,2.1,10.1,14.7,1.1,33.3,0.2,9.7,6.1,4.4,4.7,16.7,0.132
2015-16,Regular+Season,Klay Thompson,202691,GSW,26,80,71,9,33.3,101.3,3.4,9.0,13.2,0.8,13.1,0.6,14.3,11.7,9.4,9.7,31.3,0.131
2015-16,Regular+Season,Rudy Gobert,203497,UTA,24,61,33,28,31.7,100.6,7.5,24.2,35.1,0.7,14.8,2.2,61.6,10.5,7.8,7.2,24.5,0.131
2015-16,Regular+Season,Chris Paul,101108,LAC,31,74,50,24,32.7,101.3,3.7,10.5,15.7,2.1,35.9,0.2,4.8,8.9,8.1,7.6,27.1,0.129
2015-16,Regular+Season,Monta Ellis,101145,IND,30,81,44,37,33.8,101.8,2.8,8.0,12.0,1.9,27.0,0.5,13.7,11.7,9.2,9.0,29.0,0.129
2015-16,Regular+Season,LeBron James,2544,CLE,31,76,56,20,35.6,102.6,6.0,16.7,23.8,1.4,26.7,0.6,22.4,11.3,8.3,8.4,29.9,0.126
2015-16,Regular+Season,Paul Millsap,200794,ATL,31,81,48,33,32.7,101.6,6.6,18.9,28.9,1.8,29.0,1.7,38.9,10.8,9.5,8.7,28.7,0.125
2015-16,Regular+Season,DeAndre Jordan,201599,LAC,27,77,51,26,33.7,102.1,10.3,28.6,42.5,0.7,11.8,2.3,59.6,9.4,9.0,8.3,28.1,0.124
2015-16,Regular+Season,Kevin Durant,201142,OKC,27,72,52,20,35.8,102.9,7.6,18.8,27.6,1.0,17.7,1.2,24.9,12.9,10.8,10.0,33.5,0.124
2015-16,Regular+Season,Justise Winslow,1626159,MIA,20,78,46,32,28.6,100.3,4.1,14.0,20.1,0.9,19.9,0.3,8.8,9.4,7.1,5.7,23.8,0.122
2015-16,Regular+Season,Andre Iguodala,2738,GSW,32,65,59,6,26.6,99.6,3.2,11.0,17.1,1.1,22.2,0.3,9.0,9.5,7.8,7.9,25.1,0.120
2015-16,Regular+Season,Evan Turner,202323,BOS,27,81,47,34,28.0,100.5,4.3,14.5,21.9,1.0,19.0,0.3,15.1,9.3,7.4,6.2,25.2,0.118
2015-16,Regular+Season,Goran Dragic,201609,MIA,30,72,44,28,32.8,102.5,3.1,9.1,13.2,1.0,21.1,0.2,5.2,10.2,9.4,7.6,29.4,0.118
2015-16,Regular+Season,Ian Mahinmi,101133,IND,29,71,41,30,25.6,99.3,5.2,19.7,28.3,0.9,17.2,1.1,42.6,8.4,6.0,6.0,20.8,0.118
2015-16,Regular+Season,Gordon Hayward,202330,UTA,26,80,38,42,36.2,103.6,4.2,12.1,17.4,1.2,20.7,0.3,8.4,11.9,8.6,9.0,29.9,0.117
2015-16,Regular+Season,JJ Redick,200755,LAC,32,75,50,25,28.0,100.5,1.7,5.7,8.5,0.6,12.2,0.1,2.2,7.3,7.0,6.5,23.5,0.117
2015-16,Regular+Season,Kent Bazemore,203145,ATL,26,75,44,31,27.8,100.6,4.7,15.6,24.0,1.3,24.9,0.5,13.8,9.2,8.3,7.5,23.7,0.117
2015-16,Regular+Season,Harrison Barnes,203084,GSW,24,66,59,7,30.9,101.8,3.8,11.4,16.7,0.6,11.6,0.2,4.1,9.7,8.5,8.5,29.0,0.116
2015-16,Regular+Season,Marcus Smart,203935,BOS,22,61,36,25,27.3,100.6,2.9,10.2,15.5,1.5,27.5,0.3,12.9,8.4,8.2,6.0,23.9,0.116
2015-16,Regular+Season,Patty Mills,201988,SAS,27,81,66,15,20.5,96.4,1.6,7.8,11.2,0.7,20.6,0.1,3.3,6.0,4.7,4.7,18.0,0.115
2015-16,Regular+Season,Kemba Walker,202689,CHA,26,81,47,34,35.6,103.6,3.7,10.2,14.6,1.6,28.6,0.5,12.3,9.8,8.6,8.4,29.7,0.114
2015-16,Regular+Season,Kentavious Caldwell-Pope,203484,DET,23,76,41,35,36.7,103.9,2.8,7.7,10.9,1.4,26.3,0.2,8.5,10.7,8.4,7.4,34.3,0.114
2015-16,Regular+Season,Dennis Schröder,203471,ATL,22,80,47,33,20.3,95.9,2.2,10.6,16.5,0.9,22.6,0.1,4.7,6.3,5.4,4.4,16.2,0.113
2015-16,Regular+Season,Nicolas Batum,201587,CHA,27,70,41,29,35.0,103.5,5.3,14.8,20.9,0.9,17.8,0.6,15.6,10.5,8.6,9.1,30.2,0.113
2015-16,Regular+Season,Russell Westbrook,201566,OKC,27,80,55,25,34.4,103.5,6.0,16.0,23.4,2.0,37.6,0.3,5.2,12.1,10.1,9.0,32.4,0.113
2015-16,Regular+Season,Jae Crowder,203109,BOS,25,73,43,30,31.6,102.6,4.2,12.5,19.1,1.7,26.6,0.5,16.2,8.8,10.2,6.4,28.2,0.112
2015-16,Regular+Season,Thabo Sefolosha,200757,ATL,32,75,42,33,23.4,98.8,3.8,15.0,22.8,1.1,23.9,0.5,17.7,7.9,6.1,5.4,20.1,0.112
2015-16,Regular+Season,Dirk Nowitzki,1717,DAL,38,75,38,37,31.5,102.7,5.8,18.2,26.7,0.7,16.4,0.7,28.1,9.2,8.7,10.1,25.0,0.111
2015-16,Regular+Season,Marcus Morris Sr.,202694,DET,26,80,42,38,35.7,104.0,3.9,11.4,15.9,0.8,15.2,0.3,11.9,10.6,7.7,7.9,33.1,0.111
2015-16,Regular+Season,John Wall,202322,WAS,25,77,37,40,36.2,104.1,4.4,12.2,17.8,1.9,29.2,0.8,24.4,11.8,9.0,9.1,30.4,0.110
2015-16,Regular+Season,Steven Adams,203500,OKC,22,80,54,26,25.2,99.9,3.9,14.2,20.7,0.5,12.7,1.1,30.6,8.3,6.9,6.8,22.4,0.110
2015-16,Regular+Season,Isaiah Thomas,202738,BOS,27,82,48,34,32.2,103.2,2.4,7.1,10.8,1.1,18.3,0.1,3.9,9.7,9.8,7.0,29.0,0.109
2015-16,Regular+Season,Kelly Olynyk,203482,BOS,25,69,40,29,20.2,96.8,3.0,13.8,21.3,0.8,20.2,0.5,30.0,5.7,5.8,4.6,17.4,0.109
2015-16,Regular+Season,Kyle Lowry,200768,TOR,30,77,54,23,37.0,104.4,4.0,11.1,16.0,2.1,32.6,0.4,10.3,11.1,9.0,8.0,30.5,0.109
2015-16,Regular+Season,Matthew Dellavedova,203521,CLE,25,76,54,22,24.6,99.7,1.7,6.8,9.7,0.6,16.4,0.1,6.3,7.6,5.5,5.1,19.0,0.109
2015-16,Regular+Season,Rodney Hood,203918,UTA,23,79,39,40,32.2,103.0,2.9,9.5,13.8,0.9,19.2,0.2,6.0,10.5,7.4,7.7,26.3,0.109
2015-16,Regular+Season,Jimmy Butler III,202710,CHI,26,67,37,30,36.9,104.5,4.2,10.3,15.8,1.6,32.6,0.6,13.6,11.6,11.3,10.2,33.5,0.108
2015-16,Regular+Season,Derrick Favors,202324,UTA,24,62,30,32,32.0,103.2,5.4,18.0,25.6,1.2,23.4,1.5,46.0,10.4,6.8,8.4,26.3,0.107
2015-16,Regular+Season,Andre Drummond,203083,DET,22,81,43,38,32.9,103.6,9.9,30.9,43.6,1.5,29.3,1.4,54.9,9.6,7.1,7.0,30.6,0.106
2015-16,Regular+Season,David West,2561,SAS,35,78,63,15,18.0,95.3,3.0,16.8,23.7,0.6,17.0,0.7,36.2,5.0,4.0,4.3,14.9,0.106
2015-16,Regular+Season,Jeff Teague,201952,ATL,28,79,47,32,28.5,102.1,2.3,7.4,11.3,1.2,22.8,0.3,8.1,9.6,8.2,7.8,25.2,0.106
2015-16,Regular+Season,Jeremy Lamb,203087,CHA,24,66,40,26,18.6,95.8,3.2,15.7,22.7,0.6,22.6,0.5,19.6,5.1,4.3,4.5,13.7,0.106
2015-16,Regular+Season,Marc Gasol,201188,MEM,31,52,30,22,34.4,103.9,5.8,17.9,26.6,1.0,15.4,1.3,44.0,10.6,8.2,10.8,26.6,0.106
2015-16,Regular+Season,Tony Snell,203503,CHI,24,64,33,31,20.3,97.3,2.8,11.7,17.4,0.3,10.4,0.3,10.7,6.1,5.9,4.9,18.0,0.106
2015-16,Regular+Season,Tyler Johnson,204020,MIA,24,36,19,17,24.0,99.6,2.3,9.1,13.4,0.7,22.6,0.4,14.0,7.9,6.3,4.6,20.3,0.106
2015-16,Regular+Season,Alec Burks,202692,UTA,24,31,13,18,25.7,101.4,3.0,12.1,18.2,0.6,13.3,0.1,4.5,7.6,5.6,7.0,19.9,0.105
2015-16,Regular+Season,Cory Joseph,202709,TOR,24,80,54,26,25.6,100.9,2.1,8.0,12.1,0.8,19.3,0.3,8.2,6.7,6.2,5.5,20.4,0.105
2015-16,Regular+Season,Iman Shumpert,202697,CLE,26,54,39,15,24.4,100.4,3.2,12.7,18.3,1.0,27.3,0.4,16.5,7.6,5.5,5.7,19.8,0.105
2015-16,Regular+Season,Jeremy Lin,202391,CHA,27,78,47,31,26.3,101.2,2.7,9.7,14.0,0.7,20.0,0.5,17.7,7.8,6.2,7.0,21.2,0.105
2015-16,Regular+Season,Avery Bradley,202340,BOS,25,76,45,31,33.4,103.9,2.3,6.5,10.0,1.5,23.8,0.3,8.3,10.1,10.7,7.4,29.7,0.104
2015-16,Regular+Season,DeMarre Carroll,201960,TOR,29,26,16,10,30.2,103.1,3.5,11.8,16.8,1.7,30.8,0.2,9.0,9.6,6.1,8.2,24.0,0.104
2015-16,Regular+Season,Andrew Bogut,101106,GSW,31,70,62,8,20.7,97.9,5.3,22.9,32.4,0.5,14.5,1.6,56.7,6.9,5.5,5.8,17.6,0.103
2015-16,Regular+Season,Luol Deng,2736,MIA,31,74,45,29,32.4,103.9,4.5,13.9,19.9,1.0,21.6,0.4,8.6,10.1,8.3,8.2,29.5,0.103
2015-16,Regular+Season,Boris Diaw,2564,SAS,34,76,64,12,18.2,96.4,2.3,12.4,17.5,0.3,11.3,0.3,13.2,5.6,4.1,4.2,16.6,0.102
2015-16,Regular+Season,Tristan Thompson,202684,CLE,25,82,57,25,27.7,102.2,5.7,20.9,29.3,0.5,12.1,0.6,29.0,8.6,6.1,5.7,23.6,0.102
2015-16,Regular+Season,Kevin Love,201567,CLE,27,77,53,24,31.5,103.6,8.0,25.8,36.3,0.8,17.6,0.5,22.9,10.2,7.2,8.0,27.4,0.101
2015-16,Regular+Season,Serge Ibaka,201586,OKC,26,78,54,24,32.1,104.0,5.0,14.3,21.1,0.5,9.9,1.9,41.6,10.8,9.6,8.3,29.7,0.100
2015-16,Regular+Season,Tobias Harris,202699,DET,23,76,37,39,33.1,104.3,5.4,16.6,23.4,0.9,16.8,0.5,18.7,10.5,7.5,8.2,28.3,0.099
2015-16,Regular+Season,Trevor Booker,202344,UTA,28,79,39,40,20.7,98.9,3.6,17.8,26.0,0.7,20.9,0.5,22.7,7.3,4.7,5.1,17.1,0.099
2015-16,Regular+Season,CJ McCollum,203468,POR,24,80,44,36,34.7,104.9,2.7,7.5,10.9,1.2,23.3,0.3,8.2,11.5,8.6,8.0,29.2,0.098
2015-16,Regular+Season,DeMarcus Cousins,202326,SAC,25,65,29,36,34.6,104.9,9.1,24.9,35.7,1.6,23.3,1.4,43.0,13.2,9.4,10.5,30.5,0.098
2015-16,Regular+Season,Eric Bledsoe,202339,PHX,26,31,12,19,34.2,104.8,3.5,10.0,14.6,2.0,31.8,0.6,20.9,12.8,9.2,11.0,31.0,0.098
2015-16,Regular+Season,Al Jefferson,2744,CHA,31,47,33,14,23.3,100.7,5.2,21.6,30.2,0.6,16.6,0.9,30.6,6.0,5.5,5.7,20.4,0.097
2015-16,Regular+Season,Joakim Noah,201149,CHI,31,29,15,14,21.9,99.9,5.8,23.5,33.9,0.6,23.1,1.0,38.7,7.3,6.3,5.4,18.0,0.097
2015-16,Regular+Season,Patrick Patterson,202335,TOR,27,79,54,25,25.6,101.7,3.4,12.8,19.1,0.7,17.0,0.4,13.6,6.8,6.6,5.3,20.3,0.096
2015-16,Regular+Season,Tiago Splitter,201168,ATL,31,36,21,15,16.1,94.8,2.1,12.6,18.9,0.6,15.4,0.3,19.0,5.8,3.9,4.4,12.1,0.096
2015-16,Regular+Season,Chuck Hayes,101236,LAC,33,2,1,1,11.9,90.6,4.0,25.0,40.0,0.0,0.0,0.0,0.0,6.5,5.0,4.5,15.0,0.095
2015-16,Regular+Season,Otto Porter Jr.,203490,WAS,23,75,36,39,30.3,103.9,3.9,13.2,18.9,1.4,25.1,0.4,17.3,10.9,7.4,8.2,25.9,0.095
2015-16,Regular+Season,Pau Gasol,2200,CHI,35,72,36,36,31.8,104.4,8.9,24.9,37.6,0.6,15.3,2.0,48.8,10.5,10.2,9.1,29.6,0.095
2015-16,Regular+Season,Garrett Temple,202066,WAS,30,80,40,40,24.4,101.6,2.2,9.1,13.1,0.9,19.2,0.2,10.6,7.4,5.7,5.8,20.0,0.094
2015-16,Regular+Season,Hassan Whiteside,202355,MIA,27,73,42,31,29.1,103.5,8.6,28.2,41.4,0.6,16.1,3.7,74.5,9.4,8.6,6.1,25.8,0.094
2015-16,Regular+Season,Marcin Gortat,101162,WAS,32,75,35,40,30.1,103.8,6.9,22.6,32.4,0.6,12.4,1.3,46.2,10.1,7.7,7.9,25.2,0.094
2015-16,Regular+Season,Mike Scott,203118,ATL,27,75,46,29,15.3,94.4,2.0,12.6,19.0,0.3,11.6,0.2,14.8,5.1,3.5,3.3,12.2,0.094
2015-16,Regular+Season,Terrence Ross,203082,TOR,25,73,53,20,23.9,101.2,2.2,9.2,13.6,0.7,20.5,0.3,11.3,6.9,5.6,4.7,19.4,0.094
2015-16,Regular+Season,Jamal Crawford,2037,LAC,36,79,51,28,26.9,102.8,1.6,5.8,9.2,0.7,12.7,0.2,4.6,8.8,8.3,7.1,22.8,0.093
2015-16,Regular+Season,Lavoy Allen,202730,IND,27,79,43,36,20.2,98.9,3.3,15.9,23.6,0.3,9.5,0.5,29.2,6.7,5.3,5.2,16.1,0.093
2015-16,Regular+Season,Deron Williams,101114,DAL,32,65,31,34,32.4,104.8,2.6,7.9,11.5,0.9,20.6,0.2,9.6,10.3,8.8,9.9,27.4,0.092
2015-16,Regular+Season,Duje Dukan,1626251,SAC,24,1,0,1,24.2,101.9,2.0,6.9,11.8,1.0,20.0,0.0,0.0,6.0,9.0,12.0,30.0,0.092
2015-16,Regular+Season,Marvin Williams,101107,CHA,30,81,47,34,28.9,103.6,4.9,16.5,23.6,0.7,16.5,1.0,28.1,8.1,6.8,7.0,23.9,0.092
2015-16,Regular+Season,Mike Conley,201144,MEM,28,56,33,23,31.4,104.5,2.5,8.2,12.3,1.2,21.5,0.3,9.8,8.6,7.5,9.1,24.8,0.092
2015-16,Regular+Season,Wesley Johnson,202325,LAC,28,80,51,29,20.8,99.9,2.6,12.1,19.1,1.1,25.7,0.7,24.9,6.5,6.2,5.6,18.0,0.092
2015-16,Regular+Season,Festus Ezeli,203105,GSW,26,46,42,4,16.7,96.8,3.6,19.6,28.7,0.4,12.5,1.1,52.1,6.1,3.7,5.1,15.8,0.090
2015-16,Regular+Season,Jodie Meeks,201975,DET,28,3,3,0,14.5,92.7,1.3,8.9,11.8,0.0,0.0,0.0,0.0,5.0,3.3,2.3,12.7,0.090
2015-16,Regular+Season,Courtney Lee,201584,CHA,30,79,49,30,29.6,104.1,2.2,7.7,11.4,1.1,20.9,0.4,12.5,8.6,7.2,9.1,25.2,0.089
2015-16,Regular+Season,DeMar DeRozan,201942,TOR,26,78,53,25,35.9,106.0,3.7,10.3,14.7,1.0,18.4,0.3,7.0,11.1,8.8,8.6,30.5,0.089
