SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2020-21,Pre+Season,DAL,Dallas Mavericks,3,2,1,.667,49.7,122.3,42.3,97.7,43.3,19.7,44.3,44.4,18.0,22.0,81.8,9.7,38.7,48.3,25.7,12.3,4.3,4.0,8.0,20.7,26.0,8.0
2020-21,Pre+Season,DEN,Denver Nuggets,3,2,1,.667,48.0,120.0,43.3,91.3,47.4,14.7,38.3,38.3,18.7,25.0,74.7,13.3,38.7,52.0,29.7,17.7,9.3,6.7,4.3,25.3,25.7,20.7
2020-21,Pre+Season,GSW,Golden State Warriors,3,2,1,.667,48.0,111.0,38.3,89.3,42.9,14.7,42.0,34.9,19.7,27.3,72.0,8.0,40.7,48.7,24.3,17.0,10.0,7.7,7.0,27.0,23.7,3.0
2020-21,Pre+Season,TOR,Toronto Raptors,3,2,1,.667,48.0,109.3,37.3,88.7,42.1,18.3,51.7,35.5,16.3,23.3,70.0,6.3,33.7,40.0,25.7,19.0,14.0,4.3,3.7,29.7,24.0,0.7
2020-21,Pre+Season,ATL,Atlanta Hawks,4,2,2,.500,48.0,112.8,36.0,90.3,39.9,12.8,39.3,32.5,28.0,35.0,80.0,11.8,42.0,53.8,24.0,17.8,7.3,3.3,6.3,24.0,27.0,-4.0
2020-21,Pre+Season,CLE,Cleveland Cavaliers,4,2,2,.500,48.0,99.8,34.8,77.3,45.0,11.5,29.5,39.0,18.8,26.3,71.4,9.8,35.0,44.8,21.8,24.0,8.0,4.3,5.8,25.3,24.0,-7.5
2020-21,Pre+Season,DET,Detroit Pistons,4,2,2,.500,48.0,94.0,33.0,80.5,41.0,12.3,37.5,32.7,15.8,22.0,71.6,7.3,36.8,44.0,19.5,21.5,11.8,2.5,3.8,21.3,21.3,2.5
2020-21,Pre+Season,MIA,Miami Heat,2,1,1,.500,48.0,104.5,37.0,77.5,47.7,16.0,41.5,38.6,14.5,19.0,76.3,5.5,37.5,43.0,28.0,20.0,6.0,3.0,2.5,26.0,20.0,-5.0
2020-21,Pre+Season,ORL,Orlando Magic,4,2,2,.500,48.0,114.5,42.8,97.0,44.1,13.0,38.8,33.5,16.0,21.5,74.4,11.3,39.8,51.0,24.5,14.8,8.8,5.5,3.3,21.3,23.0,-2.5
2020-21,Pre+Season,SAC,Sacramento Kings,4,2,2,.500,48.0,110.5,37.5,91.8,40.9,13.0,42.8,30.4,22.5,31.3,72.0,9.5,39.0,48.5,24.0,17.8,9.3,6.3,7.5,21.5,25.0,-4.3
2020-21,Pre+Season,MIN,Minnesota Timberwolves,3,1,2,.333,49.7,112.7,38.3,90.3,42.4,12.7,37.0,34.2,23.3,31.0,75.3,9.7,41.3,51.0,21.3,21.0,9.3,7.3,7.7,27.3,23.7,-6.3
2020-21,Pre+Season,OKC,Oklahoma City Thunder,3,1,2,.333,48.0,109.0,39.0,91.7,42.5,14.7,35.3,41.5,16.3,21.3,76.6,9.3,42.3,51.7,21.3,18.0,8.0,4.0,5.7,17.3,20.3,-3.3
2020-21,Pre+Season,WAS,Washington Wizards,3,1,2,.333,48.0,99.7,37.0,88.0,42.0,12.0,38.3,31.3,13.7,20.0,68.3,8.3,36.3,44.7,22.7,19.3,12.0,3.0,3.3,20.7,20.0,-4.3
2020-21,Pre+Season,CHA,Charlotte Hornets,4,1,3,.250,48.0,112.3,39.3,88.3,44.5,14.5,36.8,39.5,19.3,26.3,73.3,9.3,37.5,46.8,27.5,19.8,7.3,4.3,5.0,22.0,23.0,-2.3
2020-21,Pre+Season,POR,Portland Trail Blazers,4,1,3,.250,48.0,106.0,38.3,92.3,41.5,12.0,32.8,36.6,17.5,22.0,79.5,10.0,33.0,43.0,19.5,15.8,8.8,5.0,6.0,24.0,22.8,-13.5
2020-21,Pre+Season,BOS,Boston Celtics,2,0,2,.000,48.0,94.0,34.0,87.5,38.9,9.5,42.0,22.6,16.5,21.5,76.7,11.5,33.5,45.0,18.5,21.0,10.0,6.0,6.5,24.5,21.5,-16.5
2020-21,Pre+Season,IND,Indiana Pacers,3,0,3,.000,48.0,105.7,38.0,92.0,41.3,14.3,42.0,34.1,15.3,23.0,66.7,11.3,27.3,38.7,23.7,17.0,10.7,2.7,4.3,29.7,26.3,-6.3
2020-21,Pre+Season,LAC,LA Clippers,3,0,3,.000,48.0,97.3,34.7,81.3,42.6,12.0,33.7,35.6,16.0,21.3,75.0,7.7,34.3,42.0,21.7,18.7,5.3,5.3,2.3,24.3,20.0,-17.0
2020-21,Pre+Season,MIL,Milwaukee Bucks,3,0,3,.000,48.0,109.0,39.7,90.0,44.1,10.3,37.0,27.9,19.3,24.3,79.5,9.3,37.0,46.3,24.7,15.3,5.3,6.0,3.3,26.7,20.7,-13.3
2020-21,Pre+Season,PHX,Phoenix Suns,4,0,4,.000,48.0,104.3,38.3,88.0,43.5,12.3,35.8,34.3,15.5,19.8,78.5,8.3,35.8,44.0,22.5,17.8,9.3,2.5,3.0,28.3,20.8,-9.8
2020-21,Pre+Season,SAS,San Antonio Spurs,3,0,3,.000,48.0,104.0,36.7,91.0,40.3,10.7,34.0,31.4,20.0,28.0,71.4,10.3,32.7,43.0,21.0,14.3,10.3,4.3,4.7,20.3,22.0,-16.3
2020-21,Playoffs,MIL,Milwaukee Bucks,23,16,7,.696,48.4,110.3,42.1,91.1,46.2,11.2,35.0,32.1,14.9,20.8,71.8,12.8,36.1,49.0,22.8,12.7,7.8,4.2,3.8,18.0,20.1,5.1
2020-21,Playoffs,PHX,Phoenix Suns,22,14,8,.636,48.0,109.0,40.9,85.0,48.1,11.2,29.7,37.6,16.0,18.6,86.1,8.0,34.7,42.7,23.2,11.9,6.5,4.2,3.6,19.7,18.5,4.5
2020-21,Playoffs,BKN,Brooklyn Nets,12,7,5,.583,48.4,112.5,40.7,86.2,47.2,13.6,35.6,38.2,17.6,20.3,86.8,8.3,34.3,42.6,22.6,11.6,7.1,4.8,6.2,21.2,18.6,6.3
2020-21,Playoffs,PHI,Philadelphia 76ers,12,7,5,.583,48.0,116.3,42.5,85.8,49.6,11.2,28.4,39.3,20.1,29.3,68.5,9.0,35.7,44.7,24.9,12.8,8.0,6.2,3.8,23.0,23.8,7.5
2020-21,Playoffs,ATL,Atlanta Hawks,18,10,8,.556,48.0,106.3,38.9,86.8,44.9,11.7,34.2,34.3,16.7,20.9,79.8,9.1,33.3,42.4,20.2,12.4,6.7,4.4,4.3,21.2,20.3,-1.5
2020-21,Playoffs,UTA,Utah Jazz,11,6,5,.545,48.0,116.9,39.7,84.2,47.2,18.0,43.6,41.3,19.5,24.3,80.1,9.4,33.0,42.4,19.6,13.5,5.2,4.1,4.3,21.5,21.1,-0.8
2020-21,Playoffs,LAC,LA Clippers,19,10,9,.526,48.0,111.6,39.1,81.9,47.7,13.8,36.4,38.1,19.5,23.7,82.3,8.8,32.4,41.2,20.8,10.7,6.8,4.3,2.7,19.5,21.3,4.1
2020-21,Playoffs,DAL,Dallas Mavericks,7,3,4,.429,48.0,106.0,39.1,86.0,45.5,13.6,35.0,38.8,14.1,20.0,70.7,10.3,30.3,40.6,20.7,11.0,5.6,2.1,5.0,20.3,20.6,-5.1
2020-21,Playoffs,DEN,Denver Nuggets,10,4,6,.400,49.0,114.8,42.1,92.2,45.7,14.7,38.5,38.2,15.9,20.9,76.1,11.7,31.9,43.6,24.9,11.2,6.1,4.3,4.9,20.4,20.3,-5.5
2020-21,Playoffs,LAL,Los Angeles Lakers,6,2,4,.333,48.0,97.5,34.3,83.0,41.4,9.8,32.8,29.9,19.0,24.5,77.6,10.5,32.7,43.2,19.3,13.8,6.7,4.0,5.0,20.5,21.0,-6.5
2020-21,Playoffs,POR,Portland Trail Blazers,6,2,4,.333,49.7,119.5,42.0,88.3,47.5,16.2,39.2,41.3,19.3,22.7,85.3,9.3,32.3,41.7,22.8,11.8,5.2,5.5,4.5,23.2,20.2,-1.3
2020-21,Playoffs,BOS,Boston Celtics,5,1,4,.200,48.0,112.2,38.4,88.2,43.5,12.8,36.6,35.0,22.6,27.4,82.5,12.6,28.8,41.4,21.0,13.0,6.4,7.0,6.6,21.0,23.4,-11.2
2020-21,Playoffs,MEM,Memphis Grizzlies,5,1,4,.200,48.0,115.0,44.2,94.4,46.8,10.4,31.6,32.9,16.2,20.4,79.4,11.2,30.0,41.2,22.0,10.4,8.0,4.0,6.2,20.6,19.2,-8.4
2020-21,Playoffs,NYK,New York Knicks,5,1,4,.200,48.0,97.0,34.4,86.4,39.8,10.4,30.4,34.2,17.8,21.8,81.7,11.8,34.6,46.4,18.6,12.2,5.8,2.8,6.8,19.8,19.0,-7.0
2020-21,Playoffs,WAS,Washington Wizards,5,1,4,.200,48.0,110.0,40.6,88.6,45.8,7.0,24.2,28.9,21.8,29.0,75.2,10.6,32.8,43.4,22.4,13.4,4.8,4.8,7.2,24.0,23.8,-14.0
2020-21,Playoffs,MIA,Miami Heat,4,0,4,.000,49.3,98.0,35.3,89.3,39.5,12.0,35.8,33.6,15.5,20.3,76.5,9.0,33.3,42.3,21.5,14.0,7.3,3.5,3.0,20.5,20.0,-20.5
2020-21,All+Star,Team LeBron,Team LeBron,1,1,0,1.000,48.0,170.0,68.0,107.0,63.6,31.0,61.0,50.8,3.0,5.0,60.0,8.0,40.0,48.0,46.0,18.0,9.0,3.0,0.0,8.0,8.0,20.0
2020-21,All+Star,Team Durant,Team Durant,1,0,1,.000,48.0,150.0,60.0,114.0,52.6,27.0,72.0,37.5,3.0,5.0,60.0,10.0,31.0,41.0,47.0,14.0,15.0,0.0,3.0,8.0,8.0,-20.0
2020-21,PlayIn,BOS,Boston Celtics,1,1,0,1.000,48.0,118.0,38.0,96.0,39.6,15.0,45.0,33.3,27.0,32.0,84.4,14.0,35.0,49.0,20.0,11.0,8.0,5.0,9.0,17.0,31.0,18.0
2020-21,PlayIn,LAL,Los Angeles Lakers,1,1,0,1.000,48.0,103.0,37.0,91.0,40.7,10.0,31.0,32.3,19.0,25.0,76.0,13.0,36.0,49.0,27.0,13.0,15.0,7.0,8.0,18.0,21.0,3.0
2020-21,PlayIn,MEM,Memphis Grizzlies,2,2,0,1.000,50.5,108.5,40.0,94.0,42.6,11.0,28.5,38.6,17.5,25.0,70.0,13.5,38.0,51.5,20.0,12.0,9.0,8.5,7.0,21.0,22.5,4.5
2020-21,PlayIn,IND,Indiana Pacers,2,1,1,.500,48.0,129.5,49.5,102.5,48.3,15.5,38.0,40.8,15.0,18.0,83.3,10.5,36.5,47.0,32.5,15.5,8.0,4.5,7.5,20.0,17.0,0.0
2020-21,PlayIn,WAS,Washington Wizards,2,1,1,.500,48.0,121.0,47.0,92.5,50.8,8.5,24.5,34.7,18.5,23.0,80.4,10.0,40.5,50.5,25.5,15.5,6.0,9.0,4.5,25.5,18.0,4.5
2020-21,PlayIn,CHA,Charlotte Hornets,1,0,1,.000,48.0,117.0,43.0,94.0,45.7,12.0,40.0,30.0,19.0,25.0,76.0,7.0,29.0,36.0,26.0,14.0,8.0,6.0,5.0,14.0,21.0,-27.0
2020-21,PlayIn,GSW,Golden State Warriors,2,0,2,.000,50.5,106.0,39.5,88.5,44.6,13.5,34.0,39.7,13.5,17.5,77.1,10.0,37.0,47.0,24.5,20.5,7.5,7.5,6.5,22.0,20.5,-4.0
2020-21,PlayIn,SAS,San Antonio Spurs,1,0,1,.000,48.0,96.0,34.0,97.0,35.1,8.0,22.0,36.4,20.0,24.0,83.3,15.0,40.0,55.0,20.0,8.0,5.0,7.0,11.0,22.0,19.0,-4.0
2021-22,Pre+Season,CHI,Chicago Bulls,4,4,0,1.000,48.0,118.0,44.8,97.3,46.0,11.5,31.8,36.2,17.0,20.8,81.9,11.5,41.0,52.5,28.0,12.8,12.5,6.5,6.0,20.3,18.3,21.5
2021-22,Pre+Season,DAL,Dallas Mavericks,4,4,0,1.000,48.0,118.5,44.8,94.3,47.5,12.5,37.0,33.8,16.5,22.5,73.3,14.3,42.8,57.0,29.8,13.0,9.8,6.5,4.5,20.3,20.8,24.3
2021-22,Pre+Season,GSW,Golden State Warriors,5,5,0,1.000,48.0,118.0,42.4,95.8,44.3,18.4,53.2,34.6,14.8,19.8,74.7,10.0,37.8,47.8,29.8,15.8,13.4,4.4,5.0,19.2,20.8,11.4
2021-22,Pre+Season,NYK,New York Knicks,4,4,0,1.000,48.0,116.3,41.8,94.0,44.4,15.8,41.0,38.4,17.0,20.3,84.0,9.5,38.8,48.3,26.3,11.3,6.8,4.5,7.5,21.8,18.5,12.3
2021-22,Pre+Season,SAC,Sacramento Kings,4,4,0,1.000,48.0,113.3,41.5,94.5,43.9,16.0,45.5,35.2,14.3,19.3,74.0,10.0,35.3,45.3,23.3,13.3,10.5,3.5,5.8,20.8,17.5,11.0
2021-22,Pre+Season,MIA,Miami Heat,6,5,1,.833,48.0,110.7,40.3,89.0,45.3,13.8,37.3,37.1,16.2,21.2,76.4,12.7,35.3,48.0,23.5,18.7,8.3,4.8,4.5,22.0,21.8,4.0
2021-22,Pre+Season,BKN,Brooklyn Nets,4,3,1,.750,48.0,113.3,40.8,83.3,48.9,13.8,33.8,40.7,18.0,23.5,76.6,9.0,34.8,43.8,22.3,19.3,9.3,5.0,4.3,21.8,22.0,6.3
2021-22,Pre+Season,MIN,Minnesota Timberwolves,4,3,1,.750,49.3,115.0,43.0,94.5,45.5,12.3,40.5,30.2,16.8,20.5,81.7,9.8,37.0,46.8,26.8,16.0,12.8,6.3,6.5,22.5,21.5,6.8
2021-22,Pre+Season,PHX,Phoenix Suns,4,3,1,.750,48.0,116.3,44.5,92.5,48.1,11.8,33.3,35.3,15.5,17.3,89.9,9.8,40.5,50.3,27.8,16.8,11.0,4.0,3.5,17.8,20.3,18.8
2021-22,Pre+Season,SAS,San Antonio Spurs,5,3,2,.600,48.0,109.6,42.2,93.6,45.1,12.6,35.8,35.2,12.6,17.8,70.8,11.4,38.8,50.2,25.6,16.0,6.4,4.6,7.4,19.8,18.0,8.2
2021-22,Pre+Season,TOR,Toronto Raptors,5,3,2,.600,48.0,113.4,42.4,94.2,45.0,14.4,38.8,37.1,14.2,19.4,73.2,12.6,34.2,46.8,25.4,18.2,12.0,6.0,7.8,22.2,18.4,4.4
2021-22,Pre+Season,ATL,Atlanta Hawks,4,2,2,.500,48.0,103.3,38.0,90.5,42.0,12.8,35.3,36.2,14.5,17.5,82.9,9.3,36.0,45.3,25.3,15.8,10.0,5.0,6.5,20.0,19.3,2.5
2021-22,Pre+Season,BOS,Boston Celtics,4,2,2,.500,48.0,103.3,36.3,86.0,42.2,14.5,40.0,36.3,16.3,19.5,83.3,9.0,36.3,45.3,22.8,17.8,8.5,5.8,6.8,18.3,19.0,-4.8
2021-22,Pre+Season,DET,Detroit Pistons,4,2,2,.500,48.0,104.8,38.3,84.0,45.5,9.8,31.5,31.0,18.5,23.3,79.6,9.0,34.3,43.3,22.5,17.0,6.5,6.3,5.0,18.0,21.8,-7.3
2021-22,Pre+Season,IND,Indiana Pacers,4,2,2,.500,48.0,104.0,39.8,89.8,44.3,11.5,38.0,30.3,13.0,18.3,71.2,10.3,36.3,46.5,25.0,16.5,9.0,6.5,4.3,20.3,15.3,-6.5
2021-22,Pre+Season,MEM,Memphis Grizzlies,6,3,3,.500,48.0,106.8,40.7,91.3,44.5,12.8,39.2,32.8,12.7,16.0,79.2,12.7,39.0,51.7,23.7,18.3,9.8,7.7,4.0,18.3,16.7,9.3
2021-22,Pre+Season,PHI,Philadelphia 76ers,4,2,2,.500,48.0,113.8,42.5,89.5,47.5,12.8,33.8,37.8,16.0,23.0,69.6,11.0,28.0,39.0,23.0,17.3,15.0,7.0,6.0,21.8,20.5,0.8
2021-22,Pre+Season,UTA,Utah Jazz,4,2,2,.500,48.0,109.3,40.8,95.0,42.9,15.5,45.8,33.9,12.3,16.5,74.2,8.8,37.0,45.8,23.5,15.0,10.0,5.8,4.3,20.0,18.0,-0.3
2021-22,Pre+Season,CLE,Cleveland Cavaliers,5,2,3,.400,48.0,101.0,36.8,82.8,44.4,10.6,30.6,34.6,16.8,25.6,65.6,8.8,34.6,43.4,24.0,19.8,10.2,4.8,6.6,16.6,23.2,-5.4
2021-22,Pre+Season,CHA,Charlotte Hornets,4,1,3,.250,48.0,93.3,35.8,89.5,39.9,8.5,32.5,26.2,13.3,19.3,68.8,11.0,34.3,45.3,21.3,19.3,9.0,5.5,6.0,20.8,21.0,-20.8
2021-22,Pre+Season,HOU,Houston Rockets,4,1,3,.250,48.0,105.3,36.8,87.3,42.1,10.3,34.5,29.7,21.5,32.8,65.6,12.5,38.0,50.5,21.0,20.3,8.0,4.5,5.8,22.8,29.0,-11.0
2021-22,Pre+Season,LAC,LA Clippers,4,1,3,.250,48.0,103.8,37.8,90.8,41.6,10.0,32.5,30.8,18.3,23.3,78.5,11.8,36.0,47.8,25.5,18.5,6.8,6.5,8.0,21.8,22.0,-12.5
2021-22,Pre+Season,NOP,New Orleans Pelicans,4,1,3,.250,48.0,99.8,36.8,93.8,39.2,12.0,35.0,34.3,14.3,19.3,74.0,12.0,34.5,46.5,22.0,17.8,7.8,4.3,8.0,18.8,21.8,-13.0
2021-22,Pre+Season,OKC,Oklahoma City Thunder,4,1,3,.250,49.3,105.5,38.5,90.0,42.8,15.5,45.5,34.1,13.0,19.0,68.4,8.5,36.3,44.8,23.5,15.8,8.5,3.5,5.8,19.8,19.5,-8.3
2021-22,Pre+Season,ORL,Orlando Magic,4,1,3,.250,48.0,96.5,36.0,85.3,42.2,12.3,33.5,36.6,12.3,15.5,79.0,8.8,36.8,45.5,21.3,17.0,8.3,10.0,4.5,18.3,17.5,-4.8
2021-22,Pre+Season,DEN,Denver Nuggets,5,1,4,.200,50.0,108.4,38.6,89.2,43.3,15.6,45.2,34.5,15.6,21.0,74.3,8.2,36.6,44.8,24.8,16.8,8.0,6.8,4.4,21.8,20.6,-1.6
2021-22,Pre+Season,MIL,Milwaukee Bucks,5,1,4,.200,48.0,109.0,41.8,87.8,47.6,14.2,35.8,39.7,11.2,15.6,71.8,9.6,35.6,45.2,22.4,15.2,7.6,4.6,6.2,16.4,16.6,-1.8
2021-22,Pre+Season,LAL,Los Angeles Lakers,6,0,6,.000,48.0,103.5,37.0,88.2,42.0,11.7,34.5,33.8,17.8,25.2,70.9,9.0,37.8,46.8,22.2,19.8,9.0,5.2,4.3,23.3,22.8,-15.0
2021-22,Pre+Season,POR,Portland Trail Blazers,4,0,4,.000,48.0,92.8,33.3,82.5,40.3,9.5,36.5,26.0,16.8,21.5,77.9,8.3,38.0,46.3,17.8,23.5,9.3,4.0,3.3,18.0,18.5,-23.8
2021-22,Pre+Season,WAS,Washington Wizards,4,0,4,.000,48.0,109.8,37.8,86.8,43.5,12.3,37.8,32.5,22.0,29.5,74.6,8.5,38.3,46.8,22.0,13.8,7.8,6.8,5.0,21.3,24.3,-7.8
2021-22,Regular+Season,PHX,Phoenix Suns,82,64,18,.780,48.1,114.8,43.7,90.1,48.5,11.6,31.9,36.4,15.9,19.9,79.7,9.8,35.5,45.3,27.4,12.9,8.6,4.4,4.0,19.9,18.9,7.5
2021-22,Regular+Season,MEM,Memphis Grizzlies,82,56,26,.683,48.2,115.6,43.5,94.4,46.1,11.5,32.7,35.3,17.0,23.1,73.4,14.1,35.0,49.2,26.0,13.2,9.8,6.5,6.0,19.8,19.8,5.7
2021-22,Regular+Season,GSW,Golden State Warriors,82,53,29,.646,48.1,111.0,40.5,86.4,46.9,14.3,39.4,36.4,15.6,20.3,76.9,9.8,35.7,45.5,27.1,14.9,8.8,4.5,3.9,21.0,18.0,5.5
2021-22,Regular+Season,MIA,Miami Heat,82,53,29,.646,48.4,110.0,39.6,84.8,46.7,13.6,35.8,37.9,17.3,21.4,80.8,9.8,33.9,43.7,25.5,14.6,7.4,3.2,4.0,20.5,20.6,4.5
2021-22,Regular+Season,DAL,Dallas Mavericks,82,52,30,.634,48.2,108.0,39.3,85.1,46.1,13.1,37.4,35.0,16.4,21.2,77.1,9.3,33.8,43.0,23.4,12.5,6.7,4.0,3.7,19.7,20.1,3.3
2021-22,Regular+Season,BOS,Boston Celtics,82,51,31,.622,48.5,111.8,40.7,87.4,46.6,13.2,37.1,35.6,17.0,20.9,81.6,10.5,35.5,46.1,24.8,13.6,7.2,5.8,4.6,18.5,19.4,7.3
2021-22,Regular+Season,MIL,Milwaukee Bucks,82,51,31,.622,48.2,115.5,41.8,89.4,46.8,14.1,38.4,36.6,17.8,22.9,77.6,10.2,36.5,46.7,23.9,13.4,7.6,4.0,4.4,18.2,19.7,3.4
2021-22,Regular+Season,PHI,Philadelphia 76ers,82,51,31,.622,48.3,109.9,39.4,84.5,46.6,11.6,31.8,36.4,19.6,23.8,82.1,8.5,33.8,42.3,23.7,12.5,7.7,5.3,4.6,19.4,19.4,2.6
2021-22,Regular+Season,UTA,Utah Jazz,82,49,33,.598,48.1,113.6,40.6,86.2,47.1,14.5,40.3,36.0,17.9,23.4,76.7,10.8,35.6,46.3,22.4,14.0,7.2,4.9,4.3,18.9,20.3,6.0
2021-22,Regular+Season,DEN,Denver Nuggets,82,48,34,.585,48.3,112.7,41.7,86.3,48.3,12.7,35.9,35.3,16.7,21.0,79.5,9.2,34.9,44.1,27.8,14.5,7.2,3.7,4.8,20.0,19.9,2.3
2021-22,Regular+Season,TOR,Toronto Raptors,82,48,34,.585,48.4,109.4,40.6,91.3,44.5,11.9,34.2,34.9,16.2,21.3,75.9,13.4,32.0,45.3,22.1,12.5,9.0,4.6,5.1,19.6,19.1,2.3
2021-22,Regular+Season,CHI,Chicago Bulls,82,46,36,.561,48.1,111.6,41.7,86.9,48.0,10.6,28.8,36.9,17.5,21.5,81.3,8.7,33.7,42.3,23.9,12.8,7.1,4.1,5.0,18.8,18.2,-0.4
2021-22,Regular+Season,MIN,Minnesota Timberwolves,82,46,36,.561,48.2,115.9,41.6,91.0,45.7,14.8,41.3,35.8,18.0,23.1,77.8,11.2,32.9,44.2,25.7,14.3,8.8,5.6,4.8,21.8,20.9,2.6
2021-22,Regular+Season,BKN,Brooklyn Nets,82,44,38,.537,48.2,112.9,42.0,88.4,47.5,11.5,31.7,36.1,17.5,21.7,80.5,10.3,34.1,44.4,25.3,14.1,7.1,5.5,4.9,20.4,19.7,0.8
2021-22,Regular+Season,CLE,Cleveland Cavaliers,82,44,38,.537,48.1,107.8,39.7,84.6,46.9,11.6,32.8,35.5,16.8,22.1,76.0,10.2,34.0,44.2,25.2,14.4,7.1,4.2,4.6,17.5,20.0,2.1
2021-22,Regular+Season,ATL,Atlanta Hawks,82,43,39,.524,48.1,113.9,41.5,88.3,47.0,12.9,34.4,37.4,18.1,22.3,81.2,10.0,33.9,44.0,24.6,11.9,7.2,4.2,4.5,18.7,20.3,1.6
2021-22,Regular+Season,CHA,Charlotte Hornets,82,43,39,.524,48.5,115.3,42.8,91.4,46.8,13.9,38.2,36.5,15.8,21.4,74.0,10.8,33.7,44.6,28.1,13.3,8.6,4.9,4.6,19.9,19.6,0.4
2021-22,Regular+Season,LAC,LA Clippers,82,42,40,.512,48.2,108.4,40.1,87.4,45.8,12.8,34.2,37.4,15.5,19.6,79.3,9.1,34.9,44.0,24.0,13.7,7.4,5.0,4.1,18.6,18.5,0.0
2021-22,Regular+Season,NYK,New York Knicks,82,37,45,.451,48.2,106.5,37.7,86.2,43.7,13.2,36.9,35.7,18.0,24.1,74.4,11.5,34.6,46.1,21.9,13.3,7.0,4.9,4.6,20.4,20.4,-0.1
2021-22,Regular+Season,NOP,New Orleans Pelicans,82,36,46,.439,48.2,109.3,40.2,88.0,45.7,10.6,32.1,33.2,18.3,23.2,78.9,12.0,33.2,45.2,25.0,14.1,8.3,4.0,4.8,19.7,20.5,-1.0
2021-22,Regular+Season,WAS,Washington Wizards,82,35,47,.427,48.4,108.6,40.6,86.0,47.2,10.5,30.6,34.2,17.0,21.7,78.3,9.0,34.1,43.1,25.0,13.1,6.4,5.0,4.2,18.8,19.9,-3.4
2021-22,Regular+Season,SAS,San Antonio Spurs,82,34,48,.415,48.3,113.2,43.2,92.7,46.7,11.3,32.0,35.2,15.4,20.4,75.4,11.0,34.3,45.3,27.9,12.7,7.6,4.9,4.9,18.1,18.9,0.1
2021-22,Regular+Season,LAL,Los Angeles Lakers,82,33,49,.402,48.7,112.1,41.6,88.8,46.9,12.0,34.5,34.7,16.8,23.0,73.2,9.5,34.5,44.0,24.0,14.5,7.6,5.2,4.1,20.2,20.1,-3.0
2021-22,Regular+Season,SAC,Sacramento Kings,82,30,52,.366,48.3,110.3,40.5,88.1,46.0,11.4,33.2,34.4,17.9,23.3,76.8,9.6,33.4,42.9,23.7,14.1,7.2,4.5,4.8,18.9,20.3,-5.5
2021-22,Regular+Season,POR,Portland Trail Blazers,82,27,55,.329,48.1,106.2,38.5,87.1,44.2,12.7,36.8,34.6,16.4,21.6,76.0,10.4,32.5,42.9,22.9,14.5,8.0,4.5,5.0,21.1,19.4,-8.9
2021-22,Regular+Season,IND,Indiana Pacers,82,25,57,.305,48.5,111.5,41.4,89.5,46.3,12.2,35.4,34.4,16.4,21.4,76.8,11.3,32.6,43.9,25.4,14.4,7.1,5.6,4.9,20.4,19.2,-3.5
2021-22,Regular+Season,OKC,Oklahoma City Thunder,82,24,58,.293,48.3,103.7,38.3,89.1,43.0,12.1,37.4,32.3,15.0,19.9,75.6,10.4,35.2,45.6,22.2,14.0,7.6,4.6,6.0,18.3,17.8,-8.1
2021-22,Regular+Season,DET,Detroit Pistons,82,23,59,.280,48.2,104.8,38.2,88.6,43.1,11.3,34.6,32.6,17.2,22.0,78.2,11.0,32.0,43.0,23.5,14.2,7.7,4.8,5.2,21.9,19.8,-7.7
2021-22,Regular+Season,ORL,Orlando Magic,82,22,60,.268,48.2,104.2,38.3,88.3,43.4,12.2,36.9,33.1,15.5,19.7,78.7,9.1,35.2,44.3,23.7,14.5,6.8,4.5,5.2,19.7,18.3,-8.0
2021-22,Regular+Season,HOU,Houston Rockets,82,20,62,.244,48.2,109.7,39.4,86.4,45.6,13.5,38.7,34.9,17.5,24.5,71.3,9.6,32.4,42.0,23.6,16.5,7.3,4.7,5.8,20.6,22.1,-8.5
2021-22,Playoffs,GSW,Golden State Warriors,22,16,6,.727,48.0,111.9,41.4,86.1,48.0,14.0,37.3,37.5,15.1,19.8,76.6,9.8,34.1,43.9,27.0,14.5,7.7,5.0,4.9,21.5,19.3,5.0
2021-22,Playoffs,MIA,Miami Heat,18,11,7,.611,48.0,104.2,38.0,85.3,44.5,10.9,34.8,31.3,17.3,21.6,80.4,9.8,31.2,41.1,21.9,12.9,8.3,3.7,4.6,21.4,21.4,3.8
2021-22,Playoffs,BOS,Boston Celtics,24,14,10,.583,48.0,105.5,36.7,81.8,44.9,13.7,36.6,37.3,18.5,23.2,79.7,9.0,33.9,42.9,24.5,14.7,6.4,6.3,4.7,20.7,21.7,3.6
2021-22,Playoffs,MIL,Milwaukee Bucks,12,7,5,.583,48.0,102.8,38.5,88.0,43.8,10.6,32.3,32.7,15.2,20.8,73.1,9.8,40.7,50.4,20.8,13.8,6.3,4.5,5.5,19.1,20.1,1.5
2021-22,Playoffs,PHX,Phoenix Suns,13,7,6,.538,48.0,107.6,41.2,82.8,49.7,9.8,27.2,36.3,15.5,18.9,81.7,9.5,30.7,40.2,25.7,13.3,6.6,3.8,3.0,22.5,21.2,-1.0
