SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2020-21,Regular+Season,ORL,Orlando Magic,72,6.0,5.4,0.92,5.5,2.0,5.1,39.0,45.1,8.2,7.9,8.2,1.6,39.9,10.3
2020-21,Regular+Season,PHX,Phoenix Suns,72,5.4,5.0,0.98,5.4,2.1,4.8,42.4,49.0,6.6,6.4,6.4,2.0,42.1,51.7
2020-21,Regular+Season,UTA,Utah Jazz,72,5.1,4.6,1.03,5.2,1.8,4.4,40.3,52.2,6.9,7.4,6.0,1.6,40.4,65.5
2020-21,Regular+Season,TOR,Toronto Raptors,72,5.1,4.6,1.01,5.2,1.8,4.4,40.1,53.6,4.9,8.7,5.4,0.3,39.1,55.2
2020-21,Regular+Season,LAC,LA Clippers,72,4.8,4.4,1.05,5.0,1.8,4.2,44.5,54.2,5.8,8.2,5.3,1.8,43.0,82.8
2020-21,Regular+Season,DAL,Dallas Mavericks,72,4.6,4.3,1.07,5.0,1.8,4.2,43.0,53.6,6.3,3.6,6.3,0.9,44.4,89.7
2020-21,Regular+Season,MIN,Minnesota Timberwolves,72,5.2,4.6,0.94,4.9,1.7,4.5,37.8,47.8,8.5,7.2,7.7,1.9,38.9,27.6
2020-21,Regular+Season,BOS,Boston Celtics,72,5.0,4.5,0.98,4.9,1.8,4.4,41.1,50.8,4.5,8.1,4.2,0.6,39.7,48.3
2020-21,Regular+Season,IND,Indiana Pacers,72,4.7,4.1,1.03,4.8,1.7,4.0,42.8,52.3,9.6,7.8,9.6,2.4,43.6,69.0
2020-21,Regular+Season,POR,Portland Trail Blazers,72,4.6,4.1,1.03,4.7,1.7,4.0,41.3,50.7,8.5,6.0,7.9,1.5,42.6,72.4
2020-21,Regular+Season,CHA,Charlotte Hornets,72,5.0,4.5,0.89,4.4,1.6,4.4,36.9,45.9,5.0,7.8,5.0,1.1,36.5,6.9
2020-21,Regular+Season,MIL,Milwaukee Bucks,72,4.3,3.8,1.02,4.4,1.6,3.9,42.0,51.6,4.5,5.8,4.5,1.0,41.6,62.1
2020-21,Regular+Season,SAS,San Antonio Spurs,72,3.9,3.5,1.07,4.2,1.5,3.5,42.6,53.2,7.5,4.3,6.8,0.7,44.6,93.1
2020-21,Regular+Season,DEN,Denver Nuggets,72,4.3,3.9,0.95,4.1,1.6,3.7,42.3,50.4,5.8,8.7,5.8,1.0,40.8,31.0
2020-21,Regular+Season,LAL,Los Angeles Lakers,72,4.3,3.8,0.96,4.1,1.4,3.7,38.7,50.6,5.2,8.8,5.2,1.0,37.6,37.9
2020-21,Regular+Season,CLE,Cleveland Cavaliers,72,4.2,3.8,0.96,4.0,1.5,3.6,42.0,49.4,6.6,9.2,5.9,0.7,41.6,34.5
2020-21,Regular+Season,SAC,Sacramento Kings,72,4.3,3.9,0.93,4.0,1.4,3.9,35.9,47.7,3.6,6.2,3.2,1.0,35.4,13.8
2020-21,Regular+Season,ATL,Atlanta Hawks,72,3.6,3.2,1.04,3.7,1.4,3.2,43.3,53.2,3.9,5.4,3.9,0.0,43.2,75.9
2020-21,Regular+Season,MEM,Memphis Grizzlies,72,4.4,3.9,0.81,3.6,1.4,3.8,36.4,41.6,7.5,7.8,7.5,1.9,36.7,0.0
2020-21,Regular+Season,CHI,Chicago Bulls,72,3.8,3.5,0.94,3.6,1.3,3.4,38.1,49.6,5.1,7.6,4.0,1.1,37.0,24.1
2020-21,Regular+Season,HOU,Houston Rockets,72,3.7,3.3,0.93,3.4,1.2,3.2,37.9,50.2,3.7,10.1,3.4,0.4,36.2,17.2
2020-21,Regular+Season,NOP,New Orleans Pelicans,72,3.0,2.6,0.96,2.8,1.0,2.6,40.5,47.3,9.9,6.1,8.9,3.3,41.3,41.4
