SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ
2022-23,play-in,-,1,1,221.6,6.5,3.0,46.2,17.5,37.1,0.5,38.2,0
2022-23,play-in,-,1,0,263.2,12.0,7.0,58.3,24.0,50.0,2.0,54.5,0
2022-23,play-in,-,1,1,233.7,8.0,4.0,50.0,27.5,29.1,1.5,30.8,0
2022-23,play-in,-,1,1,232.3,6.5,4.5,69.2,15.0,43.3,0.0,43.3,0
2022-23,play-in,-,0,1,240.0,14.0,8.0,57.1,27.0,51.9,0.0,51.9,0
2022-23,play-in,-,1,1,240.0,12.5,8.0,64.0,34.0,36.8,2.0,39.1,0
2022-23,play-in,-,0,1,237.9,16.0,11.0,68.8,33.0,48.5,1.0,50.0,0
2023-24,regular-season,-,36,46,231.6,12.5,6.7,53.4,26.7,46.7,0.9,48.3,0
2023-24,regular-season,-,63,18,235.3,10.7,5.6,52.7,24.9,42.9,1.1,44.9,0
2023-24,regular-season,-,32,47,234.1,11.4,6.0,52.8,25.9,44.2,1.1,46.1,0
2023-24,regular-season,-,20,61,228.0,9.3,5.2,55.6,21.9,42.7,0.6,44.0,0
2023-24,regular-season,-,39,42,229.4,11.1,6.2,56.3,24.1,46.0,0.6,47.2,0
2023-24,regular-season,-,48,34,231.9,9.8,5.2,52.8,21.9,45.0,0.6,46.2,0
2023-24,regular-season,-,49,32,229.3,9.8,4.6,47.4,24.2,40.3,1.1,42.2,0
2023-24,regular-season,-,55,25,225.6,10.9,6.8,62.8,22.9,47.4,0.7,48.7,0
2023-24,regular-season,-,14,67,231.9,10.4,5.8,55.8,24.5,42.4,0.7,43.6,0
2023-24,regular-season,-,46,35,230.4,12.0,6.7,55.5,27.1,44.4,1.0,46.2,0
2023-24,regular-season,-,41,41,231.7,11.5,6.5,56.8,26.6,43.1,1.0,44.9,0
2023-24,regular-season,-,47,35,226.6,10.1,5.2,51.5,24.4,41.3,1.0,43.1,0
