SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,MIN,OPP_FGM,OPP_FGA,OPP_FG_PCT,OPP_FG3M,OPP_FG3A,OPP_FG3_PCT,OPP_FTM,OPP_FTA,OPP_FT_PCT,OPP_OREB,OPP_DREB,OPP_REB,OPP_AST,OPP_TOV,OPP_STL,OPP_BLK,OPP_BLKA,OPP_PF,OPP_PFD,OPP_PTS,PLUS_MINUS
2025-26,regular-season,WAS,32,8,24,48.3,44.8,95.3,47.0,14.8,39.9,37.0,20.3,25.5,79.7,14.1,34.6,48.7,29.1,12.4,9.4,5.8,6.0,17.5,21.9,124.7,11.5
2025-26,regular-season,IND,34,6,28,48.3,42.8,88.6,48.3,11.5,33.7,34.0,22.0,28.8,76.6,11.7,36.1,47.8,24.9,14.4,7.3,4.6,5.2,21.7,22.9,119.1,9.1
2025-26,ist,NYK,7,6,1,48.0,40.9,88.7,46.1,15.0,40.6,37.0,19.1,26.1,73.2,11.0,28.6,39.6,26.4,12.6,6.9,4.3,4.7,20.9,21.9,115.9,-10.6
2025-26,ist,OKC,6,5,1,48.0,36.8,86.2,42.7,14.3,38.7,37.1,18.2,24.7,73.6,11.2,32.3,43.5,24.5,20.2,8.0,3.8,4.8,21.7,19.7,106.2,-20.3
2025-26,ist,ORL,6,5,1,48.0,41.3,87.8,47.1,9.7,30.3,31.9,17.7,22.5,78.5,9.3,31.5,40.8,24.3,14.3,8.2,6.2,5.3,22.0,20.3,110.0,-10.2
2025-26,ist,SAS,7,5,2,48.0,41.7,91.0,45.8,13.6,37.3,36.4,18.6,23.4,79.3,14.4,32.0,46.4,23.6,15.9,7.6,6.1,5.0,22.3,20.3,115.6,-4.3
2025-26,ist,LAL,5,4,1,48.0,41.8,88.0,47.5,14.0,36.8,38.0,19.4,23.4,82.9,11.0,29.4,40.4,25.8,14.0,8.8,2.4,4.6,22.4,19.6,117.0,-6.6
2025-26,ist,TOR,5,4,1,48.0,37.0,86.0,43.0,12.4,38.6,32.1,17.6,24.2,72.7,11.6,31.6,43.2,22.6,16.6,8.6,7.0,4.4,19.4,20.0,104.0,-7.8
2025-26,ist,MEM,4,3,1,49.3,42.3,88.0,48.0,13.5,40.0,33.8,16.0,20.0,80.0,7.8,33.0,40.8,25.5,15.3,9.5,5.8,3.8,18.8,20.5,114.0,-4.8
2025-26,ist,MIA,5,3,2,48.0,41.2,94.6,43.6,14.4,41.8,34.4,18.2,22.8,79.8,13.0,35.2,48.2,28.2,15.0,6.0,6.2,6.4,20.4,18.4,115.0,-8.0
2025-26,ist,PHX,5,3,2,48.0,40.6,85.4,47.5,14.6,36.0,40.6,18.2,23.2,78.4,8.8,32.4,41.2,24.0,17.4,10.6,4.6,3.8,19.6,21.0,114.0,3.6
2025-26,ist,ATL,4,2,2,48.0,41.0,92.3,44.4,15.3,40.5,37.7,20.8,26.0,79.8,12.8,32.5,45.3,26.3,13.8,9.8,5.3,5.8,18.3,18.8,118.0,1.0
2025-26,ist,BOS,4,2,2,48.0,39.5,83.8,47.2,13.5,34.8,38.8,22.0,29.3,75.2,12.0,33.3,45.3,26.5,15.0,6.0,6.8,5.8,16.5,25.8,114.5,4.3
2025-26,ist,CLE,4,2,2,48.0,41.5,88.0,47.2,13.8,37.8,36.4,19.8,24.8,79.8,10.5,32.8,43.3,30.0,16.3,8.8,5.5,7.0,19.5,17.8,116.5,-6.5
2025-26,ist,DEN,4,2,2,48.0,41.3,93.3,44.2,13.5,39.5,34.2,19.3,24.5,78.6,15.8,25.5,41.3,26.3,12.5,8.3,4.3,5.8,22.8,19.5,115.3,-5.8
2025-26,ist,DET,4,2,2,48.0,37.8,88.5,42.7,14.0,39.5,35.4,20.8,24.3,85.6,11.8,29.3,41.0,20.8,15.5,9.5,4.8,5.8,24.0,20.3,110.3,-5.3
2025-26,ist,HOU,4,2,2,48.0,39.3,83.5,47.0,13.5,38.3,35.3,20.3,25.0,81.0,13.8,28.5,42.3,25.3,18.0,8.8,4.5,3.8,20.8,22.0,112.3,-3.5
2025-26,ist,LAC,4,2,2,50.5,43.3,89.3,48.5,14.5,35.5,40.8,23.5,28.8,81.7,12.5,33.5,46.0,24.8,16.5,8.3,5.3,4.8,21.0,23.5,124.5,3.5
