SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,TOUCHES,ELBOW_TOUCHES,ELBOW_TOUCH_FGM,ELBOW_TOUCH_FGA,ELBOW_TOUCH_FG_PCT,ELBOW_TOUCH_FTM,ELBOW_TOUCH_FTA,ELBOW_TOUCH_FT_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_PTS_PCT,ELBOW_TOUCH_PASSES,ELBOW_TOUCH_PASSES_PCT,ELBOW_TOUCH_AST,ELBOW_TOUCH_AST_PCT,ELBOW_TOUCH_TOV,ELBOW_TOUCH_TOV_PCT,ELBOW_TOUCH_FOULS,ELBOW_TOUCH_FOULS_PCT
2023-24,Regular+Season,SAC,Sacramento Kings,82,46,36,242.1,427.6,13.1,3.0,4.8,61.7,1.2,1.8,68.5,7.5,56.9,6.2,47.3,1.3,20.5,0.7,5.7,0.9,6.7
2023-24,Regular+Season,SAS,San Antonio Spurs,81,21,60,241.9,417.9,12.6,3.4,5.5,60.9,1.0,1.3,79.8,8.0,63.6,5.4,42.6,1.1,19.7,0.7,5.5,0.6,4.6
2023-24,Regular+Season,TOR,Toronto Raptors,81,25,56,241.2,420.2,12.4,3.1,4.7,66.4,0.8,1.1,71.1,7.2,58.2,6.2,50.1,1.5,24.5,0.6,5.0,0.5,4.2
2023-24,Regular+Season,UTA,Utah Jazz,81,31,50,241.5,408.2,7.6,2.2,3.6,59.3,0.8,0.9,86.1,5.2,68.3,3.0,39.1,0.5,17.4,0.3,4.5,0.4,5.3
2023-24,Regular+Season,WAS,Washington Wizards,82,15,67,240.6,399.4,8.7,3.2,4.7,67.0,0.7,1.0,72.6,7.3,83.8,3.0,33.8,0.6,19.0,0.4,4.0,0.5,5.4
2023-24,Playoffs,BOS,Boston Celtics,19,16,3,241.3,382.2,7.4,2.0,3.3,61.3,0.8,0.8,100,4.9,66.0,3.4,45.4,0.9,26.6,0.2,2.1,0.4,5.7
2023-24,Playoffs,CLE,Cleveland Cavaliers,12,5,7,240.0,358.6,8.4,1.7,3.6,46.5,0.9,1.4,64.7,4.3,50.5,3.6,42.6,0.9,25.6,0.3,4.0,0.7,7.9
2023-24,Playoffs,DAL,Dallas Mavericks,22,13,9,240.0,358.6,7.6,1.9,3.0,64.6,0.8,1.2,69.2,4.8,63.1,3.8,49.4,0.5,14.5,0.2,3.0,0.6,7.7
2023-24,Playoffs,DEN,Denver Nuggets,12,7,5,240.0,403.0,17.8,3.8,7.2,53.5,0.8,0.8,90.0,8.5,47.9,8.3,46.9,1.6,19.0,1.0,5.6,0.2,0.9
2023-24,Playoffs,IND,Indiana Pacers,17,8,9,242.9,431.8,11.3,3.8,5.8,65.7,0.9,1.2,75.0,8.8,77.6,4.5,39.6,1.5,32.9,0.4,3.6,0.6,5.2
2023-24,Playoffs,LAC,LA Clippers,6,2,4,240.0,364.8,11.0,2.0,4.3,46.2,1.2,1.3,87.5,5.3,48.5,5.2,47.0,1.2,22.6,0.5,4.5,0.7,6.1
