SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,POSS,POSS_PCT,PPP,PTS,FGM,FGA,FG_PCT,EFG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,PERCENTILE
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Keyonte George,1641718,36,1.3,5.4,0.98,1.2,0.4,0.9,38.2,48.5,15.6,11.1,15.6,2.2,42.2,46.9
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Derrick White,1628401,36,1.1,5.5,1.13,1.2,0.3,0.8,34.5,41.4,23.7,2.6,23.7,2.6,47.4,73.4
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Aaron Nesmith,1630174,20,2.1,14.4,1.02,2.2,0.7,1.9,36.8,52.6,4.8,4.8,4.8,0.0,38.1,57.0
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Ace Bailey,1642846,30,1.7,16.1,0.83,1.4,0.5,1.6,31.9,43.6,1.9,7.7,1.9,0.0,30.8,23.4
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Devin Vassell,1630170,27,1.6,11.8,0.93,1.5,0.6,1.6,37.2,44.2,4.5,0.0,4.5,2.3,38.6,41.4
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Sam Hauser,1630573,36,1.0,12.5,1.14,1.1,0.4,0.9,42.4,60.6,0.0,5.7,0.0,0.0,40.0,74.2
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,CJ McCollum,203468,32,1.1,6.3,1.11,1.3,0.4,1.0,42.4,54.5,5.6,5.6,5.6,2.8,41.7,69.5
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Victor Wembanyama,1641705,24,1.5,6.9,1.05,1.6,0.7,1.4,48.5,53.0,8.1,5.4,5.4,2.7,48.6,61.7
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Nikola Vucevic,202696,36,0.6,4.0,1.61,1.0,0.4,0.6,68.2,84.1,0.0,4.3,0.0,0.0,65.2,96.9
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Donovan Mitchell,1628378,35,1.0,3.8,1.03,1.0,0.4,0.9,43.3,56.7,5.7,8.6,5.7,0.0,42.9,57.8
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Immanuel Quickley,1630193,38,0.7,4.0,1.40,0.9,0.3,0.6,52.4,69.0,12.0,8.0,8.0,4.0,52.0,89.8
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,AJ Green,1631260,34,0.8,9.4,1.25,1.0,0.4,0.8,46.2,67.3,0.0,7.1,0.0,0.0,42.9,82.7
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Quentin Grimes,1629656,33,1.0,7.2,1.09,1.1,0.3,0.8,37.0,48.1,18.8,0.0,15.6,3.1,43.8,68.8
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Anthony Edwards,1630162,30,1.1,4.4,1.06,1.2,0.4,0.9,46.2,55.8,12.1,9.1,12.1,0.0,48.5,63.3
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Kristaps Porziņģis,204001,17,1.5,10.5,1.31,2.0,0.7,1.4,52.2,69.6,7.7,7.7,7.7,3.8,50.0,85.9
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Paul George,202331,20,2.0,12.1,0.82,1.7,0.5,1.8,27.8,38.9,5.0,5.0,2.5,0.0,30.0,22.7
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Keegan Murray,1631099,17,2.2,14.2,0.86,1.9,0.8,2.1,40.0,42.9,5.4,0.0,5.4,0.0,43.2,29.7
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Cade Cunningham,1630595,31,1.1,4.2,0.91,1.0,0.3,0.9,37.0,44.4,11.8,11.8,8.8,2.9,38.2,36.7
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Austin Reaves,1630559,19,1.3,5.6,1.20,1.6,0.5,1.1,45.0,60.0,12.0,8.0,12.0,0.0,48.0,77.8
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Cedric Coward,1642907,33,0.8,5.6,1.20,0.9,0.3,0.6,47.4,60.5,16.0,12.0,16.0,4.0,48.0,77.8
2015-16,Regular+Season,UTA,1610612762,Utah Jazz,Svi Mykhailiuk,1629004,33,0.6,7.9,1.38,0.9,0.3,0.6,52.6,73.7,4.8,9.5,4.8,4.8,47.6,89.1
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Zaccharie Risacher,1642258,34,0.6,5.9,1.32,0.9,0.3,0.6,45.0,60.0,13.6,0.0,13.6,4.5,50.0,86.7
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Julian Champagnie,1630577,35,0.9,8.7,0.94,0.8,0.3,0.7,36.0,50.0,9.7,9.7,6.5,0.0,35.5,42.2
2015-16,Regular+Season,ATL,1610612737,Atlanta Hawks,Luke Kennard,1628379,34,0.7,11.2,1.13,0.8,0.3,0.6,50.0,62.5,4.2,12.5,4.2,0.0,45.8,71.7
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,DeMar DeRozan,201942,37,0.7,4.0,1.08,0.7,0.3,0.6,45.5,47.7,16.0,4.0,16.0,8.0,48.0,65.6
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Collin Gillespie,1631221,36,0.9,6.9,0.87,0.8,0.3,0.8,35.7,48.2,0.0,9.7,0.0,0.0,32.3,30.5
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Jalen Brunson,1628973,32,0.5,1.9,1.63,0.8,0.3,0.5,66.7,80.0,6.3,0.0,6.3,0.0,68.8,98.4
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Simone Fontecchio,1631323,33,0.9,11.0,0.90,0.8,0.2,0.8,29.6,38.9,13.8,0.0,13.8,6.9,34.5,32.8
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,De'Aaron Fox,1628368,26,0.7,3.3,1.47,1.0,0.3,0.6,56.3,71.9,11.8,5.9,11.8,11.8,52.9,93.8
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Cooper Flagg,1642843,35,0.7,3.6,1.00,0.7,0.3,0.7,43.5,47.8,8.0,4.0,8.0,4.0,44.0,52.1
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,LeBron James,2544,18,1.5,6.9,0.93,1.4,0.6,1.3,43.5,47.8,7.4,11.1,7.4,3.7,40.7,39.1
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Pascal Siakam,1627783,36,0.8,3.3,0.82,0.6,0.2,0.7,37.5,37.5,14.3,3.6,10.7,3.6,42.9,21.9
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Payton Pritchard,1630202,37,0.8,5.0,0.77,0.6,0.2,0.8,28.6,41.1,0.0,6.7,0.0,0.0,26.7,14.8
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Shai Gilgeous-Alexander,1628983,34,0.4,1.5,1.61,0.6,0.2,0.3,70.0,75.0,30.8,0.0,30.8,7.7,76.9,97.7
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Gary Trent Jr.,1629018,35,0.6,6.9,1.00,0.6,0.2,0.5,35.3,47.1,9.5,9.5,9.5,0.0,38.1,52.1
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Julius Randle,203944,38,0.7,3.2,0.84,0.6,0.2,0.6,38.1,42.9,8.0,8.0,8.0,0.0,40.0,25.8
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Grayson Allen,1628960,22,1.2,7.8,0.78,1.0,0.4,1.0,38.1,47.6,3.7,18.5,0.0,0.0,33.3,17.2
