SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,DREB,DREB_CONTEST,DREB_CONTEST_PCT,DREB_CHANCES,DREB_CHANCE_PCT,DREB_CHANCE_DEFER,DREB_CHANCE_PCT_ADJ
2023-24,regular-season,-,48,32,230.5,33.9,7.6,22.5,55.6,61.1,4.9,66.9,0
2023-24,regular-season,-,20,61,235.7,30.1,6.6,21.8,50.5,59.5,4.3,65.0,0
2023-24,regular-season,-,46,36,229.5,33.1,7.0,21.3,53.3,62.0,5.0,68.4,0
2023-24,regular-season,-,21,60,226.7,33.8,7.3,21.5,54.1,62.4,4.4,67.9,0
2023-24,regular-season,-,25,56,229.6,31.8,6.9,21.7,51.4,61.8,4.5,67.7,0
2023-24,regular-season,-,31,50,231.1,33.4,8.0,23.9,53.8,62.0,5.1,68.5,0
2023-24,regular-season,-,15,67,225.6,31.8,6.8,21.4,53.0,59.9,4.7,65.8,0
2023-24,playoffs,-,16,3,236.1,33.4,8.2,24.6,53.1,62.9,4.3,68.4,0
2023-24,playoffs,-,5,7,225.2,31.1,7.2,23.1,54.8,56.8,6.3,64.1,0
2023-24,playoffs,-,13,9,230.9,32.2,8.0,25.0,53.7,60.0,4.6,65.6,0
2023-24,playoffs,-,7,5,231.7,32.6,6.4,19.7,49.9,65.3,5.0,72.5,0
2023-24,playoffs,-,8,9,231.2,31.1,6.7,21.6,52.0,59.7,4.1,64.9,0
2023-24,playoffs,-,2,4,231.0,30.8,7.7,24.9,49.3,62.5,5.0,69.5,0
2023-24,playoffs,-,1,4,238.0,33.2,8.0,24.1,52.4,63.4,5.4,70.6,0
2023-24,playoffs,-,1,4,233.0,30.6,7.0,22.9,49.6,61.7,4.8,68.3,0
2023-24,playoffs,-,2,4,234.9,33.2,6.0,18.1,56.3,58.9,4.8,64.4,0
2023-24,playoffs,-,9,7,226.0,31.8,6.7,21.0,48.8,65.2,4.9,72.4,0
2023-24,playoffs,-,0,4,233.8,33.3,6.8,20.3,48.0,69.3,4.0,75.6,0
2023-24,playoffs,-,7,6,228.7,29.3,5.6,19.2,48.6,60.3,5.1,67.3,0
2023-24,playoffs,-,6,4,228.7,32.8,8.8,26.8,56.6,58.0,6.4,65.3,0
2023-24,playoffs,-,3,4,230.1,33.0,5.7,17.3,52.7,62.6,4.9,69.0,0
2023-24,playoffs,-,2,4,241.3,30.5,8.0,26.2,59.3,51.4,4.7,55.8,0
2023-24,playoffs,-,0,4,224.6,25.3,7.8,30.7,49.0,51.5,3.8,55.8,0
2023-24,play-in,-,0,1,215.1,26.0,5.0,19.2,40.0,65.0,3.0,70.3,0
2023-24,play-in,-,1,1,239.1,34.0,5.0,14.7,53.0,64.2,6.5,73.1,0
2023-24,play-in,-,0,1,240.0,34.0,6.0,17.6,74.0,45.9,10.0,53.1,0
2023-24,play-in,-,1,0,203.5,35.0,12.0,34.3,47.0,74.5,2.0,77.8,0
2023-24,play-in,-,1,1,237.2,33.5,9.0,26.9,58.5,57.3,4.5,62.0,0
2023-24,play-in,-,1,1,222.5,37.0,8.0,21.6,59.5,62.2,5.5,68.5,0
2023-24,play-in,-,1,0,236.5,34.0,6.0,17.6,58.0,58.6,4.0,63.0,0
2023-24,play-in,-,1,1,221.9,30.0,7.5,25.0,45.0,66.7,3.5,72.3,0
2023-24,ist,-,1,3,234.4,28.3,9.0,31.9,45.0,62.8,2.8,66.9,0
2023-24,ist,-,3,2,235.4,36.4,6.2,17.0,58.6,62.1,6.6,70.0,0
2023-24,ist,-,3,1,240.0,36.3,9.0,24.8,63.3,57.3,6.3,63.6,0
2023-24,ist,-,1,3,232.4,33.3,6.5,19.5,54.5,61.0,8.0,71.5,0
2023-24,ist,-,0,4,232.1,29.5,4.5,15.3,49.8,59.3,3.0,63.1,0
2023-24,ist,-,3,1,234.7,36.8,10.0,27.2,62.0,59.3,4.8,64.2,0
