SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,G,FREQ_WHOLE_NUM,FGM_LT_10,FGA_LT_10,LT_10_PCT,NS_LT_10_PCT,PLUSMINUS
2021-22,Pre+Season,NOP,New Orleans Pelicans,4,4,39.2,20.0,35.3,56.7,58.1,-1.3
2021-22,Pre+Season,LAL,Los Angeles Lakers,5,5,38.7,22.0,37.0,59.5,60.7,-1.2
2021-22,Pre+Season,CHA,Charlotte Hornets,4,4,37.9,20.0,35.0,57.1,57.5,-0.4
2021-22,Pre+Season,UTA,Utah Jazz,4,4,37.7,20.0,34.3,58.4,58.8,-0.4
2021-22,Pre+Season,MIA,Miami Heat,4,4,39.4,19.5,33.8,57.8,57.9,-0.1
2021-22,Pre+Season,ATL,Atlanta Hawks,2,2,41.0,21.0,36.5,57.5,57.6,-0.1
2021-22,Pre+Season,MIL,Milwaukee Bucks,4,4,36.5,20.0,33.8,59.3,58.6,0.7
2021-22,Pre+Season,DEN,Denver Nuggets,4,4,39.4,19.0,32.5,58.5,57.4,1.0
2021-22,Pre+Season,OKC,Oklahoma City Thunder,3,3,40.3,22.3,36.7,60.9,59.7,1.2
2021-22,Pre+Season,SAC,Sacramento Kings,4,4,42.1,23.3,36.5,63.7,59.4,4.3
2021-22,Pre+Season,PHX,Phoenix Suns,4,4,32.9,18.0,28.5,63.2,58.6,4.5
2021-22,Pre+Season,BKN,Brooklyn Nets,3,3,42.4,23.7,37.0,64.0,58.7,5.3
2021-22,Pre+Season,LAC,LA Clippers,3,3,41.6,25.3,37.3,67.9,60.5,7.3
2021-22,Pre+Season,HOU,Houston Rockets,3,3,38.7,22.7,35.0,64.8,57.3,7.4
2021-22,Pre+Season,PHI,Philadelphia 76ers,3,3,38.3,20.0,30.7,65.2,56.2,9.0
2021-22,Regular+Season,BOS,Boston Celtics,82,82,40.3,19.2,35.5,54.1,58.1,-3.9
2021-22,Regular+Season,LAC,LA Clippers,82,82,44.2,22.3,40.0,55.7,58.4,-2.8
2021-22,Regular+Season,CLE,Cleveland Cavaliers,82,82,44.0,21.3,38.4,55.6,58.2,-2.6
2021-22,Regular+Season,MEM,Memphis Grizzlies,82,82,43.4,21.6,38.5,56.2,58.6,-2.4
2021-22,Regular+Season,SAS,San Antonio Spurs,82,82,45.3,23.1,41.3,56.1,58.4,-2.4
2021-22,Regular+Season,GSW,Golden State Warriors,82,82,41.4,20.2,35.9,56.4,58.4,-2.0
2021-22,Regular+Season,PHX,Phoenix Suns,82,82,40.9,20.5,36.1,56.7,58.2,-1.4
2021-22,Regular+Season,ORL,Orlando Magic,82,82,39.6,20.1,35.2,57.0,58.3,-1.3
2021-22,Regular+Season,UTA,Utah Jazz,82,82,39.7,20.2,35.4,56.9,58.3,-1.3
2021-22,Regular+Season,WAS,Washington Wizards,82,82,43.6,22.1,38.7,57.1,58.0,-0.9
2021-22,Regular+Season,BKN,Brooklyn Nets,82,82,41.6,21.5,37.5,57.4,58.2,-0.8
2021-22,Regular+Season,OKC,Oklahoma City Thunder,82,82,41.0,21.6,37.1,58.1,58.5,-0.4
2021-22,Regular+Season,TOR,Toronto Raptors,82,82,42.3,20.8,35.7,58.1,58.4,-0.2
2021-22,Regular+Season,NYK,New York Knicks,82,82,38.9,19.5,33.4,58.4,58.2,0.2
2021-22,Regular+Season,DET,Detroit Pistons,82,82,45.5,23.0,39.1,58.8,58.4,0.4
2021-22,Regular+Season,MIL,Milwaukee Bucks,82,82,37.5,19.9,33.9,58.7,58.1,0.6
2021-22,Regular+Season,PHI,Philadelphia 76ers,82,82,41.2,20.9,35.6,58.8,58.1,0.7
2021-22,Regular+Season,DAL,Dallas Mavericks,82,82,42.7,21.5,36.5,59.0,58.2,0.8
2021-22,Regular+Season,CHI,Chicago Bulls,82,82,44.2,22.7,38.6,58.9,58.0,0.9
2021-22,Regular+Season,SAC,Sacramento Kings,82,82,43.7,23.4,39.4,59.3,58.4,0.9
2021-22,Regular+Season,IND,Indiana Pacers,82,82,45.6,23.7,40.1,59.1,58.1,1.0
2021-22,Regular+Season,MIN,Minnesota Timberwolves,82,82,41.3,21.4,36.1,59.4,58.3,1.0
2021-22,Regular+Season,CHA,Charlotte Hornets,82,82,41.1,21.9,36.9,59.5,58.2,1.3
2021-22,Regular+Season,MIA,Miami Heat,82,82,37.6,18.9,31.6,59.8,58.2,1.6
2021-22,Regular+Season,ATL,Atlanta Hawks,82,82,40.7,21.7,36.2,59.9,58.2,1.7
2021-22,Regular+Season,LAL,Los Angeles Lakers,82,82,42.7,23.3,38.7,60.4,58.1,2.2
2021-22,Regular+Season,NOP,New Orleans Pelicans,82,82,38.5,20.1,32.9,60.9,58.4,2.5
2021-22,Regular+Season,POR,Portland Trail Blazers,82,82,41.8,22.0,35.9,61.1,58.5,2.7
2021-22,Regular+Season,DEN,Denver Nuggets,82,82,42.3,22.5,37.0,60.9,58.1,2.8
2021-22,Regular+Season,HOU,Houston Rockets,82,82,44.2,24.7,39.7,62.2,58.3,3.9
2021-22,PlayIn,LAC,LA Clippers,2,2,40.9,17.5,35.0,50.0,57.7,-7.7
2021-22,PlayIn,NOP,New Orleans Pelicans,2,2,40.3,18.0,35.5,50.7,57.6,-6.9
2021-22,PlayIn,MIN,Minnesota Timberwolves,1,1,26.9,11.0,21.0,52.4,58.1,-5.7
2021-22,PlayIn,ATL,Atlanta Hawks,2,2,40.4,18.5,34.5,53.6,58.7,-5.1
2021-22,PlayIn,BKN,Brooklyn Nets,1,1,57.6,29.0,53.0,54.7,59.3,-4.6
2021-22,PlayIn,CHA,Charlotte Hornets,1,1,43.6,25.0,41.0,61.0,57.9,3.1
2021-22,PlayIn,SAS,San Antonio Spurs,1,1,44.4,23.0,36.0,63.9,57.7,6.2
2021-22,PlayIn,CLE,Cleveland Cavaliers,2,2,39.0,22.5,32.0,70.3,58.0,12.3
2023-24,Playoffs,OKC,Oklahoma City Thunder,10,10,41.3,18.3,35.1,52.1,60.3,-8.2
2023-24,Playoffs,DAL,Dallas Mavericks,22,22,39.4,18.2,33.4,54.5,60.2,-5.7
2023-24,Playoffs,PHI,Philadelphia 76ers,6,6,38.4,17.7,34.3,51.5,56.3,-4.8
2023-24,Playoffs,CLE,Cleveland Cavaliers,12,12,38.7,18.3,32.2,56.7,60.4,-3.7
2023-24,Playoffs,MIN,Minnesota Timberwolves,16,16,42.7,19.8,33.9,58.2,60.6,-2.4
2023-24,Playoffs,PHX,Phoenix Suns,4,4,44.7,21.8,38.3,56.9,58.9,-2.0
2023-24,Playoffs,BOS,Boston Celtics,19,19,41.9,20.8,35.7,58.4,60.2,-1.8
2023-24,Playoffs,LAC,LA Clippers,6,6,36.9,18.3,30.3,60.4,61.6,-1.2
2023-24,Playoffs,NYK,New York Knicks,13,13,42.7,21.1,36.1,58.4,59.7,-1.2
2023-24,Playoffs,IND,Indiana Pacers,17,17,41.6,21.2,36.2,58.6,59.7,-1.1
2023-24,Playoffs,LAL,Los Angeles Lakers,5,5,44.7,24.4,40.8,59.8,60.3,-0.5
2023-24,Playoffs,NOP,New Orleans Pelicans,4,4,37.5,18.5,30.8,60.2,60.1,0.1
2023-24,Playoffs,ORL,Orlando Magic,7,7,48.2,23.3,39.1,59.5,59.4,0.1
2023-24,Playoffs,DEN,Denver Nuggets,12,12,46.0,23.0,37.8,60.9,60.6,0.3
2023-24,Playoffs,MIA,Miami Heat,5,5,37.6,19.4,30.6,63.4,62.4,1.0
2023-24,Playoffs,MIL,Milwaukee Bucks,6,6,35.3,21.3,31.8,67.0,61.8,5.2
2024-25,PlayIn,ORL,Orlando Magic,1,1,58.3,24.0,49.0,49.0,58.2,-9.2
2024-25,PlayIn,SAC,Sacramento Kings,1,1,44.6,19.0,37.0,51.4,59.7,-8.3
2024-25,PlayIn,DAL,Dallas Mavericks,2,2,47.3,23.0,44.5,51.7,59.0,-7.3
2024-25,PlayIn,MIA,Miami Heat,2,2,46.5,23.5,43.0,54.7,58.5,-3.9
2024-25,PlayIn,GSW,Golden State Warriors,1,1,53.5,25.0,46.0,54.3,57.7,-3.4
2024-25,PlayIn,MEM,Memphis Grizzlies,2,2,40.1,21.0,34.5,60.9,58.3,2.6
2024-25,PlayIn,CHI,Chicago Bulls,1,1,43.4,23.0,36.0,63.9,57.3,6.6
2024-25,PlayIn,ATL,Atlanta Hawks,2,2,39.0,23.5,36.5,64.4,57.7,6.7
2025-26,Pre+Season,IND,Indiana Pacers,1,1,44.4,22.0,40.0,55.0,61.6,-6.6
2025-26,Pre+Season,BOS,Boston Celtics,1,1,41.0,18.0,34.0,52.9,57.1,-4.2
2025-26,Pre+Season,MIN,Minnesota Timberwolves,1,1,37.2,20.0,35.0,57.1,55.2,1.9
2025-26,Pre+Season,UTA,Utah Jazz,1,1,49.5,32.0,48.0,66.7,59.1,7.6
2025-26,Pre+Season,MEM,Memphis Grizzlies,1,1,31.9,21.0,30.0,70.0,61.8,8.2
2025-26,Pre+Season,HOU,Houston Rockets,1,1,29.2,19.0,26.0,73.1,58.3,14.8
2025-26,Regular+Season,OKC,Oklahoma City Thunder,38,38,37.0,16.8,32.1,52.5,58.5,-6.0
2025-26,Regular+Season,DET,Detroit Pistons,37,37,42.1,19.6,36.0,54.5,58.5,-4.0
2025-26,Regular+Season,BOS,Boston Celtics,36,36,40.9,19.5,35.1,55.5,58.5,-3.1
2025-26,Regular+Season,CLE,Cleveland Cavaliers,38,38,42.8,21.3,38.4,55.4,58.4,-3.0
2025-26,Regular+Season,MIN,Minnesota Timberwolves,37,37,42.4,21.6,38.2,56.4,58.7,-2.3
2025-26,Regular+Season,SAS,San Antonio Spurs,37,37,39.3,19.9,35.1,56.9,58.9,-2.0
2025-26,Regular+Season,MEM,Memphis Grizzlies,37,37,40.2,21.2,36.6,58.0,59.2,-1.2
2025-26,Regular+Season,WAS,Washington Wizards,36,36,45.3,24.9,42.9,58.0,59.2,-1.2
2025-26,Regular+Season,ORL,Orlando Magic,38,38,44.4,22.4,39.1,57.2,58.4,-1.2
2025-26,Regular+Season,DAL,Dallas Mavericks,37,37,46.2,25.1,43.4,57.7,58.5,-0.8
2025-26,Regular+Season,GSW,Golden State Warriors,38,38,44.1,22.8,39.2,58.3,58.9,-0.7
2025-26,Regular+Season,CHA,Charlotte Hornets,37,37,45.1,23.8,40.7,58.5,59.1,-0.6
2025-26,Regular+Season,POR,Portland Trail Blazers,38,38,42.7,22.5,38.2,58.9,59.3,-0.4
2025-26,Regular+Season,PHX,Phoenix Suns,37,37,42.6,21.5,36.5,59.1,59.4,-0.3
2025-26,Regular+Season,LAC,LA Clippers,36,36,40.2,20.8,35.3,58.9,59.2,-0.3
2025-26,Regular+Season,HOU,Houston Rockets,34,34,41.5,21.4,36.1,59.1,59.2,-0.1
2025-26,Regular+Season,MIL,Milwaukee Bucks,37,37,40.9,20.9,35.8,58.5,58.3,0.1
2025-26,Regular+Season,PHI,Philadelphia 76ers,35,35,43.6,23.2,39.2,59.2,59.0,0.1
2025-26,Regular+Season,MIA,Miami Heat,37,37,41.9,23.4,39.1,59.7,59.4,0.3
2025-26,Regular+Season,CHI,Chicago Bulls,37,37,44.6,24.7,41.8,59.1,58.5,0.6
2025-26,Regular+Season,NYK,New York Knicks,37,37,40.6,21.0,35.6,59.1,58.5,0.6
2025-26,Regular+Season,TOR,Toronto Raptors,38,38,41.9,21.7,36.1,60.2,58.9,1.3
2025-26,Regular+Season,BKN,Brooklyn Nets,34,34,47.7,24.8,41.0,60.5,58.9,1.7
2025-26,Regular+Season,ATL,Atlanta Hawks,39,39,44.3,24.3,40.2,60.5,58.8,1.7
2025-26,Regular+Season,IND,Indiana Pacers,37,37,45.6,24.6,40.5,60.9,59.1,1.8
2025-26,Regular+Season,UTA,Utah Jazz,36,36,40.3,23.1,37.1,62.2,59.6,2.6
2025-26,Regular+Season,NOP,New Orleans Pelicans,39,39,42.3,24.6,38.8,63.3,59.6,3.7
2025-26,Regular+Season,SAC,Sacramento Kings,37,37,45.0,25.7,40.4,63.6,59.9,3.7
2025-26,Regular+Season,DEN,Denver Nuggets,37,37,40.1,22.7,36.6,62.1,58.4,3.7
2025-26,Regular+Season,LAL,Los Angeles Lakers,35,35,41.2,22.5,35.8,62.8,58.5,4.3
