SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,OFF_RATING,DEF_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,PACE,PIE
2015-16,Regular+Season,HOU,Houston Rockets,49,28,21,196.0,107.6,98.0,9.6,50.4,1.35,11.9,28.8,70.7,50.2,11.3,48.0,55.8,99.19,57.6
2015-16,Regular+Season,CHI,Chicago Bulls,46,27,19,212.0,98.1,103.5,-5.4,38.0,0.79,9.2,29.1,61.8,47.3,14.5,43.3,52.2,96.91,47.3
2015-16,Regular+Season,MEM,Memphis Grizzlies,44,26,18,170.0,109.5,97.4,12.1,52.5,1.54,12.9,36.6,69.5,51.8,11.4,45.4,53.5,98.99,56.8
2015-16,Regular+Season,BOS,Boston Celtics,46,25,21,158.0,111.9,107.8,4.1,57.4,1.90,15.4,29.4,68.5,49.2,10.8,49.8,57.4,109.77,50.6
2015-16,Regular+Season,DAL,Dallas Mavericks,49,25,24,226.0,113.5,99.6,14.0,56.0,2.69,16.1,20.5,67.2,45.5,7.8,52.8,58.8,96.48,59.2
2015-16,Regular+Season,DEN,Denver Nuggets,52,25,27,194.0,94.7,97.3,-2.6,46.7,1.19,11.1,27.7,72.4,50.2,11.8,40.9,49.0,99.70,46.5
2015-16,Regular+Season,DET,Detroit Pistons,42,25,17,172.0,105.4,96.6,8.8,35.0,1.05,8.9,33.5,66.5,49.9,10.8,47.0,53.6,100.51,59.0
2015-16,Regular+Season,LAC,LA Clippers,42,25,17,166.0,116.2,107.8,8.4,55.1,1.86,14.3,25.6,60.5,44.8,10.0,52.7,60.5,102.64,56.9
2015-16,Regular+Season,MIA,Miami Heat,43,25,18,178.0,112.8,99.2,13.6,54.4,2.39,14.9,31.7,72.4,51.8,8.4,49.2,55.7,97.98,63.0
2015-16,Regular+Season,ATL,Atlanta Hawks,44,24,20,166.0,107.1,102.6,4.4,58.2,2.15,14.9,28.1,65.9,46.7,9.3,45.3,53.0,100.95,54.1
2015-16,Regular+Season,POR,Portland Trail Blazers,42,23,19,139.0,107.9,111.2,-3.3,44.8,1.96,11.6,31.3,69.4,49.4,7.6,45.7,54.4,107.23,49.9
2015-16,Regular+Season,CHA,Charlotte Hornets,42,22,20,155.0,110.6,98.7,11.8,45.9,1.55,11.6,38.2,68.3,53.3,10.0,45.4,53.7,99.90,60.4
2015-16,Regular+Season,OKC,Oklahoma City Thunder,44,22,22,172.0,105.4,111.8,-6.4,40.5,1.18,10.8,36.3,66.1,50.9,12.1,44.5,52.1,104.37,46.3
2015-16,Regular+Season,SAS,San Antonio Spurs,30,21,9,106.0,111.2,96.5,14.6,56.3,1.88,15.6,38.4,74.3,55.8,11.6,49.2,55.1,96.40,64.0
2015-16,Regular+Season,MIL,Milwaukee Bucks,40,20,20,161.0,100.0,100.3,-0.3,54.8,1.10,13.2,27.5,72.5,51.2,15.5,48.3,55.9,101.08,52.2
2015-16,Regular+Season,MIN,Minnesota Timberwolves,50,20,30,207.0,101.9,104.8,-3.0,58.0,1.25,13.1,36.3,69.5,53.3,14.1,41.8,52.0,103.23,47.8
2015-16,Regular+Season,CLE,Cleveland Cavaliers,33,19,14,142.0,106.1,100.7,5.5,46.7,1.26,11.3,32.3,70.6,51.3,11.6,44.6,53.2,99.98,51.0
2015-16,Regular+Season,ORL,Orlando Magic,44,19,25,198.0,95.5,100.0,-4.5,55.6,1.29,13.5,31.1,70.0,50.4,13.9,42.5,48.6,100.38,46.6
2015-16,Regular+Season,NOP,New Orleans Pelicans,46,18,28,172.0,107.0,113.4,-6.5,60.2,1.26,14.7,26.3,69.2,48.8,15.0,49.8,59.4,102.01,47.6
2015-16,Regular+Season,SAC,Sacramento Kings,43,18,25,150.0,96.7,108.0,-11.3,58.7,1.20,13.8,31.8,66.5,48.6,15.5,44.0,50.5,107.15,40.9
2015-16,Regular+Season,WAS,Washington Wizards,34,16,18,130.0,103.0,104.1,-1.1,52.6,1.35,12.9,30.5,71.1,50.0,12.4,44.8,52.6,109.16,47.6
2015-16,Regular+Season,BKN,Brooklyn Nets,41,15,26,141.0,100.0,107.3,-7.3,51.1,1.12,12.5,32.5,73.4,52.4,14.6,43.6,51.8,101.31,42.3
2015-16,Regular+Season,NYK,New York Knicks,41,15,26,165.0,104.1,113.8,-9.7,48.6,1.15,12.2,31.6,70.4,51.3,13.8,44.6,53.7,100.24,44.8
2015-16,Regular+Season,UTA,Utah Jazz,42,14,28,204.0,102.9,120.0,-17.0,42.3,1.13,11.2,35.9,64.0,49.2,12.9,46.3,51.9,99.29,35.1
2015-16,Regular+Season,PHX,Phoenix Suns,39,12,27,126.0,92.1,119.9,-27.7,44.3,0.81,9.9,35.3,66.9,49.3,16.1,39.8,47.3,105.12,25.9
2015-16,Regular+Season,LAL,Los Angeles Lakers,33,11,22,115.0,111.7,117.3,-5.6,36.9,1.29,10.0,34.4,68.1,50.2,10.0,48.0,54.9,102.05,41.8
2015-16,Regular+Season,PHI,Philadelphia 76ers,35,5,30,133.0,82.1,119.2,-37.1,55.4,0.98,12.1,27.1,67.4,45.6,16.0,39.4,43.8,98.78,15.3
2015-16,Playoffs,CLE,Cleveland Cavaliers,8,7,1,29.0,110.2,80.0,30.2,52.6,1.25,13.3,47.1,81.5,62.3,16.3,44.3,47.0,76.58,55.5
2015-16,Playoffs,GSW,Golden State Warriors,9,6,3,36.0,116.2,81.4,34.8,54.8,2.43,16.8,31.6,75.6,54.4,9.5,54.3,57.9,97.12,76.5
2015-16,Playoffs,TOR,Toronto Raptors,9,6,3,46.0,103.4,95.2,8.1,25.9,0.70,6.3,33.3,78.0,53.3,11.2,43.4,51.9,91.12,53.6
2015-16,Playoffs,OKC,Oklahoma City Thunder,10,5,5,32.0,90.3,113.6,-23.3,38.9,0.47,8.4,42.4,65.7,54.4,24.2,38.0,47.3,97.10,31.9
2015-16,Playoffs,MIA,Miami Heat,8,3,5,44.0,101.2,97.7,3.5,18.5,0.50,5.2,24.4,68.6,48.9,12.0,45.4,53.1,93.23,55.6
2015-16,Playoffs,BOS,Boston Celtics,3,2,1,18.0,87.5,73.7,13.8,45.5,0.83,10.4,-,78.3,-,15.0,45.0,49.6,106.01,55.8
2015-16,Playoffs,CHA,Charlotte Hornets,3,2,1,11.0,100.0,100.0,0.0,57.1,1.33,14.3,-,63.6,-,14.3,47.2,53.1,88.17,52.5
2015-16,Playoffs,POR,Portland Trail Blazers,5,2,3,25.0,100.0,121.2,-21.2,46.7,1.00,10.6,29.6,61.5,45.3,13.7,42.7,49.9,99.18,34.9
2015-16,Playoffs,SAS,San Antonio Spurs,5,2,3,18.0,112.8,111.8,1.1,27.3,3.00,6.3,36.4,-,-,2.6,37.5,51.7,97.33,49.5
2015-16,Playoffs,ATL,Atlanta Hawks,6,1,5,26.0,76.9,100.0,-23.1,57.1,1.14,12.3,17.2,-,-,13.5,36.9,42.3,97.36,40.9
2015-16,Playoffs,DAL,Dallas Mavericks,2,1,1,6.0,100.0,72.7,27.3,20.0,1.00,7.7,-,-,-,10.0,50.0,46.0,90.00,72.7
2015-16,Playoffs,HOU,Houston Rockets,1,1,0,4.0,90.0,100.0,-10.0,66.7,2.00,16.7,-,-,-,10.0,58.3,58.0,112.70,56.5
2015-16,Playoffs,IND,Indiana Pacers,3,1,2,8.0,84.6,114.3,-29.7,75.0,0.75,16.7,-,-,-,30.8,56.3,56.4,81.85,26.7
2015-16,Playoffs,DET,Detroit Pistons,3,0,3,11.0,78.6,129.4,-50.8,66.7,2.00,12.5,14.3,-,-,7.1,35.0,45.1,69.64,40.0
2015-16,Playoffs,LAC,LA Clippers,2,0,2,8.0,80.0,115.8,-35.8,75.0,3.00,14.3,36.4,66.7,50.0,6.7,30.8,35.4,97.82,0.0
2015-16,Playoffs,MEM,Memphis Grizzlies,1,0,1,2.0,100.0,133.3,-33.3,0.0,0.00,0.0,-,-,-,0.0,25.0,25.0,64.29,40.0
2016-17,Pre+Season,PHX,Phoenix Suns,6,4,2,13.0,84.8,100.0,-15.2,37.5,1.00,7.5,-,-,-,9.1,35.4,47.8,116.28,39.2
2016-17,Pre+Season,POR,Portland Trail Blazers,5,4,1,24.0,102.0,62.5,39.5,52.6,1.67,15.9,13.6,80.0,54.4,12.0,56.6,58.3,99.30,97.9
2016-17,Pre+Season,GSW,Golden State Warriors,4,3,1,14.0,137.5,102.9,34.6,40.0,3.00,14.0,31.3,52.9,42.4,6.3,66.7,66.3,115.78,67.3
