SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Joe Johnson,2207,81,31,50,33.4,35.8,39.0,3.9,0.5,7.6,8.7,4.4,11.0,12.4
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Joe Young,1626202,41,19,22,9.4,15.6,19.2,1.6,0.1,3.1,3.6,1.9,10.2,12.2
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Joel Anthony,201202,19,12,7,5.0,1.9,1.6,0.1,0.0,0.1,0.1,0.1,2.7,2.7
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Joffrey Lauvergne,203530,59,24,35,17.6,22.5,16.9,0.9,0.1,2.0,2.6,1.2,4.2,5.3
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,John Henson,203089,57,22,35,16.8,15.1,15.4,0.9,0.1,2.0,2.2,1.1,6.3,7.6
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,John Jenkins,203098,43,18,25,11.2,9.7,12.1,0.8,0.1,2.0,2.0,1.0,8.4,10.3
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,John Wall,202322,77,37,40,36.2,71.3,83.4,10.2,0.9,20.8,26.1,12.4,14.4,17.3
2015-16,Regular+Season,MIL,1610612749,Milwaukee Bucks,Johnny O'Bryant III,203948,66,27,39,13.0,15.2,9.1,0.5,0.0,1.1,1.1,0.6,3.2,3.8
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Jon Leuer,202720,67,22,45,18.7,26.4,19.3,1.1,0.1,2.3,2.9,1.3,4.1,4.8
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Jonas Jerebko,201973,77,46,31,15.1,21.0,14.5,0.8,0.1,1.8,2.0,1.0,3.8,4.9
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Jonas Valančiūnas,202685,59,39,20,25.9,31.6,21.4,0.7,0.1,1.4,1.9,0.9,2.1,2.7
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Jonathon Simmons,203613,55,47,8,14.8,15.7,18.1,1.1,0.2,2.1,2.8,1.3,6.7,8.4
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jordan Adams,203919,2,0,2,7.3,6.5,8.0,1.5,0.0,1.5,3.0,1.5,23.1,23.1
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Jordan Clarkson,203903,79,17,62,32.3,36.7,46.6,2.4,0.2,5.2,6.4,3.0,6.6,8.2
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Jordan Farmar,200770,12,2,10,24.3,46.9,51.6,3.1,0.3,8.5,7.4,3.8,6.6,8.0
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jordan Hamilton,202706,11,4,7,27.6,24.5,24.9,2.3,0.4,4.5,6.1,3.0,9.3,12.2
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,Jordan Hill,201941,73,40,33,20.7,28.5,22.6,1.2,0.1,3.0,3.1,1.5,4.2,5.2
2015-16,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Jordan McRae,203895,22,10,12,8.9,12.1,15.8,1.1,0.3,2.4,2.7,1.4,9.4,11.6
2015-16,Regular+Season,BOS,1610612738,Boston Celtics,Jordan Mickey,1626175,16,9,7,3.6,4.7,3.4,0.1,0.0,0.3,0.2,0.1,1.3,1.3
2015-16,Regular+Season,CHA,1610612766,Charlotte Hornets,Jorge Gutierrez,203268,12,9,3,5.3,8.3,9.6,1.4,0.1,2.3,3.7,1.6,17.0,19.0
2015-16,Regular+Season,NYK,1610612752,New York Knicks,Jose Calderon,101181,72,29,43,28.1,58.4,60.1,4.1,0.5,9.5,10.3,5.0,7.1,8.6
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Josh Huestis,203962,5,2,3,11.0,4.8,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Josh McRoberts,201177,42,27,15,14.2,23.7,19.1,1.9,0.2,3.7,4.7,2.3,8.1,9.8
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Josh Richardson,1626196,52,29,23,21.3,27.9,28.0,1.4,0.2,3.3,3.6,1.8,5.0,6.3
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,Josh Smith,2746,55,31,24,16.0,22.1,20.1,1.6,0.1,3.3,4.0,1.9,7.4,8.6
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Jrue Holiday,201950,65,27,38,28.2,46.2,57.6,6.0,0.5,12.1,15.3,7.4,13.0,16.0
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Julius Randle,203944,81,17,64,28.2,41.2,26.4,1.8,0.1,4.1,4.7,2.1,4.3,5.0
2015-16,Regular+Season,DAL,1610612742,Dallas Mavericks,Justin Anderson,1626147,55,28,27,11.8,12.3,10.7,0.5,0.1,1.2,1.3,0.6,4.3,5.2
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Justin Harper,202712,5,4,1,7.0,8.4,7.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Justin Holiday,203200,53,28,25,14.6,11.3,13.3,1.1,0.1,1.8,2.7,1.3,9.3,11.6
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Justise Winslow,1626159,78,46,32,28.6,31.3,23.1,1.5,0.3,3.5,3.9,2.1,4.8,6.7
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Jusuf Nurkić,203994,32,14,18,17.1,24.0,18.2,1.3,0.0,2.6,3.4,1.6,5.2,6.6
2015-16,Regular+Season,HOU,1610612745,Houston Rockets,KJ McDaniels,203909,37,17,20,6.4,4.1,4.8,0.3,0.0,0.5,0.6,0.4,6.6,8.6
2015-16,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Karl-Anthony Towns,1626157,82,29,53,32.0,34.8,30.8,2.0,0.2,4.4,5.3,2.6,5.6,7.4
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Kawhi Leonard,202695,72,60,12,33.0,31.7,37.5,2.6,0.6,4.9,6.3,3.3,8.2,10.5
