SEASON,SEASON_TYPE,TEAM_ABB,GP,W,L,MIN,PASSES_MADE,PASSES_RECEIVED,AST,SECONDARY_AST,POTENTIAL_AST,AST_POINTS_CREATED,AST_ADJ,AST_TO_PASS_PERC,AST_TO_PASS_PERC_ADJ
2016-17,regular-season,-,32,49,241.2,296.8,296.8,20.7,2.5,44.4,53.2,24.9,7.0,8.4,0
2016-17,regular-season,-,39,42,240.9,296.3,296.3,25.2,2.9,47.5,63.4,30.2,8.5,10.2,0
2016-17,regular-season,-,37,45,241.5,278.5,278.5,21.1,2.1,43.0,52.3,25.4,7.6,9.1,0
2016-17,regular-season,-,67,15,241.2,317.7,317.7,30.4,4.6,56.3,74.8,37.5,9.6,11.8,0
2016-17,regular-season,-,55,27,241.2,267.4,267.4,25.2,2.5,50.7,65.0,29.8,9.4,11.2,0
2016-17,regular-season,-,42,39,242.2,286.4,286.4,22.4,2.9,47.4,55.9,27.3,7.8,9.5,0
2016-17,regular-season,-,51,31,240.9,301.7,301.7,22.5,2.9,43.2,56.8,27.8,7.5,9.2,0
2016-17,regular-season,-,26,56,240.3,288.4,288.4,20.9,2.2,42.7,52.2,25.1,7.3,8.7,0
2016-17,regular-season,-,43,39,242.7,303.3,303.2,21.3,3.1,46.4,53.9,26.5,7.0,8.7,0
2016-17,regular-season,-,41,41,241.2,283.4,283.4,21.2,2.8,45.9,54.2,25.9,7.5,9.1,0
2016-17,regular-season,-,42,40,241.2,289.0,288.9,24.2,3.1,47.5,61.0,29.7,8.4,10.3,0
2016-17,regular-season,-,31,51,241.5,285.4,285.3,23.7,2.7,45.4,58.2,28.7,8.3,10.0,0
2016-17,regular-season,-,34,48,242.7,298.4,298.4,22.8,2.4,46.2,57.1,27.2,7.6,9.1,0
2016-17,regular-season,-,31,51,242.1,326.6,326.6,21.8,2.9,47.2,54.4,26.7,6.7,8.2,0
2016-17,regular-season,-,47,35,241.5,255.3,255.3,21.0,2.1,45.7,52.1,25.5,8.2,10.0,0
2016-17,regular-season,-,29,53,241.5,295.9,295.9,22.2,3.0,49.3,55.4,27.3,7.5,9.2,0
2016-17,regular-season,-,28,54,241.8,352.4,352.4,23.8,2.7,49.4,60.5,28.7,6.7,8.1,0
2016-17,regular-season,-,23,57,241.9,297.7,297.7,19.6,2.1,43.4,49.5,24.3,6.6,8.2,0
2016-17,regular-season,-,41,41,243.1,277.4,277.4,21.1,2.5,44.1,54.1,25.7,7.6,9.3,0
2016-17,regular-season,-,32,50,242.4,317.6,317.6,22.5,2.6,46.2,56.2,27.2,7.1,8.6,0
2016-17,regular-season,-,61,20,241.5,316.3,316.3,23.9,3.3,45.2,59.2,29.0,7.6,9.2,0
2016-17,regular-season,-,50,31,241.2,273.4,273.4,18.5,2.6,39.2,46.9,22.8,6.8,8.3,0
2016-17,regular-season,-,51,31,240.9,314.9,314.9,20.1,2.7,42.6,52.3,25.3,6.4,8.0,0
2016-17,regular-season,-,49,33,242.1,265.4,265.4,23.9,3.0,46.4,59.4,28.9,9.0,10.9,0
2016-17,playoffs,-,2,4,240.0,298.2,298.2,22.3,2.5,40.5,54.8,27.2,7.5,9.1,0
2016-17,playoffs,-,9,9,241.4,306.8,306.8,26.9,4.3,50.6,68.9,33.4,8.8,10.9,0
2016-17,playoffs,-,2,4,240.0,264.3,264.3,20.0,2.7,40.8,49.2,24.3,7.6,9.2,0
2016-17,playoffs,-,13,5,240.0,259.5,259.5,22.1,3.3,40.5,59.1,28.1,8.5,10.8,0
2016-17,playoffs,-,16,1,240.0,297.6,297.6,28.2,4.6,51.1,71.2,35.7,9.5,12.0,0
2016-17,playoffs,-,6,5,242.3,242.5,242.5,19.5,1.5,38.9,50.9,22.8,8.1,9.4,0
2016-17,playoffs,-,0,4,240.0,252.5,252.5,22.5,3.3,45.3,56.0,28.5,8.9,11.3,0
2016-17,playoffs,-,3,4,240.0,245.9,245.9,18.4,1.3,33.6,45.4,22.1,7.5,9.0,0
2016-17,playoffs,-,2,4,244.2,262.0,262.0,18.8,2.3,38.8,49.2,23.0,7.2,8.8,0
2016-17,playoffs,-,2,4,240.0,295.7,295.7,21.2,4.5,40.2,52.7,26.5,7.2,9.0,0
2016-17,playoffs,-,1,4,240.0,228.0,228.0,19.8,2.4,41.2,49.2,24.6,8.7,10.8,0
2016-17,playoffs,-,0,4,240.0,243.8,243.8,15.8,1.3,39.3,40.0,17.8,6.5,7.3,0
2016-17,playoffs,-,8,8,243.1,286.2,286.2,21.3,3.3,41.9,53.4,26.6,7.4,9.3,0
2016-17,playoffs,-,4,6,240.0,269.7,269.7,19.6,3.8,40.7,49.9,25.6,7.3,9.5,0
2016-17,playoffs,-,4,7,240.0,287.8,287.8,19.7,3.3,39.4,50.6,25.4,6.9,8.8,0
2016-17,playoffs,-,7,6,241.9,250.7,250.7,22.8,2.1,46.2,56.5,27.2,9.1,10.9,0
2017-18,playoffs,-,11,8,242.6,295.4,295.4,21.2,2.6,38.1,53.8,25.0,7.2,8.5,0
2017-18,playoffs,-,12,10,242.3,249.0,249.0,19.2,2.5,37.8,48.6,22.7,7.7,9.1,0
2017-18,playoffs,-,16,5,241.2,297.4,297.3,26.0,3.7,47.7,62.2,30.7,8.8,10.3,0
2017-18,playoffs,-,11,6,240.0,223.9,223.9,18.8,1.9,36.4,47.6,21.8,8.4,9.7,0
2017-18,playoffs,-,3,4,240.0,254.6,254.6,21.1,2.1,37.3,51.6,23.9,8.3,9.4,0
2017-18,playoffs,-,1,4,240.0,264.4,264.4,23.8,2.6,44.6,58.0,26.6,9.0,10.1,0
2017-18,playoffs,-,3,4,243.6,259.0,259.0,22.0,2.7,36.3,55.1,25.9,8.5,10.0,0
2017-18,playoffs,-,1,4,240.0,252.0,252.0,22.4,2.0,36.8,55.0,25.0,8.9,9.9,0
2017-18,playoffs,-,5,4,240.0,281.9,281.9,26.9,2.8,45.4,64.8,30.9,9.5,11.0,0
2017-18,playoffs,-,2,4,240.0,224.7,224.7,16.3,2.8,32.3,40.3,19.8,7.3,8.8,0
2017-18,playoffs,-,5,5,242.5,322.0,322.0,25.8,3.2,52.6,63.4,30.0,8.0,9.3,0
2017-18,playoffs,-,0,4,240.0,264.8,264.8,19.0,1.3,43.0,48.0,21.3,7.2,8.0,0
2017-18,playoffs,-,1,4,240.0,300.8,300.8,19.0,3.6,38.2,47.6,23.8,6.3,7.9,0
2017-18,playoffs,-,4,6,242.5,270.9,270.9,21.8,2.9,40.6,55.9,26.5,8.0,9.8,0
2017-18,playoffs,-,5,6,240.0,266.6,266.6,20.3,2.7,38.5,51.4,24.7,7.6,9.3,0
2017-18,playoffs,-,2,4,240.0,252.3,252.3,23.3,2.2,42.0,54.8,26.2,9.2,10.4,0
2018-19,regular-season,-,29,53,242.1,300.0,300.0,25.8,2.8,48.4,64.7,29.9,8.6,10.0,0
2018-19,regular-season,-,49,33,241.2,296.4,296.4,26.3,3.7,47.6,65.2,30.8,8.9,10.4,0
2018-19,regular-season,-,42,40,243.7,309.0,309.0,23.8,2.7,45.1,59.9,27.8,7.7,9.0,0
2018-19,regular-season,-,39,43,241.8,290.0,290.0,23.2,2.9,42.3,58.3,27.3,8.0,9.4,0
2018-19,regular-season,-,22,59,242.8,284.4,284.3,22.0,1.8,39.0,53.1,24.4,7.7,8.6,0
2018-19,regular-season,-,19,63,240.9,284.3,281.0,20.7,2.3,38.8,51.1,23.7,7.3,8.3,0
2018-19,regular-season,-,33,49,241.2,313.6,313.6,23.4,3.1,44.2,59.0,27.5,7.5,8.8,0
2018-19,regular-season,-,54,28,240.6,312.4,309.1,27.4,3.7,47.2,66.5,32.0,8.8,10.2,0
2018-19,regular-season,-,41,41,242.1,307.1,307.1,22.5,3.1,43.8,56.5,26.5,7.3,8.6,0
2018-19,regular-season,-,57,25,241.5,320.2,316.5,29.4,3.9,52.6,72.2,34.6,9.2,10.8,0
2018-19,regular-season,-,53,29,241.8,246.0,246.0,21.2,2.5,41.2,54.1,24.6,8.6,10.0,0
2018-19,regular-season,-,48,34,240.3,307.3,307.3,26.0,3.3,45.0,62.2,30.1,8.4,9.8,0
2018-19,regular-season,-,48,34,241.8,303.3,303.3,24.0,2.7,40.9,59.1,28.0,7.9,9.2,0
2018-19,regular-season,-,37,45,241.2,277.7,277.7,25.6,3.0,47.2,61.4,29.6,9.2,10.7,0
2018-19,regular-season,-,33,49,242.4,329.8,329.8,23.9,3.7,45.1,58.8,29.0,7.3,8.8,0
