SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,Less Than 5 ft. FGM,Less Than 5 ft. FGA,Less Than 5 ft. FG PCT,5-9 ft. FGM,5-9 ft. FGA,5-9 ft. FG PCT,10-14 ft. FGM,10-14 ft. FGA,10-14 ft. FG PCT,15-19 ft. FGM,15-19 ft. FGA,15-19 ft. FG PCT,20-24 ft. FGM,20-24 ft. FGA,20-24 ft. FG PCT,25-29 ft. FGM,25-29 ft. FGA,25-29 ft. FG PCT
2024-25,Pre+Season,BOS,Boston Celtics,16.8,24.8,67.7,3.0,7.8,38.5,2.2,5.4,40.7,1.2,3.6,33.3,7.0,19.0,36.8,12.4,33.6,36.9
2024-25,Pre+Season,BKN,Brooklyn Nets,20.5,32.0,64.1,1.8,6.3,28.0,2.0,4.3,47.1,1.5,3.5,42.9,6.0,17.5,34.3,7.3,23.5,30.9
2024-25,Pre+Season,CHA,Charlotte Hornets,15.8,27.2,58.1,3.2,8.0,40.0,2.4,5.0,48.0,1.4,3.6,38.9,7.4,17.6,42.0,8.8,26.4,33.3
2024-25,Pre+Season,CHI,Chicago Bulls,20.0,34.2,58.5,3.2,9.6,33.3,2.4,4.0,60.0,1.6,4.4,36.4,7.2,19.4,37.1,9.2,28.0,32.9
2024-25,Pre+Season,CLE,Cleveland Cavaliers,22.0,34.8,63.3,3.0,9.3,32.4,2.5,4.8,52.6,1.3,3.8,33.3,4.5,14.0,32.1,7.5,26.0,28.8
2024-25,Pre+Season,DAL,Dallas Mavericks,18.5,26.8,69.2,5.5,13.0,42.3,2.8,7.5,36.7,0.8,4.5,16.7,5.8,17.3,33.3,5.5,16.0,34.4
2024-25,Pre+Season,DEN,Denver Nuggets,17.4,29.0,60.0,5.0,9.6,52.1,2.8,5.2,53.8,1.4,4.6,30.4,5.0,15.0,33.3,6.4,19.2,33.3
2024-25,Pre+Season,DET,Detroit Pistons,18.8,30.4,61.8,5.6,11.2,50.0,2.0,6.0,33.3,2.4,5.2,46.2,4.8,11.4,42.1,6.4,23.4,27.4
2024-25,Pre+Season,GSW,Golden State Warriors,12.8,20.8,61.6,7.3,14.3,51.2,2.2,5.2,41.9,1.5,2.5,60.0,6.8,16.3,41.8,9.7,26.3,36.7
2024-25,Pre+Season,HOU,Houston Rockets,23.0,34.3,67.2,3.5,7.0,50.0,1.8,5.5,31.8,2.3,5.8,39.1,5.3,13.5,38.9,7.8,26.5,29.2
2024-25,Pre+Season,IND,Indiana Pacers,21.5,29.8,72.3,6.5,12.3,53.1,3.3,6.8,48.1,1.3,4.5,27.8,4.8,13.3,35.8,8.5,23.5,36.2
2024-25,Pre+Season,LAC,LA Clippers,19.8,30.8,64.3,5.2,9.8,53.1,2.4,5.4,44.4,2.0,4.8,41.7,2.4,9.4,25.5,6.8,21.0,32.4
2024-25,Pre+Season,LAL,Los Angeles Lakers,16.5,27.5,60.0,4.0,9.8,40.7,4.0,9.0,44.4,2.0,6.2,32.4,4.3,12.0,36.1,7.5,27.3,27.4
