SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT
2015-16,Regular+Season,POR,Portland Trail Blazers,42,23,19,3.3,1.1,0.8,0.7,2.5,0.6,1.3,0.6,2.2
2015-16,Regular+Season,CHA,Charlotte Hornets,42,22,20,3.7,1.2,1.2,0.5,2.2,0.6,1.0,0.9,3.0
2015-16,Regular+Season,OKC,Oklahoma City Thunder,44,22,22,3.9,0.9,1.4,1.0,3.0,1.4,1.4,0.6,2.8
2015-16,Regular+Season,SAS,San Antonio Spurs,30,21,9,3.5,1.1,1.2,0.2,2.4,0.8,1.3,0.4,1.9
2015-16,Regular+Season,MIL,Milwaukee Bucks,40,20,20,4.0,1.6,1.1,0.6,3.7,1.4,0.9,0.9,2.9
2015-16,Regular+Season,MIN,Minnesota Timberwolves,50,20,30,4.1,1.2,1.7,0.7,3.0,1.4,1.1,0.6,3.4
2015-16,Regular+Season,CLE,Cleveland Cavaliers,33,19,14,4.3,1.4,1.4,1.0,3.7,1.2,1.3,0.8,3.2
2015-16,Regular+Season,ORL,Orlando Magic,44,19,25,4.5,0.9,1.0,0.7,3.7,1.6,1.3,0.8,3.0
2015-16,Regular+Season,NOP,New Orleans Pelicans,46,18,28,3.7,1.0,0.8,0.7,2.7,1.3,1.1,0.6,2.7
2015-16,Regular+Season,SAC,Sacramento Kings,43,18,25,3.5,0.9,1.1,0.7,2.8,1.4,1.1,0.8,2.4
2015-16,Regular+Season,WAS,Washington Wizards,34,16,18,3.8,1.1,1.1,1.2,2.5,1.2,0.9,1.2,2.9
2015-16,Regular+Season,BKN,Brooklyn Nets,41,15,26,3.4,1.0,1.0,0.7,2.8,1.5,0.7,0.6,3.0
2015-16,Regular+Season,NYK,New York Knicks,41,15,26,4.0,0.6,1.2,0.4,2.7,1.3,1.1,0.9,3.4
2015-16,Regular+Season,UTA,Utah Jazz,42,14,28,4.9,1.1,1.6,0.7,4.0,1.5,1.6,0.9,4.2
2015-16,Regular+Season,PHX,Phoenix Suns,39,12,27,3.2,0.9,1.2,0.5,2.2,1.9,0.9,0.8,2.7
2015-16,Regular+Season,LAL,Los Angeles Lakers,33,11,22,3.5,1.2,1.1,0.5,2.4,1.2,1.2,0.8,2.8
2015-16,Regular+Season,PHI,Philadelphia 76ers,35,5,30,3.8,0.9,0.9,0.7,2.5,1.8,1.1,1.3,3.1
2015-16,Playoffs,CLE,Cleveland Cavaliers,8,7,1,3.7,1.0,1.0,0.3,2.0,0.8,0.5,0.4,2.8
2015-16,Playoffs,GSW,Golden State Warriors,9,6,3,4.0,1.9,0.3,2.0,3.6,1.3,1.3,0.8,1.8
2015-16,Playoffs,TOR,Toronto Raptors,9,6,3,5.1,1.6,1.3,0.1,3.3,1.0,1.0,0.9,3.8
2015-16,Playoffs,OKC,Oklahoma City Thunder,10,5,5,3.2,0.4,1.5,1.0,2.6,2.0,0.5,1.3,3.0
2015-16,Playoffs,MIA,Miami Heat,8,3,5,5.5,1.8,1.0,0.8,4.0,1.4,1.6,0.3,3.5
2015-16,Playoffs,BOS,Boston Celtics,3,2,1,5.9,1.7,1.7,1.0,2.7,2.7,1.7,2.7,3.3
2015-16,Playoffs,CHA,Charlotte Hornets,3,2,1,3.7,1.0,1.7,0.7,1.3,1.7,0.7,0.0,1.3
2015-16,Playoffs,POR,Portland Trail Blazers,5,2,3,5.0,1.4,2.8,1.2,2.8,1.6,0.8,2.6,3.2
2015-16,Playoffs,SAS,San Antonio Spurs,5,2,3,3.6,1.8,0.8,1.2,2.4,0.4,1.8,1.6,4.4
2015-16,Playoffs,ATL,Atlanta Hawks,6,1,5,4.4,1.7,0.8,1.3,3.7,1.2,1.5,0.5,2.7
2015-16,Playoffs,DAL,Dallas Mavericks,2,1,1,2.8,1.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0
2015-16,Playoffs,HOU,Houston Rockets,1,1,0,3.8,3.0,0.0,0.0,4.0,2.0,0.0,2.0,4.0
2015-16,Playoffs,IND,Indiana Pacers,3,1,2,2.6,0.0,1.0,0.7,1.3,1.7,0.0,0.0,0.7
2015-16,Playoffs,DET,Detroit Pistons,3,0,3,3.6,1.0,0.0,0.7,1.3,1.0,1.0,0.7,2.0
2015-16,Playoffs,LAC,LA Clippers,2,0,2,4.2,1.0,1.0,0.0,1.0,0.5,3.5,0.5,2.0
2015-16,Playoffs,MEM,Memphis Grizzlies,1,0,1,1.9,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0
2016-17,Regular+Season,BOS,Boston Celtics,49,32,17,3.8,1.2,1.3,0.8,3.5,1.1,1.1,0.7,2.9
2016-17,Regular+Season,WAS,Washington Wizards,55,32,23,3.8,1.2,1.5,0.9,3.4,0.7,1.2,0.4,2.4
2016-17,Regular+Season,SAS,San Antonio Spurs,43,29,14,3.8,1.9,1.2,1.2,2.4,1.1,0.9,0.8,2.5
2016-17,Regular+Season,UTA,Utah Jazz,45,27,18,3.2,1.1,0.6,0.7,2.5,1.0,0.8,0.5,2.8
2016-17,Regular+Season,ATL,Atlanta Hawks,44,26,18,4.0,1.1,1.0,1.0,3.0,1.1,1.0,0.7,2.6
2016-17,Regular+Season,OKC,Oklahoma City Thunder,42,26,16,3.7,1.5,1.4,1.5,3.2,0.8,1.0,0.6,2.7
2016-17,Regular+Season,TOR,Toronto Raptors,49,25,24,3.6,1.1,1.1,0.6,3.1,0.7,1.2,0.6,2.4
2016-17,Regular+Season,MEM,Memphis Grizzlies,46,24,22,4.1,1.2,1.4,0.6,3.0,1.0,0.7,0.7,2.2
2016-17,Regular+Season,SAC,Sacramento Kings,49,24,25,4.3,1.1,0.8,0.8,3.5,1.6,1.2,0.8,2.9
2016-17,Regular+Season,CHI,Chicago Bulls,42,23,19,3.8,1.4,1.5,0.6,2.4,0.5,0.8,0.7,3.2
2016-17,Regular+Season,CLE,Cleveland Cavaliers,36,23,13,3.9,0.9,0.9,0.4,2.9,1.1,0.9,0.7,3.2
2016-17,Regular+Season,HOU,Houston Rockets,41,23,18,3.3,0.9,0.6,0.8,2.1,1.3,1.3,0.8,2.8
