SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,REB,REB_CONTEST,REB_CONTEST_PCT,REB_CHANCES,REB_CHANCE_PCT,REB_CHANCE_DEFER,REB_CHANCE_PCT_ADJ,AVG_REB_DIST
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Bobi Klintman,1641752,4,2,2,8.5,1.8,0.5,28.6,2.8,63.6,0.0,63.6,8.0
2024-25,Regular+Season,LAC,1610612746,Los Angeles Clippers,Bogdan Bogdanović,203992,48,29,19,25.3,3.3,0.9,25.8,6.0,55.2,0.7,62.4,7.3
2024-25,Regular+Season,PHX,1610612756,Phoenix Suns,Bol Bol,1629626,31,10,21,13.3,3.4,0.9,26.0,4.9,68.0,0.2,70.3,6.4
2024-25,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Bones Hyland,1630538,16,7,9,10.9,1.6,0.1,8.0,2.2,71.4,0.1,75.8,12.4
2024-25,Regular+Season,PHX,1610612756,Phoenix Suns,Bradley Beal,203078,49,22,27,32.2,3.6,1.0,26.6,6.5,55.5,0.3,58.4,8.3
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Branden Carlson,1642382,18,16,2,12.0,3.0,1.5,50.0,6.3,47.4,0.7,52.9,4.8
2024-25,Regular+Season,GSW,1610612744,Golden State Warriors,Brandin Podziemski,1641764,63,37,26,27.2,5.2,1.3,25.8,8.9,57.8,0.6,61.9,6.5
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,Brandon Boston,1630527,39,7,32,24.9,3.4,0.6,18.7,5.5,62.3,0.3,66.0,8.3
2024-25,Regular+Season,MEM,1610612763,Memphis Grizzlies,Brandon Clarke,1629634,61,40,21,19.2,5.2,2.2,42.3,10.2,51.3,1.0,56.6,5.3
2024-25,Regular+Season,TOR,1610612761,Toronto Raptors,Brandon Ingram,1627742,18,5,13,33.1,5.6,1.5,27.0,9.4,59.2,0.6,62.9,7.7
2024-25,Regular+Season,CHA,1610612766,Charlotte Hornets,Brandon Miller,1641706,27,8,19,34.2,4.9,1.0,19.8,9.0,54.1,1.1,61.5,7.9
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Brandon Williams,1630314,24,12,12,19.1,2.4,0.6,24.1,5.2,46.4,0.7,53.2,9.2
2024-25,Regular+Season,GSW,1610612744,Golden State Warriors,Braxton Key,1630296,2,2,0,5.0,1.0,0.0,0.0,2.0,50.0,0.5,66.7,7.9
2024-25,Regular+Season,UTA,1610612762,Utah Jazz,Brice Sensabaugh,1641729,66,12,54,20.3,3.2,0.6,19.5,5.4,59.0,0.3,62.7,8.6
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Bronny James,1642355,10,6,4,12.7,1.8,0.8,44.4,3.2,56.3,0.4,64.3,7.3
2024-25,Regular+Season,MIL,1610612749,Milwaukee Bucks,Brook Lopez,201572,79,46,33,31.8,5.1,2.4,46.6,10.0,50.7,1.1,56.8,5.7
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,Bruce Brown,1628971,38,14,24,23.0,4.3,1.0,23.2,7.2,59.6,0.4,63.6,7.8
2024-25,Regular+Season,TOR,1610612761,Toronto Raptors,Bruno Fernando,1628981,14,2,12,9.4,3.6,1.4,39.2,6.7,54.3,0.5,58.6,5.2
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Bryce McGowens,1631121,3,2,1,3.5,1.0,0.0,0.0,1.0,100,0.0,100,10.3
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Bub Carrington,1642267,81,17,64,30.2,4.2,0.7,16.4,7.0,59.7,0.5,64.0,7.6
2024-25,Regular+Season,GSW,1610612744,Golden State Warriors,Buddy Hield,1627741,78,47,31,22.9,3.4,0.7,20.1,5.9,57.0,0.4,61.7,8.8
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,CJ McCollum,203468,55,16,39,32.7,3.9,0.6,15.6,6.5,59.2,0.4,63.5,10.1
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Cade Cunningham,1630595,70,38,32,35.0,6.1,1.5,25.4,10.3,58.8,0.6,62.7,7.2
2024-25,Regular+Season,ORL,1610612753,Orlando Magic,Caleb Houstan,1631216,35,20,15,17.4,2.1,0.6,26.7,3.8,56.0,0.3,61.0,9.6
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Caleb Martin,1628997,43,16,27,27.1,4.1,0.9,21.5,7.1,58.2,0.5,62.3,9.6
2024-25,Regular+Season,LAC,1610612746,Los Angeles Clippers,Cam Christie,1642353,7,4,3,6.3,1.7,0.4,25.0,2.0,85.7,0.0,85.7,5.5
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Cam Reddish,1629629,22,10,12,19.7,3.0,1.0,33.3,4.7,63.5,0.2,66.7,10.0
2024-25,Regular+Season,MEM,1610612763,Memphis Grizzlies,Cam Spencer,1642285,13,10,3,16.2,2.3,0.8,36.7,4.5,50.8,0.8,61.2,9.6
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,Cam Thomas,1630560,24,7,17,31.2,3.5,0.7,19.3,6.9,50.3,0.8,56.5,8.8
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,Cam Whitmore,1641715,44,24,20,18.0,3.4,1.1,32.5,5.6,61.6,0.3,65.7,7.4
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,Cameron Johnson,1629661,56,21,35,31.8,4.4,1.1,24.7,8.2,53.9,0.8,59.4,8.2
2024-25,Regular+Season,NYK,1610612752,New York Knicks,Cameron Payne,1626166,54,35,19,16.0,1.9,0.3,13.7,3.1,60.4,0.3,65.8,10.3
2024-25,Regular+Season,ATL,1610612737,Atlanta Hawks,Caris LeVert,1627747,60,42,18,25.2,3.4,1.0,29.7,6.5,51.7,0.5,56.0,8.2
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Cason Wallace,1641717,65,52,13,28.0,3.5,1.0,28.4,7.4,47.7,0.6,52.3,9.8
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,Charles Bassey,1629646,31,10,21,11.9,4.9,1.9,38.8,8.7,56.5,0.9,63.1,4.1
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Chet Holmgren,1631096,32,26,6,27.4,8.0,3.4,42.0,14.9,54.0,1.4,59.6,4.9
2024-25,Regular+Season,TOR,1610612761,Toronto Raptors,Chris Boucher,1628449,49,18,31,17.5,4.6,1.7,37.1,8.0,56.9,0.4,59.6,5.8
2024-25,Regular+Season,CHI,1610612741,Chicago Bulls,Chris Duarte,1630537,9,2,7,6.1,2.2,0.4,20.0,3.0,74.1,0.1,76.9,8.6
2024-25,Regular+Season,MIL,1610612749,Milwaukee Bucks,Chris Livingston,1641753,13,11,2,6.6,2.7,1.5,57.1,5.0,53.8,0.2,55.6,3.7
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,Chris Paul,101108,75,32,43,28.1,3.9,0.6,15.9,6.7,59.0,0.7,65.3,9.8
2024-25,Regular+Season,DEN,1610612743,Denver Nuggets,Christian Braun,1631128,78,48,30,33.9,5.2,1.3,25.9,9.2,56.3,0.6,60.5,8.6
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Christian Koloko,1631132,29,17,12,10.2,3.2,1.5,47.8,5.9,54.1,0.2,56.4,5.4
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Chuma Okeke,1629643,8,1,7,24.2,5.9,2.3,38.3,9.4,62.7,0.3,64.4,8.3
2024-25,Regular+Season,ATL,1610612737,Atlanta Hawks,Clint Capela,203991,55,27,28,21.4,8.5,4.3,51.0,13.7,62.4,0.7,65.6,5.0
2024-25,Regular+Season,CHI,1610612741,Chicago Bulls,Coby White,1629632,69,34,35,33.3,4.0,0.7,16.5,7.2,55.3,0.7,61.1,9.5
2024-25,Regular+Season,PHX,1610612756,Phoenix Suns,Cody Martin,1628998,52,16,36,22.5,4.3,1.2,28.6,7.9,54.5,0.7,59.9,7.9
2024-25,Regular+Season,UTA,1610612762,Utah Jazz,Cody Williams,1642262,41,7,34,21.8,2.7,0.5,17.9,5.0,54.4,0.3,57.7,9.7
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Colby Jones,1641732,23,3,20,20.7,3.8,1.1,29.9,6.5,58.0,0.7,64.4,7.7
2024-25,Regular+Season,MEM,1610612763,Memphis Grizzlies,Cole Anthony,1630175,58,30,28,20.0,3.5,0.7,20.6,6.1,57.5,0.6,63.6,8.1
2024-25,Regular+Season,IND,1610612754,Indiana Pacers,Cole Swider,1631306,8,4,4,17.1,3.4,0.6,18.5,5.5,61.4,0.5,67.5,5.8
2024-25,Regular+Season,TOR,1610612761,Toronto Raptors,Colin Castleton,1630658,21,10,11,20.3,5.8,2.2,38.5,10.5,55.5,0.8,59.8,6.1
2024-25,Regular+Season,PHX,1610612756,Phoenix Suns,Collin Gillespie,1631221,28,10,18,16.0,2.8,0.8,26.9,6.0,46.7,0.5,51.3,8.2
2024-25,Regular+Season,UTA,1610612762,Utah Jazz,Collin Sexton,1629012,59,13,46,28.2,2.9,0.7,25.1,6.0,48.3,0.4,52.1,11.8
2024-25,Regular+Season,WAS,1610612764,Washington Wizards,Corey Kispert,1630557,60,14,46,26.3,3.0,0.7,23.8,6.0,50.3,0.5,54.8,8.1
2024-25,Regular+Season,ORL,1610612753,Orlando Magic,Cory Joseph,202709,32,17,15,15.6,2.3,0.5,23.0,4.1,56.5,0.3,61.7,9.9
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Craig Porter Jr.,1641854,28,22,6,14.1,2.4,0.6,26.9,4.4,54.0,0.4,58.8,8.7
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,Cui Cui,1642385,1,0,1,5.7,2.0,0.0,0.0,6.0,33.3,0.0,33.3,8.1
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,D'Angelo Russell,1626156,53,26,27,26.3,3.1,0.5,16.0,5.6,54.4,0.5,60.2,8.3
2024-25,Regular+Season,TOR,1610612761,Toronto Raptors,D.J. Carton,1630618,2,1,1,12.6,2.0,0.0,0.0,5.0,40.0,0.5,44.4,10.7
2024-25,Regular+Season,CHA,1610612766,Charlotte Hornets,DaQuan Jeffries,1629610,40,7,33,23.7,3.4,1.1,31.9,5.6,60.0,0.4,64.0,8.2
2024-25,Regular+Season,ATL,1610612737,Atlanta Hawks,Daeqwon Plowden,1631342,4,2,2,17.2,2.8,0.5,18.2,5.5,50.0,0.5,55.0,10.3
2024-25,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Daishen Nix,1630227,2,2,0,5.5,2.0,0.5,25.0,2.5,80.0,0.0,80.0,5.4
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Dalano Banton,1630625,56,24,32,18.3,2.4,0.6,26.7,4.6,52.9,0.4,58.2,7.3
2024-25,Regular+Season,CHI,1610612741,Chicago Bulls,Dalen Terry,1631207,57,29,28,15.4,2.2,0.6,28.2,4.5,48.8,0.5,55.6,7.6
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Dalton Knecht,1642261,67,40,27,20.8,3.2,0.6,18.1,5.4,60.2,0.3,64.3,7.9
2024-25,Regular+Season,MIL,1610612749,Milwaukee Bucks,Damian Lillard,203081,58,32,26,36.1,4.7,0.9,19.5,8.0,58.6,0.5,62.5,9.2
2024-25,Regular+Season,CHA,1610612766,Charlotte Hornets,Damion Baugh,1641878,14,1,13,24.2,3.6,0.9,24.0,6.3,56.8,0.4,60.2,10.7
2024-25,Regular+Season,PHX,1610612756,Phoenix Suns,Damion Lee,1627814,14,5,9,5.8,1.4,0.4,25.0,2.6,55.6,0.2,60.6,6.8
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Daniel Gafford,1629655,56,28,28,21.7,6.9,3.8,54.4,15.0,46.3,1.3,50.9,4.1
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,Daniel Theis,1628464,36,10,26,16.9,4.6,1.9,42.1,8.3,55.2,0.7,60.3,4.8
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Daniss Jenkins,1642450,1,0,1,10.6,2.0,1.0,50.0,4.0,50.0,0.0,50.0,15.3
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Danté Exum,203957,16,6,10,19.0,2.1,0.6,27.3,4.1,50.8,0.3,54.1,9.8
2024-25,Regular+Season,DEN,1610612743,Denver Nuggets,Dario Šarić,203967,14,6,8,13.6,3.5,2.1,61.2,7.0,50.0,0.4,52.7,4.9
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,Dariq Whitehead,1641727,14,5,9,16.4,2.1,0.8,37.9,3.4,60.4,0.1,61.7,7.4
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Darius Garland,1629636,71,56,15,31.1,3.0,0.4,13.1,5.4,56.3,0.3,59.3,11.3
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,David Duke Jr.,1630561,4,0,4,5.5,1.3,0.3,20.0,2.8,45.5,0.8,62.5,9.1
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,David Roddy,1631223,25,5,20,15.0,3.4,0.9,27.4,5.4,61.8,0.4,67.2,6.7
2024-25,Regular+Season,MIA,1610612748,Miami Heat,Davion Mitchell,1630558,61,19,42,28.1,2.7,0.3,10.8,5.4,50.6,0.6,56.8,11.7
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,Day'Ron Sharpe,1630549,50,14,36,18.1,6.6,3.5,52.4,13.2,50.0,1.0,54.2,3.9
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,De'Aaron Fox,1628368,62,27,35,36.1,4.8,1.0,21.8,7.9,60.8,0.5,65.1,9.2
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,De'Andre Hunter,1629631,60,36,24,27.2,4.3,1.3,30.6,8.1,53.4,0.8,58.9,7.4
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,De'Anthony Melton,1629001,6,4,2,20.2,3.3,0.3,10.0,6.0,55.6,0.7,62.5,9.4
2024-25,Regular+Season,DEN,1610612743,Denver Nuggets,DeAndre Jordan,201599,54,36,18,12.3,5.2,2.1,40.1,7.9,65.5,0.3,68.2,4.7
2024-25,Regular+Season,SAC,1610612758,Sacramento Kings,DeMar DeRozan,201942,72,35,37,36.1,4.1,1.0,25.2,7.6,54.4,0.7,60.1,9.0
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Dean Wade,1629731,56,46,10,21.8,4.4,1.4,32.1,8.3,53.5,0.8,59.0,6.4
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Deandre Ayton,1629028,39,17,22,30.4,10.4,3.9,37.4,15.8,65.9,0.8,69.4,5.2
2024-25,Regular+Season,NOP,1610612740,New Orleans Pelicans,Dejounte Murray,1627749,31,9,22,32.7,6.5,1.1,17.5,10.7,60.1,0.8,64.9,6.6
2024-25,Regular+Season,NYK,1610612752,New York Knicks,Delon Wright,1626153,26,16,10,20.1,2.5,0.5,21.2,4.6,55.5,0.3,59.5,8.3
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Deni Avdija,1630166,72,33,39,30.0,7.3,2.0,28.0,12.7,57.2,0.9,61.6,5.6
2024-25,Regular+Season,DET,1610612765,Detroit Pistons,Dennis Schröder,203471,68,34,34,28.3,2.9,0.4,13.1,5.8,50.5,0.4,54.4,10.9
2024-25,Regular+Season,DAL,1610612742,Dallas Mavericks,Dereck Lively II,1641726,34,21,13,23.9,7.9,3.4,43.0,15.1,52.6,1.3,57.6,4.9
2024-25,Regular+Season,LAC,1610612746,Los Angeles Clippers,Derrick Jones Jr.,1627884,74,47,27,24.7,3.6,1.1,32.3,5.8,60.9,0.4,65.1,8.2
2024-25,Regular+Season,BOS,1610612738,Boston Celtics,Derrick White,1628401,75,58,17,34.0,4.5,1.1,24.9,8.3,54.5,0.7,59.6,8.7
2024-25,Regular+Season,ORL,1610612753,Orlando Magic,Desmond Bane,1630217,67,37,30,31.9,6.1,1.4,22.4,10.9,55.5,0.9,60.1,6.9
2024-25,Regular+Season,PHX,1610612756,Phoenix Suns,Devin Booker,1626164,73,34,39,37.2,4.2,1.1,25.9,8.0,52.3,0.5,56.1,10.1
2024-25,Regular+Season,SAC,1610612758,Sacramento Kings,Devin Carter,1642269,28,15,13,13.0,2.7,0.8,27.6,4.4,62.3,0.2,65.5,7.3
2024-25,Regular+Season,SAS,1610612759,San Antonio Spurs,Devin Vassell,1630170,61,23,38,31.3,4.2,1.3,31.8,7.3,56.9,0.7,63.3,7.2
2024-25,Regular+Season,HOU,1610612745,Houston Rockets,Dillon Brooks,1628415,71,47,24,32.1,3.9,1.0,25.8,8.1,47.8,0.7,52.2,8.5
2024-25,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Dillon Jones,1641794,37,30,7,12.7,3.2,1.0,30.8,5.7,57.1,0.3,60.6,6.2
2024-25,Regular+Season,SAC,1610612758,Sacramento Kings,Domantas Sabonis,1627734,69,35,34,35.2,14.1,5.6,39.9,23.8,59.1,1.9,64.1,4.1
2024-25,Regular+Season,ATL,1610612737,Atlanta Hawks,Dominick Barlow,1631230,29,11,18,12.2,2.9,1.4,47.1,5.3,55.2,0.5,60.7,7.0
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Donovan Clingan,1642270,67,29,38,19.8,7.9,4.2,53.9,14.1,55.6,1.1,60.3,4.4
2024-25,Regular+Season,CLE,1610612739,Cleveland Cavaliers,Donovan Mitchell,1628378,70,54,16,31.5,4.6,0.9,19.3,7.8,59.0,0.5,63.3,9.2
2024-25,Regular+Season,MIN,1610612750,Minnesota Timberwolves,Donte DiVincenzo,1628978,61,36,25,26.0,3.7,0.9,23.7,6.7,56.0,0.6,61.3,8.1
2024-25,Regular+Season,LAL,1610612747,Los Angeles Lakers,Dorian Finney-Smith,1627827,62,35,27,28.8,4.0,1.7,42.9,8.3,48.1,1.0,54.4,6.4
2024-25,Regular+Season,SAC,1610612758,Sacramento Kings,Doug McDermott,203926,17,8,9,10.3,1.3,0.2,18.2,2.3,56.4,0.2,61.1,8.7
2024-25,Regular+Season,GSW,1610612744,Golden State Warriors,Draymond Green,203110,67,42,25,29.3,6.2,2.1,34.8,10.6,58.5,0.9,63.8,5.9
2024-25,Regular+Season,LAC,1610612746,Los Angeles Clippers,Drew Eubanks,1629234,52,19,33,13.6,4.3,1.6,37.2,8.1,53.7,0.6,57.8,4.6
2024-25,Regular+Season,BOS,1610612738,Boston Celtics,Drew Peterson,1641809,16,12,4,10.3,2.5,0.5,20.0,3.9,63.5,0.4,71.4,7.3
2024-25,Regular+Season,BKN,1610612751,Brooklyn Nets,Drew Timme,1631166,9,3,6,28.2,7.2,2.6,35.4,11.8,61.3,0.8,65.7,5.3
2024-25,Regular+Season,MIA,1610612748,Miami Heat,Dru Smith,1630696,12,8,4,17.3,3.0,1.4,47.2,4.9,61.0,0.3,65.5,9.7
2024-25,Regular+Season,MIA,1610612748,Miami Heat,Duncan Robinson,1629130,66,27,39,24.6,2.5,0.4,17.4,4.3,58.2,0.4,63.7,9.7
2024-25,Regular+Season,POR,1610612757,Portland Trail Blazers,Duop Reath,1641871,33,14,19,12.9,2.8,1.5,53.3,5.7,48.9,0.4,52.3,5.5
