SEASON,SEASON_TYPE,TEAM_ABB,GP,WIN,LOSE,W_PCT,MIN,PTS,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PLUS_MINUS
2015-16,pre-season,DEN,1,0,1,0.0,4.0,3.0,1.0,6.0,16.7,0.0,1.0,0.0,1.0,2.0,50.0,2.0,5.0,7.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,-6.0
2015-16,pre-season,DET,4,0,4,0.0,4.5,6.0,2.5,10.3,24.4,0.3,4.3,5.9,0.8,1.5,50.0,2.0,3.8,5.8,1.5,1.3,0.5,0.5,1.3,5.0,1.0,-5.3
2015-16,pre-season,-,1,0,1,0.0,2.4,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,50.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,-8.0
2015-16,pre-season,MIL,2,0,2,0.0,3.2,1.5,0.5,4.5,11.1,0.0,1.0,0.0,0.5,2.0,25.0,0.5,3.0,3.5,0.0,1.5,0.0,0.0,1.0,4.0,1.0,-7.5
2015-16,regular-season,GSW,34,30,4,88.2,4.2,10.6,3.3,7.1,46.5,1.1,3.0,35.9,2.9,3.5,82.5,1.1,3.4,4.5,1.9,1.1,0.6,0.5,0.4,2.2,2.8,3.2
2015-16,regular-season,SAS,30,21,9,70.0,3.5,8.3,2.9,6.3,45.8,0.4,1.4,30.2,2.1,2.7,75.6,1.1,2.4,3.5,1.6,0.9,0.4,0.6,0.4,1.4,1.9,1.8
2015-16,regular-season,TOR,51,32,19,62.7,3.3,8.0,2.4,5.6,42.0,0.5,1.5,35.4,2.7,3.5,79.0,0.7,2.3,3.0,0.9,0.7,0.5,0.3,0.5,2.4,2.3,1.1
2015-16,regular-season,DET,42,25,17,59.5,4.1,9.3,2.9,6.7,42.4,0.6,2.0,31.7,3.0,4.5,67.0,0.9,2.8,3.8,1.0,1.0,0.5,0.3,0.5,2.2,3.2,1.3
2015-16,regular-season,LAC,42,25,17,59.5,4.0,9.7,2.8,6.1,45.9,0.8,2.2,37.2,3.3,4.3,75.3,0.8,2.5,3.3,1.5,0.8,0.5,0.6,0.2,2.5,2.9,0.5
2015-16,regular-season,MEM,44,26,18,59.1,3.9,8.9,2.7,6.7,41.0,0.6,1.7,35.1,2.9,3.8,75.1,1.2,2.5,3.7,1.4,0.9,0.7,0.4,0.6,2.0,2.4,1.3
2015-16,regular-season,CHI,46,27,19,58.7,4.6,9.1,2.8,7.2,39.2,0.6,1.9,31.4,2.9,3.6,81.3,0.8,3.2,4.0,1.1,1.3,0.4,0.8,0.4,2.5,2.5,-0.5
2015-16,regular-season,MIA,43,25,18,58.1,4.1,9.7,3.2,7.0,45.2,0.6,1.7,32.4,2.8,3.8,73.5,1.0,2.9,3.9,1.7,0.7,0.6,0.6,0.4,2.1,2.7,1.4
2015-16,regular-season,CLE,33,19,14,57.6,4.3,9.4,2.8,7.0,39.7,0.7,2.8,25.0,3.2,4.2,75.9,1.1,3.1,4.2,1.3,1.0,0.5,0.4,0.7,2.5,2.7,0.3
2015-16,regular-season,HOU,49,28,21,57.1,4.0,8.9,2.5,6.2,40.6,0.9,3.0,30.8,3.0,4.1,72.4,0.9,2.9,3.8,1.3,0.9,0.6,0.4,0.3,2.1,2.9,0.8
2015-16,regular-season,IND,53,30,23,56.6,4.0,8.6,2.8,6.9,40.3,0.6,2.0,31.1,2.5,3.5,69.7,0.9,2.5,3.5,1.4,1.0,0.7,0.5,0.5,2.2,2.5,0.0
2015-16,regular-season,POR,42,23,19,54.8,3.3,8.1,2.5,6.1,41.0,0.6,2.2,25.8,2.5,3.1,81.7,0.7,2.2,2.9,1.1,0.6,0.5,0.5,0.5,1.9,2.1,0.1
2015-16,regular-season,ATL,44,24,20,54.5,3.8,8.6,2.8,6.8,40.8,0.6,2.0,30.7,2.5,3.0,81.2,1.0,2.6,3.6,1.6,0.8,0.5,0.5,0.6,2.2,2.3,0.6
2015-16,regular-season,BOS,46,25,21,54.3,3.4,8.8,2.8,6.3,44.6,0.7,2.1,30.6,2.5,3.1,81.1,0.7,2.4,3.2,1.6,0.8,0.5,0.4,0.4,2.5,2.0,0.3
2015-16,regular-season,CHA,42,22,20,52.4,3.7,8.7,2.6,6.7,39.4,0.8,2.6,30.6,2.6,3.2,82.1,1.2,2.9,4.0,1.2,0.8,0.3,0.4,0.6,1.8,2.4,1.3
2015-16,regular-season,DAL,49,25,24,51.0,4.6,10.4,3.4,7.6,45.2,1.2,3.2,36.1,2.4,2.9,82.6,0.6,3.1,3.7,1.9,0.7,0.6,0.4,0.4,2.1,2.4,1.2
2015-16,regular-season,MIL,40,20,20,50.0,4.0,8.4,2.6,5.9,44.4,0.5,1.4,31.6,2.8,3.8,72.8,0.8,2.8,3.6,1.4,1.3,0.7,0.7,0.4,2.5,2.7,-0.2
2015-16,regular-season,OKC,44,22,22,50.0,3.9,8.9,3.0,7.3,40.9,0.5,2.1,24.5,2.5,3.0,83.1,1.3,2.8,4.1,1.2,1.0,0.5,0.7,0.5,2.4,2.0,-0.5
2015-16,regular-season,DEN,52,25,27,48.1,3.7,7.3,2.3,6.1,37.9,0.4,1.8,20.4,2.3,2.9,77.1,0.8,2.8,3.6,1.1,0.9,0.4,0.3,0.6,2.2,2.3,-0.4
2015-16,regular-season,WAS,34,16,18,47.1,3.8,9.0,2.8,7.0,39.7,0.7,2.5,28.6,2.7,3.5,77.5,0.9,2.7,3.6,1.5,1.1,0.7,0.3,0.2,2.4,2.1,0.0
2015-16,regular-season,ORL,44,19,25,43.2,4.5,9.1,3.1,8.2,37.6,0.8,2.5,31.5,2.1,2.7,80.3,1.1,3.4,4.5,1.7,1.3,0.6,0.4,0.9,2.9,2.2,-0.3
2015-16,regular-season,SAC,43,18,25,41.9,3.5,7.4,2.4,6.0,40.0,0.5,1.7,28.4,2.1,2.9,71.8,1.0,2.3,3.3,1.4,1.2,0.6,0.3,0.2,2.5,2.3,-1.1
2015-16,regular-season,MIN,50,20,30,40.0,4.1,8.8,2.6,6.7,39.1,0.4,1.8,20.5,3.2,4.0,79.6,1.2,2.9,4.1,1.5,1.2,0.4,0.4,0.6,2.7,2.5,-0.8
2015-16,regular-season,NOP,46,18,28,39.1,3.7,8.3,2.5,5.6,43.8,0.7,2.3,29.8,2.8,3.2,85.8,0.6,2.4,2.9,1.5,1.2,0.5,0.3,0.4,2.4,2.2,-0.8
2015-16,regular-season,BKN,41,15,26,36.6,3.4,7.2,2.3,5.7,40.3,0.4,1.3,27.8,2.2,2.8,78.4,0.8,2.4,3.2,1.2,1.0,0.5,0.3,0.3,2.1,1.7,-0.8
2015-16,regular-season,NYK,41,15,26,36.6,4.0,8.7,2.7,6.8,40.1,0.6,2.3,26.6,2.6,3.0,89.3,0.9,2.8,3.6,1.3,1.1,0.4,0.6,0.4,2.7,2.0,-1.0
2015-16,regular-season,LAL,33,11,22,33.3,3.5,8.1,2.5,6.1,41.8,0.8,2.0,37.9,2.2,2.9,77.1,1.1,2.1,3.1,0.9,0.7,0.4,0.3,0.2,2.2,2.0,-0.7
2015-16,regular-season,UTA,42,14,28,33.3,4.9,10.1,3.4,8.1,41.8,0.7,2.5,29.5,2.6,3.7,69.9,1.2,2.7,3.9,1.4,1.3,0.5,0.6,0.5,3.0,2.2,-2.2
2015-16,regular-season,PHX,39,12,27,30.8,3.2,6.3,2.0,5.6,35.9,0.4,2.0,21.5,1.8,2.3,78.0,1.1,1.9,3.0,0.9,1.1,0.4,0.3,0.4,2.4,1.5,-2.5
2015-16,regular-season,PHI,35,5,30,14.3,3.8,6.2,2.1,6.1,34.9,0.5,2.1,25.7,1.4,2.3,62.0,0.7,2.4,3.1,1.2,1.2,0.3,0.3,0.4,3.0,1.6,-3.6
2015-16,playoffs,HOU,1,1,0,100,3.8,9.0,3.0,6.0,50.0,1.0,1.0,100,2.0,4.0,50.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,4.0,1.0
