SEASON,SEASON_TYPE,TEAM_ABB,TEAM_ID,TEAM_NAME,PLAYER_NAME,PLAYER_ID,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF
2015-16,Regular+Season,DEN,1610612743,Denver Nuggets,Axel Toupane,1626253,21,9,12,14.5,5596.6,1.10,0.50,0.50,4.41,4.63,4.19
2015-16,Regular+Season,SAC,1610612758,Sacramento Kings,Ben McLemore,203463,67,28,39,21.2,8689.9,1.60,0.90,0.80,4.68,5.07,4.32
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Beno Udrih,2757,44,26,18,16.1,6381.3,1.20,0.70,0.50,4.51,5.08,3.91
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Bismack Biyombo,202687,81,55,26,22.1,7944.5,1.50,0.80,0.70,4.10,4.28,3.90
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Blake Griffin,201933,35,22,13,33.4,11198.5,2.10,1.10,1.00,3.82,4.08,3.56
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Boban Marjanovic,1626246,54,47,7,9.4,3358.9,0.60,0.30,0.30,4.07,4.11,4.00
2015-16,Regular+Season,CHI,1610612741,Chicago Bulls,Bobby Portis,1626171,62,29,33,17.8,6879.4,1.30,0.70,0.60,4.41,4.76,4.07
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Bojan Bogdanovic,202711,79,21,58,26.8,9965.6,1.90,1.00,0.90,4.24,4.46,4.01
2015-16,Regular+Season,SAS,1610612759,San Antonio Spurs,Boris Diaw,2564,76,64,12,18.2,6820.0,1.30,0.70,0.60,4.26,4.61,3.89
2015-16,Regular+Season,WAS,1610612764,Washington Wizards,Bradley Beal,203078,55,28,27,31.1,11839.2,2.20,1.20,1.10,4.34,4.73,3.98
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Brandan Wright,201148,12,6,6,17.7,6262.8,1.20,0.60,0.50,4.02,4.27,3.77
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,Branden Dawson,1626183,6,5,1,4.8,1731.8,0.30,0.20,0.10,4.16,4.10,4.23
2015-16,Regular+Season,LAL,1610612747,Los Angeles Lakers,Brandon Bass,101138,66,16,50,20.3,7491.1,1.40,0.80,0.70,4.19,4.46,3.92
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,Brandon Jennings,201943,48,20,28,18.1,7028.5,1.30,0.70,0.60,4.43,4.89,3.99
2015-16,Regular+Season,PHX,1610612756,Phoenix Suns,Brandon Knight,202688,52,16,36,36.0,13794.2,2.60,1.40,1.20,4.36,4.73,3.99
2015-16,Regular+Season,GSW,1610612744,Golden State Warriors,Brandon Rush,201575,72,63,9,14.6,5804.9,1.10,0.60,0.50,4.51,4.98,4.09
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,Brian Roberts,203148,51,26,25,9.2,3514.5,0.70,0.40,0.30,4.34,4.76,3.93
2015-16,Regular+Season,MIA,1610612748,Miami Heat,Briante Weber,1627362,7,3,4,24.1,9558.6,1.80,1.00,0.80,4.53,4.66,4.38
2015-16,Regular+Season,BKN,1610612751,Brooklyn Nets,Brook Lopez,201572,73,21,52,33.7,11790.1,2.20,1.20,1.10,3.99,4.12,3.86
2015-16,Regular+Season,TOR,1610612761,Toronto Raptors,Bruno Caboclo,203998,6,6,0,7.1,2875.5,0.50,0.30,0.20,4.64,4.66,4.31
2015-16,Regular+Season,MEM,1610612763,Memphis Grizzlies,Bryce Cotton,203955,8,1,7,4.8,2009.6,0.40,0.20,0.20,4.65,4.77,4.53
2015-16,Regular+Season,NOP,1610612740,New Orleans Pelicans,Bryce Dejean-Jones,1626214,14,8,6,19.9,7602.3,1.40,0.80,0.70,4.36,4.73,3.98
2015-16,Regular+Season,ORL,1610612753,Orlando Magic,C.J. Watson,201228,33,14,19,19.9,7888.8,1.50,0.80,0.70,4.52,5.00,4.06
2015-16,Regular+Season,LAC,1610612746,Los Angeles Clippers,C.J. Wilcox,203912,23,15,8,7.3,2692.5,0.50,0.30,0.20,4.21,4.31,4.12
2015-16,Regular+Season,POR,1610612757,Portland Trail Blazers,CJ McCollum,203468,80,44,36,34.7,13685.3,2.60,1.50,1.10,4.49,5.03,3.95
2015-16,Regular+Season,IND,1610612754,Indiana Pacers,CJ Miles,101139,64,34,30,22.9,8099.2,1.50,0.80,0.70,4.04,4.33,3.74
2015-16,Regular+Season,DET,1610612765,Detroit Pistons,Cameron Bairstow,203946,18,4,14,5.7,2044.5,0.40,0.20,0.20,4.10,4.55,3.71
2015-16,Regular+Season,OKC,1610612760,Oklahoma City Thunder,Cameron Payne,1626166,57,44,13,12.2,4813.7,0.90,0.50,0.40,4.48,4.83,4.11
2015-16,Regular+Season,PHI,1610612755,Philadelphia 76ers,Carl Landry,201171,36,5,31,15.8,5764.1,1.10,0.60,0.50,4.15,4.34,3.94
