SEASON,SEASON_TYPE,PLAYER_NAME,PLAYER_ID,TEAM_ABB,AGE,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,AVG_OREB_DIST
2015-16,Regular+Season,PHX,,6,1,5,8.3,1.0,0.8,83.3,2.8,35.3,0.0,35.3,16.1,0,0
2015-16,Regular+Season,TOR,,73,49,24,25.4,0.5,0.2,36.8,2.6,19.9,0.1,20.8,11.2,0,0
2015-16,Regular+Season,BOS,,1,0,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
2015-16,Regular+Season,CHA,,72,43,29,29.7,0.4,0.1,28.6,1.4,28.0,0.1,29.5,16.5,0,0
2015-16,Regular+Season,CHI,,25,12,13,12.2,1.2,0.6,53.3,3.6,33.0,0.0,33.0,6.2,0,0
2015-16,Regular+Season,LAL,,77,17,60,28.4,0.6,0.3,46.8,2.9,21.1,0.1,21.9,12.6,0,0
2015-16,Regular+Season,DEN,,50,27,23,20.4,0.2,0.0,12.5,1.4,11.1,0.1,11.8,15.5,0,0
2015-16,Regular+Season,CLE,,1,0,1,42.4,1.0,0.0,0.0,9.0,11.1,0.0,11.1,6.3,0,0
2015-16,Regular+Season,POR,,74,39,35,35.7,0.6,0.2,31.1,3.2,19.1,0.2,20.2,14.6,0,0
2015-16,Regular+Season,MIL,,13,2,11,10.6,0.2,0.1,50.0,1.2,12.5,0.0,12.5,12.2,0,0
2015-16,Regular+Season,MIN,,14,6,8,10.1,0.4,0.1,20.0,0.6,55.6,0.0,55.6,11.7,0,0
2015-16,Regular+Season,DEN,,53,22,31,34.7,1.0,0.6,59.6,3.3,30.1,0.1,30.8,7.3,0,0
2015-16,Regular+Season,SAS,,76,62,14,26.4,0.6,0.3,47.9,1.6,38.7,0.1,40.0,10.8,0,0
2015-16,Regular+Season,NOP,,75,27,48,25.2,0.8,0.3,38.6,2.1,35.4,0.1,36.8,10.9,0,0
2015-16,Regular+Season,DEN,,67,24,43,21.9,1.3,0.6,45.3,2.8,46.5,0.0,47.3,8.3,0,0
2015-16,Regular+Season,SAC,,64,26,38,30.6,0.4,0.1,32.1,2.5,17.5,0.1,18.2,12.1,0,0
2015-16,Regular+Season,DET,,20,10,10,13.7,0.2,0.0,0.0,1.0,20.0,0.0,20.0,22.1,0,0
2015-16,Regular+Season,DAL,,54,26,28,16.5,1.9,1.3,69.0,4.2,44.1,0.1,45.0,6.3,0,0
