SEASON,SEASON_TYPE,TEAM_ABB,TEAM_NAME,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT
2015-16,Regular+Season,PHI,Philadelphia 76ers,82,10,72,241.5,450.4,22.7,7.9,12.9,61.3,2.8,4.2,66.2,18.9,83.4,5.6,24.8,0.7,3.1,1.4,6.2,2.0,8.9
2015-16,Regular+Season,PHX,Phoenix Suns,82,23,59,240.3,435.4,26.8,8.4,14.6,57.6,3.4,4.8,71.0,20.7,77.1,7.3,27.2,0.8,3.1,1.6,6.1,2.2,8.2
2015-16,Regular+Season,POR,Portland Trail Blazers,82,44,38,241.5,401.8,22.9,6.8,11.4,59.4,2.5,3.9,64.8,16.4,71.4,7.5,32.7,1.0,4.5,1.4,6.0,1.8,7.9
2015-16,Regular+Season,SAC,Sacramento Kings,81,33,48,241.5,406.5,28.4,10.0,16.7,59.8,3.0,4.3,68.4,23.4,82.2,7.1,24.8,1.0,3.5,1.6,5.5,1.9,6.7
2015-16,Regular+Season,SAS,San Antonio Spurs,82,67,15,240.3,444.1,26.1,8.9,14.0,63.8,3.5,4.4,80.2,21.8,83.4,8.1,30.9,1.1,4.2,1.0,4.0,2.0,7.6
2015-16,Regular+Season,TOR,Toronto Raptors,81,55,26,240.9,420.9,21.4,6.7,11.5,57.9,2.8,4.0,68.4,16.4,76.8,5.9,27.7,0.6,2.8,1.0,4.7,1.9,8.8
2015-16,Regular+Season,UTA,Utah Jazz,82,40,42,243.4,468.5,24.0,6.9,11.7,58.7,3.1,4.6,66.2,17.1,71.3,7.9,32.7,1.0,4.0,1.4,5.8,2.1,8.6
2015-16,Regular+Season,WAS,Washington Wizards,82,41,41,240.9,414.8,25.1,8.5,14.0,60.6,2.6,3.9,67.9,20.0,79.7,7.1,28.3,0.8,3.3,1.4,5.4,1.8,7.0
2015-16,Playoffs,ATL,Atlanta Hawks,10,4,6,242.5,439.2,22.4,7.8,12.4,62.9,2.2,2.8,78.6,18.3,81.7,6.7,29.9,0.9,4.0,1.6,7.1,1.1,4.9
2015-16,Playoffs,BOS,Boston Celtics,6,2,4,244.2,456.7,22.8,7.5,12.7,59.2,1.7,2.3,71.4,16.7,73.0,6.3,27.7,0.5,2.2,1.7,7.3,1.2,5.1
